spec.jvm2008.report.run.location=GLAZIER16
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Fri Jun 24 02:37:28 BST 2016, end=Fri Jun 24 02:37:28 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 02:37:28 BST 2016, end=Fri Jun 24 02:37:28 BST 2016, operations=1.0, operationsPerMinute=545.4545454545455
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 02:37:28 BST 2016, end=Fri Jun 24 02:37:44 BST 2016, operations=1.0, operationsPerMinute=3.75234521575985
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 02:37:44 BST 2016, end=Fri Jun 24 02:37:48 BST 2016, operations=1.0, operationsPerMinute=14.245014245014245
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 02:37:48 BST 2016, end=Fri Jun 24 02:37:49 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 02:37:49 BST 2016, end=Fri Jun 24 02:37:58 BST 2016, operations=1.0, operationsPerMinute=6.586169045005488
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 02:37:58 BST 2016, end=Fri Jun 24 02:38:06 BST 2016, operations=1.0, operationsPerMinute=7.6923076923076925
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 02:38:06 BST 2016, end=Fri Jun 24 02:38:13 BST 2016, operations=1.0, operationsPerMinute=8.64304235090752
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 02:38:13 BST 2016, end=Fri Jun 24 02:38:16 BST 2016, operations=1.0, operationsPerMinute=22.23045572434235
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 02:38:16 BST 2016, end=Fri Jun 24 02:38:17 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 02:38:17 BST 2016, end=Fri Jun 24 02:38:18 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 02:38:18 BST 2016, end=Fri Jun 24 02:38:24 BST 2016, operations=1.0, operationsPerMinute=9.811937857726901
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 02:38:24 BST 2016, end=Fri Jun 24 02:38:26 BST 2016, operations=1.0, operationsPerMinute=38.46153846153846
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 02:38:26 BST 2016, end=Fri Jun 24 02:38:27 BST 2016, operations=1.0, operationsPerMinute=51.99306759098787
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 02:38:27 BST 2016, end=Fri Jun 24 02:38:29 BST 2016, operations=1.0, operationsPerMinute=23.032629558541267
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 02:38:29 BST 2016, end=Fri Jun 24 02:38:36 BST 2016, operations=1.0, operationsPerMinute=8.903398130286392
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 02:38:36 BST 2016, end=Fri Jun 24 02:39:01 BST 2016, operations=1.0, operationsPerMinute=2.4099289070972407
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 02:39:01 BST 2016, end=Fri Jun 24 02:39:02 BST 2016, operations=1.0, operationsPerMinute=53.42831700801425
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 02:39:15 BST 2016, end=Fri Jun 24 02:41:15 BST 2016, operations=397.61679953740276, operationsPerMinute=198.80839976870138, mode=normal, start=Fri Jun 24 02:41:17 BST 2016, end=Fri Jun 24 02:45:17 BST 2016, operations=803.276340348021, operationsPerMinute=200.81908508700525
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 02:45:22 BST 2016, end=Fri Jun 24 02:47:22 BST 2016, operations=159.9873773652609, operationsPerMinute=79.99368868263045, mode=normal, start=Fri Jun 24 02:47:25 BST 2016, end=Fri Jun 24 02:51:25 BST 2016, operations=321.1086957055942, operationsPerMinute=80.27717392639855
benchmark-name=compress, mod=warmup, start=Fri Jun 24 02:51:29 BST 2016, end=Fri Jun 24 02:53:29 BST 2016, operations=327.57328657594667, operationsPerMinute=163.78664328797333, mode=normal, start=Fri Jun 24 02:53:31 BST 2016, end=Fri Jun 24 02:57:31 BST 2016, operations=657.077925178344, operationsPerMinute=164.269481294586
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 02:57:33 BST 2016, end=Fri Jun 24 02:59:33 BST 2016, operations=108.6674490983746, operationsPerMinute=54.3337245491873, mode=normal, start=Fri Jun 24 02:59:40 BST 2016, end=Fri Jun 24 03:03:40 BST 2016, operations=231.6105492705484, operationsPerMinute=57.9026373176371
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 03:03:46 BST 2016, end=Fri Jun 24 03:05:46 BST 2016, operations=191.83991969660346, operationsPerMinute=95.91995984830173, mode=normal, start=Fri Jun 24 03:05:49 BST 2016, end=Fri Jun 24 03:09:49 BST 2016, operations=382.9982928735302, operationsPerMinute=95.74957321838255
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 03:09:54 BST 2016, end=Fri Jun 24 03:11:54 BST 2016, operations=329.5509928107339, operationsPerMinute=164.77549640536694, mode=normal, start=Fri Jun 24 03:11:56 BST 2016, end=Fri Jun 24 03:15:56 BST 2016, operations=657.0752321229547, operationsPerMinute=164.26880803073868
benchmark-name=derby, mod=warmup, start=Fri Jun 24 03:17:06 BST 2016, end=Fri Jun 24 03:19:06 BST 2016, operations=245.83435549202034, operationsPerMinute=122.91717774601017, mode=normal, start=Fri Jun 24 03:19:09 BST 2016, end=Fri Jun 24 03:23:09 BST 2016, operations=493.0821014168939, operationsPerMinute=123.27052535422348
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 03:23:12 BST 2016, end=Fri Jun 24 03:25:12 BST 2016, operations=162.18368584949346, operationsPerMinute=81.09184292474673, mode=normal, start=Fri Jun 24 03:25:17 BST 2016, end=Fri Jun 24 03:29:17 BST 2016, operations=325.11312043468735, operationsPerMinute=81.27828010867184
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 03:29:22 BST 2016, end=Fri Jun 24 03:31:22 BST 2016, operations=100.20725399264263, operationsPerMinute=50.10362699632132, mode=normal, start=Fri Jun 24 03:31:29 BST 2016, end=Fri Jun 24 03:35:29 BST 2016, operations=197.02616630204975, operationsPerMinute=49.256541575512436
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 03:35:35 BST 2016, end=Fri Jun 24 03:37:35 BST 2016, operations=21.264548685698742, operationsPerMinute=10.632274342849371, mode=normal, start=Fri Jun 24 03:38:02 BST 2016, end=Fri Jun 24 03:42:02 BST 2016, operations=42.079721605800415, operationsPerMinute=10.519930401450104
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 03:42:24 BST 2016, end=Fri Jun 24 03:44:24 BST 2016, operations=63.07480241287281, operationsPerMinute=31.537401206436407, mode=normal, start=Fri Jun 24 03:44:35 BST 2016, end=Fri Jun 24 03:48:35 BST 2016, operations=130.10950447572174, operationsPerMinute=32.527376118930434
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 03:48:47 BST 2016, end=Fri Jun 24 03:50:47 BST 2016, operations=69.3357123801556, operationsPerMinute=34.6678561900778, mode=normal, start=Fri Jun 24 03:50:56 BST 2016, end=Fri Jun 24 03:54:56 BST 2016, operations=139.40090336463612, operationsPerMinute=34.85022584115903
