spec.jvm2008.report.run.location=CASTLEAZES008
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:18:43 BST 2016, end=Thu May 26 14:18:43 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:18:43 BST 2016, end=Thu May 26 14:18:43 BST 2016, operations=1.0, operationsPerMinute=273.972602739726
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:18:43 BST 2016, end=Thu May 26 14:18:56 BST 2016, operations=1.0, operationsPerMinute=4.61716044632551
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:18:56 BST 2016, end=Thu May 26 14:18:59 BST 2016, operations=1.0, operationsPerMinute=18.06140878988561
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:18:59 BST 2016, end=Thu May 26 14:19:01 BST 2016, operations=1.0, operationsPerMinute=46.33204633204633
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:19:01 BST 2016, end=Thu May 26 14:19:09 BST 2016, operations=1.0, operationsPerMinute=7.095553453169347
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:19:09 BST 2016, end=Thu May 26 14:19:16 BST 2016, operations=1.0, operationsPerMinute=8.028904054596548
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:19:16 BST 2016, end=Thu May 26 14:19:23 BST 2016, operations=1.0, operationsPerMinute=9.157509157509157
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:19:23 BST 2016, end=Thu May 26 14:19:25 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:19:25 BST 2016, end=Thu May 26 14:19:26 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:19:26 BST 2016, end=Thu May 26 14:19:27 BST 2016, operations=1.0, operationsPerMinute=65.21739130434783
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:19:27 BST 2016, end=Thu May 26 14:19:32 BST 2016, operations=1.0, operationsPerMinute=10.803024846957149
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:19:32 BST 2016, end=Thu May 26 14:19:34 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:19:34 BST 2016, end=Thu May 26 14:19:35 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:19:35 BST 2016, end=Thu May 26 14:19:37 BST 2016, operations=1.0, operationsPerMinute=28.275212064090482
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:19:37 BST 2016, end=Thu May 26 14:19:43 BST 2016, operations=1.0, operationsPerMinute=9.335615372646647
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:19:43 BST 2016, end=Thu May 26 14:20:04 BST 2016, operations=1.0, operationsPerMinute=2.97441998810232
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:20:04 BST 2016, end=Thu May 26 14:20:04 BST 2016, operations=1.0, operationsPerMinute=72.55139056831922
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:20:14 BST 2016, end=Thu May 26 14:22:14 BST 2016, operations=489.8867578088939, operationsPerMinute=244.94337890444694, mode=normal, start=Thu May 26 14:22:16 BST 2016, end=Thu May 26 14:26:16 BST 2016, operations=1008.6583162899295, operationsPerMinute=252.16457907248238
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:26:20 BST 2016, end=Thu May 26 14:28:20 BST 2016, operations=195.27740889023084, operationsPerMinute=97.63870444511542, mode=normal, start=Thu May 26 14:28:23 BST 2016, end=Thu May 26 14:32:23 BST 2016, operations=389.4975598765716, operationsPerMinute=97.3743899691429
benchmark-name=compress, mod=warmup, start=Thu May 26 14:32:26 BST 2016, end=Thu May 26 14:34:26 BST 2016, operations=400.1509477371263, operationsPerMinute=200.07547386856314, mode=normal, start=Thu May 26 14:34:28 BST 2016, end=Thu May 26 14:38:28 BST 2016, operations=802.4219031804854, operationsPerMinute=200.60547579512135
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:38:30 BST 2016, end=Thu May 26 14:40:30 BST 2016, operations=139.22824192543567, operationsPerMinute=69.61412096271783, mode=normal, start=Thu May 26 14:40:35 BST 2016, end=Thu May 26 14:44:35 BST 2016, operations=293.2143489254576, operationsPerMinute=73.3035872313644
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:44:41 BST 2016, end=Thu May 26 14:46:41 BST 2016, operations=235.82201073637074, operationsPerMinute=117.91100536818537, mode=normal, start=Thu May 26 14:46:45 BST 2016, end=Thu May 26 14:50:45 BST 2016, operations=462.25791352897534, operationsPerMinute=115.56447838224383
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:51:10 BST 2016, end=Thu May 26 14:53:10 BST 2016, operations=283.21482007390654, operationsPerMinute=141.60741003695327, mode=normal, start=Thu May 26 14:53:11 BST 2016, end=Thu May 26 14:57:11 BST 2016, operations=771.6716886636677, operationsPerMinute=192.91792216591693
benchmark-name=derby, mod=warmup, start=Thu May 26 14:57:34 BST 2016, end=Thu May 26 14:59:34 BST 2016, operations=332.62194411739574, operationsPerMinute=166.31097205869787, mode=normal, start=Thu May 26 14:59:36 BST 2016, end=Thu May 26 15:03:36 BST 2016, operations=675.1778953490939, operationsPerMinute=168.79447383727347
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:03:38 BST 2016, end=Thu May 26 15:05:38 BST 2016, operations=206.15349354417629, operationsPerMinute=103.07674677208814, mode=normal, start=Thu May 26 15:05:40 BST 2016, end=Thu May 26 15:09:40 BST 2016, operations=414.0499650782212, operationsPerMinute=103.5124912695553
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:09:44 BST 2016, end=Thu May 26 15:11:44 BST 2016, operations=70.22966081063949, operationsPerMinute=35.11483040531974, mode=normal, start=Thu May 26 15:11:53 BST 2016, end=Thu May 26 15:15:53 BST 2016, operations=141.76466941073343, operationsPerMinute=35.44116735268336
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:16:02 BST 2016, end=Thu May 26 15:18:02 BST 2016, operations=13.919787354648886, operationsPerMinute=6.959893677324443, mode=normal, start=Thu May 26 15:18:47 BST 2016, end=Thu May 26 15:22:47 BST 2016, operations=27.769996475518653, operationsPerMinute=6.942499118879663
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:23:33 BST 2016, end=Thu May 26 15:25:33 BST 2016, operations=74.19921706911803, operationsPerMinute=37.09960853455902, mode=normal, start=Thu May 26 15:25:42 BST 2016, end=Thu May 26 15:29:42 BST 2016, operations=148.2433330729439, operationsPerMinute=37.060833268235974
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:29:52 BST 2016, end=Thu May 26 15:31:52 BST 2016, operations=42.94353740952114, operationsPerMinute=21.47176870476057, mode=normal, start=Thu May 26 15:32:04 BST 2016, end=Thu May 26 15:36:04 BST 2016, operations=85.20974331073212, operationsPerMinute=21.30243582768303
