spec.jvm2008.report.run.location=PERCY005
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jun 27 01:20:43 BST 2016, end=Mon Jun 27 01:20:43 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Mon Jun 27 01:20:43 BST 2016, end=Mon Jun 27 01:20:43 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jun 27 01:20:43 BST 2016, end=Mon Jun 27 01:20:56 BST 2016, operations=1.0, operationsPerMinute=4.656216048424647
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jun 27 01:20:56 BST 2016, end=Mon Jun 27 01:21:00 BST 2016, operations=1.0, operationsPerMinute=18.404907975460123
benchmark-name=startup.compress, mode=normal, start=Mon Jun 27 01:21:00 BST 2016, end=Mon Jun 27 01:21:01 BST 2016, operations=1.0, operationsPerMinute=45.248868778280546
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jun 27 01:21:01 BST 2016, end=Mon Jun 27 01:21:09 BST 2016, operations=1.0, operationsPerMinute=7.069635913750441
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jun 27 01:21:09 BST 2016, end=Mon Jun 27 01:21:17 BST 2016, operations=1.0, operationsPerMinute=8.097165991902834
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jun 27 01:21:17 BST 2016, end=Mon Jun 27 01:21:24 BST 2016, operations=1.0, operationsPerMinute=8.761682242990654
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jun 27 01:21:24 BST 2016, end=Mon Jun 27 01:21:26 BST 2016, operations=1.0, operationsPerMinute=26.7022696929239
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jun 27 01:21:26 BST 2016, end=Mon Jun 27 01:21:27 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jun 27 01:21:27 BST 2016, end=Mon Jun 27 01:21:28 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jun 27 01:21:28 BST 2016, end=Mon Jun 27 01:21:33 BST 2016, operations=1.0, operationsPerMinute=10.895224260032686
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jun 27 01:21:33 BST 2016, end=Mon Jun 27 01:21:34 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jun 27 01:21:34 BST 2016, end=Mon Jun 27 01:21:35 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Mon Jun 27 01:21:35 BST 2016, end=Mon Jun 27 01:21:38 BST 2016, operations=1.0, operationsPerMinute=28.275212064090482
benchmark-name=startup.sunflow, mode=normal, start=Mon Jun 27 01:21:38 BST 2016, end=Mon Jun 27 01:21:44 BST 2016, operations=1.0, operationsPerMinute=9.426551453260016
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jun 27 01:21:44 BST 2016, end=Mon Jun 27 01:22:04 BST 2016, operations=1.0, operationsPerMinute=2.988345452734336
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jun 27 01:22:04 BST 2016, end=Mon Jun 27 01:22:05 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jun 27 01:22:15 BST 2016, end=Mon Jun 27 01:24:15 BST 2016, operations=489.0899403362486, operationsPerMinute=244.5449701681243, mode=normal, start=Mon Jun 27 01:24:16 BST 2016, end=Mon Jun 27 01:28:16 BST 2016, operations=996.7151423597526, operationsPerMinute=249.17878558993814
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jun 27 01:28:20 BST 2016, end=Mon Jun 27 01:30:20 BST 2016, operations=196.7645640895836, operationsPerMinute=98.3822820447918, mode=normal, start=Mon Jun 27 01:30:24 BST 2016, end=Mon Jun 27 01:34:24 BST 2016, operations=384.13407663399505, operationsPerMinute=96.03351915849876
benchmark-name=compress, mod=warmup, start=Mon Jun 27 01:34:28 BST 2016, end=Mon Jun 27 01:36:28 BST 2016, operations=399.5173461359835, operationsPerMinute=199.75867306799174, mode=normal, start=Mon Jun 27 01:36:30 BST 2016, end=Mon Jun 27 01:40:30 BST 2016, operations=796.8031956491952, operationsPerMinute=199.2007989122988
benchmark-name=crypto.aes, mod=warmup, start=Mon Jun 27 01:40:31 BST 2016, end=Mon Jun 27 01:42:31 BST 2016, operations=136.8728362884051, operationsPerMinute=68.43641814420255, mode=normal, start=Mon Jun 27 01:42:37 BST 2016, end=Mon Jun 27 01:46:37 BST 2016, operations=288.5486006748926, operationsPerMinute=72.13715016872315
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jun 27 01:46:43 BST 2016, end=Mon Jun 27 01:48:43 BST 2016, operations=234.4451486154636, operationsPerMinute=117.2225743077318, mode=normal, start=Mon Jun 27 01:48:46 BST 2016, end=Mon Jun 27 01:52:46 BST 2016, operations=466.42954990215264, operationsPerMinute=116.60738747553816
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jun 27 01:52:50 BST 2016, end=Mon Jun 27 01:54:50 BST 2016, operations=405.61707960392613, operationsPerMinute=202.80853980196306, mode=normal, start=Mon Jun 27 01:54:52 BST 2016, end=Mon Jun 27 01:58:52 BST 2016, operations=812.4755093441206, operationsPerMinute=203.11887733603015
benchmark-name=derby, mod=warmup, start=Mon Jun 27 01:59:14 BST 2016, end=Mon Jun 27 02:01:14 BST 2016, operations=350.07871235161497, operationsPerMinute=175.03935617580748, mode=normal, start=Mon Jun 27 02:01:16 BST 2016, end=Mon Jun 27 02:05:16 BST 2016, operations=714.1546762988878, operationsPerMinute=178.53866907472195
benchmark-name=mpegaudio, mod=warmup, start=Mon Jun 27 02:05:18 BST 2016, end=Mon Jun 27 02:07:18 BST 2016, operations=207.357104260236, operationsPerMinute=103.678552130118, mode=normal, start=Mon Jun 27 02:07:22 BST 2016, end=Mon Jun 27 02:11:22 BST 2016, operations=415.6084005691019, operationsPerMinute=103.90210014227547
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jun 27 02:11:25 BST 2016, end=Mon Jun 27 02:13:25 BST 2016, operations=78.86564064575055, operationsPerMinute=39.43282032287527, mode=normal, start=Mon Jun 27 02:13:34 BST 2016, end=Mon Jun 27 02:17:34 BST 2016, operations=154.0623247877148, operationsPerMinute=38.5155811969287
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jun 27 02:17:42 BST 2016, end=Mon Jun 27 02:19:42 BST 2016, operations=13.82258763512634, operationsPerMinute=6.91129381756317, mode=normal, start=Mon Jun 27 02:20:27 BST 2016, end=Mon Jun 27 02:24:27 BST 2016, operations=27.921847531717006, operationsPerMinute=6.9804618829292515
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jun 27 02:25:09 BST 2016, end=Mon Jun 27 02:27:09 BST 2016, operations=73.34460715816539, operationsPerMinute=36.672303579082694, mode=normal, start=Mon Jun 27 02:27:19 BST 2016, end=Mon Jun 27 02:31:19 BST 2016, operations=147.8022088653389, operationsPerMinute=36.95055221633473
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jun 27 02:31:29 BST 2016, end=Mon Jun 27 02:33:29 BST 2016, operations=43.24136504797594, operationsPerMinute=21.62068252398797, mode=normal, start=Mon Jun 27 02:33:39 BST 2016, end=Mon Jun 27 02:37:39 BST 2016, operations=85.72025138818739, operationsPerMinute=21.430062847046848
