spec.jvm2008.report.run.location=CASTLEAZES020
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jun 03 15:01:17 BST 2016, end=Fri Jun 03 15:01:17 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:01:17 BST 2016, end=Fri Jun 03 15:01:17 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:01:17 BST 2016, end=Fri Jun 03 15:01:30 BST 2016, operations=1.0, operationsPerMinute=4.69593801361822
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:01:30 BST 2016, end=Fri Jun 03 15:01:33 BST 2016, operations=1.0, operationsPerMinute=18.404907975460123
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:01:33 BST 2016, end=Fri Jun 03 15:01:34 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:01:34 BST 2016, end=Fri Jun 03 15:01:43 BST 2016, operations=1.0, operationsPerMinute=7.09639266706091
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:01:43 BST 2016, end=Fri Jun 03 15:01:50 BST 2016, operations=1.0, operationsPerMinute=8.012820512820513
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:01:50 BST 2016, end=Fri Jun 03 15:01:57 BST 2016, operations=1.0, operationsPerMinute=8.903398130286392
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:01:57 BST 2016, end=Fri Jun 03 15:01:59 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:01:59 BST 2016, end=Fri Jun 03 15:02:00 BST 2016, operations=1.0, operationsPerMinute=80.10680907877169
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:02:00 BST 2016, end=Fri Jun 03 15:02:01 BST 2016, operations=1.0, operationsPerMinute=64.1025641025641
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:02:01 BST 2016, end=Fri Jun 03 15:02:06 BST 2016, operations=1.0, operationsPerMinute=10.926971407758149
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:02:06 BST 2016, end=Fri Jun 03 15:02:08 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:02:08 BST 2016, end=Fri Jun 03 15:02:09 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:02:09 BST 2016, end=Fri Jun 03 15:02:11 BST 2016, operations=1.0, operationsPerMinute=28.694404591104735
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:02:11 BST 2016, end=Fri Jun 03 15:02:17 BST 2016, operations=1.0, operationsPerMinute=9.380863039399625
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:02:17 BST 2016, end=Fri Jun 03 15:02:38 BST 2016, operations=1.0, operationsPerMinute=2.9585798816568047
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:02:38 BST 2016, end=Fri Jun 03 15:02:38 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:02:49 BST 2016, end=Fri Jun 03 15:04:49 BST 2016, operations=501.0818644291642, operationsPerMinute=250.5409322145821, mode=normal, start=Fri Jun 03 15:04:50 BST 2016, end=Fri Jun 03 15:08:50 BST 2016, operations=1013.6474974131538, operationsPerMinute=253.41187435328845
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:08:54 BST 2016, end=Fri Jun 03 15:10:54 BST 2016, operations=200.29536092365623, operationsPerMinute=100.14768046182812, mode=normal, start=Fri Jun 03 15:10:58 BST 2016, end=Fri Jun 03 15:14:58 BST 2016, operations=399.1078405530213, operationsPerMinute=99.77696013825532
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:15:01 BST 2016, end=Fri Jun 03 15:17:01 BST 2016, operations=399.8928222280476, operationsPerMinute=199.9464111140238, mode=normal, start=Fri Jun 03 15:17:03 BST 2016, end=Fri Jun 03 15:21:03 BST 2016, operations=801.1174907640693, operationsPerMinute=200.27937269101733
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:21:05 BST 2016, end=Fri Jun 03 15:23:05 BST 2016, operations=137.62910708759983, operationsPerMinute=68.81455354379992, mode=normal, start=Fri Jun 03 15:23:11 BST 2016, end=Fri Jun 03 15:27:11 BST 2016, operations=287.5346987929893, operationsPerMinute=71.88367469824732
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:27:18 BST 2016, end=Fri Jun 03 15:29:18 BST 2016, operations=230.92375741114708, operationsPerMinute=115.46187870557354, mode=normal, start=Fri Jun 03 15:29:21 BST 2016, end=Fri Jun 03 15:33:21 BST 2016, operations=472.1873223507076, operationsPerMinute=118.0468305876769
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:33:24 BST 2016, end=Fri Jun 03 15:35:24 BST 2016, operations=402.46598780646, operationsPerMinute=201.23299390323, mode=normal, start=Fri Jun 03 15:35:27 BST 2016, end=Fri Jun 03 15:39:27 BST 2016, operations=812.7768812787363, operationsPerMinute=203.19422031968406
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:39:49 BST 2016, end=Fri Jun 03 15:41:49 BST 2016, operations=350.96083225743934, operationsPerMinute=175.48041612871967, mode=normal, start=Fri Jun 03 15:41:52 BST 2016, end=Fri Jun 03 15:45:52 BST 2016, operations=697.4728904126675, operationsPerMinute=174.36822260316688
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:45:54 BST 2016, end=Fri Jun 03 15:47:54 BST 2016, operations=207.93413489948148, operationsPerMinute=103.96706744974074, mode=normal, start=Fri Jun 03 15:47:57 BST 2016, end=Fri Jun 03 15:51:57 BST 2016, operations=416.0013459774074, operationsPerMinute=104.00033649435186
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:52:00 BST 2016, end=Fri Jun 03 15:54:00 BST 2016, operations=78.42962686636861, operationsPerMinute=39.214813433184304, mode=normal, start=Fri Jun 03 15:54:08 BST 2016, end=Fri Jun 03 15:58:08 BST 2016, operations=154.13641593358378, operationsPerMinute=38.534103983395944
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 15:58:14 BST 2016, end=Fri Jun 03 16:00:14 BST 2016, operations=13.941637880778995, operationsPerMinute=6.970818940389497, mode=normal, start=Fri Jun 03 16:00:57 BST 2016, end=Fri Jun 03 16:04:57 BST 2016, operations=27.771863101964513, operationsPerMinute=6.942965775491128
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:05:33 BST 2016, end=Fri Jun 03 16:07:33 BST 2016, operations=74.52675805410708, operationsPerMinute=37.26337902705354, mode=normal, start=Fri Jun 03 16:07:42 BST 2016, end=Fri Jun 03 16:11:42 BST 2016, operations=149.41903092140754, operationsPerMinute=37.354757730351885
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 16:11:53 BST 2016, end=Fri Jun 03 16:13:53 BST 2016, operations=42.4245357410394, operationsPerMinute=21.2122678705197, mode=normal, start=Fri Jun 03 16:14:05 BST 2016, end=Fri Jun 03 16:18:05 BST 2016, operations=85.03757036637563, operationsPerMinute=21.259392591593908
