spec.jvm2008.report.run.location=RIDLEY2B024
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 04 08:51:58 BST 2016, end=Sat Jun 04 08:51:58 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 08:51:58 BST 2016, end=Sat Jun 04 08:51:59 BST 2016, operations=1.0, operationsPerMinute=275.22935779816515
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 08:51:59 BST 2016, end=Sat Jun 04 08:52:12 BST 2016, operations=1.0, operationsPerMinute=4.482964734010759
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 08:52:12 BST 2016, end=Sat Jun 04 08:52:15 BST 2016, operations=1.0, operationsPerMinute=17.80415430267062
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 08:52:15 BST 2016, end=Sat Jun 04 08:52:17 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 08:52:17 BST 2016, end=Sat Jun 04 08:52:25 BST 2016, operations=1.0, operationsPerMinute=7.044734061289186
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 08:52:25 BST 2016, end=Sat Jun 04 08:52:33 BST 2016, operations=1.0, operationsPerMinute=8.046131151937777
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 08:52:33 BST 2016, end=Sat Jun 04 08:52:39 BST 2016, operations=1.0, operationsPerMinute=8.80152559777028
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 08:52:39 BST 2016, end=Sat Jun 04 08:52:42 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 08:52:42 BST 2016, end=Sat Jun 04 08:52:42 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 08:52:42 BST 2016, end=Sat Jun 04 08:52:43 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 08:52:43 BST 2016, end=Sat Jun 04 08:52:49 BST 2016, operations=1.0, operationsPerMinute=10.926971407758149
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 08:52:49 BST 2016, end=Sat Jun 04 08:52:50 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 08:52:50 BST 2016, end=Sat Jun 04 08:52:51 BST 2016, operations=1.0, operationsPerMinute=61.09979633401222
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 08:52:51 BST 2016, end=Sat Jun 04 08:52:53 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 08:52:53 BST 2016, end=Sat Jun 04 08:53:00 BST 2016, operations=1.0, operationsPerMinute=9.357454772301933
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 08:53:00 BST 2016, end=Sat Jun 04 08:53:20 BST 2016, operations=1.0, operationsPerMinute=2.9316915860451482
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 08:53:20 BST 2016, end=Sat Jun 04 08:53:21 BST 2016, operations=1.0, operationsPerMinute=72.55139056831922
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 08:53:31 BST 2016, end=Sat Jun 04 08:55:31 BST 2016, operations=481.73161463170464, operationsPerMinute=240.86580731585232, mode=normal, start=Sat Jun 04 08:55:33 BST 2016, end=Sat Jun 04 08:59:33 BST 2016, operations=1006.9008257012156, operationsPerMinute=251.7252064253039
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 08:59:37 BST 2016, end=Sat Jun 04 09:01:37 BST 2016, operations=194.41906467518154, operationsPerMinute=97.20953233759077, mode=normal, start=Sat Jun 04 09:01:40 BST 2016, end=Sat Jun 04 09:05:40 BST 2016, operations=387.6132182618495, operationsPerMinute=96.90330456546238
benchmark-name=compress, mod=warmup, start=Sat Jun 04 09:05:43 BST 2016, end=Sat Jun 04 09:07:43 BST 2016, operations=395.6833500157702, operationsPerMinute=197.8416750078851, mode=normal, start=Sat Jun 04 09:07:45 BST 2016, end=Sat Jun 04 09:11:45 BST 2016, operations=792.8415738868869, operationsPerMinute=198.21039347172172
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 09:11:47 BST 2016, end=Sat Jun 04 09:13:47 BST 2016, operations=138.95006334190788, operationsPerMinute=69.47503167095394, mode=normal, start=Sat Jun 04 09:13:51 BST 2016, end=Sat Jun 04 09:17:51 BST 2016, operations=292.07479787542485, operationsPerMinute=73.01869946885621
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 09:17:56 BST 2016, end=Sat Jun 04 09:19:56 BST 2016, operations=231.33025026085403, operationsPerMinute=115.66512513042701, mode=normal, start=Sat Jun 04 09:19:59 BST 2016, end=Sat Jun 04 09:23:59 BST 2016, operations=462.4033800257088, operationsPerMinute=115.6008450064272
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 09:24:03 BST 2016, end=Sat Jun 04 09:26:03 BST 2016, operations=397.7441902892807, operationsPerMinute=198.87209514464035, mode=normal, start=Sat Jun 04 09:26:05 BST 2016, end=Sat Jun 04 09:30:05 BST 2016, operations=801.8263674493016, operationsPerMinute=200.4565918623254
benchmark-name=derby, mod=warmup, start=Sat Jun 04 09:30:28 BST 2016, end=Sat Jun 04 09:32:28 BST 2016, operations=342.31900452488685, operationsPerMinute=171.15950226244343, mode=normal, start=Sat Jun 04 09:32:30 BST 2016, end=Sat Jun 04 09:36:30 BST 2016, operations=700.7945822510173, operationsPerMinute=175.19864556275434
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 09:36:33 BST 2016, end=Sat Jun 04 09:38:33 BST 2016, operations=206.0447088503203, operationsPerMinute=103.02235442516015, mode=normal, start=Sat Jun 04 09:38:37 BST 2016, end=Sat Jun 04 09:42:37 BST 2016, operations=412.4841826584647, operationsPerMinute=103.12104566461618
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 09:42:40 BST 2016, end=Sat Jun 04 09:44:40 BST 2016, operations=73.24539622881325, operationsPerMinute=36.622698114406624, mode=normal, start=Sat Jun 04 09:44:50 BST 2016, end=Sat Jun 04 09:48:50 BST 2016, operations=144.64382329322692, operationsPerMinute=36.16095582330673
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 09:48:59 BST 2016, end=Sat Jun 04 09:50:59 BST 2016, operations=13.768970921935681, operationsPerMinute=6.8844854609678405, mode=normal, start=Sat Jun 04 09:51:43 BST 2016, end=Sat Jun 04 09:55:43 BST 2016, operations=27.759663654162665, operationsPerMinute=6.939915913540666
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 09:56:20 BST 2016, end=Sat Jun 04 09:58:20 BST 2016, operations=73.74440077496112, operationsPerMinute=36.87220038748056, mode=normal, start=Sat Jun 04 09:58:30 BST 2016, end=Sat Jun 04 10:02:30 BST 2016, operations=147.2346163719285, operationsPerMinute=36.808654092982124
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 10:02:39 BST 2016, end=Sat Jun 04 10:04:39 BST 2016, operations=42.735020940893754, operationsPerMinute=21.367510470446877, mode=normal, start=Sat Jun 04 10:04:50 BST 2016, end=Sat Jun 04 10:08:50 BST 2016, operations=85.60640133005589, operationsPerMinute=21.401600332513972
