spec.jvm2008.report.run.location=HOPE32
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Fri Jun 24 03:17:47 BST 2016, end=Fri Jun 24 03:17:47 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 03:17:47 BST 2016, end=Fri Jun 24 03:17:47 BST 2016, operations=1.0, operationsPerMinute=153.84615384615384
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 03:17:47 BST 2016, end=Fri Jun 24 03:18:10 BST 2016, operations=1.0, operationsPerMinute=2.693360865466625
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 03:18:10 BST 2016, end=Fri Jun 24 03:18:15 BST 2016, operations=1.0, operationsPerMinute=12.094335819391251
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 03:18:15 BST 2016, end=Fri Jun 24 03:18:16 BST 2016, operations=1.0, operationsPerMinute=36.99136868064118
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 03:18:16 BST 2016, end=Fri Jun 24 03:18:26 BST 2016, operations=1.0, operationsPerMinute=5.9171597633136095
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 03:18:26 BST 2016, end=Fri Jun 24 03:18:35 BST 2016, operations=1.0, operationsPerMinute=7.109004739336493
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 03:18:35 BST 2016, end=Fri Jun 24 03:18:42 BST 2016, operations=1.0, operationsPerMinute=8.3986562150056
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 03:18:42 BST 2016, end=Fri Jun 24 03:18:45 BST 2016, operations=1.0, operationsPerMinute=19.32367149758454
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 03:18:45 BST 2016, end=Fri Jun 24 03:18:46 BST 2016, operations=1.0, operationsPerMinute=64.1025641025641
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 03:18:46 BST 2016, end=Fri Jun 24 03:18:47 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 03:18:47 BST 2016, end=Fri Jun 24 03:18:54 BST 2016, operations=1.0, operationsPerMinute=8.964589870013446
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 03:18:54 BST 2016, end=Fri Jun 24 03:18:56 BST 2016, operations=1.0, operationsPerMinute=34.66204506065858
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 03:18:56 BST 2016, end=Fri Jun 24 03:18:57 BST 2016, operations=1.0, operationsPerMinute=43.196544276457885
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 03:18:57 BST 2016, end=Fri Jun 24 03:19:00 BST 2016, operations=1.0, operationsPerMinute=18.76172607879925
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 03:19:00 BST 2016, end=Fri Jun 24 03:19:08 BST 2016, operations=1.0, operationsPerMinute=8.342602892102336
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 03:19:08 BST 2016, end=Fri Jun 24 03:19:36 BST 2016, operations=1.0, operationsPerMinute=2.1284898364610307
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 03:19:36 BST 2016, end=Fri Jun 24 03:19:37 BST 2016, operations=1.0, operationsPerMinute=47.46835443037975
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 03:19:53 BST 2016, end=Fri Jun 24 03:21:53 BST 2016, operations=345.9119352815493, operationsPerMinute=172.95596764077465, mode=normal, start=Fri Jun 24 03:21:55 BST 2016, end=Fri Jun 24 03:25:55 BST 2016, operations=711.2019906019906, operationsPerMinute=177.80049765049765
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 03:26:02 BST 2016, end=Fri Jun 24 03:28:02 BST 2016, operations=136.70119904470263, operationsPerMinute=68.35059952235132, mode=normal, start=Fri Jun 24 03:28:07 BST 2016, end=Fri Jun 24 03:32:07 BST 2016, operations=272.3463709012126, operationsPerMinute=68.08659272530315
benchmark-name=compress, mod=warmup, start=Fri Jun 24 03:32:12 BST 2016, end=Fri Jun 24 03:34:12 BST 2016, operations=270.35690808789457, operationsPerMinute=135.17845404394728, mode=normal, start=Fri Jun 24 03:34:15 BST 2016, end=Fri Jun 24 03:38:15 BST 2016, operations=542.8081143611478, operationsPerMinute=135.70202859028694
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 03:38:18 BST 2016, end=Fri Jun 24 03:40:18 BST 2016, operations=85.09657494903499, operationsPerMinute=42.548287474517494, mode=normal, start=Fri Jun 24 03:40:27 BST 2016, end=Fri Jun 24 03:44:27 BST 2016, operations=180.12867322800471, operationsPerMinute=45.03216830700118
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 03:44:36 BST 2016, end=Fri Jun 24 03:46:36 BST 2016, operations=146.7821343958882, operationsPerMinute=73.3910671979441, mode=normal, start=Fri Jun 24 03:46:40 BST 2016, end=Fri Jun 24 03:50:40 BST 2016, operations=282.56396704221225, operationsPerMinute=70.64099176055306
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 03:50:46 BST 2016, end=Fri Jun 24 03:52:46 BST 2016, operations=245.41583491833404, operationsPerMinute=122.70791745916702, mode=normal, start=Fri Jun 24 03:52:49 BST 2016, end=Fri Jun 24 03:56:49 BST 2016, operations=500.66494283927295, operationsPerMinute=125.16623570981824
benchmark-name=derby, mod=warmup, start=Fri Jun 24 03:58:27 BST 2016, end=Fri Jun 24 04:00:27 BST 2016, operations=193.80593961202126, operationsPerMinute=96.90296980601063, mode=normal, start=Fri Jun 24 04:00:30 BST 2016, end=Fri Jun 24 04:04:30 BST 2016, operations=397.2535174614154, operationsPerMinute=99.31337936535385
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 04:04:35 BST 2016, end=Fri Jun 24 04:06:35 BST 2016, operations=132.61699004617725, operationsPerMinute=66.30849502308862, mode=normal, start=Fri Jun 24 04:06:41 BST 2016, end=Fri Jun 24 04:10:41 BST 2016, operations=267.62052663159136, operationsPerMinute=66.90513165789784
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 04:10:47 BST 2016, end=Fri Jun 24 04:12:47 BST 2016, operations=55.46516441302878, operationsPerMinute=27.73258220651439, mode=normal, start=Fri Jun 24 04:12:55 BST 2016, end=Fri Jun 24 04:16:55 BST 2016, operations=119.58298958251947, operationsPerMinute=29.89574739562987
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 04:17:05 BST 2016, end=Fri Jun 24 04:19:05 BST 2016, operations=11.509497641294184, operationsPerMinute=5.754748820647092, mode=normal, start=Fri Jun 24 04:19:40 BST 2016, end=Fri Jun 24 04:23:40 BST 2016, operations=22.98581082030693, operationsPerMinute=5.746452705076733
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 04:24:21 BST 2016, end=Fri Jun 24 04:26:21 BST 2016, operations=55.041953392973305, operationsPerMinute=27.520976696486652, mode=normal, start=Fri Jun 24 04:26:32 BST 2016, end=Fri Jun 24 04:30:32 BST 2016, operations=110.03738132431735, operationsPerMinute=27.509345331079338
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 04:30:45 BST 2016, end=Fri Jun 24 04:32:45 BST 2016, operations=37.24413016770181, operationsPerMinute=18.622065083850906, mode=normal, start=Fri Jun 24 04:33:04 BST 2016, end=Fri Jun 24 04:37:04 BST 2016, operations=74.39931778973299, operationsPerMinute=18.599829447433248
benchmark-name=scimark.fft.small, mod=warmup, start=Fri Jun 24 04:37:22 BST 2016, end=Fri Jun 24 04:39:22 BST 2016, operations=501.3060184025168, operationsPerMinute=250.6530092012584, mode=normal, start=Fri Jun 24 04:39:24 BST 2016, end=Fri Jun 24 04:43:24 BST 2016, operations=983.3918256422701, operationsPerMinute=245.84795641056752
benchmark-name=scimark.lu.small, mod=warmup, start=Fri Jun 24 04:43:26 BST 2016, end=Fri Jun 24 04:45:26 BST 2016, operations=369.10854742518114, operationsPerMinute=184.55427371259057, mode=normal, start=Fri Jun 24 04:45:28 BST 2016, end=Fri Jun 24 04:49:28 BST 2016, operations=735.5058450321709, operationsPerMinute=183.87646125804272
benchmark-name=scimark.sor.small, mod=warmup, start=Fri Jun 24 04:49:30 BST 2016, end=Fri Jun 24 04:51:30 BST 2016, operations=241.0878553323072, operationsPerMinute=120.5439276661536, mode=normal, start=Fri Jun 24 04:51:33 BST 2016, end=Fri Jun 24 04:55:33 BST 2016, operations=484.358649770572, operationsPerMinute=121.089662442643
benchmark-name=scimark.sparse.small, mod=warmup, start=Fri Jun 24 04:55:36 BST 2016, end=Fri Jun 24 04:57:36 BST 2016, operations=306.45175466926946, operationsPerMinute=153.22587733463473, mode=normal, start=Fri Jun 24 04:57:38 BST 2016, end=Fri Jun 24 05:01:38 BST 2016, operations=608.0441908851632, operationsPerMinute=152.0110477212908
benchmark-name=scimark.monte_carlo, mod=warmup, start=Fri Jun 24 05:01:41 BST 2016, end=Fri Jun 24 05:03:41 BST 2016, operations=78.17855342127416, operationsPerMinute=39.08927671063708, mode=normal, start=Fri Jun 24 05:03:49 BST 2016, end=Fri Jun 24 05:07:49 BST 2016, operations=156.87315795371848, operationsPerMinute=39.21828948842962
