spec.jvm2008.report.run.location=HULL71
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Tue Jun 21 13:01:57 BST 2016, end=Tue Jun 21 13:01:57 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.helloworld, mode=normal, start=Tue Jun 21 13:01:57 BST 2016, end=Tue Jun 21 13:01:58 BST 2016, operations=1.0, operationsPerMinute=63.02521008403362
benchmark-name=startup.compiler.compiler, mode=normal, start=Tue Jun 21 13:01:58 BST 2016, end=Tue Jun 21 13:02:31 BST 2016, operations=1.0, operationsPerMinute=1.7897625581672831
benchmark-name=startup.compiler.sunflow, mode=normal, start=Tue Jun 21 13:02:31 BST 2016, end=Tue Jun 21 13:02:37 BST 2016, operations=1.0, operationsPerMinute=10.52262364082778
benchmark-name=startup.compress, mode=normal, start=Tue Jun 21 13:02:37 BST 2016, end=Tue Jun 21 13:02:38 BST 2016, operations=1.0, operationsPerMinute=35.9496704613541
benchmark-name=startup.crypto.aes, mode=normal, start=Tue Jun 21 13:02:39 BST 2016, end=Tue Jun 21 13:02:49 BST 2016, operations=1.0, operationsPerMinute=5.497526113249038
benchmark-name=startup.crypto.rsa, mode=normal, start=Tue Jun 21 13:02:49 BST 2016, end=Tue Jun 21 13:02:58 BST 2016, operations=1.0, operationsPerMinute=6.865774116031583
benchmark-name=startup.crypto.signverify, mode=normal, start=Tue Jun 21 13:02:58 BST 2016, end=Tue Jun 21 13:03:06 BST 2016, operations=1.0, operationsPerMinute=7.96918581484925
benchmark-name=startup.mpegaudio, mode=normal, start=Tue Jun 21 13:03:06 BST 2016, end=Tue Jun 21 13:03:09 BST 2016, operations=1.0, operationsPerMinute=17.21664275466284
benchmark-name=startup.scimark.fft, mode=normal, start=Tue Jun 21 13:03:09 BST 2016, end=Tue Jun 21 13:03:10 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.scimark.lu, mode=normal, start=Tue Jun 21 13:03:10 BST 2016, end=Tue Jun 21 13:03:11 BST 2016, operations=1.0, operationsPerMinute=48.661800486618006
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Tue Jun 21 13:03:11 BST 2016, end=Tue Jun 21 13:03:18 BST 2016, operations=1.0, operationsPerMinute=8.862629246676514
benchmark-name=startup.scimark.sor, mode=normal, start=Tue Jun 21 13:03:18 BST 2016, end=Tue Jun 21 13:03:20 BST 2016, operations=1.0, operationsPerMinute=34.64203233256351
benchmark-name=startup.scimark.sparse, mode=normal, start=Tue Jun 21 13:03:20 BST 2016, end=Tue Jun 21 13:03:21 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.serial, mode=normal, start=Tue Jun 21 13:03:21 BST 2016, end=Tue Jun 21 13:03:25 BST 2016, operations=1.0, operationsPerMinute=18.610421836228287
benchmark-name=startup.sunflow, mode=normal, start=Tue Jun 21 13:03:25 BST 2016, end=Tue Jun 21 13:03:32 BST 2016, operations=1.0, operationsPerMinute=7.958615200955034
benchmark-name=startup.xml.transform, mode=normal, start=Tue Jun 21 13:03:32 BST 2016, end=Tue Jun 21 13:04:03 BST 2016, operations=1.0, operationsPerMinute=1.9308125502815767
benchmark-name=startup.xml.validation, mode=normal, start=Tue Jun 21 13:04:03 BST 2016, end=Tue Jun 21 13:04:05 BST 2016, operations=1.0, operationsPerMinute=37.336652146857496
benchmark-name=compiler.compiler, mod=warmup, start=Tue Jun 21 13:04:22 BST 2016, end=Tue Jun 21 13:06:22 BST 2016, operations=339.81719992178785, operationsPerMinute=169.90859996089392, mode=normal, start=Tue Jun 21 13:06:24 BST 2016, end=Tue Jun 21 13:10:24 BST 2016, operations=709.346292477167, operationsPerMinute=177.33657311929176
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jun 21 13:10:31 BST 2016, end=Tue Jun 21 13:12:31 BST 2016, operations=138.91812973242406, operationsPerMinute=69.45906486621203, mode=normal, start=Tue Jun 21 13:12:34 BST 2016, end=Tue Jun 21 13:16:34 BST 2016, operations=276.36071064477926, operationsPerMinute=69.09017766119482
benchmark-name=compress, mod=warmup, start=Tue Jun 21 13:16:41 BST 2016, end=Tue Jun 21 13:18:41 BST 2016, operations=265.9895905682564, operationsPerMinute=132.9947952841282, mode=normal, start=Tue Jun 21 13:18:43 BST 2016, end=Tue Jun 21 13:22:43 BST 2016, operations=530.4862376416265, operationsPerMinute=132.62155941040663
benchmark-name=crypto.aes, mod=warmup, start=Tue Jun 21 13:22:46 BST 2016, end=Tue Jun 21 13:24:46 BST 2016, operations=81.21038608301569, operationsPerMinute=40.605193041507846, mode=normal, start=Tue Jun 21 13:24:55 BST 2016, end=Tue Jun 21 13:28:55 BST 2016, operations=158.51570115355122, operationsPerMinute=39.628925288387805
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jun 21 13:29:04 BST 2016, end=Tue Jun 21 13:31:04 BST 2016, operations=143.0861747880616, operationsPerMinute=71.5430873940308, mode=normal, start=Tue Jun 21 13:31:10 BST 2016, end=Tue Jun 21 13:35:10 BST 2016, operations=261.8406953857916, operationsPerMinute=65.4601738464479
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jun 21 13:35:14 BST 2016, end=Tue Jun 21 13:37:14 BST 2016, operations=226.30839013032974, operationsPerMinute=113.15419506516487, mode=normal, start=Tue Jun 21 13:37:18 BST 2016, end=Tue Jun 21 13:41:18 BST 2016, operations=490.260994535309, operationsPerMinute=122.56524863382725
benchmark-name=derby, mod=warmup, start=Tue Jun 21 13:43:11 BST 2016, end=Tue Jun 21 13:45:11 BST 2016, operations=195.7032661939461, operationsPerMinute=97.85163309697305, mode=normal, start=Tue Jun 21 13:45:15 BST 2016, end=Tue Jun 21 13:49:15 BST 2016, operations=392.97455971587965, operationsPerMinute=98.24363992896991
benchmark-name=mpegaudio, mod=warmup, start=Tue Jun 21 13:49:19 BST 2016, end=Tue Jun 21 13:51:19 BST 2016, operations=129.24925023524423, operationsPerMinute=64.62462511762212, mode=normal, start=Tue Jun 21 13:51:25 BST 2016, end=Tue Jun 21 13:55:25 BST 2016, operations=266.3198670498981, operationsPerMinute=66.57996676247453
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jun 21 13:55:30 BST 2016, end=Tue Jun 21 13:57:30 BST 2016, operations=61.96033927695606, operationsPerMinute=30.98016963847803, mode=normal, start=Tue Jun 21 13:57:40 BST 2016, end=Tue Jun 21 14:01:40 BST 2016, operations=120.84041145899471, operationsPerMinute=30.210102864748677
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jun 21 14:01:49 BST 2016, end=Tue Jun 21 14:03:49 BST 2016, operations=11.518669043844255, operationsPerMinute=5.759334521922128, mode=normal, start=Tue Jun 21 14:04:26 BST 2016, end=Tue Jun 21 14:08:26 BST 2016, operations=23.106857951768387, operationsPerMinute=5.776714487942097
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jun 21 14:09:07 BST 2016, end=Tue Jun 21 14:11:07 BST 2016, operations=53.66228272665914, operationsPerMinute=26.83114136332957, mode=normal, start=Tue Jun 21 14:11:22 BST 2016, end=Tue Jun 21 14:15:22 BST 2016, operations=108.92387027261621, operationsPerMinute=27.230967568154053
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jun 21 14:15:38 BST 2016, end=Tue Jun 21 14:17:38 BST 2016, operations=37.06430050389047, operationsPerMinute=18.532150251945236, mode=normal, start=Tue Jun 21 14:17:51 BST 2016, end=Tue Jun 21 14:21:51 BST 2016, operations=74.29350684004982, operationsPerMinute=18.573376710012454
