spec.jvm2008.report.run.location=BEDSONTC001
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jun 03 15:01:56 BST 2016, end=Fri Jun 03 15:01:56 BST 2016, operations=1.0, operationsPerMinute=1395.3488372093022
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:01:56 BST 2016, end=Fri Jun 03 15:01:56 BST 2016, operations=1.0, operationsPerMinute=594.059405940594
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:01:56 BST 2016, end=Fri Jun 03 15:02:11 BST 2016, operations=1.0, operationsPerMinute=4.114661911946235
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:02:11 BST 2016, end=Fri Jun 03 15:02:14 BST 2016, operations=1.0, operationsPerMinute=16.666666666666668
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:02:14 BST 2016, end=Fri Jun 03 15:02:15 BST 2016, operations=1.0, operationsPerMinute=45.83651642475172
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:02:15 BST 2016, end=Fri Jun 03 15:02:24 BST 2016, operations=1.0, operationsPerMinute=7.146260123868509
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:02:24 BST 2016, end=Fri Jun 03 15:02:31 BST 2016, operations=1.0, operationsPerMinute=8.201202843083653
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:02:31 BST 2016, end=Fri Jun 03 15:02:38 BST 2016, operations=1.0, operationsPerMinute=9.067553271875472
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:02:38 BST 2016, end=Fri Jun 03 15:02:40 BST 2016, operations=1.0, operationsPerMinute=24.61033634126333
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:02:40 BST 2016, end=Fri Jun 03 15:02:41 BST 2016, operations=1.0, operationsPerMinute=73.34963325183374
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:02:41 BST 2016, end=Fri Jun 03 15:02:42 BST 2016, operations=1.0, operationsPerMinute=59.230009871668315
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:02:42 BST 2016, end=Fri Jun 03 15:02:48 BST 2016, operations=1.0, operationsPerMinute=10.434782608695652
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:02:48 BST 2016, end=Fri Jun 03 15:02:49 BST 2016, operations=1.0, operationsPerMinute=40.48582995951417
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:02:49 BST 2016, end=Fri Jun 03 15:02:50 BST 2016, operations=1.0, operationsPerMinute=59.230009871668315
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:02:50 BST 2016, end=Fri Jun 03 15:02:53 BST 2016, operations=1.0, operationsPerMinute=26.85765443151298
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:02:53 BST 2016, end=Fri Jun 03 15:02:59 BST 2016, operations=1.0, operationsPerMinute=9.531374106433677
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:02:59 BST 2016, end=Fri Jun 03 15:03:20 BST 2016, operations=1.0, operationsPerMinute=2.889199210285549
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:03:20 BST 2016, end=Fri Jun 03 15:03:20 BST 2016, operations=1.0, operationsPerMinute=72.37635705669481
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:03:31 BST 2016, end=Fri Jun 03 15:05:31 BST 2016, operations=447.1320462572779, operationsPerMinute=223.56602312863896, mode=normal, start=Fri Jun 03 15:05:33 BST 2016, end=Fri Jun 03 15:09:33 BST 2016, operations=992.9441921711026, operationsPerMinute=248.23604804277565
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:09:37 BST 2016, end=Fri Jun 03 15:11:37 BST 2016, operations=201.1549578676398, operationsPerMinute=100.5774789338199, mode=normal, start=Fri Jun 03 15:11:41 BST 2016, end=Fri Jun 03 15:15:41 BST 2016, operations=393.7917042891487, operationsPerMinute=98.44792607228717
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:15:44 BST 2016, end=Fri Jun 03 15:17:44 BST 2016, operations=401.3897680771807, operationsPerMinute=200.69488403859035, mode=normal, start=Fri Jun 03 15:17:46 BST 2016, end=Fri Jun 03 15:21:46 BST 2016, operations=804.3100589498565, operationsPerMinute=201.07751473746413
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:21:48 BST 2016, end=Fri Jun 03 15:23:48 BST 2016, operations=139.28361718858085, operationsPerMinute=69.64180859429042, mode=normal, start=Fri Jun 03 15:23:52 BST 2016, end=Fri Jun 03 15:27:52 BST 2016, operations=293.88749046073843, operationsPerMinute=73.47187261518461
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:27:58 BST 2016, end=Fri Jun 03 15:29:58 BST 2016, operations=237.9558746939477, operationsPerMinute=118.97793734697385, mode=normal, start=Fri Jun 03 15:30:01 BST 2016, end=Fri Jun 03 15:34:01 BST 2016, operations=475.3186722149964, operationsPerMinute=118.8296680537491
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:34:04 BST 2016, end=Fri Jun 03 15:36:04 BST 2016, operations=409.9529594838504, operationsPerMinute=204.9764797419252, mode=normal, start=Fri Jun 03 15:36:06 BST 2016, end=Fri Jun 03 15:40:06 BST 2016, operations=820.4282051282051, operationsPerMinute=205.1070512820513
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:40:28 BST 2016, end=Fri Jun 03 15:42:28 BST 2016, operations=352.2185121294237, operationsPerMinute=176.10925606471184, mode=normal, start=Fri Jun 03 15:42:31 BST 2016, end=Fri Jun 03 15:46:31 BST 2016, operations=719.4986149810597, operationsPerMinute=179.87465374526494
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:46:33 BST 2016, end=Fri Jun 03 15:48:33 BST 2016, operations=207.94971004260267, operationsPerMinute=103.97485502130134, mode=normal, start=Fri Jun 03 15:48:37 BST 2016, end=Fri Jun 03 15:52:37 BST 2016, operations=418.7197902001243, operationsPerMinute=104.67994755003107
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:52:40 BST 2016, end=Fri Jun 03 15:54:40 BST 2016, operations=73.00290018423817, operationsPerMinute=36.501450092119086, mode=normal, start=Fri Jun 03 15:54:50 BST 2016, end=Fri Jun 03 15:58:50 BST 2016, operations=146.19445379000504, operationsPerMinute=36.54861344750126
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 15:58:57 BST 2016, end=Fri Jun 03 16:00:57 BST 2016, operations=14.00300114558532, operationsPerMinute=7.00150057279266, mode=normal, start=Fri Jun 03 16:01:39 BST 2016, end=Fri Jun 03 16:05:39 BST 2016, operations=28.177252446738052, operationsPerMinute=7.044313111684513
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:06:28 BST 2016, end=Fri Jun 03 16:08:28 BST 2016, operations=67.90773708180008, operationsPerMinute=33.95386854090004, mode=normal, start=Fri Jun 03 16:08:40 BST 2016, end=Fri Jun 03 16:12:40 BST 2016, operations=136.54162986814177, operationsPerMinute=34.13540746703544
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 16:12:51 BST 2016, end=Fri Jun 03 16:14:51 BST 2016, operations=42.31471273916018, operationsPerMinute=21.15735636958009, mode=normal, start=Fri Jun 03 16:15:05 BST 2016, end=Fri Jun 03 16:19:05 BST 2016, operations=83.97358036269608, operationsPerMinute=20.99339509067402
benchmark-name=scimark.fft.small, mod=warmup, start=Fri Jun 03 16:19:19 BST 2016, end=Fri Jun 03 16:21:19 BST 2016, operations=693.1416797450073, operationsPerMinute=346.57083987250365, mode=normal, start=Fri Jun 03 16:21:20 BST 2016, end=Fri Jun 03 16:25:20 BST 2016, operations=1416.77779735108, operationsPerMinute=354.19444933777
benchmark-name=scimark.lu.small, mod=warmup, start=Fri Jun 03 16:25:21 BST 2016, end=Fri Jun 03 16:27:21 BST 2016, operations=553.2134903466955, operationsPerMinute=276.60674517334775, mode=normal, start=Fri Jun 03 16:27:22 BST 2016, end=Fri Jun 03 16:31:22 BST 2016, operations=1128.945672934276, operationsPerMinute=282.236418233569
benchmark-name=scimark.sor.small, mod=warmup, start=Fri Jun 03 16:31:24 BST 2016, end=Fri Jun 03 16:33:24 BST 2016, operations=331.78606271777, operationsPerMinute=165.893031358885, mode=normal, start=Fri Jun 03 16:33:26 BST 2016, end=Fri Jun 03 16:37:26 BST 2016, operations=664.9848732428211, operationsPerMinute=166.24621831070527
benchmark-name=scimark.sparse.small, mod=warmup, start=Fri Jun 03 16:37:29 BST 2016, end=Fri Jun 03 16:39:29 BST 2016, operations=515.6992856274651, operationsPerMinute=257.84964281373254, mode=normal, start=Fri Jun 03 16:39:30 BST 2016, end=Fri Jun 03 16:43:30 BST 2016, operations=1029.140724540845, operationsPerMinute=257.28518113521125
