spec.jvm2008.report.run.location=BEDSONTC058
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 04 08:26:49 BST 2016, end=Sat Jun 04 08:26:49 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 08:26:49 BST 2016, end=Sat Jun 04 08:26:49 BST 2016, operations=1.0, operationsPerMinute=350.87719298245617
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 08:26:49 BST 2016, end=Sat Jun 04 08:27:02 BST 2016, operations=1.0, operationsPerMinute=4.524886877828054
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 08:27:02 BST 2016, end=Sat Jun 04 08:27:05 BST 2016, operations=1.0, operationsPerMinute=17.969451931716083
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 08:27:05 BST 2016, end=Sat Jun 04 08:27:07 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 08:27:07 BST 2016, end=Sat Jun 04 08:27:15 BST 2016, operations=1.0, operationsPerMinute=7.082989021367017
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 08:27:15 BST 2016, end=Sat Jun 04 08:27:23 BST 2016, operations=1.0, operationsPerMinute=8.114687584527996
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 08:27:23 BST 2016, end=Sat Jun 04 08:27:29 BST 2016, operations=1.0, operationsPerMinute=9.027986758952753
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 08:27:29 BST 2016, end=Sat Jun 04 08:27:31 BST 2016, operations=1.0, operationsPerMinute=26.89376961004034
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 08:27:31 BST 2016, end=Sat Jun 04 08:27:32 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 08:27:32 BST 2016, end=Sat Jun 04 08:27:33 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 08:27:33 BST 2016, end=Sat Jun 04 08:27:39 BST 2016, operations=1.0, operationsPerMinute=10.95690284879474
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 08:27:39 BST 2016, end=Sat Jun 04 08:27:40 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 08:27:40 BST 2016, end=Sat Jun 04 08:27:41 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 08:27:41 BST 2016, end=Sat Jun 04 08:27:43 BST 2016, operations=1.0, operationsPerMinute=28.06361085126286
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 08:27:43 BST 2016, end=Sat Jun 04 08:27:50 BST 2016, operations=1.0, operationsPerMinute=9.267840593141798
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 08:27:50 BST 2016, end=Sat Jun 04 08:28:10 BST 2016, operations=1.0, operationsPerMinute=2.9884942969567168
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 08:28:10 BST 2016, end=Sat Jun 04 08:28:10 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 08:28:20 BST 2016, end=Sat Jun 04 08:30:20 BST 2016, operations=491.4096943140669, operationsPerMinute=245.70484715703344, mode=normal, start=Sat Jun 04 08:30:22 BST 2016, end=Sat Jun 04 08:34:22 BST 2016, operations=1011.2007725035825, operationsPerMinute=252.80019312589562
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 08:34:26 BST 2016, end=Sat Jun 04 08:36:26 BST 2016, operations=190.37846504758147, operationsPerMinute=95.18923252379074, mode=normal, start=Sat Jun 04 08:36:29 BST 2016, end=Sat Jun 04 08:40:29 BST 2016, operations=379.22797777595457, operationsPerMinute=94.80699444398864
benchmark-name=compress, mod=warmup, start=Sat Jun 04 08:40:33 BST 2016, end=Sat Jun 04 08:42:33 BST 2016, operations=401.57884086155644, operationsPerMinute=200.78942043077822, mode=normal, start=Sat Jun 04 08:42:34 BST 2016, end=Sat Jun 04 08:46:34 BST 2016, operations=805.683095324496, operationsPerMinute=201.420773831124
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 08:46:36 BST 2016, end=Sat Jun 04 08:48:36 BST 2016, operations=139.6492742852496, operationsPerMinute=69.8246371426248, mode=normal, start=Sat Jun 04 08:48:42 BST 2016, end=Sat Jun 04 08:52:42 BST 2016, operations=289.8539513658251, operationsPerMinute=72.46348784145627
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 08:52:48 BST 2016, end=Sat Jun 04 08:54:48 BST 2016, operations=238.10396968496661, operationsPerMinute=119.05198484248331, mode=normal, start=Sat Jun 04 08:54:50 BST 2016, end=Sat Jun 04 08:58:50 BST 2016, operations=477.66780837485203, operationsPerMinute=119.41695209371301
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 08:58:54 BST 2016, end=Sat Jun 04 09:00:54 BST 2016, operations=409.3532580841073, operationsPerMinute=204.67662904205366, mode=normal, start=Sat Jun 04 09:00:56 BST 2016, end=Sat Jun 04 09:04:56 BST 2016, operations=817.4255837640852, operationsPerMinute=204.3563959410213
benchmark-name=derby, mod=warmup, start=Sat Jun 04 09:05:19 BST 2016, end=Sat Jun 04 09:07:19 BST 2016, operations=346.87814543696896, operationsPerMinute=173.43907271848448, mode=normal, start=Sat Jun 04 09:07:21 BST 2016, end=Sat Jun 04 09:11:21 BST 2016, operations=722.7316321116141, operationsPerMinute=180.68290802790352
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 09:11:24 BST 2016, end=Sat Jun 04 09:13:24 BST 2016, operations=207.16126029776171, operationsPerMinute=103.58063014888086, mode=normal, start=Sat Jun 04 09:13:28 BST 2016, end=Sat Jun 04 09:17:28 BST 2016, operations=418.6984106684963, operationsPerMinute=104.67460266712408
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 09:17:31 BST 2016, end=Sat Jun 04 09:19:31 BST 2016, operations=71.13857628578755, operationsPerMinute=35.569288142893775, mode=normal, start=Sat Jun 04 09:19:37 BST 2016, end=Sat Jun 04 09:23:37 BST 2016, operations=150.69874981339902, operationsPerMinute=37.674687453349755
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 09:23:46 BST 2016, end=Sat Jun 04 09:25:46 BST 2016, operations=13.734618712644712, operationsPerMinute=6.867309356322356, mode=normal, start=Sat Jun 04 09:26:31 BST 2016, end=Sat Jun 04 09:30:31 BST 2016, operations=27.86787853825766, operationsPerMinute=6.966969634564415
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 09:31:13 BST 2016, end=Sat Jun 04 09:33:13 BST 2016, operations=74.66550057637315, operationsPerMinute=37.332750288186574, mode=normal, start=Sat Jun 04 09:33:22 BST 2016, end=Sat Jun 04 09:37:22 BST 2016, operations=147.93167577323987, operationsPerMinute=36.98291894330997
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 09:37:34 BST 2016, end=Sat Jun 04 09:39:34 BST 2016, operations=43.13899278264495, operationsPerMinute=21.569496391322474, mode=normal, start=Sat Jun 04 09:39:44 BST 2016, end=Sat Jun 04 09:43:44 BST 2016, operations=85.93884947695597, operationsPerMinute=21.48471236923899
benchmark-name=scimark.fft.small, mod=warmup, start=Sat Jun 04 09:43:58 BST 2016, end=Sat Jun 04 09:45:58 BST 2016, operations=482.2297497365822, operationsPerMinute=241.1148748682911, mode=normal, start=Sat Jun 04 09:46:00 BST 2016, end=Sat Jun 04 09:50:00 BST 2016, operations=854.1305612138931, operationsPerMinute=213.53264030347327
benchmark-name=scimark.lu.small, mod=warmup, start=Sat Jun 04 09:50:02 BST 2016, end=Sat Jun 04 09:52:02 BST 2016, operations=573.3208337328583, operationsPerMinute=286.66041686642916, mode=normal, start=Sat Jun 04 09:52:03 BST 2016, end=Sat Jun 04 09:56:03 BST 2016, operations=1146.3494443894597, operationsPerMinute=286.5873610973649
benchmark-name=scimark.sor.small, mod=warmup, start=Sat Jun 04 09:56:05 BST 2016, end=Sat Jun 04 09:58:05 BST 2016, operations=332.29268292682923, operationsPerMinute=166.14634146341461, mode=normal, start=Sat Jun 04 09:58:07 BST 2016, end=Sat Jun 04 10:02:07 BST 2016, operations=665.2503218970954, operationsPerMinute=166.31258047427386
benchmark-name=scimark.sparse.small, mod=warmup, start=Sat Jun 04 10:02:09 BST 2016, end=Sat Jun 04 10:04:09 BST 2016, operations=495.50411032207836, operationsPerMinute=247.75205516103918, mode=normal, start=Sat Jun 04 10:04:11 BST 2016, end=Sat Jun 04 10:08:11 BST 2016, operations=995.3554560260586, operationsPerMinute=248.83886400651465
