spec.jvm2008.report.run.location=BEDSONTC046
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 04 16:06:18 BST 2016, end=Sat Jun 04 16:06:18 BST 2016, operations=1.0, operationsPerMinute=1428.5714285714287
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 16:06:18 BST 2016, end=Sat Jun 04 16:06:18 BST 2016, operations=1.0, operationsPerMinute=594.059405940594
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 16:06:18 BST 2016, end=Sat Jun 04 16:06:31 BST 2016, operations=1.0, operationsPerMinute=4.506872981296477
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 16:06:31 BST 2016, end=Sat Jun 04 16:06:35 BST 2016, operations=1.0, operationsPerMinute=17.81472684085511
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 16:06:35 BST 2016, end=Sat Jun 04 16:06:36 BST 2016, operations=1.0, operationsPerMinute=45.87155963302752
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 16:06:36 BST 2016, end=Sat Jun 04 16:06:44 BST 2016, operations=1.0, operationsPerMinute=7.1890726096333575
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 16:06:44 BST 2016, end=Sat Jun 04 16:06:51 BST 2016, operations=1.0, operationsPerMinute=8.250825082508252
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 16:06:51 BST 2016, end=Sat Jun 04 16:06:58 BST 2016, operations=1.0, operationsPerMinute=9.283614420547734
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 16:06:58 BST 2016, end=Sat Jun 04 16:07:00 BST 2016, operations=1.0, operationsPerMinute=25.380710659898476
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 16:07:00 BST 2016, end=Sat Jun 04 16:07:01 BST 2016, operations=1.0, operationsPerMinute=79.7872340425532
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 16:07:01 BST 2016, end=Sat Jun 04 16:07:02 BST 2016, operations=1.0, operationsPerMinute=64.51612903225806
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 16:07:02 BST 2016, end=Sat Jun 04 16:07:08 BST 2016, operations=1.0, operationsPerMinute=10.54481546572935
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 16:07:08 BST 2016, end=Sat Jun 04 16:07:09 BST 2016, operations=1.0, operationsPerMinute=40.56795131845842
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 16:07:09 BST 2016, end=Sat Jun 04 16:07:10 BST 2016, operations=1.0, operationsPerMinute=58.36575875486381
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 16:07:10 BST 2016, end=Sat Jun 04 16:07:12 BST 2016, operations=1.0, operationsPerMinute=27.285129604365622
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 16:07:12 BST 2016, end=Sat Jun 04 16:07:19 BST 2016, operations=1.0, operationsPerMinute=9.671179883945841
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 16:07:19 BST 2016, end=Sat Jun 04 16:07:39 BST 2016, operations=1.0, operationsPerMinute=2.9748624126134167
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 16:07:39 BST 2016, end=Sat Jun 04 16:07:40 BST 2016, operations=1.0, operationsPerMinute=72.11538461538461
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 16:07:50 BST 2016, end=Sat Jun 04 16:09:50 BST 2016, operations=478.49690089911513, operationsPerMinute=239.24845044955757, mode=normal, start=Sat Jun 04 16:09:51 BST 2016, end=Sat Jun 04 16:13:51 BST 2016, operations=984.7804676332797, operationsPerMinute=246.19511690831993
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 16:13:55 BST 2016, end=Sat Jun 04 16:15:55 BST 2016, operations=192.53503697455665, operationsPerMinute=96.26751848727832, mode=normal, start=Sat Jun 04 16:15:59 BST 2016, end=Sat Jun 04 16:19:59 BST 2016, operations=379.1128656432726, operationsPerMinute=94.77821641081815
benchmark-name=compress, mod=warmup, start=Sat Jun 04 16:20:03 BST 2016, end=Sat Jun 04 16:22:03 BST 2016, operations=396.22626246243846, operationsPerMinute=198.11313123121923, mode=normal, start=Sat Jun 04 16:22:05 BST 2016, end=Sat Jun 04 16:26:05 BST 2016, operations=792.9454097098538, operationsPerMinute=198.23635242746346
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 16:26:07 BST 2016, end=Sat Jun 04 16:28:07 BST 2016, operations=138.86991786168332, operationsPerMinute=69.43495893084166, mode=normal, start=Sat Jun 04 16:28:12 BST 2016, end=Sat Jun 04 16:32:12 BST 2016, operations=290.78614705033885, operationsPerMinute=72.69653676258471
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 16:32:18 BST 2016, end=Sat Jun 04 16:34:18 BST 2016, operations=233.03811368964134, operationsPerMinute=116.51905684482067, mode=normal, start=Sat Jun 04 16:34:21 BST 2016, end=Sat Jun 04 16:38:21 BST 2016, operations=465.7087438883453, operationsPerMinute=116.42718597208632
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 16:38:24 BST 2016, end=Sat Jun 04 16:40:24 BST 2016, operations=404.3272403878343, operationsPerMinute=202.16362019391715, mode=normal, start=Sat Jun 04 16:40:26 BST 2016, end=Sat Jun 04 16:44:26 BST 2016, operations=809.8478589066341, operationsPerMinute=202.46196472665852
benchmark-name=derby, mod=warmup, start=Sat Jun 04 16:44:49 BST 2016, end=Sat Jun 04 16:46:49 BST 2016, operations=357.77420209229933, operationsPerMinute=178.88710104614967, mode=normal, start=Sat Jun 04 16:46:51 BST 2016, end=Sat Jun 04 16:50:51 BST 2016, operations=712.7067037729734, operationsPerMinute=178.17667594324334
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 16:50:53 BST 2016, end=Sat Jun 04 16:52:53 BST 2016, operations=206.81150154810763, operationsPerMinute=103.40575077405381, mode=normal, start=Sat Jun 04 16:52:56 BST 2016, end=Sat Jun 04 16:56:56 BST 2016, operations=414.06722767886725, operationsPerMinute=103.51680691971681
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 16:57:00 BST 2016, end=Sat Jun 04 16:59:00 BST 2016, operations=72.82590471354253, operationsPerMinute=36.412952356771264, mode=normal, start=Sat Jun 04 16:59:09 BST 2016, end=Sat Jun 04 17:03:09 BST 2016, operations=146.12621827207326, operationsPerMinute=36.531554568018315
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 17:03:17 BST 2016, end=Sat Jun 04 17:05:17 BST 2016, operations=13.78747768766265, operationsPerMinute=6.893738843831325, mode=normal, start=Sat Jun 04 17:06:02 BST 2016, end=Sat Jun 04 17:10:02 BST 2016, operations=27.68885137048303, operationsPerMinute=6.922212842620757
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 17:10:31 BST 2016, end=Sat Jun 04 17:12:31 BST 2016, operations=66.01683621946363, operationsPerMinute=33.008418109731814, mode=normal, start=Sat Jun 04 17:12:41 BST 2016, end=Sat Jun 04 17:16:41 BST 2016, operations=147.2559055544632, operationsPerMinute=36.8139763886158
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 17:16:50 BST 2016, end=Sat Jun 04 17:18:50 BST 2016, operations=42.262588809031236, operationsPerMinute=21.131294404515618, mode=normal, start=Sat Jun 04 17:19:04 BST 2016, end=Sat Jun 04 17:23:04 BST 2016, operations=84.48668072124784, operationsPerMinute=21.12167018031196
