spec.jvm2008.report.run.location=NIDD66
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:20:48 BST 2016, end=Thu May 26 14:20:48 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:20:48 BST 2016, end=Thu May 26 14:20:48 BST 2016, operations=1.0, operationsPerMinute=101.1804384485666
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:20:48 BST 2016, end=Thu May 26 14:21:06 BST 2016, operations=1.0, operationsPerMinute=3.375907275080178
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:21:06 BST 2016, end=Thu May 26 14:21:11 BST 2016, operations=1.0, operationsPerMinute=12.906001290600129
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:21:11 BST 2016, end=Thu May 26 14:21:12 BST 2016, operations=1.0, operationsPerMinute=42.704626334519574
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:21:12 BST 2016, end=Thu May 26 14:21:22 BST 2016, operations=1.0, operationsPerMinute=6.430868167202572
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:21:22 BST 2016, end=Thu May 26 14:21:30 BST 2016, operations=1.0, operationsPerMinute=7.62970498474059
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:21:30 BST 2016, end=Thu May 26 14:21:36 BST 2016, operations=1.0, operationsPerMinute=8.798944126704795
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:21:36 BST 2016, end=Thu May 26 14:21:39 BST 2016, operations=1.0, operationsPerMinute=22.099447513812155
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:21:39 BST 2016, end=Thu May 26 14:21:40 BST 2016, operations=1.0, operationsPerMinute=65.21739130434783
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:21:40 BST 2016, end=Thu May 26 14:21:41 BST 2016, operations=1.0, operationsPerMinute=54.151624548736464
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:21:41 BST 2016, end=Thu May 26 14:21:47 BST 2016, operations=1.0, operationsPerMinute=9.759271307742356
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:21:47 BST 2016, end=Thu May 26 14:21:49 BST 2016, operations=1.0, operationsPerMinute=38.46153846153846
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:21:49 BST 2016, end=Thu May 26 14:21:50 BST 2016, operations=1.0, operationsPerMinute=52.63157894736842
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:21:50 BST 2016, end=Thu May 26 14:21:53 BST 2016, operations=1.0, operationsPerMinute=22.115739034279397
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:21:53 BST 2016, end=Thu May 26 14:22:00 BST 2016, operations=1.0, operationsPerMinute=8.526360665056131
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:22:00 BST 2016, end=Thu May 26 14:22:25 BST 2016, operations=1.0, operationsPerMinute=2.3305496212856864
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:22:25 BST 2016, end=Thu May 26 14:22:27 BST 2016, operations=1.0, operationsPerMinute=46.33204633204633
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:22:39 BST 2016, end=Thu May 26 14:24:39 BST 2016, operations=396.8136601869705, operationsPerMinute=198.40683009348524, mode=normal, start=Thu May 26 14:24:41 BST 2016, end=Thu May 26 14:28:41 BST 2016, operations=819.664709268662, operationsPerMinute=204.9161773171655
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:28:46 BST 2016, end=Thu May 26 14:30:46 BST 2016, operations=161.80533985060163, operationsPerMinute=80.90266992530081, mode=normal, start=Thu May 26 14:30:50 BST 2016, end=Thu May 26 14:34:50 BST 2016, operations=304.92165040531665, operationsPerMinute=76.23041260132916
benchmark-name=compress, mod=warmup, start=Thu May 26 14:34:54 BST 2016, end=Thu May 26 14:36:54 BST 2016, operations=343.1237433445903, operationsPerMinute=171.56187167229515, mode=normal, start=Thu May 26 14:36:56 BST 2016, end=Thu May 26 14:40:56 BST 2016, operations=599.7798186254091, operationsPerMinute=149.94495465635228
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:40:59 BST 2016, end=Thu May 26 14:42:59 BST 2016, operations=115.89362078079003, operationsPerMinute=57.946810390395015, mode=normal, start=Thu May 26 14:43:06 BST 2016, end=Thu May 26 14:47:06 BST 2016, operations=243.35485832844844, operationsPerMinute=60.83871458211211
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:47:13 BST 2016, end=Thu May 26 14:49:13 BST 2016, operations=205.56943963968837, operationsPerMinute=102.78471981984418, mode=normal, start=Thu May 26 14:49:17 BST 2016, end=Thu May 26 14:53:17 BST 2016, operations=282.69021811090374, operationsPerMinute=70.67255452772594
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:54:49 BST 2016, end=Thu May 26 14:56:49 BST 2016, operations=306.10133495965846, operationsPerMinute=153.05066747982923, mode=normal, start=Thu May 26 14:56:52 BST 2016, end=Thu May 26 15:00:52 BST 2016, operations=652.0775981114967, operationsPerMinute=163.01939952787419
benchmark-name=derby, mod=warmup, start=Thu May 26 15:02:08 BST 2016, end=Thu May 26 15:04:08 BST 2016, operations=253.01175022163264, operationsPerMinute=126.50587511081632, mode=normal, start=Thu May 26 15:04:11 BST 2016, end=Thu May 26 15:08:11 BST 2016, operations=510.6647829548233, operationsPerMinute=127.66619573870582
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:08:14 BST 2016, end=Thu May 26 15:10:14 BST 2016, operations=171.34822651485604, operationsPerMinute=85.67411325742802, mode=normal, start=Thu May 26 15:10:19 BST 2016, end=Thu May 26 15:14:19 BST 2016, operations=341.38418686666046, operationsPerMinute=85.34604671666511
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:14:23 BST 2016, end=Thu May 26 15:16:23 BST 2016, operations=66.53475721929347, operationsPerMinute=33.267378609646734, mode=normal, start=Thu May 26 15:16:44 BST 2016, end=Thu May 26 15:20:44 BST 2016, operations=126.56573615181924, operationsPerMinute=31.64143403795481
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:20:53 BST 2016, end=Thu May 26 15:22:53 BST 2016, operations=11.978924732081786, operationsPerMinute=5.989462366040893, mode=normal, start=Thu May 26 15:23:41 BST 2016, end=Thu May 26 15:27:41 BST 2016, operations=24.596239785274694, operationsPerMinute=6.1490599463186735
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:28:33 BST 2016, end=Thu May 26 15:30:33 BST 2016, operations=62.16712439978278, operationsPerMinute=31.08356219989139, mode=normal, start=Thu May 26 15:30:44 BST 2016, end=Thu May 26 15:34:44 BST 2016, operations=125.99676660043056, operationsPerMinute=31.49919165010764
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:34:56 BST 2016, end=Thu May 26 15:36:56 BST 2016, operations=38.880308740080324, operationsPerMinute=19.440154370040162, mode=normal, start=Thu May 26 15:37:12 BST 2016, end=Thu May 26 15:41:12 BST 2016, operations=58.47946719071908, operationsPerMinute=14.61986679767977
