spec.jvm2008.report.run.location=HOPE11
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Fri Jun 24 03:50:37 BST 2016, end=Fri Jun 24 03:50:37 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 03:50:37 BST 2016, end=Fri Jun 24 03:50:38 BST 2016, operations=1.0, operationsPerMinute=109.89010989010988
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 03:50:38 BST 2016, end=Fri Jun 24 03:51:05 BST 2016, operations=1.0, operationsPerMinute=2.2091310751104567
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 03:51:05 BST 2016, end=Fri Jun 24 03:51:10 BST 2016, operations=1.0, operationsPerMinute=10.714285714285714
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 03:51:10 BST 2016, end=Fri Jun 24 03:51:12 BST 2016, operations=1.0, operationsPerMinute=34.03289846851957
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 03:51:12 BST 2016, end=Fri Jun 24 03:51:23 BST 2016, operations=1.0, operationsPerMinute=5.525879535826119
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 03:51:23 BST 2016, end=Fri Jun 24 03:51:32 BST 2016, operations=1.0, operationsPerMinute=6.389095942924076
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 03:51:32 BST 2016, end=Fri Jun 24 03:51:40 BST 2016, operations=1.0, operationsPerMinute=8.028904054596548
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 03:51:40 BST 2016, end=Fri Jun 24 03:51:43 BST 2016, operations=1.0, operationsPerMinute=17.809439002671414
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 03:51:43 BST 2016, end=Fri Jun 24 03:51:44 BST 2016, operations=1.0, operationsPerMinute=59.171597633136095
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 03:51:44 BST 2016, end=Fri Jun 24 03:51:46 BST 2016, operations=1.0, operationsPerMinute=44.70938897168406
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 03:51:46 BST 2016, end=Fri Jun 24 03:51:53 BST 2016, operations=1.0, operationsPerMinute=8.218052321599782
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 03:51:53 BST 2016, end=Fri Jun 24 03:51:55 BST 2016, operations=1.0, operationsPerMinute=32.05128205128205
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 03:51:55 BST 2016, end=Fri Jun 24 03:51:56 BST 2016, operations=1.0, operationsPerMinute=38.46153846153846
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 03:51:56 BST 2016, end=Fri Jun 24 03:52:00 BST 2016, operations=1.0, operationsPerMinute=17.725258493353028
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 03:52:00 BST 2016, end=Fri Jun 24 03:52:08 BST 2016, operations=1.0, operationsPerMinute=7.555723460521345
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 03:52:08 BST 2016, end=Fri Jun 24 03:52:37 BST 2016, operations=1.0, operationsPerMinute=2.053458366131627
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 03:52:37 BST 2016, end=Fri Jun 24 03:52:38 BST 2016, operations=1.0, operationsPerMinute=47.50593824228029
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 03:52:55 BST 2016, end=Fri Jun 24 03:54:55 BST 2016, operations=355.5181640918289, operationsPerMinute=177.75908204591445, mode=normal, start=Fri Jun 24 03:54:56 BST 2016, end=Fri Jun 24 03:58:56 BST 2016, operations=717.4552723620078, operationsPerMinute=179.36381809050195
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 03:59:03 BST 2016, end=Fri Jun 24 04:01:03 BST 2016, operations=140.8310130565843, operationsPerMinute=70.41550652829216, mode=normal, start=Fri Jun 24 04:01:08 BST 2016, end=Fri Jun 24 04:05:08 BST 2016, operations=280.1203366669462, operationsPerMinute=70.03008416673654
benchmark-name=compress, mod=warmup, start=Fri Jun 24 04:05:14 BST 2016, end=Fri Jun 24 04:07:14 BST 2016, operations=265.1910936560903, operationsPerMinute=132.59554682804514, mode=normal, start=Fri Jun 24 04:07:17 BST 2016, end=Fri Jun 24 04:11:17 BST 2016, operations=533.7450538294802, operationsPerMinute=133.43626345737005
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 04:11:20 BST 2016, end=Fri Jun 24 04:13:20 BST 2016, operations=85.12083693764794, operationsPerMinute=42.56041846882397, mode=normal, start=Fri Jun 24 04:13:28 BST 2016, end=Fri Jun 24 04:17:28 BST 2016, operations=179.8616517164127, operationsPerMinute=44.965412929103174
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 04:17:37 BST 2016, end=Fri Jun 24 04:19:37 BST 2016, operations=145.52998787555148, operationsPerMinute=72.76499393777574, mode=normal, start=Fri Jun 24 04:19:41 BST 2016, end=Fri Jun 24 04:23:41 BST 2016, operations=291.49468340848927, operationsPerMinute=72.87367085212232
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 04:23:47 BST 2016, end=Fri Jun 24 04:25:47 BST 2016, operations=250.51740871972697, operationsPerMinute=125.25870435986349, mode=normal, start=Fri Jun 24 04:25:50 BST 2016, end=Fri Jun 24 04:29:50 BST 2016, operations=500.66112826079745, operationsPerMinute=125.16528206519936
benchmark-name=derby, mod=warmup, start=Fri Jun 24 04:31:19 BST 2016, end=Fri Jun 24 04:33:19 BST 2016, operations=202.55846515263693, operationsPerMinute=101.27923257631846, mode=normal, start=Fri Jun 24 04:33:22 BST 2016, end=Fri Jun 24 04:37:22 BST 2016, operations=404.28913896014916, operationsPerMinute=101.07228474003729
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 04:37:26 BST 2016, end=Fri Jun 24 04:39:26 BST 2016, operations=133.79372302063132, operationsPerMinute=66.89686151031566, mode=normal, start=Fri Jun 24 04:39:31 BST 2016, end=Fri Jun 24 04:43:31 BST 2016, operations=266.07282813516326, operationsPerMinute=66.51820703379082
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 04:43:36 BST 2016, end=Fri Jun 24 04:45:36 BST 2016, operations=59.42348037362456, operationsPerMinute=29.71174018681228, mode=normal, start=Fri Jun 24 04:45:44 BST 2016, end=Fri Jun 24 04:49:44 BST 2016, operations=117.71410826911087, operationsPerMinute=29.428527067277717
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 04:49:55 BST 2016, end=Fri Jun 24 04:51:55 BST 2016, operations=11.529057774367281, operationsPerMinute=5.764528887183641, mode=normal, start=Fri Jun 24 04:52:31 BST 2016, end=Fri Jun 24 04:56:31 BST 2016, operations=22.92277536116511, operationsPerMinute=5.730693840291278
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 04:57:14 BST 2016, end=Fri Jun 24 04:59:14 BST 2016, operations=54.854811636049725, operationsPerMinute=27.427405818024862, mode=normal, start=Fri Jun 24 04:59:25 BST 2016, end=Fri Jun 24 05:03:25 BST 2016, operations=109.8357650341574, operationsPerMinute=27.45894125853935
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 05:03:38 BST 2016, end=Fri Jun 24 05:05:38 BST 2016, operations=37.11970021202188, operationsPerMinute=18.55985010601094, mode=normal, start=Fri Jun 24 05:05:54 BST 2016, end=Fri Jun 24 05:09:54 BST 2016, operations=74.24568268795171, operationsPerMinute=18.56142067198793
