spec.jvm2008.report.run.location=PERCY002
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jun 27 00:05:06 BST 2016, end=Mon Jun 27 00:05:06 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Mon Jun 27 00:05:06 BST 2016, end=Mon Jun 27 00:05:06 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jun 27 00:05:06 BST 2016, end=Mon Jun 27 00:05:19 BST 2016, operations=1.0, operationsPerMinute=4.748338081671415
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jun 27 00:05:19 BST 2016, end=Mon Jun 27 00:05:22 BST 2016, operations=1.0, operationsPerMinute=18.58160421183029
benchmark-name=startup.compress, mode=normal, start=Mon Jun 27 00:05:22 BST 2016, end=Mon Jun 27 00:05:23 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jun 27 00:05:23 BST 2016, end=Mon Jun 27 00:05:32 BST 2016, operations=1.0, operationsPerMinute=7.057163020465773
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jun 27 00:05:32 BST 2016, end=Mon Jun 27 00:05:39 BST 2016, operations=1.0, operationsPerMinute=7.995735607675906
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jun 27 00:05:39 BST 2016, end=Mon Jun 27 00:05:46 BST 2016, operations=1.0, operationsPerMinute=9.223674096848578
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jun 27 00:05:46 BST 2016, end=Mon Jun 27 00:05:48 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jun 27 00:05:48 BST 2016, end=Mon Jun 27 00:05:49 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jun 27 00:05:49 BST 2016, end=Mon Jun 27 00:05:50 BST 2016, operations=1.0, operationsPerMinute=67.41573033707866
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jun 27 00:05:50 BST 2016, end=Mon Jun 27 00:05:55 BST 2016, operations=1.0, operationsPerMinute=10.926971407758149
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jun 27 00:05:55 BST 2016, end=Mon Jun 27 00:05:57 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jun 27 00:05:57 BST 2016, end=Mon Jun 27 00:05:58 BST 2016, operations=1.0, operationsPerMinute=61.09979633401222
benchmark-name=startup.serial, mode=normal, start=Mon Jun 27 00:05:58 BST 2016, end=Mon Jun 27 00:06:00 BST 2016, operations=1.0, operationsPerMinute=27.86809103576405
benchmark-name=startup.sunflow, mode=normal, start=Mon Jun 27 00:06:00 BST 2016, end=Mon Jun 27 00:06:06 BST 2016, operations=1.0, operationsPerMinute=9.357454772301933
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jun 27 00:06:06 BST 2016, end=Mon Jun 27 00:06:26 BST 2016, operations=1.0, operationsPerMinute=3.01901982489685
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jun 27 00:06:26 BST 2016, end=Mon Jun 27 00:06:27 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jun 27 00:06:37 BST 2016, end=Mon Jun 27 00:08:37 BST 2016, operations=490.5627775642083, operationsPerMinute=245.28138878210416, mode=normal, start=Mon Jun 27 00:08:38 BST 2016, end=Mon Jun 27 00:12:38 BST 2016, operations=1004.4486614215218, operationsPerMinute=251.11216535538045
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jun 27 00:12:42 BST 2016, end=Mon Jun 27 00:14:42 BST 2016, operations=200.22020543000636, operationsPerMinute=100.11010271500318, mode=normal, start=Mon Jun 27 00:14:45 BST 2016, end=Mon Jun 27 00:18:45 BST 2016, operations=398.4243176156751, operationsPerMinute=99.60607940391877
benchmark-name=compress, mod=warmup, start=Mon Jun 27 00:18:48 BST 2016, end=Mon Jun 27 00:20:48 BST 2016, operations=396.90078180535664, operationsPerMinute=198.45039090267832, mode=normal, start=Mon Jun 27 00:20:49 BST 2016, end=Mon Jun 27 00:24:49 BST 2016, operations=799.9390223769583, operationsPerMinute=199.98475559423957
benchmark-name=crypto.aes, mod=warmup, start=Mon Jun 27 00:24:51 BST 2016, end=Mon Jun 27 00:26:51 BST 2016, operations=139.93093786375704, operationsPerMinute=69.96546893187852, mode=normal, start=Mon Jun 27 00:26:57 BST 2016, end=Mon Jun 27 00:30:57 BST 2016, operations=295.11056714649385, operationsPerMinute=73.77764178662346
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jun 27 00:31:04 BST 2016, end=Mon Jun 27 00:33:04 BST 2016, operations=233.89239281444807, operationsPerMinute=116.94619640722404, mode=normal, start=Mon Jun 27 00:33:07 BST 2016, end=Mon Jun 27 00:37:07 BST 2016, operations=467.6320132672896, operationsPerMinute=116.9080033168224
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jun 27 00:37:11 BST 2016, end=Mon Jun 27 00:39:11 BST 2016, operations=407.68619495834685, operationsPerMinute=203.84309747917342, mode=normal, start=Mon Jun 27 00:39:13 BST 2016, end=Mon Jun 27 00:43:13 BST 2016, operations=815.8667841994992, operationsPerMinute=203.9666960498748
benchmark-name=derby, mod=warmup, start=Mon Jun 27 00:43:35 BST 2016, end=Mon Jun 27 00:45:35 BST 2016, operations=362.2462359233943, operationsPerMinute=181.12311796169715, mode=normal, start=Mon Jun 27 00:45:37 BST 2016, end=Mon Jun 27 00:49:37 BST 2016, operations=729.0152671755725, operationsPerMinute=182.25381679389312
benchmark-name=mpegaudio, mod=warmup, start=Mon Jun 27 00:49:39 BST 2016, end=Mon Jun 27 00:51:39 BST 2016, operations=207.3577760050098, operationsPerMinute=103.6788880025049, mode=normal, start=Mon Jun 27 00:51:44 BST 2016, end=Mon Jun 27 00:55:44 BST 2016, operations=415.7225893599845, operationsPerMinute=103.93064733999613
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jun 27 00:55:47 BST 2016, end=Mon Jun 27 00:57:47 BST 2016, operations=79.0998695005324, operationsPerMinute=39.5499347502662, mode=normal, start=Mon Jun 27 00:57:55 BST 2016, end=Mon Jun 27 01:01:55 BST 2016, operations=157.53922570365896, operationsPerMinute=39.38480642591474
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jun 27 01:02:04 BST 2016, end=Mon Jun 27 01:04:04 BST 2016, operations=13.853335106622092, operationsPerMinute=6.926667553311046, mode=normal, start=Mon Jun 27 01:04:48 BST 2016, end=Mon Jun 27 01:08:48 BST 2016, operations=27.887026289310413, operationsPerMinute=6.971756572327603
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jun 27 01:09:31 BST 2016, end=Mon Jun 27 01:11:31 BST 2016, operations=74.55288779023331, operationsPerMinute=37.27644389511666, mode=normal, start=Mon Jun 27 01:11:39 BST 2016, end=Mon Jun 27 01:15:39 BST 2016, operations=149.32729477501556, operationsPerMinute=37.33182369375389
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jun 27 01:15:49 BST 2016, end=Mon Jun 27 01:17:49 BST 2016, operations=43.11520860565929, operationsPerMinute=21.557604302829645, mode=normal, start=Mon Jun 27 01:17:59 BST 2016, end=Mon Jun 27 01:21:59 BST 2016, operations=86.53000808425517, operationsPerMinute=21.632502021063793
benchmark-name=scimark.fft.small, mod=warmup, start=Mon Jun 27 01:22:15 BST 2016, end=Mon Jun 27 01:24:15 BST 2016, operations=740.8863960113961, operationsPerMinute=370.44319800569804, mode=normal, start=Mon Jun 27 01:24:15 BST 2016, end=Mon Jun 27 01:28:15 BST 2016, operations=1422.4088931826655, operationsPerMinute=355.60222329566636
benchmark-name=scimark.lu.small, mod=warmup, start=Mon Jun 27 01:28:17 BST 2016, end=Mon Jun 27 01:30:17 BST 2016, operations=576.5603549516218, operationsPerMinute=288.2801774758109, mode=normal, start=Mon Jun 27 01:30:18 BST 2016, end=Mon Jun 27 01:34:18 BST 2016, operations=1151.0801412529822, operationsPerMinute=287.77003531324556
