spec.jvm2008.report.run.location=PERCY002
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 26 12:56:25 BST 2016, end=Sun Jun 26 12:56:25 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 26 12:56:25 BST 2016, end=Sun Jun 26 12:56:25 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 26 12:56:25 BST 2016, end=Sun Jun 26 12:56:38 BST 2016, operations=1.0, operationsPerMinute=4.69630557294928
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 26 12:56:38 BST 2016, end=Sun Jun 26 12:56:41 BST 2016, operations=1.0, operationsPerMinute=18.48998459167951
benchmark-name=startup.compress, mode=normal, start=Sun Jun 26 12:56:41 BST 2016, end=Sun Jun 26 12:56:43 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 26 12:56:43 BST 2016, end=Sun Jun 26 12:56:51 BST 2016, operations=1.0, operationsPerMinute=7.09639266706091
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 26 12:56:51 BST 2016, end=Sun Jun 26 12:56:59 BST 2016, operations=1.0, operationsPerMinute=7.947019867549669
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 26 12:56:59 BST 2016, end=Sun Jun 26 12:57:05 BST 2016, operations=1.0, operationsPerMinute=9.114385538508278
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 26 12:57:05 BST 2016, end=Sun Jun 26 12:57:07 BST 2016, operations=1.0, operationsPerMinute=26.7022696929239
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 26 12:57:07 BST 2016, end=Sun Jun 26 12:57:08 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 26 12:57:08 BST 2016, end=Sun Jun 26 12:57:09 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 26 12:57:09 BST 2016, end=Sun Jun 26 12:57:15 BST 2016, operations=1.0, operationsPerMinute=10.834236186348862
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 26 12:57:15 BST 2016, end=Sun Jun 26 12:57:16 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 26 12:57:16 BST 2016, end=Sun Jun 26 12:57:17 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.serial, mode=normal, start=Sun Jun 26 12:57:17 BST 2016, end=Sun Jun 26 12:57:19 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 26 12:57:19 BST 2016, end=Sun Jun 26 12:57:25 BST 2016, operations=1.0, operationsPerMinute=9.404388714733543
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 26 12:57:25 BST 2016, end=Sun Jun 26 12:57:45 BST 2016, operations=1.0, operationsPerMinute=2.9977516862353233
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 26 12:57:45 BST 2016, end=Sun Jun 26 12:57:46 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 26 12:57:56 BST 2016, end=Sun Jun 26 12:59:56 BST 2016, operations=485.8876844436425, operationsPerMinute=242.94384222182126, mode=normal, start=Sun Jun 26 12:59:58 BST 2016, end=Sun Jun 26 13:03:58 BST 2016, operations=965.1761043308438, operationsPerMinute=241.29402608271096
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 26 13:04:01 BST 2016, end=Sun Jun 26 13:06:01 BST 2016, operations=197.5037419570556, operationsPerMinute=98.7518709785278, mode=normal, start=Sun Jun 26 13:06:04 BST 2016, end=Sun Jun 26 13:10:04 BST 2016, operations=393.3154937434673, operationsPerMinute=98.32887343586683
benchmark-name=compress, mod=warmup, start=Sun Jun 26 13:10:08 BST 2016, end=Sun Jun 26 13:12:08 BST 2016, operations=401.1574110858901, operationsPerMinute=200.57870554294504, mode=normal, start=Sun Jun 26 13:12:10 BST 2016, end=Sun Jun 26 13:16:10 BST 2016, operations=801.0032315985836, operationsPerMinute=200.2508078996459
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 26 13:16:12 BST 2016, end=Sun Jun 26 13:18:12 BST 2016, operations=140.1007118977853, operationsPerMinute=70.05035594889264, mode=normal, start=Sun Jun 26 13:18:17 BST 2016, end=Sun Jun 26 13:22:17 BST 2016, operations=294.8152416564438, operationsPerMinute=73.70381041411095
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 26 13:22:22 BST 2016, end=Sun Jun 26 13:24:22 BST 2016, operations=235.67497508992216, operationsPerMinute=117.83748754496108, mode=normal, start=Sun Jun 26 13:24:26 BST 2016, end=Sun Jun 26 13:28:26 BST 2016, operations=471.3553940775667, operationsPerMinute=117.83884851939168
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 26 13:28:30 BST 2016, end=Sun Jun 26 13:30:30 BST 2016, operations=407.5743589743589, operationsPerMinute=203.78717948717946, mode=normal, start=Sun Jun 26 13:30:32 BST 2016, end=Sun Jun 26 13:34:32 BST 2016, operations=815.6660692698061, operationsPerMinute=203.91651731745154
benchmark-name=derby, mod=warmup, start=Sun Jun 26 13:34:54 BST 2016, end=Sun Jun 26 13:36:54 BST 2016, operations=362.9731734416032, operationsPerMinute=181.4865867208016, mode=normal, start=Sun Jun 26 13:36:57 BST 2016, end=Sun Jun 26 13:40:57 BST 2016, operations=725.5585927742411, operationsPerMinute=181.38964819356028
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 26 13:40:59 BST 2016, end=Sun Jun 26 13:42:59 BST 2016, operations=208.03353282525876, operationsPerMinute=104.01676641262938, mode=normal, start=Sun Jun 26 13:43:03 BST 2016, end=Sun Jun 26 13:47:03 BST 2016, operations=415.6788401491657, operationsPerMinute=103.91971003729142
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 26 13:47:07 BST 2016, end=Sun Jun 26 13:49:07 BST 2016, operations=72.552385447257, operationsPerMinute=36.2761927236285, mode=normal, start=Sun Jun 26 13:49:15 BST 2016, end=Sun Jun 26 13:53:15 BST 2016, operations=153.4057203034986, operationsPerMinute=38.35143007587465
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 26 13:53:23 BST 2016, end=Sun Jun 26 13:55:23 BST 2016, operations=13.84038653609374, operationsPerMinute=6.92019326804687, mode=normal, start=Sun Jun 26 13:56:07 BST 2016, end=Sun Jun 26 14:00:07 BST 2016, operations=27.858264046724752, operationsPerMinute=6.964566011681188
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 26 14:00:43 BST 2016, end=Sun Jun 26 14:02:43 BST 2016, operations=74.63808973887416, operationsPerMinute=37.31904486943708, mode=normal, start=Sun Jun 26 14:02:51 BST 2016, end=Sun Jun 26 14:06:51 BST 2016, operations=149.1545101199214, operationsPerMinute=37.28862752998035
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 26 14:07:01 BST 2016, end=Sun Jun 26 14:09:01 BST 2016, operations=43.3229717804955, operationsPerMinute=21.66148589024775, mode=normal, start=Sun Jun 26 14:09:14 BST 2016, end=Sun Jun 26 14:13:14 BST 2016, operations=86.23747482938131, operationsPerMinute=21.559368707345328
