spec.jvm2008.report.run.location=GREY-02
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jul 04 01:15:34 BST 2016, end=Mon Jul 04 01:15:34 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Mon Jul 04 01:15:34 BST 2016, end=Mon Jul 04 01:15:34 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jul 04 01:15:34 BST 2016, end=Mon Jul 04 01:15:48 BST 2016, operations=1.0, operationsPerMinute=4.503828254015914
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jul 04 01:15:48 BST 2016, end=Mon Jul 04 01:15:51 BST 2016, operations=1.0, operationsPerMinute=17.641870038224052
benchmark-name=startup.compress, mode=normal, start=Mon Jul 04 01:15:51 BST 2016, end=Mon Jul 04 01:15:52 BST 2016, operations=1.0, operationsPerMinute=45.248868778280546
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jul 04 01:15:52 BST 2016, end=Mon Jul 04 01:16:01 BST 2016, operations=1.0, operationsPerMinute=6.980802792321117
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jul 04 01:16:01 BST 2016, end=Mon Jul 04 01:16:08 BST 2016, operations=1.0, operationsPerMinute=8.012820512820513
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jul 04 01:16:08 BST 2016, end=Mon Jul 04 01:16:15 BST 2016, operations=1.0, operationsPerMinute=8.584919158677922
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jul 04 01:16:15 BST 2016, end=Mon Jul 04 01:16:18 BST 2016, operations=1.0, operationsPerMinute=25.641025641025642
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jul 04 01:16:18 BST 2016, end=Mon Jul 04 01:16:18 BST 2016, operations=1.0, operationsPerMinute=78.53403141361257
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jul 04 01:16:18 BST 2016, end=Mon Jul 04 01:16:19 BST 2016, operations=1.0, operationsPerMinute=64.1025641025641
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jul 04 01:16:19 BST 2016, end=Mon Jul 04 01:16:25 BST 2016, operations=1.0, operationsPerMinute=10.366275051831375
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jul 04 01:16:25 BST 2016, end=Mon Jul 04 01:16:27 BST 2016, operations=1.0, operationsPerMinute=40.48582995951417
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jul 04 01:16:27 BST 2016, end=Mon Jul 04 01:16:28 BST 2016, operations=1.0, operationsPerMinute=59.171597633136095
benchmark-name=startup.serial, mode=normal, start=Mon Jul 04 01:16:28 BST 2016, end=Mon Jul 04 01:16:30 BST 2016, operations=1.0, operationsPerMinute=27.47252747252747
benchmark-name=startup.sunflow, mode=normal, start=Mon Jul 04 01:16:30 BST 2016, end=Mon Jul 04 01:16:37 BST 2016, operations=1.0, operationsPerMinute=8.94454382826476
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jul 04 01:16:37 BST 2016, end=Mon Jul 04 01:16:58 BST 2016, operations=1.0, operationsPerMinute=2.8364770954474543
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jul 04 01:16:58 BST 2016, end=Mon Jul 04 01:16:59 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jul 04 01:17:09 BST 2016, end=Mon Jul 04 01:19:09 BST 2016, operations=440.3551324743614, operationsPerMinute=220.1775662371807, mode=normal, start=Mon Jul 04 01:19:11 BST 2016, end=Mon Jul 04 01:23:11 BST 2016, operations=891.1750330666264, operationsPerMinute=222.7937582666566
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jul 04 01:23:15 BST 2016, end=Mon Jul 04 01:25:15 BST 2016, operations=174.27545916926965, operationsPerMinute=87.13772958463483, mode=normal, start=Mon Jul 04 01:25:20 BST 2016, end=Mon Jul 04 01:29:20 BST 2016, operations=351.7500563883349, operationsPerMinute=87.93751409708372
benchmark-name=compress, mod=warmup, start=Mon Jul 04 01:29:24 BST 2016, end=Mon Jul 04 01:31:24 BST 2016, operations=299.80525355872646, operationsPerMinute=149.90262677936323, mode=normal, start=Mon Jul 04 01:31:27 BST 2016, end=Mon Jul 04 01:35:27 BST 2016, operations=532.8344618741412, operationsPerMinute=133.2086154685353
benchmark-name=crypto.aes, mod=warmup, start=Mon Jul 04 01:36:14 BST 2016, end=Mon Jul 04 01:38:14 BST 2016, operations=105.7933829440501, operationsPerMinute=52.89669147202505, mode=normal, start=Mon Jul 04 01:38:20 BST 2016, end=Mon Jul 04 01:42:20 BST 2016, operations=223.3121180915096, operationsPerMinute=55.8280295228774
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jul 04 01:42:26 BST 2016, end=Mon Jul 04 01:44:26 BST 2016, operations=175.396438436361, operationsPerMinute=87.6982192181805, mode=normal, start=Mon Jul 04 01:44:30 BST 2016, end=Mon Jul 04 01:48:30 BST 2016, operations=330.9517372916813, operationsPerMinute=82.73793432292032
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jul 04 01:48:36 BST 2016, end=Mon Jul 04 01:50:36 BST 2016, operations=305.81698779847625, operationsPerMinute=152.90849389923812, mode=normal, start=Mon Jul 04 01:50:38 BST 2016, end=Mon Jul 04 01:54:38 BST 2016, operations=498.68705068442966, operationsPerMinute=124.67176267110742
benchmark-name=derby, mod=warmup, start=Mon Jul 04 01:55:29 BST 2016, end=Mon Jul 04 01:57:29 BST 2016, operations=268.9000187851935, operationsPerMinute=134.45000939259674, mode=normal, start=Mon Jul 04 01:57:31 BST 2016, end=Mon Jul 04 02:01:31 BST 2016, operations=474.14953475304463, operationsPerMinute=118.53738368826116
benchmark-name=mpegaudio, mod=warmup, start=Mon Jul 04 02:02:06 BST 2016, end=Mon Jul 04 02:04:06 BST 2016, operations=155.98888855219283, operationsPerMinute=77.99444427609642, mode=normal, start=Mon Jul 04 02:04:10 BST 2016, end=Mon Jul 04 02:08:10 BST 2016, operations=248.0309329781652, operationsPerMinute=62.0077332445413
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jul 04 02:08:16 BST 2016, end=Mon Jul 04 02:10:16 BST 2016, operations=63.43248117073584, operationsPerMinute=31.71624058536792, mode=normal, start=Mon Jul 04 02:10:45 BST 2016, end=Mon Jul 04 02:14:45 BST 2016, operations=147.1947991237223, operationsPerMinute=36.798699780930576
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jul 04 02:14:53 BST 2016, end=Mon Jul 04 02:16:53 BST 2016, operations=14.062966251800585, operationsPerMinute=7.031483125900293, mode=normal, start=Mon Jul 04 02:17:53 BST 2016, end=Mon Jul 04 02:21:53 BST 2016, operations=27.8687584677884, operationsPerMinute=6.9671896169471
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jul 04 02:22:35 BST 2016, end=Mon Jul 04 02:24:35 BST 2016, operations=56.91619710840216, operationsPerMinute=28.45809855420108, mode=normal, start=Mon Jul 04 02:25:00 BST 2016, end=Mon Jul 04 02:29:00 BST 2016, operations=108.8043087270371, operationsPerMinute=27.201077181759274
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jul 04 02:30:00 BST 2016, end=Mon Jul 04 02:32:00 BST 2016, operations=41.73673091231317, operationsPerMinute=20.868365456156585, mode=normal, start=Mon Jul 04 02:32:15 BST 2016, end=Mon Jul 04 02:36:15 BST 2016, operations=87.2962522207529, operationsPerMinute=21.824063055188226
benchmark-name=scimark.fft.small, mod=warmup, start=Mon Jul 04 02:36:28 BST 2016, end=Mon Jul 04 02:38:28 BST 2016, operations=520.7158874500728, operationsPerMinute=260.3579437250364, mode=normal, start=Mon Jul 04 02:38:29 BST 2016, end=Mon Jul 04 02:42:29 BST 2016, operations=1001.3513352164878, operationsPerMinute=250.33783380412194
benchmark-name=scimark.lu.small, mod=warmup, start=Mon Jul 04 02:43:26 BST 2016, end=Mon Jul 04 02:45:26 BST 2016, operations=422.6181690495865, operationsPerMinute=211.30908452479326, mode=normal, start=Mon Jul 04 02:45:29 BST 2016, end=Mon Jul 04 02:49:29 BST 2016, operations=819.5430113578035, operationsPerMinute=204.88575283945087
benchmark-name=scimark.sor.small, mod=warmup, start=Mon Jul 04 02:49:41 BST 2016, end=Mon Jul 04 02:51:41 BST 2016, operations=248.06421232453891, operationsPerMinute=124.03210616226946, mode=normal, start=Mon Jul 04 02:51:49 BST 2016, end=Mon Jul 04 02:55:49 BST 2016, operations=424.07616231434355, operationsPerMinute=106.01904057858589
benchmark-name=scimark.sparse.small, mod=warmup, start=Mon Jul 04 02:55:53 BST 2016, end=Mon Jul 04 02:57:53 BST 2016, operations=385.7726000559754, operationsPerMinute=192.8863000279877, mode=normal, start=Mon Jul 04 02:58:02 BST 2016, end=Mon Jul 04 03:02:02 BST 2016, operations=607.453860914582, operationsPerMinute=151.8634652286455
benchmark-name=scimark.monte_carlo, mod=warmup, start=Mon Jul 04 03:02:54 BST 2016, end=Mon Jul 04 03:04:54 BST 2016, operations=89.53229917630422, operationsPerMinute=44.76614958815211, mode=normal, start=Mon Jul 04 03:05:02 BST 2016, end=Mon Jul 04 03:09:02 BST 2016, operations=178.8646338090085, operationsPerMinute=44.716158452252124
benchmark-name=serial, mod=warmup, start=Mon Jul 04 03:09:10 BST 2016, end=Mon Jul 04 03:11:10 BST 2016, operations=180.4598726347839, operationsPerMinute=90.22993631739195, mode=normal, start=Mon Jul 04 03:11:14 BST 2016, end=Mon Jul 04 03:15:14 BST 2016, operations=360.49901260751517, operationsPerMinute=90.12475315187879
benchmark-name=sunflow, mod=warmup, start=Mon Jul 04 03:15:18 BST 2016, end=Mon Jul 04 03:17:18 BST 2016, operations=135.29863408779028, operationsPerMinute=67.64931704389514, mode=normal, start=Mon Jul 04 03:17:19 BST 2016, end=Mon Jul 04 03:21:19 BST 2016, operations=214.80112908927856, operationsPerMinute=53.70028227231964
