spec.jvm2008.report.run.location=GREY-05
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Tue Jul 05 04:21:30 BST 2016, end=Tue Jul 05 04:21:30 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Tue Jul 05 04:21:30 BST 2016, end=Tue Jul 05 04:21:30 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Tue Jul 05 04:21:30 BST 2016, end=Tue Jul 05 04:21:45 BST 2016, operations=1.0, operationsPerMinute=4.087193460490464
benchmark-name=startup.compiler.sunflow, mode=normal, start=Tue Jul 05 04:21:45 BST 2016, end=Tue Jul 05 04:21:48 BST 2016, operations=1.0, operationsPerMinute=17.725258493353028
benchmark-name=startup.compress, mode=normal, start=Tue Jul 05 04:21:48 BST 2016, end=Tue Jul 05 04:21:50 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Tue Jul 05 04:21:50 BST 2016, end=Tue Jul 05 04:21:58 BST 2016, operations=1.0, operationsPerMinute=7.070469007777516
benchmark-name=startup.crypto.rsa, mode=normal, start=Tue Jul 05 04:21:58 BST 2016, end=Tue Jul 05 04:22:06 BST 2016, operations=1.0, operationsPerMinute=8.046131151937777
benchmark-name=startup.crypto.signverify, mode=normal, start=Tue Jul 05 04:22:06 BST 2016, end=Tue Jul 05 04:22:12 BST 2016, operations=1.0, operationsPerMinute=8.986071589036992
benchmark-name=startup.mpegaudio, mode=normal, start=Tue Jul 05 04:22:12 BST 2016, end=Tue Jul 05 04:22:14 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Tue Jul 05 04:22:14 BST 2016, end=Tue Jul 05 04:22:15 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Tue Jul 05 04:22:15 BST 2016, end=Tue Jul 05 04:22:16 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Tue Jul 05 04:22:16 BST 2016, end=Tue Jul 05 04:22:22 BST 2016, operations=1.0, operationsPerMinute=10.625110678236231
benchmark-name=startup.scimark.sor, mode=normal, start=Tue Jul 05 04:22:22 BST 2016, end=Tue Jul 05 04:22:23 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Tue Jul 05 04:22:23 BST 2016, end=Tue Jul 05 04:22:24 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Tue Jul 05 04:22:24 BST 2016, end=Tue Jul 05 04:22:26 BST 2016, operations=1.0, operationsPerMinute=28.708133971291865
benchmark-name=startup.sunflow, mode=normal, start=Tue Jul 05 04:22:26 BST 2016, end=Tue Jul 05 04:22:33 BST 2016, operations=1.0, operationsPerMinute=9.357454772301933
benchmark-name=startup.xml.transform, mode=normal, start=Tue Jul 05 04:22:33 BST 2016, end=Tue Jul 05 04:22:53 BST 2016, operations=1.0, operationsPerMinute=2.9977516862353233
benchmark-name=startup.xml.validation, mode=normal, start=Tue Jul 05 04:22:53 BST 2016, end=Tue Jul 05 04:22:53 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Tue Jul 05 04:23:05 BST 2016, end=Tue Jul 05 04:25:05 BST 2016, operations=497.5863131432021, operationsPerMinute=248.79315657160106, mode=normal, start=Tue Jul 05 04:25:07 BST 2016, end=Tue Jul 05 04:29:07 BST 2016, operations=1004.2585885209462, operationsPerMinute=251.06464713023655
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jul 05 04:29:12 BST 2016, end=Tue Jul 05 04:31:12 BST 2016, operations=200.1311606485513, operationsPerMinute=100.06558032427564, mode=normal, start=Tue Jul 05 04:31:15 BST 2016, end=Tue Jul 05 04:35:15 BST 2016, operations=386.7372470715518, operationsPerMinute=96.68431176788795
benchmark-name=compress, mod=warmup, start=Tue Jul 05 04:35:18 BST 2016, end=Tue Jul 05 04:37:18 BST 2016, operations=401.2418656673192, operationsPerMinute=200.6209328336596, mode=normal, start=Tue Jul 05 04:37:20 BST 2016, end=Tue Jul 05 04:41:20 BST 2016, operations=802.597793271021, operationsPerMinute=200.64944831775526
benchmark-name=crypto.aes, mod=warmup, start=Tue Jul 05 04:41:22 BST 2016, end=Tue Jul 05 04:43:22 BST 2016, operations=138.03682659164002, operationsPerMinute=69.01841329582001, mode=normal, start=Tue Jul 05 04:43:27 BST 2016, end=Tue Jul 05 04:47:27 BST 2016, operations=291.4680588358398, operationsPerMinute=72.86701470895996
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jul 05 04:47:32 BST 2016, end=Tue Jul 05 04:49:32 BST 2016, operations=234.299178407552, operationsPerMinute=117.149589203776, mode=normal, start=Tue Jul 05 04:49:35 BST 2016, end=Tue Jul 05 04:53:35 BST 2016, operations=467.29588568387163, operationsPerMinute=116.82397142096791
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jul 05 04:53:38 BST 2016, end=Tue Jul 05 04:55:38 BST 2016, operations=407.7847930971034, operationsPerMinute=203.8923965485517, mode=normal, start=Tue Jul 05 04:55:40 BST 2016, end=Tue Jul 05 04:59:40 BST 2016, operations=815.5740627175635, operationsPerMinute=203.89351567939087
benchmark-name=derby, mod=warmup, start=Tue Jul 05 05:00:21 BST 2016, end=Tue Jul 05 05:02:21 BST 2016, operations=361.84504131564074, operationsPerMinute=180.92252065782037, mode=normal, start=Tue Jul 05 05:02:23 BST 2016, end=Tue Jul 05 05:06:23 BST 2016, operations=725.1517535150999, operationsPerMinute=181.28793837877498
benchmark-name=mpegaudio, mod=warmup, start=Tue Jul 05 05:06:25 BST 2016, end=Tue Jul 05 05:08:25 BST 2016, operations=208.62569914140835, operationsPerMinute=104.31284957070417, mode=normal, start=Tue Jul 05 05:08:30 BST 2016, end=Tue Jul 05 05:12:30 BST 2016, operations=414.0785614525693, operationsPerMinute=103.51964036314233
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jul 05 05:12:33 BST 2016, end=Tue Jul 05 05:14:33 BST 2016, operations=77.95012344487107, operationsPerMinute=38.975061722435534, mode=normal, start=Tue Jul 05 05:14:41 BST 2016, end=Tue Jul 05 05:18:41 BST 2016, operations=144.50243550644842, operationsPerMinute=36.125608876612105
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jul 05 05:18:50 BST 2016, end=Tue Jul 05 05:20:50 BST 2016, operations=13.915590592780651, operationsPerMinute=6.957795296390326, mode=normal, start=Tue Jul 05 05:21:33 BST 2016, end=Tue Jul 05 05:25:33 BST 2016, operations=27.827245215661016, operationsPerMinute=6.956811303915254
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jul 05 05:26:01 BST 2016, end=Tue Jul 05 05:28:01 BST 2016, operations=74.71678438232172, operationsPerMinute=37.35839219116086, mode=normal, start=Tue Jul 05 05:28:09 BST 2016, end=Tue Jul 05 05:32:09 BST 2016, operations=149.2787889460416, operationsPerMinute=37.3196972365104
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jul 05 05:32:20 BST 2016, end=Tue Jul 05 05:34:20 BST 2016, operations=43.14262810560228, operationsPerMinute=21.57131405280114, mode=normal, start=Tue Jul 05 05:34:30 BST 2016, end=Tue Jul 05 05:38:30 BST 2016, operations=86.7046347904315, operationsPerMinute=21.676158697607875
