spec.jvm2008.report.run.location=KINGS01
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Fri Jun 24 16:51:06 BST 2016, end=Fri Jun 24 16:51:06 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 16:51:06 BST 2016, end=Fri Jun 24 16:51:06 BST 2016, operations=1.0, operationsPerMinute=545.4545454545455
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 16:51:06 BST 2016, end=Fri Jun 24 16:51:22 BST 2016, operations=1.0, operationsPerMinute=3.770739064856712
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 16:51:22 BST 2016, end=Fri Jun 24 16:51:26 BST 2016, operations=1.0, operationsPerMinute=15.263291783261257
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 16:51:26 BST 2016, end=Fri Jun 24 16:51:27 BST 2016, operations=1.0, operationsPerMinute=43.69992716678806
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 16:51:27 BST 2016, end=Fri Jun 24 16:51:36 BST 2016, operations=1.0, operationsPerMinute=6.724195898240502
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 16:51:36 BST 2016, end=Fri Jun 24 16:51:44 BST 2016, operations=1.0, operationsPerMinute=7.77000777000777
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 16:51:44 BST 2016, end=Fri Jun 24 16:51:51 BST 2016, operations=1.0, operationsPerMinute=8.882309400444116
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 16:51:51 BST 2016, end=Fri Jun 24 16:51:53 BST 2016, operations=1.0, operationsPerMinute=22.624434389140273
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 16:51:53 BST 2016, end=Fri Jun 24 16:51:54 BST 2016, operations=1.0, operationsPerMinute=68.72852233676976
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 16:51:54 BST 2016, end=Fri Jun 24 16:51:55 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 16:51:55 BST 2016, end=Fri Jun 24 16:52:02 BST 2016, operations=1.0, operationsPerMinute=9.861932938856016
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 16:52:02 BST 2016, end=Fri Jun 24 16:52:03 BST 2016, operations=1.0, operationsPerMinute=39.24133420536298
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 16:52:03 BST 2016, end=Fri Jun 24 16:52:04 BST 2016, operations=1.0, operationsPerMinute=53.42831700801425
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 16:52:04 BST 2016, end=Fri Jun 24 16:52:07 BST 2016, operations=1.0, operationsPerMinute=23.59418010224145
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 16:52:07 BST 2016, end=Fri Jun 24 16:52:13 BST 2016, operations=1.0, operationsPerMinute=9.071666162685213
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 16:52:13 BST 2016, end=Fri Jun 24 16:52:37 BST 2016, operations=1.0, operationsPerMinute=2.5589627670917388
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 16:52:37 BST 2016, end=Fri Jun 24 16:52:38 BST 2016, operations=1.0, operationsPerMinute=56.550424128180964
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 16:52:50 BST 2016, end=Fri Jun 24 16:54:50 BST 2016, operations=432.3572078400108, operationsPerMinute=216.1786039200054, mode=normal, start=Fri Jun 24 16:54:52 BST 2016, end=Fri Jun 24 16:58:52 BST 2016, operations=890.1341414497178, operationsPerMinute=222.53353536242946
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 16:58:56 BST 2016, end=Fri Jun 24 17:00:56 BST 2016, operations=177.06224015660035, operationsPerMinute=88.53112007830018, mode=normal, start=Fri Jun 24 17:01:00 BST 2016, end=Fri Jun 24 17:05:00 BST 2016, operations=353.21385790092495, operationsPerMinute=88.30346447523124
benchmark-name=compress, mod=warmup, start=Fri Jun 24 17:05:04 BST 2016, end=Fri Jun 24 17:07:04 BST 2016, operations=372.4051362576975, operationsPerMinute=186.20256812884875, mode=normal, start=Fri Jun 24 17:07:06 BST 2016, end=Fri Jun 24 17:11:06 BST 2016, operations=748.9577904801442, operationsPerMinute=187.23944762003606
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 17:11:08 BST 2016, end=Fri Jun 24 17:13:08 BST 2016, operations=123.58103524692248, operationsPerMinute=61.79051762346124, mode=normal, start=Fri Jun 24 17:13:15 BST 2016, end=Fri Jun 24 17:17:15 BST 2016, operations=260.23032865623895, operationsPerMinute=65.05758216405974
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 17:17:21 BST 2016, end=Fri Jun 24 17:19:21 BST 2016, operations=219.06601504942972, operationsPerMinute=109.53300752471486, mode=normal, start=Fri Jun 24 17:19:25 BST 2016, end=Fri Jun 24 17:23:25 BST 2016, operations=437.9567983123887, operationsPerMinute=109.48919957809717
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 17:23:28 BST 2016, end=Fri Jun 24 17:25:28 BST 2016, operations=374.647092707619, operationsPerMinute=187.3235463538095, mode=normal, start=Fri Jun 24 17:25:30 BST 2016, end=Fri Jun 24 17:29:30 BST 2016, operations=748.6815684928329, operationsPerMinute=187.17039212320822
benchmark-name=derby, mod=warmup, start=Fri Jun 24 17:30:44 BST 2016, end=Fri Jun 24 17:32:44 BST 2016, operations=278.94813447227807, operationsPerMinute=139.47406723613904, mode=normal, start=Fri Jun 24 17:32:46 BST 2016, end=Fri Jun 24 17:36:46 BST 2016, operations=561.327437358633, operationsPerMinute=140.33185933965825
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 17:36:49 BST 2016, end=Fri Jun 24 17:38:49 BST 2016, operations=183.68420975185052, operationsPerMinute=91.84210487592526, mode=normal, start=Fri Jun 24 17:38:54 BST 2016, end=Fri Jun 24 17:42:54 BST 2016, operations=366.40057827199803, operationsPerMinute=91.60014456799951
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 17:42:57 BST 2016, end=Fri Jun 24 17:44:57 BST 2016, operations=105.21254148036985, operationsPerMinute=52.606270740184925, mode=normal, start=Fri Jun 24 17:45:04 BST 2016, end=Fri Jun 24 17:49:04 BST 2016, operations=212.2658165607654, operationsPerMinute=53.06645414019135
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 17:49:10 BST 2016, end=Fri Jun 24 17:51:10 BST 2016, operations=21.56131202427539, operationsPerMinute=10.780656012137696, mode=normal, start=Fri Jun 24 17:51:40 BST 2016, end=Fri Jun 24 17:55:40 BST 2016, operations=43.05721376340755, operationsPerMinute=10.764303440851888
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 17:56:01 BST 2016, end=Fri Jun 24 17:58:01 BST 2016, operations=73.62605092907444, operationsPerMinute=36.81302546453722, mode=normal, start=Fri Jun 24 17:58:12 BST 2016, end=Fri Jun 24 18:02:12 BST 2016, operations=147.52470796897663, operationsPerMinute=36.88117699224416
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 18:02:24 BST 2016, end=Fri Jun 24 18:04:24 BST 2016, operations=72.48923293563885, operationsPerMinute=36.24461646781943, mode=normal, start=Fri Jun 24 18:04:33 BST 2016, end=Fri Jun 24 18:08:33 BST 2016, operations=144.790870279636, operationsPerMinute=36.197717569909
