spec.jvm2008.report.run.location=PERCY006
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jun 03 15:02:27 BST 2016, end=Fri Jun 03 15:02:27 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:02:27 BST 2016, end=Fri Jun 03 15:02:27 BST 2016, operations=1.0, operationsPerMinute=566.0377358490566
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:02:27 BST 2016, end=Fri Jun 03 15:02:41 BST 2016, operations=1.0, operationsPerMinute=4.436229205175601
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:02:41 BST 2016, end=Fri Jun 03 15:02:44 BST 2016, operations=1.0, operationsPerMinute=16.64816870144284
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:02:44 BST 2016, end=Fri Jun 03 15:02:46 BST 2016, operations=1.0, operationsPerMinute=45.558086560364465
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:02:46 BST 2016, end=Fri Jun 03 15:02:54 BST 2016, operations=1.0, operationsPerMinute=7.13436385255648
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:02:54 BST 2016, end=Fri Jun 03 15:03:01 BST 2016, operations=1.0, operationsPerMinute=8.128979813033464
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:03:01 BST 2016, end=Fri Jun 03 15:03:08 BST 2016, operations=1.0, operationsPerMinute=8.949880668257757
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:03:08 BST 2016, end=Fri Jun 03 15:03:11 BST 2016, operations=1.0, operationsPerMinute=23.837902264600714
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:03:11 BST 2016, end=Fri Jun 03 15:03:11 BST 2016, operations=1.0, operationsPerMinute=70.33997655334115
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:03:11 BST 2016, end=Fri Jun 03 15:03:12 BST 2016, operations=1.0, operationsPerMinute=57.08848715509039
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:03:12 BST 2016, end=Fri Jun 03 15:03:18 BST 2016, operations=1.0, operationsPerMinute=10.111223458038422
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:03:18 BST 2016, end=Fri Jun 03 15:03:20 BST 2016, operations=1.0, operationsPerMinute=39.34426229508197
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:03:20 BST 2016, end=Fri Jun 03 15:03:21 BST 2016, operations=1.0, operationsPerMinute=57.034220532319395
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:03:21 BST 2016, end=Fri Jun 03 15:03:23 BST 2016, operations=1.0, operationsPerMinute=25.77319587628866
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:03:23 BST 2016, end=Fri Jun 03 15:03:30 BST 2016, operations=1.0, operationsPerMinute=9.548058561425844
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:03:30 BST 2016, end=Fri Jun 03 15:03:51 BST 2016, operations=1.0, operationsPerMinute=2.8527957398250283
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:03:51 BST 2016, end=Fri Jun 03 15:03:51 BST 2016, operations=1.0, operationsPerMinute=71.17437722419929
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:04:03 BST 2016, end=Fri Jun 03 15:06:03 BST 2016, operations=426.42463968141783, operationsPerMinute=213.21231984070891, mode=normal, start=Fri Jun 03 15:06:04 BST 2016, end=Fri Jun 03 15:10:04 BST 2016, operations=981.3554852036557, operationsPerMinute=245.33887130091392
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:10:08 BST 2016, end=Fri Jun 03 15:12:08 BST 2016, operations=199.36634318514945, operationsPerMinute=99.68317159257472, mode=normal, start=Fri Jun 03 15:12:12 BST 2016, end=Fri Jun 03 15:16:12 BST 2016, operations=395.79965942296303, operationsPerMinute=98.94991485574076
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:16:15 BST 2016, end=Fri Jun 03 15:18:15 BST 2016, operations=398.9655799394949, operationsPerMinute=199.48278996974744, mode=normal, start=Fri Jun 03 15:18:17 BST 2016, end=Fri Jun 03 15:22:17 BST 2016, operations=795.0932556203164, operationsPerMinute=198.7733139050791
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:22:19 BST 2016, end=Fri Jun 03 15:24:19 BST 2016, operations=132.8504702497815, operationsPerMinute=66.42523512489075, mode=normal, start=Fri Jun 03 15:24:25 BST 2016, end=Fri Jun 03 15:28:25 BST 2016, operations=279.55563833105435, operationsPerMinute=69.88890958276359
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:28:30 BST 2016, end=Fri Jun 03 15:30:30 BST 2016, operations=234.02506548839614, operationsPerMinute=117.01253274419807, mode=normal, start=Fri Jun 03 15:30:33 BST 2016, end=Fri Jun 03 15:34:33 BST 2016, operations=440.28789755468125, operationsPerMinute=110.07197438867031
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:34:37 BST 2016, end=Fri Jun 03 15:36:37 BST 2016, operations=407.31589034363736, operationsPerMinute=203.65794517181868, mode=normal, start=Fri Jun 03 15:36:39 BST 2016, end=Fri Jun 03 15:40:39 BST 2016, operations=813.5946650571651, operationsPerMinute=203.39866626429128
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:41:01 BST 2016, end=Fri Jun 03 15:43:01 BST 2016, operations=363.29728658728857, operationsPerMinute=181.64864329364428, mode=normal, start=Fri Jun 03 15:43:04 BST 2016, end=Fri Jun 03 15:47:04 BST 2016, operations=723.8960617411876, operationsPerMinute=180.9740154352969
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:47:06 BST 2016, end=Fri Jun 03 15:49:06 BST 2016, operations=207.34608298153677, operationsPerMinute=103.67304149076838, mode=normal, start=Fri Jun 03 15:49:10 BST 2016, end=Fri Jun 03 15:53:10 BST 2016, operations=414.6750641870715, operationsPerMinute=103.66876604676787
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:53:14 BST 2016, end=Fri Jun 03 15:55:14 BST 2016, operations=74.52787383049001, operationsPerMinute=37.263936915245004, mode=normal, start=Fri Jun 03 15:55:23 BST 2016, end=Fri Jun 03 15:59:23 BST 2016, operations=147.6728405966483, operationsPerMinute=36.91821014916208
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 15:59:32 BST 2016, end=Fri Jun 03 16:01:32 BST 2016, operations=13.846930445402984, operationsPerMinute=6.923465222701492, mode=normal, start=Fri Jun 03 16:02:15 BST 2016, end=Fri Jun 03 16:06:15 BST 2016, operations=27.702751276305975, operationsPerMinute=6.925687819076494
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:06:51 BST 2016, end=Fri Jun 03 16:08:51 BST 2016, operations=74.53227062051845, operationsPerMinute=37.26613531025922, mode=normal, start=Fri Jun 03 16:09:00 BST 2016, end=Fri Jun 03 16:13:00 BST 2016, operations=149.32114672167032, operationsPerMinute=37.33028668041758
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 16:13:09 BST 2016, end=Fri Jun 03 16:15:09 BST 2016, operations=42.65539218274482, operationsPerMinute=21.32769609137241, mode=normal, start=Fri Jun 03 16:15:22 BST 2016, end=Fri Jun 03 16:19:22 BST 2016, operations=85.4289655331631, operationsPerMinute=21.357241383290773
