spec.jvm2008.report.run.location=LEAZESTCE007
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 04 16:28:10 BST 2016, end=Sat Jun 04 16:28:10 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 16:28:10 BST 2016, end=Sat Jun 04 16:28:11 BST 2016, operations=1.0, operationsPerMinute=280.3738317757009
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 16:28:11 BST 2016, end=Sat Jun 04 16:28:24 BST 2016, operations=1.0, operationsPerMinute=4.429024876356389
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 16:28:24 BST 2016, end=Sat Jun 04 16:28:28 BST 2016, operations=1.0, operationsPerMinute=16.87289088863892
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 16:28:28 BST 2016, end=Sat Jun 04 16:28:29 BST 2016, operations=1.0, operationsPerMinute=46.91164972634871
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 16:28:29 BST 2016, end=Sat Jun 04 16:28:38 BST 2016, operations=1.0, operationsPerMinute=7.006890108606797
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 16:28:38 BST 2016, end=Sat Jun 04 16:28:45 BST 2016, operations=1.0, operationsPerMinute=7.915567282321899
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 16:28:45 BST 2016, end=Sat Jun 04 16:28:52 BST 2016, operations=1.0, operationsPerMinute=9.11715544750038
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 16:28:52 BST 2016, end=Sat Jun 04 16:28:54 BST 2016, operations=1.0, operationsPerMinute=25.9852750108272
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 16:28:54 BST 2016, end=Sat Jun 04 16:28:55 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 16:28:55 BST 2016, end=Sat Jun 04 16:28:56 BST 2016, operations=1.0, operationsPerMinute=63.09148264984227
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 16:28:56 BST 2016, end=Sat Jun 04 16:29:01 BST 2016, operations=1.0, operationsPerMinute=10.596962204168138
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 16:29:01 BST 2016, end=Sat Jun 04 16:29:03 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 16:29:03 BST 2016, end=Sat Jun 04 16:29:04 BST 2016, operations=1.0, operationsPerMinute=61.09979633401222
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 16:29:04 BST 2016, end=Sat Jun 04 16:29:06 BST 2016, operations=1.0, operationsPerMinute=27.272727272727273
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 16:29:06 BST 2016, end=Sat Jun 04 16:29:13 BST 2016, operations=1.0, operationsPerMinute=9.186954524575103
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 16:29:13 BST 2016, end=Sat Jun 04 16:29:33 BST 2016, operations=1.0, operationsPerMinute=2.952465308532625
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 16:29:33 BST 2016, end=Sat Jun 04 16:29:34 BST 2016, operations=1.0, operationsPerMinute=68.64988558352402
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 16:29:44 BST 2016, end=Sat Jun 04 16:31:44 BST 2016, operations=459.4764292831761, operationsPerMinute=229.73821464158806, mode=normal, start=Sat Jun 04 16:31:46 BST 2016, end=Sat Jun 04 16:35:46 BST 2016, operations=971.1603363866928, operationsPerMinute=242.7900840966732
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 16:35:49 BST 2016, end=Sat Jun 04 16:37:49 BST 2016, operations=190.28647286044648, operationsPerMinute=95.14323643022324, mode=normal, start=Sat Jun 04 16:37:53 BST 2016, end=Sat Jun 04 16:41:53 BST 2016, operations=375.4539974074981, operationsPerMinute=93.86349935187452
benchmark-name=compress, mod=warmup, start=Sat Jun 04 16:41:57 BST 2016, end=Sat Jun 04 16:43:57 BST 2016, operations=373.22064517250294, operationsPerMinute=186.61032258625147, mode=normal, start=Sat Jun 04 16:43:59 BST 2016, end=Sat Jun 04 16:47:59 BST 2016, operations=747.1102334393604, operationsPerMinute=186.7775583598401
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 16:48:01 BST 2016, end=Sat Jun 04 16:50:01 BST 2016, operations=125.25236285003055, operationsPerMinute=62.626181425015275, mode=normal, start=Sat Jun 04 16:50:06 BST 2016, end=Sat Jun 04 16:54:06 BST 2016, operations=253.18494715560996, operationsPerMinute=63.29623678890249
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 16:54:12 BST 2016, end=Sat Jun 04 16:56:12 BST 2016, operations=217.96123469966855, operationsPerMinute=108.98061734983428, mode=normal, start=Sat Jun 04 16:56:16 BST 2016, end=Sat Jun 04 17:00:16 BST 2016, operations=445.3295190446454, operationsPerMinute=111.33237976116135
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 17:00:19 BST 2016, end=Sat Jun 04 17:02:19 BST 2016, operations=405.5001332001332, operationsPerMinute=202.7500666000666, mode=normal, start=Sat Jun 04 17:02:21 BST 2016, end=Sat Jun 04 17:06:21 BST 2016, operations=803.8909715741605, operationsPerMinute=200.97274289354013
benchmark-name=derby, mod=warmup, start=Sat Jun 04 17:06:44 BST 2016, end=Sat Jun 04 17:08:44 BST 2016, operations=344.0552818472922, operationsPerMinute=172.0276409236461, mode=normal, start=Sat Jun 04 17:08:47 BST 2016, end=Sat Jun 04 17:12:47 BST 2016, operations=698.56641871866, operationsPerMinute=174.641604679665
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 17:12:48 BST 2016, end=Sat Jun 04 17:14:48 BST 2016, operations=208.115059181037, operationsPerMinute=104.0575295905185, mode=normal, start=Sat Jun 04 17:14:52 BST 2016, end=Sat Jun 04 17:18:52 BST 2016, operations=416.9641467906614, operationsPerMinute=104.24103669766535
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 17:18:56 BST 2016, end=Sat Jun 04 17:20:56 BST 2016, operations=78.41632938118924, operationsPerMinute=39.20816469059462, mode=normal, start=Sat Jun 04 17:21:03 BST 2016, end=Sat Jun 04 17:25:03 BST 2016, operations=152.6967561875063, operationsPerMinute=38.17418904687658
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 17:25:10 BST 2016, end=Sat Jun 04 17:27:10 BST 2016, operations=13.716373157134228, operationsPerMinute=6.858186578567114, mode=normal, start=Sat Jun 04 17:27:55 BST 2016, end=Sat Jun 04 17:31:55 BST 2016, operations=27.72055446007806, operationsPerMinute=6.930138615019515
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 17:32:31 BST 2016, end=Sat Jun 04 17:34:31 BST 2016, operations=74.57857941228897, operationsPerMinute=37.28928970614449, mode=normal, start=Sat Jun 04 17:34:40 BST 2016, end=Sat Jun 04 17:38:40 BST 2016, operations=149.37940959466806, operationsPerMinute=37.344852398667015
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 17:38:50 BST 2016, end=Sat Jun 04 17:40:50 BST 2016, operations=43.230377696388814, operationsPerMinute=21.615188848194407, mode=normal, start=Sat Jun 04 17:41:01 BST 2016, end=Sat Jun 04 17:45:01 BST 2016, operations=86.52581029497603, operationsPerMinute=21.631452573744006
