spec.jvm2008.report.run.location=KRC021
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8082
benchmark-name=check, mode=normal, start=Sun Jun 19 00:40:17 BST 2016, end=Sun Jun 19 00:40:17 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 00:40:17 BST 2016, end=Sun Jun 19 00:40:17 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 00:40:17 BST 2016, end=Sun Jun 19 00:40:32 BST 2016, operations=1.0, operationsPerMinute=4.166956038613793
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 00:40:32 BST 2016, end=Sun Jun 19 00:40:35 BST 2016, operations=1.0, operationsPerMinute=17.326017903551833
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 00:40:35 BST 2016, end=Sun Jun 19 00:40:36 BST 2016, operations=1.0, operationsPerMinute=44.70938897168406
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 00:40:37 BST 2016, end=Sun Jun 19 00:40:45 BST 2016, operations=1.0, operationsPerMinute=6.8807339449541285
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 00:40:45 BST 2016, end=Sun Jun 19 00:40:53 BST 2016, operations=1.0, operationsPerMinute=7.801326225458328
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 00:40:53 BST 2016, end=Sun Jun 19 00:41:00 BST 2016, operations=1.0, operationsPerMinute=8.965929468021518
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 00:41:00 BST 2016, end=Sun Jun 19 00:41:02 BST 2016, operations=1.0, operationsPerMinute=23.74356944994064
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 00:41:02 BST 2016, end=Sun Jun 19 00:41:03 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 00:41:03 BST 2016, end=Sun Jun 19 00:41:04 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 00:41:04 BST 2016, end=Sun Jun 19 00:41:10 BST 2016, operations=1.0, operationsPerMinute=10.567101091933779
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 00:41:10 BST 2016, end=Sun Jun 19 00:41:11 BST 2016, operations=1.0, operationsPerMinute=38.46153846153846
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 00:41:11 BST 2016, end=Sun Jun 19 00:41:12 BST 2016, operations=1.0, operationsPerMinute=55.710306406685234
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 00:41:12 BST 2016, end=Sun Jun 19 00:41:15 BST 2016, operations=1.0, operationsPerMinute=26.166593981683384
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 00:41:15 BST 2016, end=Sun Jun 19 00:41:21 BST 2016, operations=1.0, operationsPerMinute=9.267840593141798
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 00:41:21 BST 2016, end=Sun Jun 19 00:41:43 BST 2016, operations=1.0, operationsPerMinute=2.737476047084588
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 00:41:43 BST 2016, end=Sun Jun 19 00:41:44 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 00:41:55 BST 2016, end=Sun Jun 19 00:43:55 BST 2016, operations=451.2330060339256, operationsPerMinute=225.6165030169628, mode=normal, start=Sun Jun 19 00:43:56 BST 2016, end=Sun Jun 19 00:47:56 BST 2016, operations=944.3398483343866, operationsPerMinute=236.08496208359665
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 00:48:01 BST 2016, end=Sun Jun 19 00:50:01 BST 2016, operations=180.45513844671848, operationsPerMinute=90.22756922335924, mode=normal, start=Sun Jun 19 00:50:05 BST 2016, end=Sun Jun 19 00:54:05 BST 2016, operations=350.4990596045883, operationsPerMinute=87.62476490114707
benchmark-name=compress, mod=warmup, start=Sun Jun 19 00:54:08 BST 2016, end=Sun Jun 19 00:56:08 BST 2016, operations=366.4969900270701, operationsPerMinute=183.24849501353506, mode=normal, start=Sun Jun 19 00:56:10 BST 2016, end=Sun Jun 19 01:00:10 BST 2016, operations=733.3595875645891, operationsPerMinute=183.33989689114728
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 01:00:12 BST 2016, end=Sun Jun 19 01:02:12 BST 2016, operations=127.9536624670182, operationsPerMinute=63.9768312335091, mode=normal, start=Sun Jun 19 01:02:16 BST 2016, end=Sun Jun 19 01:06:16 BST 2016, operations=267.65364528742543, operationsPerMinute=66.91341132185636
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:06:22 BST 2016, end=Sun Jun 19 01:08:22 BST 2016, operations=214.3032953492439, operationsPerMinute=107.15164767462196, mode=normal, start=Sun Jun 19 01:08:25 BST 2016, end=Sun Jun 19 01:12:25 BST 2016, operations=427.1638987919275, operationsPerMinute=106.79097469798188
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:12:29 BST 2016, end=Sun Jun 19 01:14:29 BST 2016, operations=370.99202035206866, operationsPerMinute=185.49601017603433, mode=normal, start=Sun Jun 19 01:14:31 BST 2016, end=Sun Jun 19 01:18:31 BST 2016, operations=743.8064939569118, operationsPerMinute=185.95162348922796
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:19:41 BST 2016, end=Sun Jun 19 01:21:41 BST 2016, operations=328.9784573544154, operationsPerMinute=164.4892286772077, mode=normal, start=Sun Jun 19 01:21:44 BST 2016, end=Sun Jun 19 01:25:44 BST 2016, operations=666.2678013219922, operationsPerMinute=166.56695033049806
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:25:46 BST 2016, end=Sun Jun 19 01:27:46 BST 2016, operations=187.8161637514066, operationsPerMinute=93.9080818757033, mode=normal, start=Sun Jun 19 01:27:51 BST 2016, end=Sun Jun 19 01:31:51 BST 2016, operations=375.7743159562918, operationsPerMinute=93.94357898907295
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 01:31:55 BST 2016, end=Sun Jun 19 01:33:55 BST 2016, operations=70.29345421443715, operationsPerMinute=35.146727107218574, mode=normal, start=Sun Jun 19 01:34:03 BST 2016, end=Sun Jun 19 01:38:03 BST 2016, operations=143.1645677844583, operationsPerMinute=35.79114194611458
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 01:38:12 BST 2016, end=Sun Jun 19 01:40:12 BST 2016, operations=13.846597556175642, operationsPerMinute=6.923298778087821, mode=normal, start=Sun Jun 19 01:40:57 BST 2016, end=Sun Jun 19 01:44:57 BST 2016, operations=27.613934801780857, operationsPerMinute=6.903483700445214
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 01:45:27 BST 2016, end=Sun Jun 19 01:47:27 BST 2016, operations=69.33906216248357, operationsPerMinute=34.669531081241786, mode=normal, start=Sun Jun 19 01:47:39 BST 2016, end=Sun Jun 19 01:51:39 BST 2016, operations=138.437078985856, operationsPerMinute=34.609269746464
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 01:51:48 BST 2016, end=Sun Jun 19 01:53:48 BST 2016, operations=42.53709545703673, operationsPerMinute=21.268547728518364, mode=normal, start=Sun Jun 19 01:54:01 BST 2016, end=Sun Jun 19 01:58:01 BST 2016, operations=85.31067201041151, operationsPerMinute=21.327668002602877
