spec.jvm2008.report.run.location=KINGS05
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Fri Jun 24 23:44:40 BST 2016, end=Fri Jun 24 23:44:40 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 23:44:40 BST 2016, end=Fri Jun 24 23:44:40 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 23:44:40 BST 2016, end=Fri Jun 24 23:44:56 BST 2016, operations=1.0, operationsPerMinute=3.8538120624317553
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 23:44:56 BST 2016, end=Fri Jun 24 23:45:00 BST 2016, operations=1.0, operationsPerMinute=14.40576230492197
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 23:45:00 BST 2016, end=Fri Jun 24 23:45:01 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 23:45:01 BST 2016, end=Fri Jun 24 23:45:10 BST 2016, operations=1.0, operationsPerMinute=6.724195898240502
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 23:45:10 BST 2016, end=Fri Jun 24 23:45:18 BST 2016, operations=1.0, operationsPerMinute=7.7539415869733785
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 23:45:18 BST 2016, end=Fri Jun 24 23:45:25 BST 2016, operations=1.0, operationsPerMinute=8.987417615338526
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 23:45:25 BST 2016, end=Fri Jun 24 23:45:27 BST 2016, operations=1.0, operationsPerMinute=22.624434389140273
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 23:45:27 BST 2016, end=Fri Jun 24 23:45:28 BST 2016, operations=1.0, operationsPerMinute=68.64988558352402
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 23:45:28 BST 2016, end=Fri Jun 24 23:45:29 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 23:45:29 BST 2016, end=Fri Jun 24 23:45:35 BST 2016, operations=1.0, operationsPerMinute=9.963467286615742
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 23:45:35 BST 2016, end=Fri Jun 24 23:45:37 BST 2016, operations=1.0, operationsPerMinute=38.86010362694301
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 23:45:37 BST 2016, end=Fri Jun 24 23:45:38 BST 2016, operations=1.0, operationsPerMinute=53.42831700801425
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 23:45:38 BST 2016, end=Fri Jun 24 23:45:41 BST 2016, operations=1.0, operationsPerMinute=23.455824863174357
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 23:45:41 BST 2016, end=Fri Jun 24 23:45:47 BST 2016, operations=1.0, operationsPerMinute=9.114385538508278
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 23:45:47 BST 2016, end=Fri Jun 24 23:46:11 BST 2016, operations=1.0, operationsPerMinute=2.5073129962390306
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 23:46:11 BST 2016, end=Fri Jun 24 23:46:12 BST 2016, operations=1.0, operationsPerMinute=55.710306406685234
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 23:46:25 BST 2016, end=Fri Jun 24 23:48:25 BST 2016, operations=432.30924700500185, operationsPerMinute=216.15462350250093, mode=normal, start=Fri Jun 24 23:48:26 BST 2016, end=Fri Jun 24 23:52:26 BST 2016, operations=896.6775681058222, operationsPerMinute=224.16939202645554
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 23:52:31 BST 2016, end=Fri Jun 24 23:54:31 BST 2016, operations=176.1260532747902, operationsPerMinute=88.0630266373951, mode=normal, start=Fri Jun 24 23:54:36 BST 2016, end=Fri Jun 24 23:58:36 BST 2016, operations=344.0634160037197, operationsPerMinute=86.01585400092992
benchmark-name=compress, mod=warmup, start=Fri Jun 24 23:58:40 BST 2016, end=Sat Jun 25 00:00:40 BST 2016, operations=372.3236620761531, operationsPerMinute=186.16183103807654, mode=normal, start=Sat Jun 25 00:00:42 BST 2016, end=Sat Jun 25 00:04:42 BST 2016, operations=743.7234769190329, operationsPerMinute=185.93086922975823
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 25 00:04:44 BST 2016, end=Sat Jun 25 00:06:44 BST 2016, operations=123.83259449013921, operationsPerMinute=61.91629724506961, mode=normal, start=Sat Jun 25 00:06:50 BST 2016, end=Sat Jun 25 00:10:50 BST 2016, operations=260.7787041356743, operationsPerMinute=65.19467603391857
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 25 00:10:56 BST 2016, end=Sat Jun 25 00:12:56 BST 2016, operations=219.2604951932828, operationsPerMinute=109.6302475966414, mode=normal, start=Sat Jun 25 00:12:58 BST 2016, end=Sat Jun 25 00:16:58 BST 2016, operations=438.6433581360279, operationsPerMinute=109.66083953400698
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 25 00:17:03 BST 2016, end=Sat Jun 25 00:19:03 BST 2016, operations=373.81536494896005, operationsPerMinute=186.90768247448003, mode=normal, start=Sat Jun 25 00:19:05 BST 2016, end=Sat Jun 25 00:23:05 BST 2016, operations=747.9864991268292, operationsPerMinute=186.9966247817073
benchmark-name=derby, mod=warmup, start=Sat Jun 25 00:24:20 BST 2016, end=Sat Jun 25 00:26:20 BST 2016, operations=278.3800443089813, operationsPerMinute=139.19002215449066, mode=normal, start=Sat Jun 25 00:26:23 BST 2016, end=Sat Jun 25 00:30:23 BST 2016, operations=556.2305882352941, operationsPerMinute=139.05764705882353
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 25 00:30:26 BST 2016, end=Sat Jun 25 00:32:26 BST 2016, operations=183.87252827749012, operationsPerMinute=91.93626413874506, mode=normal, start=Sat Jun 25 00:32:31 BST 2016, end=Sat Jun 25 00:36:31 BST 2016, operations=368.3804711913618, operationsPerMinute=92.09511779784044
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 25 00:36:35 BST 2016, end=Sat Jun 25 00:38:35 BST 2016, operations=106.33479127696539, operationsPerMinute=53.167395638482695, mode=normal, start=Sat Jun 25 00:38:41 BST 2016, end=Sat Jun 25 00:42:41 BST 2016, operations=203.5100397913249, operationsPerMinute=50.87750994783123
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 25 00:42:46 BST 2016, end=Sat Jun 25 00:44:46 BST 2016, operations=21.63951436393716, operationsPerMinute=10.81975718196858, mode=normal, start=Sat Jun 25 00:45:16 BST 2016, end=Sat Jun 25 00:49:16 BST 2016, operations=43.26489586676764, operationsPerMinute=10.81622396669191
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 25 00:49:42 BST 2016, end=Sat Jun 25 00:51:42 BST 2016, operations=73.68917427816078, operationsPerMinute=36.84458713908039, mode=normal, start=Sat Jun 25 00:51:52 BST 2016, end=Sat Jun 25 00:55:52 BST 2016, operations=147.62564071974458, operationsPerMinute=36.906410179936145
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 25 00:56:04 BST 2016, end=Sat Jun 25 00:58:04 BST 2016, operations=72.42011300393789, operationsPerMinute=36.21005650196894, mode=normal, start=Sat Jun 25 00:58:13 BST 2016, end=Sat Jun 25 01:02:13 BST 2016, operations=144.8573287803173, operationsPerMinute=36.21433219507932
