spec.jvm2008.report.run.location=HULL119
spec.jvm2008.report.hw.cpu.name=
spec.jvm2008.report.hw.number.of.cores=
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Tue Jun 21 16:19:13 BST 2016, end=Tue Jun 21 16:19:13 BST 2016, operations=1.0, operationsPerMinute=857.1428571428571
benchmark-name=startup.helloworld, mode=normal, start=Tue Jun 21 16:19:13 BST 2016, end=Tue Jun 21 16:19:13 BST 2016, operations=1.0, operationsPerMinute=136.6742596810934
benchmark-name=startup.compiler.compiler, mode=normal, start=Tue Jun 21 16:19:13 BST 2016, end=Tue Jun 21 16:19:56 BST 2016, operations=1.0, operationsPerMinute=1.418171504207242
benchmark-name=startup.compiler.sunflow, mode=normal, start=Tue Jun 21 16:19:56 BST 2016, end=Tue Jun 21 16:20:03 BST 2016, operations=1.0, operationsPerMinute=7.995735607675906
benchmark-name=startup.compress, mode=normal, start=Tue Jun 21 16:20:03 BST 2016, end=Tue Jun 21 16:20:05 BST 2016, operations=1.0, operationsPerMinute=34.14911781445646
benchmark-name=startup.crypto.aes, mode=normal, start=Tue Jun 21 16:20:05 BST 2016, end=Tue Jun 21 16:20:16 BST 2016, operations=1.0, operationsPerMinute=5.5689623166883235
benchmark-name=startup.crypto.rsa, mode=normal, start=Tue Jun 21 16:20:16 BST 2016, end=Tue Jun 21 16:20:24 BST 2016, operations=1.0, operationsPerMinute=7.029053420805998
benchmark-name=startup.crypto.signverify, mode=normal, start=Tue Jun 21 16:20:24 BST 2016, end=Tue Jun 21 16:20:31 BST 2016, operations=1.0, operationsPerMinute=8.135593220338983
benchmark-name=startup.mpegaudio, mode=normal, start=Tue Jun 21 16:20:31 BST 2016, end=Tue Jun 21 16:20:35 BST 2016, operations=1.0, operationsPerMinute=17.905102954341988
benchmark-name=startup.scimark.fft, mode=normal, start=Tue Jun 21 16:20:35 BST 2016, end=Tue Jun 21 16:20:36 BST 2016, operations=1.0, operationsPerMinute=61.224489795918366
benchmark-name=startup.scimark.lu, mode=normal, start=Tue Jun 21 16:20:36 BST 2016, end=Tue Jun 21 16:20:37 BST 2016, operations=1.0, operationsPerMinute=47.16981132075472
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Tue Jun 21 16:20:37 BST 2016, end=Tue Jun 21 16:20:44 BST 2016, operations=1.0, operationsPerMinute=8.370535714285714
benchmark-name=startup.scimark.sor, mode=normal, start=Tue Jun 21 16:20:44 BST 2016, end=Tue Jun 21 16:20:46 BST 2016, operations=1.0, operationsPerMinute=33.05785123966942
benchmark-name=startup.scimark.sparse, mode=normal, start=Tue Jun 21 16:20:46 BST 2016, end=Tue Jun 21 16:20:48 BST 2016, operations=1.0, operationsPerMinute=40.56795131845842
benchmark-name=startup.serial, mode=normal, start=Tue Jun 21 16:20:48 BST 2016, end=Tue Jun 21 16:20:51 BST 2016, operations=1.0, operationsPerMinute=18.34301436869459
benchmark-name=startup.sunflow, mode=normal, start=Tue Jun 21 16:20:51 BST 2016, end=Tue Jun 21 16:20:58 BST 2016, operations=1.0, operationsPerMinute=8.540925266903914
benchmark-name=startup.xml.transform, mode=normal, start=Tue Jun 21 16:20:58 BST 2016, end=Tue Jun 21 16:21:30 BST 2016, operations=1.0, operationsPerMinute=1.872191712431353
benchmark-name=startup.xml.validation, mode=normal, start=Tue Jun 21 16:21:30 BST 2016, end=Tue Jun 21 16:21:31 BST 2016, operations=1.0, operationsPerMinute=42.82655246252676
benchmark-name=compiler.compiler, mod=warmup, start=Tue Jun 21 16:21:49 BST 2016, end=Tue Jun 21 16:23:49 BST 2016, operations=328.11206012096886, operationsPerMinute=164.05603006048443, mode=normal, start=Tue Jun 21 16:23:52 BST 2016, end=Tue Jun 21 16:27:52 BST 2016, operations=664.2536376641729, operationsPerMinute=166.0634094160432
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jun 21 16:27:58 BST 2016, end=Tue Jun 21 16:29:58 BST 2016, operations=130.8659929867653, operationsPerMinute=65.43299649338265, mode=normal, start=Tue Jun 21 16:30:03 BST 2016, end=Tue Jun 21 16:34:03 BST 2016, operations=254.92585542196778, operationsPerMinute=63.731463855491945
benchmark-name=compress, mod=warmup, start=Tue Jun 21 16:34:09 BST 2016, end=Tue Jun 21 16:36:09 BST 2016, operations=243.68526298230765, operationsPerMinute=121.84263149115382, mode=normal, start=Tue Jun 21 16:36:13 BST 2016, end=Tue Jun 21 16:40:13 BST 2016, operations=530.9337325774358, operationsPerMinute=132.73343314435894
benchmark-name=crypto.aes, mod=warmup, start=Tue Jun 21 16:40:15 BST 2016, end=Tue Jun 21 16:42:15 BST 2016, operations=83.59079840430631, operationsPerMinute=41.795399202153156, mode=normal, start=Tue Jun 21 16:42:22 BST 2016, end=Tue Jun 21 16:46:22 BST 2016, operations=175.94726851401532, operationsPerMinute=43.98681712850383
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jun 21 16:46:31 BST 2016, end=Tue Jun 21 16:48:31 BST 2016, operations=141.69152252867167, operationsPerMinute=70.84576126433583, mode=normal, start=Tue Jun 21 16:48:36 BST 2016, end=Tue Jun 21 16:52:36 BST 2016, operations=283.6248879128534, operationsPerMinute=70.90622197821335
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jun 21 16:52:41 BST 2016, end=Tue Jun 21 16:54:41 BST 2016, operations=229.86918167333968, operationsPerMinute=114.93459083666984, mode=normal, start=Tue Jun 21 16:54:44 BST 2016, end=Tue Jun 21 16:58:44 BST 2016, operations=467.93259373366874, operationsPerMinute=116.98314843341718
benchmark-name=derby, mod=warmup, start=Tue Jun 21 17:00:28 BST 2016, end=Tue Jun 21 17:02:28 BST 2016, operations=185.4947230724358, operationsPerMinute=92.7473615362179, mode=normal, start=Tue Jun 21 17:02:33 BST 2016, end=Tue Jun 21 17:06:33 BST 2016, operations=336.38757215043535, operationsPerMinute=84.09689303760884
benchmark-name=mpegaudio, mod=warmup, start=Tue Jun 21 17:06:38 BST 2016, end=Tue Jun 21 17:08:38 BST 2016, operations=118.86896882424233, operationsPerMinute=59.434484412121165, mode=normal, start=Tue Jun 21 17:08:42 BST 2016, end=Tue Jun 21 17:12:42 BST 2016, operations=243.95517663536657, operationsPerMinute=60.98879415884164
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jun 21 17:12:48 BST 2016, end=Tue Jun 21 17:14:48 BST 2016, operations=39.16130136580852, operationsPerMinute=19.58065068290426, mode=normal, start=Tue Jun 21 17:15:05 BST 2016, end=Tue Jun 21 17:19:05 BST 2016, operations=65.76785486116881, operationsPerMinute=16.441963715292204
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jun 21 17:19:16 BST 2016, end=Tue Jun 21 17:21:16 BST 2016, operations=6.1849677441414865, operationsPerMinute=3.0924838720707433, mode=normal, start=Tue Jun 21 17:22:17 BST 2016, end=Tue Jun 21 17:26:17 BST 2016, operations=15.108900855247247, operationsPerMinute=3.777225213811812
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jun 21 17:27:59 BST 2016, end=Tue Jun 21 17:29:59 BST 2016, operations=36.33268451284005, operationsPerMinute=18.166342256420027, mode=normal, start=Tue Jun 21 17:30:15 BST 2016, end=Tue Jun 21 17:34:15 BST 2016, operations=94.03245935372527, operationsPerMinute=23.508114838431318
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jun 21 17:34:46 BST 2016, end=Tue Jun 21 17:36:46 BST 2016, operations=33.38388511935493, operationsPerMinute=16.691942559677464, mode=normal, start=Tue Jun 21 17:37:05 BST 2016, end=Tue Jun 21 17:41:05 BST 2016, operations=70.23316500202375, operationsPerMinute=17.55829125050594
benchmark-name=scimark.fft.small, mod=warmup, start=Tue Jun 21 17:41:32 BST 2016, end=Tue Jun 21 17:43:32 BST 2016, operations=461.2396415208184, operationsPerMinute=230.6198207604092, mode=normal, start=Tue Jun 21 17:43:33 BST 2016, end=Tue Jun 21 17:47:33 BST 2016, operations=912.3056606349156, operationsPerMinute=228.0764151587289
benchmark-name=scimark.lu.small, mod=warmup, start=Tue Jun 21 17:47:35 BST 2016, end=Tue Jun 21 17:49:35 BST 2016, operations=324.5024824255859, operationsPerMinute=162.25124121279296, mode=normal, start=Tue Jun 21 17:49:38 BST 2016, end=Tue Jun 21 17:53:38 BST 2016, operations=641.9780713163566, operationsPerMinute=160.49451782908915
benchmark-name=scimark.sor.small, mod=warmup, start=Tue Jun 21 17:53:41 BST 2016, end=Tue Jun 21 17:55:41 BST 2016, operations=217.34092119181219, operationsPerMinute=108.67046059590609, mode=normal, start=Tue Jun 21 17:55:44 BST 2016, end=Tue Jun 21 17:59:44 BST 2016, operations=464.7200592463526, operationsPerMinute=116.18001481158815
benchmark-name=scimark.sparse.small, mod=warmup, start=Tue Jun 21 17:59:48 BST 2016, end=Tue Jun 21 18:01:48 BST 2016, operations=297.7990116522543, operationsPerMinute=148.89950582612715, mode=normal, start=Tue Jun 21 18:01:50 BST 2016, end=Tue Jun 21 18:05:50 BST 2016, operations=587.0877781190725, operationsPerMinute=146.77194452976812
benchmark-name=scimark.monte_carlo, mod=warmup, start=Tue Jun 21 18:05:52 BST 2016, end=Tue Jun 21 18:07:52 BST 2016, operations=70.92658310769156, operationsPerMinute=35.46329155384578, mode=normal, start=Tue Jun 21 18:08:02 BST 2016, end=Tue Jun 21 18:12:02 BST 2016, operations=129.63355535740502, operationsPerMinute=32.408388839351254
