spec.jvm2008.report.run.location=BEDSONTC053
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jun 03 15:01:04 BST 2016, end=Fri Jun 03 15:01:04 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:01:04 BST 2016, end=Fri Jun 03 15:01:04 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:01:04 BST 2016, end=Fri Jun 03 15:01:16 BST 2016, operations=1.0, operationsPerMinute=4.83169592526977
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:01:16 BST 2016, end=Fri Jun 03 15:01:20 BST 2016, operations=1.0, operationsPerMinute=18.76172607879925
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:01:20 BST 2016, end=Fri Jun 03 15:01:21 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:01:21 BST 2016, end=Fri Jun 03 15:01:29 BST 2016, operations=1.0, operationsPerMinute=7.136060894386299
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:01:29 BST 2016, end=Fri Jun 03 15:01:37 BST 2016, operations=1.0, operationsPerMinute=8.079719903043362
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:01:37 BST 2016, end=Fri Jun 03 15:01:43 BST 2016, operations=1.0, operationsPerMinute=9.135200974421437
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:01:43 BST 2016, end=Fri Jun 03 15:01:45 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:01:45 BST 2016, end=Fri Jun 03 15:01:46 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:01:46 BST 2016, end=Fri Jun 03 15:01:47 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:01:47 BST 2016, end=Fri Jun 03 15:01:52 BST 2016, operations=1.0, operationsPerMinute=11.021307861866275
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:01:52 BST 2016, end=Fri Jun 03 15:01:54 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:01:54 BST 2016, end=Fri Jun 03 15:01:55 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:01:55 BST 2016, end=Fri Jun 03 15:01:57 BST 2016, operations=1.0, operationsPerMinute=28.91566265060241
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:01:57 BST 2016, end=Fri Jun 03 15:02:03 BST 2016, operations=1.0, operationsPerMinute=9.448818897637794
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:02:03 BST 2016, end=Fri Jun 03 15:02:23 BST 2016, operations=1.0, operationsPerMinute=2.995506739890165
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:02:23 BST 2016, end=Fri Jun 03 15:02:24 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:02:34 BST 2016, end=Fri Jun 03 15:04:34 BST 2016, operations=493.6875322731879, operationsPerMinute=246.84376613659396, mode=normal, start=Fri Jun 03 15:04:35 BST 2016, end=Fri Jun 03 15:08:35 BST 2016, operations=1018.7481136065727, operationsPerMinute=254.68702840164318
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:08:39 BST 2016, end=Fri Jun 03 15:10:39 BST 2016, operations=184.14650013562414, operationsPerMinute=92.07325006781207, mode=normal, start=Fri Jun 03 15:10:43 BST 2016, end=Fri Jun 03 15:14:43 BST 2016, operations=381.1367906371202, operationsPerMinute=95.28419765928005
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:14:46 BST 2016, end=Fri Jun 03 15:16:46 BST 2016, operations=402.91706230812474, operationsPerMinute=201.45853115406237, mode=normal, start=Fri Jun 03 15:16:48 BST 2016, end=Fri Jun 03 15:20:48 BST 2016, operations=806.6472573839663, operationsPerMinute=201.6618143459916
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:20:49 BST 2016, end=Fri Jun 03 15:22:49 BST 2016, operations=139.20359748988312, operationsPerMinute=69.60179874494156, mode=normal, start=Fri Jun 03 15:22:54 BST 2016, end=Fri Jun 03 15:26:54 BST 2016, operations=292.570760321858, operationsPerMinute=73.1426900804645
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:26:59 BST 2016, end=Fri Jun 03 15:28:59 BST 2016, operations=237.37955853687833, operationsPerMinute=118.68977926843917, mode=normal, start=Fri Jun 03 15:29:02 BST 2016, end=Fri Jun 03 15:33:02 BST 2016, operations=474.90348365112743, operationsPerMinute=118.72587091278186
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:33:05 BST 2016, end=Fri Jun 03 15:35:05 BST 2016, operations=410.66478325400476, operationsPerMinute=205.33239162700238, mode=normal, start=Fri Jun 03 15:35:07 BST 2016, end=Fri Jun 03 15:39:07 BST 2016, operations=820.7273171273171, operationsPerMinute=205.18182928182927
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:39:29 BST 2016, end=Fri Jun 03 15:41:29 BST 2016, operations=366.03730142356096, operationsPerMinute=183.01865071178048, mode=normal, start=Fri Jun 03 15:41:30 BST 2016, end=Fri Jun 03 15:45:30 BST 2016, operations=732.6136019334493, operationsPerMinute=183.15340048336233
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:45:33 BST 2016, end=Fri Jun 03 15:47:33 BST 2016, operations=209.11957143360956, operationsPerMinute=104.55978571680478, mode=normal, start=Fri Jun 03 15:47:37 BST 2016, end=Fri Jun 03 15:51:37 BST 2016, operations=418.59564364483407, operationsPerMinute=104.64891091120852
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:51:40 BST 2016, end=Fri Jun 03 15:53:40 BST 2016, operations=70.14855497768849, operationsPerMinute=35.074277488844245, mode=normal, start=Fri Jun 03 15:53:49 BST 2016, end=Fri Jun 03 15:57:49 BST 2016, operations=153.5668809936472, operationsPerMinute=38.3917202484118
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 15:57:59 BST 2016, end=Fri Jun 03 15:59:59 BST 2016, operations=13.863311935493934, operationsPerMinute=6.931655967746967, mode=normal, start=Fri Jun 03 16:00:43 BST 2016, end=Fri Jun 03 16:04:43 BST 2016, operations=28.16711109117146, operationsPerMinute=7.041777772792865
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:05:32 BST 2016, end=Fri Jun 03 16:07:32 BST 2016, operations=75.10855372331682, operationsPerMinute=37.55427686165841, mode=normal, start=Fri Jun 03 16:07:40 BST 2016, end=Fri Jun 03 16:11:40 BST 2016, operations=150.36906173385174, operationsPerMinute=37.592265433462934
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 16:11:49 BST 2016, end=Fri Jun 03 16:13:49 BST 2016, operations=42.85139340232289, operationsPerMinute=21.425696701161446, mode=normal, start=Fri Jun 03 16:14:01 BST 2016, end=Fri Jun 03 16:18:01 BST 2016, operations=85.93950426611477, operationsPerMinute=21.48487606652869
