spec.jvm2008.report.run.location=HULL02
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8104
benchmark-name=check, mode=normal, start=Sat Jun 04 08:26:56 BST 2016, end=Sat Jun 04 08:26:56 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 08:26:56 BST 2016, end=Sat Jun 04 08:26:56 BST 2016, operations=1.0, operationsPerMinute=413.7931034482759
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 08:26:56 BST 2016, end=Sat Jun 04 08:27:11 BST 2016, operations=1.0, operationsPerMinute=4.156563907170073
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 08:27:11 BST 2016, end=Sat Jun 04 08:27:14 BST 2016, operations=1.0, operationsPerMinute=16.059957173447536
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 08:27:14 BST 2016, end=Sat Jun 04 08:27:16 BST 2016, operations=1.0, operationsPerMinute=44.80955937266617
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 08:27:16 BST 2016, end=Sat Jun 04 08:27:24 BST 2016, operations=1.0, operationsPerMinute=7.098071690524074
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 08:27:24 BST 2016, end=Sat Jun 04 08:27:32 BST 2016, operations=1.0, operationsPerMinute=7.971303308090873
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 08:27:32 BST 2016, end=Sat Jun 04 08:27:38 BST 2016, operations=1.0, operationsPerMinute=9.107468123861567
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 08:27:38 BST 2016, end=Sat Jun 04 08:27:41 BST 2016, operations=1.0, operationsPerMinute=24.559967253376996
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 08:27:41 BST 2016, end=Sat Jun 04 08:27:42 BST 2016, operations=1.0, operationsPerMinute=76.14213197969544
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 08:27:42 BST 2016, end=Sat Jun 04 08:27:42 BST 2016, operations=1.0, operationsPerMinute=61.162079510703364
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 08:27:42 BST 2016, end=Sat Jun 04 08:27:48 BST 2016, operations=1.0, operationsPerMinute=10.252904989747096
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 08:27:48 BST 2016, end=Sat Jun 04 08:27:50 BST 2016, operations=1.0, operationsPerMinute=38.98635477582846
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 08:27:50 BST 2016, end=Sat Jun 04 08:27:51 BST 2016, operations=1.0, operationsPerMinute=56.17977528089887
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 08:27:51 BST 2016, end=Sat Jun 04 08:27:53 BST 2016, operations=1.0, operationsPerMinute=25.839793281653748
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 08:27:53 BST 2016, end=Sat Jun 04 08:28:00 BST 2016, operations=1.0, operationsPerMinute=9.233610341643583
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 08:28:00 BST 2016, end=Sat Jun 04 08:28:22 BST 2016, operations=1.0, operationsPerMinute=2.759635728083893
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 08:28:22 BST 2016, end=Sat Jun 04 08:28:22 BST 2016, operations=1.0, operationsPerMinute=62.24066390041494
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 08:28:36 BST 2016, end=Sat Jun 04 08:30:36 BST 2016, operations=443.2768925090744, operationsPerMinute=221.6384462545372, mode=normal, start=Sat Jun 04 08:30:37 BST 2016, end=Sat Jun 04 08:34:37 BST 2016, operations=952.4863716958077, operationsPerMinute=238.12159292395194
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 08:34:41 BST 2016, end=Sat Jun 04 08:36:41 BST 2016, operations=186.84840888466684, operationsPerMinute=93.42420444233342, mode=normal, start=Sat Jun 04 08:36:45 BST 2016, end=Sat Jun 04 08:40:45 BST 2016, operations=373.7422780348572, operationsPerMinute=93.4355695087143
benchmark-name=compress, mod=warmup, start=Sat Jun 04 08:40:48 BST 2016, end=Sat Jun 04 08:42:48 BST 2016, operations=359.85745933873335, operationsPerMinute=179.92872966936667, mode=normal, start=Sat Jun 04 08:42:51 BST 2016, end=Sat Jun 04 08:46:51 BST 2016, operations=728.9019727793141, operationsPerMinute=182.22549319482852
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 08:46:53 BST 2016, end=Sat Jun 04 08:48:53 BST 2016, operations=127.99616241129507, operationsPerMinute=63.99808120564754, mode=normal, start=Sat Jun 04 08:48:58 BST 2016, end=Sat Jun 04 08:52:58 BST 2016, operations=273.78633047468895, operationsPerMinute=68.44658261867224
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 08:53:03 BST 2016, end=Sat Jun 04 08:55:03 BST 2016, operations=213.36603027049074, operationsPerMinute=106.68301513524537, mode=normal, start=Sat Jun 04 08:55:06 BST 2016, end=Sat Jun 04 08:59:06 BST 2016, operations=434.5015823320802, operationsPerMinute=108.62539558302005
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 08:59:14 BST 2016, end=Sat Jun 04 09:01:14 BST 2016, operations=378.0402142161636, operationsPerMinute=189.0201071080818, mode=normal, start=Sat Jun 04 09:01:16 BST 2016, end=Sat Jun 04 09:05:16 BST 2016, operations=809.7460674331519, operationsPerMinute=202.43651685828797
benchmark-name=derby, mod=warmup, start=Sat Jun 04 09:05:38 BST 2016, end=Sat Jun 04 09:07:38 BST 2016, operations=361.44832774635313, operationsPerMinute=180.72416387317656, mode=normal, start=Sat Jun 04 09:07:40 BST 2016, end=Sat Jun 04 09:11:40 BST 2016, operations=727.4451502098291, operationsPerMinute=181.86128755245727
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 09:11:42 BST 2016, end=Sat Jun 04 09:13:42 BST 2016, operations=208.00869197816544, operationsPerMinute=104.00434598908272, mode=normal, start=Sat Jun 04 09:13:46 BST 2016, end=Sat Jun 04 09:17:46 BST 2016, operations=406.17215992324964, operationsPerMinute=101.54303998081241
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 09:17:51 BST 2016, end=Sat Jun 04 09:19:51 BST 2016, operations=76.22056745965027, operationsPerMinute=38.110283729825134, mode=normal, start=Sat Jun 04 09:19:59 BST 2016, end=Sat Jun 04 09:23:59 BST 2016, operations=145.5135131355833, operationsPerMinute=36.37837828389583
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 09:24:08 BST 2016, end=Sat Jun 04 09:26:08 BST 2016, operations=13.80080869243794, operationsPerMinute=6.90040434621897, mode=normal, start=Sat Jun 04 09:26:53 BST 2016, end=Sat Jun 04 09:30:53 BST 2016, operations=27.990089730251107, operationsPerMinute=6.997522432562777
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 09:31:37 BST 2016, end=Sat Jun 04 09:33:37 BST 2016, operations=72.22444407793301, operationsPerMinute=36.11222203896651, mode=normal, start=Sat Jun 04 09:33:48 BST 2016, end=Sat Jun 04 09:37:48 BST 2016, operations=148.3784268493081, operationsPerMinute=37.09460671232703
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 09:37:57 BST 2016, end=Sat Jun 04 09:39:57 BST 2016, operations=41.772965306449755, operationsPerMinute=20.886482653224878, mode=normal, start=Sat Jun 04 09:40:12 BST 2016, end=Sat Jun 04 09:44:12 BST 2016, operations=84.09687566039283, operationsPerMinute=21.024218915098206
benchmark-name=scimark.fft.small, mod=warmup, start=Sat Jun 04 09:44:26 BST 2016, end=Sat Jun 04 09:46:26 BST 2016, operations=489.8056364253292, operationsPerMinute=244.9028182126646, mode=normal, start=Sat Jun 04 09:46:30 BST 2016, end=Sat Jun 04 09:50:30 BST 2016, operations=797.4510877492654, operationsPerMinute=199.36277193731635
