spec.jvm2008.report.run.location=UNION52
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Sat Jun 04 08:30:03 BST 2016, end=Sat Jun 04 08:30:03 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 08:30:03 BST 2016, end=Sat Jun 04 08:30:04 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 08:30:04 BST 2016, end=Sat Jun 04 08:30:31 BST 2016, operations=1.0, operationsPerMinute=2.204018660691327
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 08:30:31 BST 2016, end=Sat Jun 04 08:30:37 BST 2016, operations=1.0, operationsPerMinute=10.683760683760683
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 08:30:37 BST 2016, end=Sat Jun 04 08:30:39 BST 2016, operations=1.0, operationsPerMinute=37.336652146857496
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 08:30:39 BST 2016, end=Sat Jun 04 08:30:49 BST 2016, operations=1.0, operationsPerMinute=5.810012588360608
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 08:30:49 BST 2016, end=Sat Jun 04 08:30:58 BST 2016, operations=1.0, operationsPerMinute=6.9052825411439755
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 08:30:58 BST 2016, end=Sat Jun 04 08:31:05 BST 2016, operations=1.0, operationsPerMinute=8.37871805613741
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 08:31:05 BST 2016, end=Sat Jun 04 08:31:08 BST 2016, operations=1.0, operationsPerMinute=18.951358180669615
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 08:31:08 BST 2016, end=Sat Jun 04 08:31:09 BST 2016, operations=1.0, operationsPerMinute=65.14657980456026
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 08:31:09 BST 2016, end=Sat Jun 04 08:31:10 BST 2016, operations=1.0, operationsPerMinute=49.91680532445923
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 08:31:10 BST 2016, end=Sat Jun 04 08:31:17 BST 2016, operations=1.0, operationsPerMinute=8.862629246676514
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 08:31:17 BST 2016, end=Sat Jun 04 08:31:19 BST 2016, operations=1.0, operationsPerMinute=34.96503496503497
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 08:31:19 BST 2016, end=Sat Jun 04 08:31:20 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 08:31:20 BST 2016, end=Sat Jun 04 08:31:23 BST 2016, operations=1.0, operationsPerMinute=19.5248942401562
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 08:31:23 BST 2016, end=Sat Jun 04 08:31:31 BST 2016, operations=1.0, operationsPerMinute=7.9787234042553195
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 08:31:31 BST 2016, end=Sat Jun 04 08:32:01 BST 2016, operations=1.0, operationsPerMinute=1.9825535289452816
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 08:32:01 BST 2016, end=Sat Jun 04 08:32:02 BST 2016, operations=1.0, operationsPerMinute=41.35079255685734
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 08:32:18 BST 2016, end=Sat Jun 04 08:34:18 BST 2016, operations=348.45060466077564, operationsPerMinute=174.22530233038782, mode=normal, start=Sat Jun 04 08:34:19 BST 2016, end=Sat Jun 04 08:38:19 BST 2016, operations=718.4573289982299, operationsPerMinute=179.61433224955746
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 08:38:28 BST 2016, end=Sat Jun 04 08:40:28 BST 2016, operations=138.44112787410683, operationsPerMinute=69.22056393705341, mode=normal, start=Sat Jun 04 08:40:32 BST 2016, end=Sat Jun 04 08:44:32 BST 2016, operations=284.0176804720297, operationsPerMinute=71.00442011800743
benchmark-name=compress, mod=warmup, start=Sat Jun 04 08:44:36 BST 2016, end=Sat Jun 04 08:46:36 BST 2016, operations=271.6130700222849, operationsPerMinute=135.80653501114244, mode=normal, start=Sat Jun 04 08:46:39 BST 2016, end=Sat Jun 04 08:50:39 BST 2016, operations=540.0196692588712, operationsPerMinute=135.0049173147178
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 08:50:41 BST 2016, end=Sat Jun 04 08:52:41 BST 2016, operations=85.76039316072645, operationsPerMinute=42.880196580363226, mode=normal, start=Sat Jun 04 08:52:50 BST 2016, end=Sat Jun 04 08:56:50 BST 2016, operations=181.5263472139439, operationsPerMinute=45.38158680348597
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 08:56:58 BST 2016, end=Sat Jun 04 08:58:58 BST 2016, operations=146.33924847975115, operationsPerMinute=73.16962423987557, mode=normal, start=Sat Jun 04 08:59:03 BST 2016, end=Sat Jun 04 09:03:03 BST 2016, operations=292.73760911491394, operationsPerMinute=73.18440227872848
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 09:03:09 BST 2016, end=Sat Jun 04 09:05:09 BST 2016, operations=252.75069720613413, operationsPerMinute=126.37534860306707, mode=normal, start=Sat Jun 04 09:05:12 BST 2016, end=Sat Jun 04 09:09:12 BST 2016, operations=499.7035363349031, operationsPerMinute=124.92588408372578
benchmark-name=derby, mod=warmup, start=Sat Jun 04 09:10:38 BST 2016, end=Sat Jun 04 09:12:38 BST 2016, operations=200.07595611127903, operationsPerMinute=100.03797805563951, mode=normal, start=Sat Jun 04 09:12:42 BST 2016, end=Sat Jun 04 09:16:42 BST 2016, operations=404.6293129867534, operationsPerMinute=101.15732824668835
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 09:16:46 BST 2016, end=Sat Jun 04 09:18:46 BST 2016, operations=133.9306681355876, operationsPerMinute=66.9653340677938, mode=normal, start=Sat Jun 04 09:18:52 BST 2016, end=Sat Jun 04 09:22:52 BST 2016, operations=268.1773230509937, operationsPerMinute=67.04433076274843
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 09:22:58 BST 2016, end=Sat Jun 04 09:24:58 BST 2016, operations=77.50769289247398, operationsPerMinute=38.75384644623699, mode=normal, start=Sat Jun 04 09:25:06 BST 2016, end=Sat Jun 04 09:29:06 BST 2016, operations=165.579572512731, operationsPerMinute=41.39489312818275
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 09:29:15 BST 2016, end=Sat Jun 04 09:31:15 BST 2016, operations=20.031022865749918, operationsPerMinute=10.015511432874959, mode=normal, start=Sat Jun 04 09:31:46 BST 2016, end=Sat Jun 04 09:35:46 BST 2016, operations=40.18936526927842, operationsPerMinute=10.047341317319605
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 09:36:17 BST 2016, end=Sat Jun 04 09:38:17 BST 2016, operations=55.39477440265571, operationsPerMinute=27.697387201327857, mode=normal, start=Sat Jun 04 09:38:29 BST 2016, end=Sat Jun 04 09:42:29 BST 2016, operations=110.71005989336672, operationsPerMinute=27.67751497334168
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 09:42:45 BST 2016, end=Sat Jun 04 09:44:45 BST 2016, operations=59.92672391714183, operationsPerMinute=29.963361958570914, mode=normal, start=Sat Jun 04 09:44:56 BST 2016, end=Sat Jun 04 09:48:56 BST 2016, operations=121.31584001229047, operationsPerMinute=30.328960003072616
