spec.jvm2008.report.run.location=HULL71
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Tue Jun 21 15:22:50 BST 2016, end=Tue Jun 21 15:22:50 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Tue Jun 21 15:22:50 BST 2016, end=Tue Jun 21 15:22:50 BST 2016, operations=1.0, operationsPerMinute=320.85561497326205
benchmark-name=startup.compiler.compiler, mode=normal, start=Tue Jun 21 15:22:50 BST 2016, end=Tue Jun 21 15:23:26 BST 2016, operations=1.0, operationsPerMinute=1.695825443034397
benchmark-name=startup.compiler.sunflow, mode=normal, start=Tue Jun 21 15:23:26 BST 2016, end=Tue Jun 21 15:23:31 BST 2016, operations=1.0, operationsPerMinute=11.117287381878821
benchmark-name=startup.compress, mode=normal, start=Tue Jun 21 15:23:31 BST 2016, end=Tue Jun 21 15:23:33 BST 2016, operations=1.0, operationsPerMinute=37.71213073538655
benchmark-name=startup.crypto.aes, mode=normal, start=Tue Jun 21 15:23:33 BST 2016, end=Tue Jun 21 15:23:43 BST 2016, operations=1.0, operationsPerMinute=5.935305173607676
benchmark-name=startup.crypto.rsa, mode=normal, start=Tue Jun 21 15:23:43 BST 2016, end=Tue Jun 21 15:23:51 BST 2016, operations=1.0, operationsPerMinute=7.057163020465773
benchmark-name=startup.crypto.signverify, mode=normal, start=Tue Jun 21 15:23:51 BST 2016, end=Tue Jun 21 15:23:59 BST 2016, operations=1.0, operationsPerMinute=7.947019867549669
benchmark-name=startup.mpegaudio, mode=normal, start=Tue Jun 21 15:23:59 BST 2016, end=Tue Jun 21 15:24:02 BST 2016, operations=1.0, operationsPerMinute=18.575851393188856
benchmark-name=startup.scimark.fft, mode=normal, start=Tue Jun 21 15:24:02 BST 2016, end=Tue Jun 21 15:24:03 BST 2016, operations=1.0, operationsPerMinute=64.1025641025641
benchmark-name=startup.scimark.lu, mode=normal, start=Tue Jun 21 15:24:03 BST 2016, end=Tue Jun 21 15:24:04 BST 2016, operations=1.0, operationsPerMinute=49.3421052631579
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Tue Jun 21 15:24:04 BST 2016, end=Tue Jun 21 15:24:11 BST 2016, operations=1.0, operationsPerMinute=8.903398130286392
benchmark-name=startup.scimark.sor, mode=normal, start=Tue Jun 21 15:24:11 BST 2016, end=Tue Jun 21 15:24:13 BST 2016, operations=1.0, operationsPerMinute=34.64203233256351
benchmark-name=startup.scimark.sparse, mode=normal, start=Tue Jun 21 15:24:13 BST 2016, end=Tue Jun 21 15:24:14 BST 2016, operations=1.0, operationsPerMinute=43.22766570605187
benchmark-name=startup.serial, mode=normal, start=Tue Jun 21 15:24:14 BST 2016, end=Tue Jun 21 15:24:17 BST 2016, operations=1.0, operationsPerMinute=19.821605550049554
benchmark-name=startup.sunflow, mode=normal, start=Tue Jun 21 15:24:17 BST 2016, end=Tue Jun 21 15:24:24 BST 2016, operations=1.0, operationsPerMinute=8.379888268156424
benchmark-name=startup.xml.transform, mode=normal, start=Tue Jun 21 15:24:24 BST 2016, end=Tue Jun 21 15:24:53 BST 2016, operations=1.0, operationsPerMinute=2.08239336410648
benchmark-name=startup.xml.validation, mode=normal, start=Tue Jun 21 15:24:53 BST 2016, end=Tue Jun 21 15:24:54 BST 2016, operations=1.0, operationsPerMinute=46.91164972634871
benchmark-name=compiler.compiler, mod=warmup, start=Tue Jun 21 15:25:15 BST 2016, end=Tue Jun 21 15:27:15 BST 2016, operations=348.1062709315981, operationsPerMinute=174.05313546579904, mode=normal, start=Tue Jun 21 15:27:17 BST 2016, end=Tue Jun 21 15:31:17 BST 2016, operations=727.8099326134434, operationsPerMinute=181.95248315336084
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jun 21 15:31:24 BST 2016, end=Tue Jun 21 15:33:24 BST 2016, operations=141.4332470846799, operationsPerMinute=70.71662354233995, mode=normal, start=Tue Jun 21 15:33:29 BST 2016, end=Tue Jun 21 15:37:29 BST 2016, operations=282.1304920205781, operationsPerMinute=70.53262300514453
benchmark-name=compress, mod=warmup, start=Tue Jun 21 15:37:32 BST 2016, end=Tue Jun 21 15:39:32 BST 2016, operations=270.8387742070438, operationsPerMinute=135.4193871035219, mode=normal, start=Tue Jun 21 15:39:35 BST 2016, end=Tue Jun 21 15:43:35 BST 2016, operations=542.8319113264567, operationsPerMinute=135.7079778316142
benchmark-name=crypto.aes, mod=warmup, start=Tue Jun 21 15:43:38 BST 2016, end=Tue Jun 21 15:45:38 BST 2016, operations=85.46891946522759, operationsPerMinute=42.73445973261379, mode=normal, start=Tue Jun 21 15:45:47 BST 2016, end=Tue Jun 21 15:49:47 BST 2016, operations=178.46609039573062, operationsPerMinute=44.616522598932654
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jun 21 15:49:55 BST 2016, end=Tue Jun 21 15:51:55 BST 2016, operations=143.87938313378137, operationsPerMinute=71.93969156689069, mode=normal, start=Tue Jun 21 15:52:00 BST 2016, end=Tue Jun 21 15:56:00 BST 2016, operations=281.50656085144385, operationsPerMinute=70.37664021286096
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jun 21 15:56:05 BST 2016, end=Tue Jun 21 15:58:05 BST 2016, operations=247.91789817369758, operationsPerMinute=123.95894908684879, mode=normal, start=Tue Jun 21 15:58:08 BST 2016, end=Tue Jun 21 16:02:08 BST 2016, operations=474.0750403756152, operationsPerMinute=118.5187600939038
benchmark-name=derby, mod=warmup, start=Tue Jun 21 16:03:49 BST 2016, end=Tue Jun 21 16:05:49 BST 2016, operations=183.66973214267125, operationsPerMinute=91.83486607133563, mode=normal, start=Tue Jun 21 16:05:52 BST 2016, end=Tue Jun 21 16:09:52 BST 2016, operations=368.8139336388737, operationsPerMinute=92.20348340971843
benchmark-name=mpegaudio, mod=warmup, start=Tue Jun 21 16:09:56 BST 2016, end=Tue Jun 21 16:11:56 BST 2016, operations=131.4481953201493, operationsPerMinute=65.72409766007465, mode=normal, start=Tue Jun 21 16:12:03 BST 2016, end=Tue Jun 21 16:16:03 BST 2016, operations=263.7719355675001, operationsPerMinute=65.94298389187503
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jun 21 16:16:09 BST 2016, end=Tue Jun 21 16:18:09 BST 2016, operations=61.6925197307566, operationsPerMinute=30.8462598653783, mode=normal, start=Tue Jun 21 16:18:19 BST 2016, end=Tue Jun 21 16:22:19 BST 2016, operations=120.21988653776273, operationsPerMinute=30.054971634440683
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jun 21 16:22:31 BST 2016, end=Tue Jun 21 16:24:31 BST 2016, operations=11.535645338001512, operationsPerMinute=5.767822669000756, mode=normal, start=Tue Jun 21 16:25:08 BST 2016, end=Tue Jun 21 16:29:08 BST 2016, operations=22.858410220249894, operationsPerMinute=5.7146025550624735
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jun 21 16:29:51 BST 2016, end=Tue Jun 21 16:31:51 BST 2016, operations=54.73497868799701, operationsPerMinute=27.367489343998503, mode=normal, start=Tue Jun 21 16:32:03 BST 2016, end=Tue Jun 21 16:36:03 BST 2016, operations=109.94447554794829, operationsPerMinute=27.48611888698707
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jun 21 16:36:16 BST 2016, end=Tue Jun 21 16:38:16 BST 2016, operations=37.213266163308894, operationsPerMinute=18.606633081654447, mode=normal, start=Tue Jun 21 16:38:34 BST 2016, end=Tue Jun 21 16:42:34 BST 2016, operations=74.56457457694361, operationsPerMinute=18.641143644235903
