spec.jvm2008.report.run.location=CASTLEAZES006
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 25 03:18:13 BST 2016, end=Sat Jun 25 03:18:13 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 25 03:18:13 BST 2016, end=Sat Jun 25 03:18:13 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 25 03:18:13 BST 2016, end=Sat Jun 25 03:18:26 BST 2016, operations=1.0, operationsPerMinute=4.679092256102316
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 25 03:18:26 BST 2016, end=Sat Jun 25 03:18:29 BST 2016, operations=1.0, operationsPerMinute=18.226002430133658
benchmark-name=startup.compress, mode=normal, start=Sat Jun 25 03:18:29 BST 2016, end=Sat Jun 25 03:18:31 BST 2016, operations=1.0, operationsPerMinute=47.50593824228029
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 25 03:18:31 BST 2016, end=Sat Jun 25 03:18:39 BST 2016, operations=1.0, operationsPerMinute=7.057163020465773
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 25 03:18:39 BST 2016, end=Sat Jun 25 03:18:47 BST 2016, operations=1.0, operationsPerMinute=7.947019867549669
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 25 03:18:47 BST 2016, end=Sat Jun 25 03:18:53 BST 2016, operations=1.0, operationsPerMinute=9.092286710107592
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 25 03:18:53 BST 2016, end=Sat Jun 25 03:18:55 BST 2016, operations=1.0, operationsPerMinute=26.33889376646181
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 25 03:18:55 BST 2016, end=Sat Jun 25 03:18:56 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 25 03:18:56 BST 2016, end=Sat Jun 25 03:18:57 BST 2016, operations=1.0, operationsPerMinute=65.21739130434783
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 25 03:18:57 BST 2016, end=Sat Jun 25 03:19:03 BST 2016, operations=1.0, operationsPerMinute=10.623229461756374
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 25 03:19:03 BST 2016, end=Sat Jun 25 03:19:04 BST 2016, operations=1.0, operationsPerMinute=41.81184668989547
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 25 03:19:04 BST 2016, end=Sat Jun 25 03:19:05 BST 2016, operations=1.0, operationsPerMinute=60.120240480961925
benchmark-name=startup.serial, mode=normal, start=Sat Jun 25 03:19:05 BST 2016, end=Sat Jun 25 03:19:07 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 25 03:19:07 BST 2016, end=Sat Jun 25 03:19:14 BST 2016, operations=1.0, operationsPerMinute=9.289363678588018
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 25 03:19:14 BST 2016, end=Sat Jun 25 03:19:34 BST 2016, operations=1.0, operationsPerMinute=2.9315483461181415
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 25 03:19:34 BST 2016, end=Sat Jun 25 03:19:35 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 25 03:19:46 BST 2016, end=Sat Jun 25 03:21:46 BST 2016, operations=451.5333395341968, operationsPerMinute=225.7666697670984, mode=normal, start=Sat Jun 25 03:21:47 BST 2016, end=Sat Jun 25 03:25:47 BST 2016, operations=953.2348745973469, operationsPerMinute=238.30871864933673
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 25 03:25:51 BST 2016, end=Sat Jun 25 03:27:51 BST 2016, operations=189.22848921647312, operationsPerMinute=94.61424460823656, mode=normal, start=Sat Jun 25 03:27:54 BST 2016, end=Sat Jun 25 03:31:54 BST 2016, operations=379.6425902597055, operationsPerMinute=94.91064756492638
benchmark-name=compress, mod=warmup, start=Sat Jun 25 03:31:58 BST 2016, end=Sat Jun 25 03:33:58 BST 2016, operations=370.33404458894177, operationsPerMinute=185.16702229447088, mode=normal, start=Sat Jun 25 03:34:00 BST 2016, end=Sat Jun 25 03:38:00 BST 2016, operations=741.3280782176887, operationsPerMinute=185.33201955442217
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 25 03:38:03 BST 2016, end=Sat Jun 25 03:40:03 BST 2016, operations=129.4767282220347, operationsPerMinute=64.73836411101735, mode=normal, start=Sat Jun 25 03:40:07 BST 2016, end=Sat Jun 25 03:44:07 BST 2016, operations=273.6143055430769, operationsPerMinute=68.40357638576923
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 25 03:44:13 BST 2016, end=Sat Jun 25 03:46:13 BST 2016, operations=218.91478978220707, operationsPerMinute=109.45739489110353, mode=normal, start=Sat Jun 25 03:46:17 BST 2016, end=Sat Jun 25 03:50:17 BST 2016, operations=434.37706965319893, operationsPerMinute=108.59426741329973
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 25 03:50:20 BST 2016, end=Sat Jun 25 03:52:20 BST 2016, operations=376.99044277689654, operationsPerMinute=188.49522138844827, mode=normal, start=Sat Jun 25 03:52:23 BST 2016, end=Sat Jun 25 03:56:23 BST 2016, operations=753.0594760357665, operationsPerMinute=188.26486900894162
benchmark-name=derby, mod=warmup, start=Sat Jun 25 03:56:45 BST 2016, end=Sat Jun 25 03:58:45 BST 2016, operations=330.99456903338324, operationsPerMinute=165.49728451669162, mode=normal, start=Sat Jun 25 03:58:47 BST 2016, end=Sat Jun 25 04:02:47 BST 2016, operations=667.1786814287627, operationsPerMinute=166.79467035719068
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 25 04:02:50 BST 2016, end=Sat Jun 25 04:04:50 BST 2016, operations=192.73193192812488, operationsPerMinute=96.36596596406244, mode=normal, start=Sat Jun 25 04:04:53 BST 2016, end=Sat Jun 25 04:08:53 BST 2016, operations=384.98692657468933, operationsPerMinute=96.24673164367233
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 25 04:08:57 BST 2016, end=Sat Jun 25 04:10:57 BST 2016, operations=77.49916624619883, operationsPerMinute=38.74958312309941, mode=normal, start=Sat Jun 25 04:11:07 BST 2016, end=Sat Jun 25 04:15:07 BST 2016, operations=149.67516188421394, operationsPerMinute=37.418790471053484
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 25 04:15:17 BST 2016, end=Sat Jun 25 04:17:17 BST 2016, operations=13.728982962245386, operationsPerMinute=6.864491481122693, mode=normal, start=Sat Jun 25 04:18:04 BST 2016, end=Sat Jun 25 04:22:04 BST 2016, operations=27.296629267703526, operationsPerMinute=6.824157316925882
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 25 04:22:53 BST 2016, end=Sat Jun 25 04:24:53 BST 2016, operations=68.65743728650611, operationsPerMinute=34.328718643253055, mode=normal, start=Sat Jun 25 04:25:05 BST 2016, end=Sat Jun 25 04:29:05 BST 2016, operations=137.08462097721957, operationsPerMinute=34.27115524430489
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 25 04:29:19 BST 2016, end=Sat Jun 25 04:31:19 BST 2016, operations=40.8267646946135, operationsPerMinute=20.41338234730675, mode=normal, start=Sat Jun 25 04:31:34 BST 2016, end=Sat Jun 25 04:35:34 BST 2016, operations=82.23449528132195, operationsPerMinute=20.55862382033049
