spec.jvm2008.report.run.location=SUNSPACE14
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM)2 Quad CPU    Q9400  @ 2.66GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=4027
benchmark-name=check, mode=normal, start=Thu Jun 30 03:01:24 BST 2016, end=Thu Jun 30 03:01:24 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 30 03:01:24 BST 2016, end=Thu Jun 30 03:01:24 BST 2016, operations=1.0, operationsPerMinute=320.85561497326205
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 30 03:01:24 BST 2016, end=Thu Jun 30 03:01:54 BST 2016, operations=1.0, operationsPerMinute=1.9927596399747585
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 30 03:01:54 BST 2016, end=Thu Jun 30 03:02:00 BST 2016, operations=1.0, operationsPerMinute=9.567852017222133
benchmark-name=startup.compress, mode=normal, start=Thu Jun 30 03:02:00 BST 2016, end=Thu Jun 30 03:02:02 BST 2016, operations=1.0, operationsPerMinute=27.86809103576405
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 30 03:02:02 BST 2016, end=Thu Jun 30 03:02:14 BST 2016, operations=1.0, operationsPerMinute=5.060728744939271
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 30 03:02:14 BST 2016, end=Thu Jun 30 03:02:23 BST 2016, operations=1.0, operationsPerMinute=6.747638326585695
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 30 03:02:23 BST 2016, end=Thu Jun 30 03:02:31 BST 2016, operations=1.0, operationsPerMinute=7.849293563579278
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 30 03:02:31 BST 2016, end=Thu Jun 30 03:02:35 BST 2016, operations=1.0, operationsPerMinute=13.44688480502017
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 30 03:02:35 BST 2016, end=Thu Jun 30 03:02:37 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 30 03:02:37 BST 2016, end=Thu Jun 30 03:02:39 BST 2016, operations=1.0, operationsPerMinute=28.28854314002829
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 30 03:02:39 BST 2016, end=Thu Jun 30 03:02:48 BST 2016, operations=1.0, operationsPerMinute=6.453000645300064
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 30 03:02:48 BST 2016, end=Thu Jun 30 03:02:50 BST 2016, operations=1.0, operationsPerMinute=27.86809103576405
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 30 03:02:50 BST 2016, end=Thu Jun 30 03:02:53 BST 2016, operations=1.0, operationsPerMinute=24.499795835034707
benchmark-name=startup.serial, mode=normal, start=Thu Jun 30 03:02:53 BST 2016, end=Thu Jun 30 03:02:57 BST 2016, operations=1.0, operationsPerMinute=12.568077084206116
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 30 03:02:57 BST 2016, end=Thu Jun 30 03:03:05 BST 2016, operations=1.0, operationsPerMinute=7.963897000265463
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 30 03:03:05 BST 2016, end=Thu Jun 30 03:03:52 BST 2016, operations=1.0, operationsPerMinute=1.2710248697199509
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 30 03:03:52 BST 2016, end=Thu Jun 30 03:03:54 BST 2016, operations=1.0, operationsPerMinute=34.344590726960504
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 30 03:04:16 BST 2016, end=Thu Jun 30 03:06:16 BST 2016, operations=292.5482397195317, operationsPerMinute=146.27411985976585, mode=normal, start=Thu Jun 30 03:06:18 BST 2016, end=Thu Jun 30 03:10:18 BST 2016, operations=586.7743494069376, operationsPerMinute=146.6935873517344
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 30 03:10:26 BST 2016, end=Thu Jun 30 03:12:26 BST 2016, operations=113.28234642992095, operationsPerMinute=56.641173214960475, mode=normal, start=Thu Jun 30 03:12:33 BST 2016, end=Thu Jun 30 03:16:33 BST 2016, operations=229.05408377395614, operationsPerMinute=57.263520943489034
benchmark-name=compress, mod=warmup, start=Thu Jun 30 03:16:40 BST 2016, end=Thu Jun 30 03:18:40 BST 2016, operations=248.93195237080587, operationsPerMinute=124.46597618540294, mode=normal, start=Thu Jun 30 03:18:43 BST 2016, end=Thu Jun 30 03:22:43 BST 2016, operations=498.9057967411315, operationsPerMinute=124.72644918528287
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 30 03:22:46 BST 2016, end=Thu Jun 30 03:24:46 BST 2016, operations=71.10719435174231, operationsPerMinute=35.553597175871154, mode=normal, start=Thu Jun 30 03:24:54 BST 2016, end=Thu Jun 30 03:28:54 BST 2016, operations=149.55764867311962, operationsPerMinute=37.389412168279904
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 30 03:29:04 BST 2016, end=Thu Jun 30 03:31:04 BST 2016, operations=149.90445476521433, operationsPerMinute=74.95222738260716, mode=normal, start=Thu Jun 30 03:31:09 BST 2016, end=Thu Jun 30 03:35:09 BST 2016, operations=299.06922726965195, operationsPerMinute=74.76730681741299
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 30 03:35:16 BST 2016, end=Thu Jun 30 03:37:16 BST 2016, operations=241.21780129842998, operationsPerMinute=120.60890064921499, mode=normal, start=Thu Jun 30 03:37:19 BST 2016, end=Thu Jun 30 03:41:19 BST 2016, operations=481.82021702314154, operationsPerMinute=120.45505425578538
benchmark-name=derby, mod=warmup, start=Thu Jun 30 03:42:13 BST 2016, end=Thu Jun 30 03:44:13 BST 2016, operations=167.74743913379876, operationsPerMinute=83.87371956689938, mode=normal, start=Thu Jun 30 03:44:16 BST 2016, end=Thu Jun 30 03:48:16 BST 2016, operations=337.4808038111606, operationsPerMinute=84.37020095279016
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 30 03:48:21 BST 2016, end=Thu Jun 30 03:50:21 BST 2016, operations=114.37697026762557, operationsPerMinute=57.18848513381278, mode=normal, start=Thu Jun 30 03:50:27 BST 2016, end=Thu Jun 30 03:54:27 BST 2016, operations=228.8860302638351, operationsPerMinute=57.221507565958774
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 30 03:54:34 BST 2016, end=Thu Jun 30 03:56:34 BST 2016, operations=33.09949202252699, operationsPerMinute=16.549746011263494, mode=normal, start=Thu Jun 30 03:56:56 BST 2016, end=Thu Jun 30 04:00:56 BST 2016, operations=73.97194693732281, operationsPerMinute=18.492986734330703
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 30 04:01:10 BST 2016, end=Thu Jun 30 04:03:10 BST 2016, operations=8.799265417525003, operationsPerMinute=4.399632708762502, mode=normal, start=Thu Jun 30 04:04:34 BST 2016, end=Thu Jun 30 04:08:34 BST 2016, operations=17.665119072581778, operationsPerMinute=4.416279768145444
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 30 04:09:46 BST 2016, end=Thu Jun 30 04:11:46 BST 2016, operations=49.38343231713161, operationsPerMinute=24.691716158565804, mode=normal, start=Thu Jun 30 04:12:01 BST 2016, end=Thu Jun 30 04:16:01 BST 2016, operations=98.92742865065068, operationsPerMinute=24.73185716266267
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 30 04:16:13 BST 2016, end=Thu Jun 30 04:18:13 BST 2016, operations=28.30150147702065, operationsPerMinute=14.150750738510325, mode=normal, start=Thu Jun 30 04:18:41 BST 2016, end=Thu Jun 30 04:22:41 BST 2016, operations=56.55595136535731, operationsPerMinute=14.138987841339327
