spec.jvm2008.report.run.location=LAW013
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8067
benchmark-name=check, mode=normal, start=Mon Jun 27 11:11:26 BST 2016, end=Mon Jun 27 11:11:26 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Mon Jun 27 11:11:26 BST 2016, end=Mon Jun 27 11:11:26 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jun 27 11:11:26 BST 2016, end=Mon Jun 27 11:11:44 BST 2016, operations=1.0, operationsPerMinute=3.3619095646327115
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jun 27 11:11:44 BST 2016, end=Mon Jun 27 11:11:48 BST 2016, operations=1.0, operationsPerMinute=14.623446258835
benchmark-name=startup.compress, mode=normal, start=Mon Jun 27 11:11:48 BST 2016, end=Mon Jun 27 11:11:49 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jun 27 11:11:49 BST 2016, end=Mon Jun 27 11:11:58 BST 2016, operations=1.0, operationsPerMinute=6.585446163977609
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jun 27 11:11:58 BST 2016, end=Mon Jun 27 11:12:06 BST 2016, operations=1.0, operationsPerMinute=7.7389397652521605
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jun 27 11:12:06 BST 2016, end=Mon Jun 27 11:12:13 BST 2016, operations=1.0, operationsPerMinute=8.820935019112026
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jun 27 11:12:13 BST 2016, end=Mon Jun 27 11:12:16 BST 2016, operations=1.0, operationsPerMinute=22.363026462914647
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jun 27 11:12:16 BST 2016, end=Mon Jun 27 11:12:17 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jun 27 11:12:17 BST 2016, end=Mon Jun 27 11:12:18 BST 2016, operations=1.0, operationsPerMinute=54.151624548736464
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jun 27 11:12:18 BST 2016, end=Mon Jun 27 11:12:24 BST 2016, operations=1.0, operationsPerMinute=9.861932938856016
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jun 27 11:12:24 BST 2016, end=Mon Jun 27 11:12:25 BST 2016, operations=1.0, operationsPerMinute=38.46153846153846
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jun 27 11:12:25 BST 2016, end=Mon Jun 27 11:12:26 BST 2016, operations=1.0, operationsPerMinute=51.99306759098787
benchmark-name=startup.serial, mode=normal, start=Mon Jun 27 11:12:26 BST 2016, end=Mon Jun 27 11:12:29 BST 2016, operations=1.0, operationsPerMinute=23.166023166023166
benchmark-name=startup.sunflow, mode=normal, start=Mon Jun 27 11:12:29 BST 2016, end=Mon Jun 27 11:12:36 BST 2016, operations=1.0, operationsPerMinute=8.965929468021518
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jun 27 11:12:36 BST 2016, end=Mon Jun 27 11:13:01 BST 2016, operations=1.0, operationsPerMinute=2.4068354125717035
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jun 27 11:13:01 BST 2016, end=Mon Jun 27 11:13:02 BST 2016, operations=1.0, operationsPerMinute=54.200542005420054
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jun 27 11:13:15 BST 2016, end=Mon Jun 27 11:15:15 BST 2016, operations=414.7582072659508, operationsPerMinute=207.3791036329754, mode=normal, start=Mon Jun 27 11:15:17 BST 2016, end=Mon Jun 27 11:19:17 BST 2016, operations=873.8333417521526, operationsPerMinute=218.45833543803815
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jun 27 11:19:23 BST 2016, end=Mon Jun 27 11:21:23 BST 2016, operations=169.99328884155267, operationsPerMinute=84.99664442077633, mode=normal, start=Mon Jun 27 11:21:26 BST 2016, end=Mon Jun 27 11:25:26 BST 2016, operations=339.0455725085273, operationsPerMinute=84.76139312713183
benchmark-name=compress, mod=warmup, start=Mon Jun 27 11:25:30 BST 2016, end=Mon Jun 27 11:27:30 BST 2016, operations=351.678850629552, operationsPerMinute=175.839425314776, mode=normal, start=Mon Jun 27 11:27:33 BST 2016, end=Mon Jun 27 11:31:33 BST 2016, operations=704.9082093847353, operationsPerMinute=176.22705234618383
benchmark-name=crypto.aes, mod=warmup, start=Mon Jun 27 11:31:35 BST 2016, end=Mon Jun 27 11:33:35 BST 2016, operations=116.90368218039933, operationsPerMinute=58.451841090199665, mode=normal, start=Mon Jun 27 11:33:41 BST 2016, end=Mon Jun 27 11:37:41 BST 2016, operations=245.60833412379083, operationsPerMinute=61.402083530947706
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jun 27 11:37:46 BST 2016, end=Mon Jun 27 11:39:46 BST 2016, operations=204.39406217193255, operationsPerMinute=102.19703108596627, mode=normal, start=Mon Jun 27 11:39:50 BST 2016, end=Mon Jun 27 11:43:50 BST 2016, operations=408.6691365197016, operationsPerMinute=102.1672841299254
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jun 27 11:43:53 BST 2016, end=Mon Jun 27 11:45:53 BST 2016, operations=351.32062485516946, operationsPerMinute=175.66031242758473, mode=normal, start=Mon Jun 27 11:45:55 BST 2016, end=Mon Jun 27 11:49:55 BST 2016, operations=704.0581090246001, operationsPerMinute=176.01452725615002
benchmark-name=derby, mod=warmup, start=Mon Jun 27 11:50:54 BST 2016, end=Mon Jun 27 11:52:54 BST 2016, operations=261.70957510005286, operationsPerMinute=130.85478755002643, mode=normal, start=Mon Jun 27 11:52:56 BST 2016, end=Mon Jun 27 11:56:56 BST 2016, operations=524.4989775617928, operationsPerMinute=131.1247443904482
benchmark-name=mpegaudio, mod=warmup, start=Mon Jun 27 11:57:00 BST 2016, end=Mon Jun 27 11:59:00 BST 2016, operations=173.2795881567816, operationsPerMinute=86.6397940783908, mode=normal, start=Mon Jun 27 11:59:04 BST 2016, end=Mon Jun 27 12:03:04 BST 2016, operations=346.77167460776485, operationsPerMinute=86.69291865194121
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jun 27 12:03:09 BST 2016, end=Mon Jun 27 12:05:09 BST 2016, operations=99.46267057070395, operationsPerMinute=49.731335285351975, mode=normal, start=Mon Jun 27 12:05:17 BST 2016, end=Mon Jun 27 12:09:17 BST 2016, operations=187.2841065284651, operationsPerMinute=46.82102663211627
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jun 27 12:09:30 BST 2016, end=Mon Jun 27 12:11:30 BST 2016, operations=19.75308683289062, operationsPerMinute=9.87654341644531, mode=normal, start=Mon Jun 27 12:13:21 BST 2016, end=Mon Jun 27 12:17:21 BST 2016, operations=44.61738783695219, operationsPerMinute=11.154346959238048
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jun 27 12:17:50 BST 2016, end=Mon Jun 27 12:19:50 BST 2016, operations=69.15263333753597, operationsPerMinute=34.57631666876799, mode=normal, start=Mon Jun 27 12:20:01 BST 2016, end=Mon Jun 27 12:24:01 BST 2016, operations=138.7047135839586, operationsPerMinute=34.67617839598965
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jun 27 12:24:08 BST 2016, end=Mon Jun 27 12:26:08 BST 2016, operations=73.31636455954254, operationsPerMinute=36.65818227977127, mode=normal, start=Mon Jun 27 12:26:16 BST 2016, end=Mon Jun 27 12:30:16 BST 2016, operations=150.38759213771974, operationsPerMinute=37.596898034429934
