spec.jvm2008.report.run.location=CASTLEAZES014
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 25 03:05:24 BST 2016, end=Sat Jun 25 03:05:24 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 25 03:05:24 BST 2016, end=Sat Jun 25 03:05:24 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 25 03:05:24 BST 2016, end=Sat Jun 25 03:05:37 BST 2016, operations=1.0, operationsPerMinute=4.679092256102316
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 25 03:05:37 BST 2016, end=Sat Jun 25 03:05:40 BST 2016, operations=1.0, operationsPerMinute=18.315018315018314
benchmark-name=startup.compress, mode=normal, start=Sat Jun 25 03:05:40 BST 2016, end=Sat Jun 25 03:05:42 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 25 03:05:42 BST 2016, end=Sat Jun 25 03:05:50 BST 2016, operations=1.0, operationsPerMinute=7.09639266706091
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 25 03:05:50 BST 2016, end=Sat Jun 25 03:05:58 BST 2016, operations=1.0, operationsPerMinute=7.995735607675906
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 25 03:05:58 BST 2016, end=Sat Jun 25 03:06:04 BST 2016, operations=1.0, operationsPerMinute=9.114385538508278
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 25 03:06:04 BST 2016, end=Sat Jun 25 03:06:06 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 25 03:06:06 BST 2016, end=Sat Jun 25 03:06:07 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 25 03:06:07 BST 2016, end=Sat Jun 25 03:06:08 BST 2016, operations=1.0, operationsPerMinute=67.41573033707866
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 25 03:06:08 BST 2016, end=Sat Jun 25 03:06:14 BST 2016, operations=1.0, operationsPerMinute=10.926971407758149
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 25 03:06:14 BST 2016, end=Sat Jun 25 03:06:15 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 25 03:06:15 BST 2016, end=Sat Jun 25 03:06:16 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Sat Jun 25 03:06:16 BST 2016, end=Sat Jun 25 03:06:18 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 25 03:06:18 BST 2016, end=Sat Jun 25 03:06:24 BST 2016, operations=1.0, operationsPerMinute=9.380863039399625
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 25 03:06:24 BST 2016, end=Sat Jun 25 03:06:45 BST 2016, operations=1.0, operationsPerMinute=2.9815146094215863
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 25 03:06:45 BST 2016, end=Sat Jun 25 03:06:45 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 25 03:06:55 BST 2016, end=Sat Jun 25 03:08:55 BST 2016, operations=489.2115846683847, operationsPerMinute=244.60579233419236, mode=normal, start=Sat Jun 25 03:08:57 BST 2016, end=Sat Jun 25 03:12:57 BST 2016, operations=1018.3505237881802, operationsPerMinute=254.58763094704506
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 25 03:13:01 BST 2016, end=Sat Jun 25 03:15:01 BST 2016, operations=194.35306216789166, operationsPerMinute=97.17653108394583, mode=normal, start=Sat Jun 25 03:15:04 BST 2016, end=Sat Jun 25 03:19:04 BST 2016, operations=388.53542734760936, operationsPerMinute=97.13385683690234
benchmark-name=compress, mod=warmup, start=Sat Jun 25 03:19:07 BST 2016, end=Sat Jun 25 03:21:07 BST 2016, operations=400.38344771210575, operationsPerMinute=200.19172385605287, mode=normal, start=Sat Jun 25 03:21:09 BST 2016, end=Sat Jun 25 03:25:09 BST 2016, operations=798.3453531733732, operationsPerMinute=199.5863382933433
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 25 03:25:11 BST 2016, end=Sat Jun 25 03:27:11 BST 2016, operations=140.15896644956553, operationsPerMinute=70.07948322478276, mode=normal, start=Sat Jun 25 03:27:17 BST 2016, end=Sat Jun 25 03:31:17 BST 2016, operations=294.85627065401866, operationsPerMinute=73.71406766350466
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 25 03:31:23 BST 2016, end=Sat Jun 25 03:33:23 BST 2016, operations=237.5131226347338, operationsPerMinute=118.7565613173669, mode=normal, start=Sat Jun 25 03:33:26 BST 2016, end=Sat Jun 25 03:37:26 BST 2016, operations=465.35971247054505, operationsPerMinute=116.33992811763626
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 25 03:37:29 BST 2016, end=Sat Jun 25 03:39:29 BST 2016, operations=402.9326506213861, operationsPerMinute=201.46632531069304, mode=normal, start=Sat Jun 25 03:39:31 BST 2016, end=Sat Jun 25 03:43:31 BST 2016, operations=800.771947875995, operationsPerMinute=200.19298696899875
benchmark-name=derby, mod=warmup, start=Sat Jun 25 03:43:54 BST 2016, end=Sat Jun 25 03:45:54 BST 2016, operations=360.5716925481497, operationsPerMinute=180.28584627407486, mode=normal, start=Sat Jun 25 03:45:56 BST 2016, end=Sat Jun 25 03:49:56 BST 2016, operations=721.5530519419306, operationsPerMinute=180.38826298548264
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 25 03:49:57 BST 2016, end=Sat Jun 25 03:51:57 BST 2016, operations=206.38016114821716, operationsPerMinute=103.19008057410858, mode=normal, start=Sat Jun 25 03:52:01 BST 2016, end=Sat Jun 25 03:56:01 BST 2016, operations=411.5435133714034, operationsPerMinute=102.88587834285084
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 25 03:56:05 BST 2016, end=Sat Jun 25 03:58:05 BST 2016, operations=77.93768006491933, operationsPerMinute=38.96884003245967, mode=normal, start=Sat Jun 25 03:58:13 BST 2016, end=Sat Jun 25 04:02:13 BST 2016, operations=145.50403676920322, operationsPerMinute=36.376009192300806
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 25 04:02:23 BST 2016, end=Sat Jun 25 04:04:23 BST 2016, operations=13.840807025882532, operationsPerMinute=6.920403512941266, mode=normal, start=Sat Jun 25 04:05:08 BST 2016, end=Sat Jun 25 04:09:08 BST 2016, operations=27.741339945636952, operationsPerMinute=6.935334986409238
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 25 04:09:45 BST 2016, end=Sat Jun 25 04:11:45 BST 2016, operations=72.79459704970523, operationsPerMinute=36.397298524852616, mode=normal, start=Sat Jun 25 04:11:56 BST 2016, end=Sat Jun 25 04:15:56 BST 2016, operations=148.90713762432082, operationsPerMinute=37.226784406080206
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 25 04:16:07 BST 2016, end=Sat Jun 25 04:18:07 BST 2016, operations=42.99598870195091, operationsPerMinute=21.497994350975453, mode=normal, start=Sat Jun 25 04:18:18 BST 2016, end=Sat Jun 25 04:22:18 BST 2016, operations=85.71224096376802, operationsPerMinute=21.428060240942006
benchmark-name=scimark.fft.small, mod=warmup, start=Sat Jun 25 04:22:30 BST 2016, end=Sat Jun 25 04:24:30 BST 2016, operations=731.1754433365963, operationsPerMinute=365.5877216682982, mode=normal, start=Sat Jun 25 04:24:31 BST 2016, end=Sat Jun 25 04:28:31 BST 2016, operations=1359.0450761453549, operationsPerMinute=339.7612690363387
benchmark-name=scimark.lu.small, mod=warmup, start=Sat Jun 25 04:28:32 BST 2016, end=Sat Jun 25 04:30:32 BST 2016, operations=568.1491024662723, operationsPerMinute=284.07455123313616, mode=normal, start=Sat Jun 25 04:30:33 BST 2016, end=Sat Jun 25 04:34:33 BST 2016, operations=1133.2516305813951, operationsPerMinute=283.3129076453488
benchmark-name=scimark.sor.small, mod=warmup, start=Sat Jun 25 04:34:35 BST 2016, end=Sat Jun 25 04:36:35 BST 2016, operations=330.74439214012006, operationsPerMinute=165.37219607006003, mode=normal, start=Sat Jun 25 04:36:37 BST 2016, end=Sat Jun 25 04:40:37 BST 2016, operations=658.8989326327198, operationsPerMinute=164.72473315817996
