spec.jvm2008.report.run.location=OLDLIB021
spec.jvm2008.report.hw.cpu.name=Intel(R) Xeon(R) CPU E31270 @ 3.40GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=16341
benchmark-name=check, mode=normal, start=Sun Jun 19 00:40:19 BST 2016, end=Sun Jun 19 00:40:19 BST 2016, operations=1.0, operationsPerMinute=952.3809523809524
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 00:40:19 BST 2016, end=Sun Jun 19 00:40:20 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 00:40:20 BST 2016, end=Sun Jun 19 00:40:38 BST 2016, operations=1.0, operationsPerMinute=3.3099795884592047
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 00:40:38 BST 2016, end=Sun Jun 19 00:40:42 BST 2016, operations=1.0, operationsPerMinute=14.734774066797643
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 00:40:42 BST 2016, end=Sun Jun 19 00:40:43 BST 2016, operations=1.0, operationsPerMinute=41.35079255685734
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 00:40:43 BST 2016, end=Sun Jun 19 00:40:52 BST 2016, operations=1.0, operationsPerMinute=6.455777921239509
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 00:40:52 BST 2016, end=Sun Jun 19 00:41:01 BST 2016, operations=1.0, operationsPerMinute=7.424823660438064
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 00:41:01 BST 2016, end=Sun Jun 19 00:41:07 BST 2016, operations=1.0, operationsPerMinute=8.820935019112026
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 00:41:07 BST 2016, end=Sun Jun 19 00:41:10 BST 2016, operations=1.0, operationsPerMinute=22.10759027266028
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 00:41:10 BST 2016, end=Sun Jun 19 00:41:11 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 00:41:11 BST 2016, end=Sun Jun 19 00:41:12 BST 2016, operations=1.0, operationsPerMinute=56.550424128180964
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 00:41:12 BST 2016, end=Sun Jun 19 00:41:18 BST 2016, operations=1.0, operationsPerMinute=9.640102827763496
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 00:41:18 BST 2016, end=Sun Jun 19 00:41:20 BST 2016, operations=1.0, operationsPerMinute=39.656311962987445
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 00:41:20 BST 2016, end=Sun Jun 19 00:41:21 BST 2016, operations=1.0, operationsPerMinute=48.661800486618006
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 00:41:21 BST 2016, end=Sun Jun 19 00:41:24 BST 2016, operations=1.0, operationsPerMinute=22.624434389140273
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 00:41:24 BST 2016, end=Sun Jun 19 00:41:30 BST 2016, operations=1.0, operationsPerMinute=8.987417615338526
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 00:41:30 BST 2016, end=Sun Jun 19 00:41:57 BST 2016, operations=1.0, operationsPerMinute=2.216721468947427
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 00:41:57 BST 2016, end=Sun Jun 19 00:41:58 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 00:42:12 BST 2016, end=Sun Jun 19 00:44:12 BST 2016, operations=441.1142816658812, operationsPerMinute=220.5571408329406, mode=normal, start=Sun Jun 19 00:44:15 BST 2016, end=Sun Jun 19 00:48:15 BST 2016, operations=899.0264679500548, operationsPerMinute=224.7566169875137
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 00:48:22 BST 2016, end=Sun Jun 19 00:50:22 BST 2016, operations=177.91543457133645, operationsPerMinute=88.95771728566822, mode=normal, start=Sun Jun 19 00:50:30 BST 2016, end=Sun Jun 19 00:54:30 BST 2016, operations=367.368133856863, operationsPerMinute=91.84203346421575
benchmark-name=compress, mod=warmup, start=Sun Jun 19 00:54:38 BST 2016, end=Sun Jun 19 00:56:38 BST 2016, operations=486.3189314567191, operationsPerMinute=243.15946572835955, mode=normal, start=Sun Jun 19 00:56:41 BST 2016, end=Sun Jun 19 01:00:41 BST 2016, operations=970.7165042481355, operationsPerMinute=242.67912606203387
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 01:00:44 BST 2016, end=Sun Jun 19 01:02:44 BST 2016, operations=128.26366042690336, operationsPerMinute=64.13183021345168, mode=normal, start=Sun Jun 19 01:02:55 BST 2016, end=Sun Jun 19 01:06:55 BST 2016, operations=269.8084259929612, operationsPerMinute=67.4521064982403
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:07:05 BST 2016, end=Sun Jun 19 01:09:05 BST 2016, operations=227.62768967313266, operationsPerMinute=113.81384483656633, mode=normal, start=Sun Jun 19 01:09:12 BST 2016, end=Sun Jun 19 01:13:12 BST 2016, operations=453.7113729818304, operationsPerMinute=113.4278432454576
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:13:17 BST 2016, end=Sun Jun 19 01:15:17 BST 2016, operations=387.29230834428233, operationsPerMinute=193.64615417214117, mode=normal, start=Sun Jun 19 01:15:21 BST 2016, end=Sun Jun 19 01:19:21 BST 2016, operations=785.0812981274153, operationsPerMinute=196.27032453185382
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:20:57 BST 2016, end=Sun Jun 19 01:22:57 BST 2016, operations=323.3767216729296, operationsPerMinute=161.6883608364648, mode=normal, start=Sun Jun 19 01:23:02 BST 2016, end=Sun Jun 19 01:27:02 BST 2016, operations=652.1541172837841, operationsPerMinute=163.03852932094603
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:27:07 BST 2016, end=Sun Jun 19 01:29:07 BST 2016, operations=216.64732512620884, operationsPerMinute=108.32366256310442, mode=normal, start=Sun Jun 19 01:29:14 BST 2016, end=Sun Jun 19 01:33:14 BST 2016, operations=431.73551724918474, operationsPerMinute=107.93387931229618
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 01:33:21 BST 2016, end=Sun Jun 19 01:35:21 BST 2016, operations=97.21574005386725, operationsPerMinute=48.607870026933625, mode=normal, start=Sun Jun 19 01:35:37 BST 2016, end=Sun Jun 19 01:39:37 BST 2016, operations=194.40190812664025, operationsPerMinute=48.60047703166006
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 01:39:51 BST 2016, end=Sun Jun 19 01:41:51 BST 2016, operations=20.55445480831361, operationsPerMinute=10.277227404156806, mode=normal, start=Sun Jun 19 01:42:51 BST 2016, end=Sun Jun 19 01:46:51 BST 2016, operations=41.39143036597031, operationsPerMinute=10.347857591492577
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 01:48:04 BST 2016, end=Sun Jun 19 01:50:04 BST 2016, operations=121.33178737403261, operationsPerMinute=60.66589368701631, mode=normal, start=Sun Jun 19 01:50:17 BST 2016, end=Sun Jun 19 01:54:17 BST 2016, operations=240.89842483088432, operationsPerMinute=60.22460620772108
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 01:54:31 BST 2016, end=Sun Jun 19 01:56:31 BST 2016, operations=63.134655120775896, operationsPerMinute=31.567327560387948, mode=normal, start=Sun Jun 19 01:56:48 BST 2016, end=Sun Jun 19 02:00:48 BST 2016, operations=126.28952281246914, operationsPerMinute=31.572380703117286
