spec.jvm2008.report.run.location=PERCY009
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 26 19:55:31 BST 2016, end=Sun Jun 26 19:55:31 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 26 19:55:31 BST 2016, end=Sun Jun 26 19:55:31 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 26 19:55:31 BST 2016, end=Sun Jun 26 19:55:44 BST 2016, operations=1.0, operationsPerMinute=4.719207173194904
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 26 19:55:44 BST 2016, end=Sun Jun 26 19:55:47 BST 2016, operations=1.0, operationsPerMinute=18.48998459167951
benchmark-name=startup.compress, mode=normal, start=Sun Jun 26 19:55:47 BST 2016, end=Sun Jun 26 19:55:48 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 26 19:55:48 BST 2016, end=Sun Jun 26 19:55:57 BST 2016, operations=1.0, operationsPerMinute=7.09639266706091
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 26 19:55:57 BST 2016, end=Sun Jun 26 19:56:04 BST 2016, operations=1.0, operationsPerMinute=8.012820512820513
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 26 19:56:04 BST 2016, end=Sun Jun 26 19:56:11 BST 2016, operations=1.0, operationsPerMinute=9.007656508031827
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 26 19:56:11 BST 2016, end=Sun Jun 26 19:56:13 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 26 19:56:13 BST 2016, end=Sun Jun 26 19:56:14 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 26 19:56:14 BST 2016, end=Sun Jun 26 19:56:15 BST 2016, operations=1.0, operationsPerMinute=67.41573033707866
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 26 19:56:15 BST 2016, end=Sun Jun 26 19:56:20 BST 2016, operations=1.0, operationsPerMinute=10.865628395508873
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 26 19:56:20 BST 2016, end=Sun Jun 26 19:56:22 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 26 19:56:22 BST 2016, end=Sun Jun 26 19:56:23 BST 2016, operations=1.0, operationsPerMinute=60.120240480961925
benchmark-name=startup.serial, mode=normal, start=Sun Jun 26 19:56:23 BST 2016, end=Sun Jun 26 19:56:25 BST 2016, operations=1.0, operationsPerMinute=28.708133971291865
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 26 19:56:25 BST 2016, end=Sun Jun 26 19:56:31 BST 2016, operations=1.0, operationsPerMinute=9.380863039399625
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 26 19:56:31 BST 2016, end=Sun Jun 26 19:56:51 BST 2016, operations=1.0, operationsPerMinute=2.9837386244964943
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 26 19:56:51 BST 2016, end=Sun Jun 26 19:56:52 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 26 19:57:02 BST 2016, end=Sun Jun 26 19:59:02 BST 2016, operations=504.39693258508254, operationsPerMinute=252.19846629254127, mode=normal, start=Sun Jun 26 19:59:04 BST 2016, end=Sun Jun 26 20:03:04 BST 2016, operations=1005.2196544543849, operationsPerMinute=251.30491361359623
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 26 20:03:08 BST 2016, end=Sun Jun 26 20:05:08 BST 2016, operations=197.99677134338125, operationsPerMinute=98.99838567169063, mode=normal, start=Sun Jun 26 20:05:11 BST 2016, end=Sun Jun 26 20:09:11 BST 2016, operations=395.15354558935815, operationsPerMinute=98.78838639733954
benchmark-name=compress, mod=warmup, start=Sun Jun 26 20:09:13 BST 2016, end=Sun Jun 26 20:11:13 BST 2016, operations=399.7739382104983, operationsPerMinute=199.88696910524914, mode=normal, start=Sun Jun 26 20:11:15 BST 2016, end=Sun Jun 26 20:15:15 BST 2016, operations=799.643878370427, operationsPerMinute=199.91096959260676
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 26 20:15:17 BST 2016, end=Sun Jun 26 20:17:17 BST 2016, operations=139.73282919342182, operationsPerMinute=69.86641459671091, mode=normal, start=Sun Jun 26 20:17:23 BST 2016, end=Sun Jun 26 20:21:23 BST 2016, operations=293.6222722097753, operationsPerMinute=73.40556805244383
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 26 20:21:29 BST 2016, end=Sun Jun 26 20:23:29 BST 2016, operations=234.17915067022864, operationsPerMinute=117.08957533511432, mode=normal, start=Sun Jun 26 20:23:32 BST 2016, end=Sun Jun 26 20:27:32 BST 2016, operations=466.78422407138646, operationsPerMinute=116.69605601784662
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 26 20:27:36 BST 2016, end=Sun Jun 26 20:29:36 BST 2016, operations=407.5501664720889, operationsPerMinute=203.77508323604445, mode=normal, start=Sun Jun 26 20:29:37 BST 2016, end=Sun Jun 26 20:33:37 BST 2016, operations=815.081696081696, operationsPerMinute=203.770424020424
benchmark-name=derby, mod=warmup, start=Sun Jun 26 20:34:00 BST 2016, end=Sun Jun 26 20:36:00 BST 2016, operations=363.194763482435, operationsPerMinute=181.5973817412175, mode=normal, start=Sun Jun 26 20:36:02 BST 2016, end=Sun Jun 26 20:40:02 BST 2016, operations=729.127479680056, operationsPerMinute=182.281869920014
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 26 20:40:04 BST 2016, end=Sun Jun 26 20:42:04 BST 2016, operations=208.3387102983417, operationsPerMinute=104.16935514917085, mode=normal, start=Sun Jun 26 20:42:08 BST 2016, end=Sun Jun 26 20:46:08 BST 2016, operations=415.93999643943346, operationsPerMinute=103.98499910985836
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 26 20:46:12 BST 2016, end=Sun Jun 26 20:48:12 BST 2016, operations=78.32372338975419, operationsPerMinute=39.161861694877096, mode=normal, start=Sun Jun 26 20:48:19 BST 2016, end=Sun Jun 26 20:52:19 BST 2016, operations=141.14963015248662, operationsPerMinute=35.287407538121656
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 26 20:52:28 BST 2016, end=Sun Jun 26 20:54:28 BST 2016, operations=13.744214709722979, operationsPerMinute=6.872107354861489, mode=normal, start=Sun Jun 26 20:55:13 BST 2016, end=Sun Jun 26 20:59:13 BST 2016, operations=27.76826656190843, operationsPerMinute=6.942066640477107
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 26 20:59:50 BST 2016, end=Sun Jun 26 21:01:50 BST 2016, operations=74.61009215311995, operationsPerMinute=37.305046076559975, mode=normal, start=Sun Jun 26 21:01:58 BST 2016, end=Sun Jun 26 21:05:58 BST 2016, operations=148.93236608589245, operationsPerMinute=37.23309152147311
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 26 21:06:09 BST 2016, end=Sun Jun 26 21:08:09 BST 2016, operations=42.96190693252453, operationsPerMinute=21.480953466262264, mode=normal, start=Sun Jun 26 21:08:20 BST 2016, end=Sun Jun 26 21:12:20 BST 2016, operations=85.94042517825312, operationsPerMinute=21.48510629456328
