spec.jvm2008.report.run.location=GREY-01
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 19 00:39:20 BST 2016, end=Sun Jun 19 00:39:20 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 00:39:20 BST 2016, end=Sun Jun 19 00:39:20 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 00:39:20 BST 2016, end=Sun Jun 19 00:39:32 BST 2016, operations=1.0, operationsPerMinute=4.813863928112966
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 00:39:32 BST 2016, end=Sun Jun 19 00:39:36 BST 2016, operations=1.0, operationsPerMinute=18.055973517905507
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 00:39:36 BST 2016, end=Sun Jun 19 00:39:37 BST 2016, operations=1.0, operationsPerMinute=46.33204633204633
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 00:39:37 BST 2016, end=Sun Jun 19 00:39:46 BST 2016, operations=1.0, operationsPerMinute=6.712160196890032
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 00:39:46 BST 2016, end=Sun Jun 19 00:39:53 BST 2016, operations=1.0, operationsPerMinute=7.7389397652521605
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 00:39:53 BST 2016, end=Sun Jun 19 00:40:00 BST 2016, operations=1.0, operationsPerMinute=9.027986758952753
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 00:40:00 BST 2016, end=Sun Jun 19 00:40:02 BST 2016, operations=1.0, operationsPerMinute=25.817555938037867
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 00:40:02 BST 2016, end=Sun Jun 19 00:40:03 BST 2016, operations=1.0, operationsPerMinute=78.53403141361257
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 00:40:03 BST 2016, end=Sun Jun 19 00:40:04 BST 2016, operations=1.0, operationsPerMinute=65.14657980456026
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 00:40:04 BST 2016, end=Sun Jun 19 00:40:10 BST 2016, operations=1.0, operationsPerMinute=10.565240359218173
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 00:40:10 BST 2016, end=Sun Jun 19 00:40:11 BST 2016, operations=1.0, operationsPerMinute=41.35079255685734
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 00:40:11 BST 2016, end=Sun Jun 19 00:40:12 BST 2016, operations=1.0, operationsPerMinute=59.171597633136095
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 00:40:12 BST 2016, end=Sun Jun 19 00:40:14 BST 2016, operations=1.0, operationsPerMinute=27.881040892193308
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 00:40:14 BST 2016, end=Sun Jun 19 00:40:21 BST 2016, operations=1.0, operationsPerMinute=8.986071589036992
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 00:40:21 BST 2016, end=Sun Jun 19 00:40:42 BST 2016, operations=1.0, operationsPerMinute=2.8660138524002865
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 00:40:42 BST 2016, end=Sun Jun 19 00:40:43 BST 2016, operations=1.0, operationsPerMinute=72.55139056831922
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 00:40:53 BST 2016, end=Sun Jun 19 00:42:53 BST 2016, operations=446.406173034945, operationsPerMinute=223.2030865174725, mode=normal, start=Sun Jun 19 00:42:55 BST 2016, end=Sun Jun 19 00:46:55 BST 2016, operations=895.4433530775093, operationsPerMinute=223.86083826937733
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 00:47:00 BST 2016, end=Sun Jun 19 00:49:00 BST 2016, operations=177.49941866786895, operationsPerMinute=88.74970933393448, mode=normal, start=Sun Jun 19 00:49:03 BST 2016, end=Sun Jun 19 00:53:03 BST 2016, operations=355.6591184191071, operationsPerMinute=88.91477960477677
benchmark-name=compress, mod=warmup, start=Sun Jun 19 00:53:06 BST 2016, end=Sun Jun 19 00:55:06 BST 2016, operations=299.82609615518896, operationsPerMinute=149.91304807759448, mode=normal, start=Sun Jun 19 00:55:10 BST 2016, end=Sun Jun 19 00:59:10 BST 2016, operations=501.9722436123004, operationsPerMinute=125.4930609030751
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 00:59:14 BST 2016, end=Sun Jun 19 01:01:14 BST 2016, operations=106.10930871013193, operationsPerMinute=53.05465435506596, mode=normal, start=Sun Jun 19 01:01:22 BST 2016, end=Sun Jun 19 01:05:22 BST 2016, operations=223.65830482307044, operationsPerMinute=55.91457620576761
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:05:31 BST 2016, end=Sun Jun 19 01:07:31 BST 2016, operations=175.45567441024735, operationsPerMinute=87.72783720512368, mode=normal, start=Sun Jun 19 01:07:34 BST 2016, end=Sun Jun 19 01:11:34 BST 2016, operations=201.22927376957963, operationsPerMinute=50.30731844239491
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:12:19 BST 2016, end=Sun Jun 19 01:14:19 BST 2016, operations=305.7562066503291, operationsPerMinute=152.87810332516455, mode=normal, start=Sun Jun 19 01:14:23 BST 2016, end=Sun Jun 19 01:18:23 BST 2016, operations=612.7792911828825, operationsPerMinute=153.19482279572063
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:18:47 BST 2016, end=Sun Jun 19 01:20:47 BST 2016, operations=274.0111743629901, operationsPerMinute=137.00558718149506, mode=normal, start=Sun Jun 19 01:20:49 BST 2016, end=Sun Jun 19 01:24:49 BST 2016, operations=549.7669604474535, operationsPerMinute=137.44174011186337
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:24:52 BST 2016, end=Sun Jun 19 01:26:52 BST 2016, operations=155.72011929643182, operationsPerMinute=77.86005964821591, mode=normal, start=Sun Jun 19 01:26:58 BST 2016, end=Sun Jun 19 01:30:58 BST 2016, operations=191.2145547408201, operationsPerMinute=47.80363868520502
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 01:31:13 BST 2016, end=Sun Jun 19 01:33:13 BST 2016, operations=74.61978597295541, operationsPerMinute=37.309892986477706, mode=normal, start=Sun Jun 19 01:34:35 BST 2016, end=Sun Jun 19 01:38:35 BST 2016, operations=126.48213475649516, operationsPerMinute=31.62053368912379
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 01:38:44 BST 2016, end=Sun Jun 19 01:40:44 BST 2016, operations=8.818659350554682, operationsPerMinute=4.409329675277341, mode=normal, start=Sun Jun 19 01:41:38 BST 2016, end=Sun Jun 19 01:45:38 BST 2016, operations=23.372003141319524, operationsPerMinute=5.843000785329881
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 01:46:26 BST 2016, end=Sun Jun 19 01:48:26 BST 2016, operations=55.28353543138628, operationsPerMinute=27.64176771569314, mode=normal, start=Sun Jun 19 01:48:43 BST 2016, end=Sun Jun 19 01:52:43 BST 2016, operations=90.84043426155303, operationsPerMinute=22.710108565388257
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 01:52:56 BST 2016, end=Sun Jun 19 01:54:56 BST 2016, operations=35.954168935909244, operationsPerMinute=17.977084467954622, mode=normal, start=Sun Jun 19 01:55:36 BST 2016, end=Sun Jun 19 01:59:36 BST 2016, operations=65.89272177439396, operationsPerMinute=16.47318044359849
