spec.jvm2008.report.run.location=SUNSPACE07
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Tue Jun 28 17:05:25 BST 2016, end=Tue Jun 28 17:05:25 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=startup.helloworld, mode=normal, start=Tue Jun 28 17:05:25 BST 2016, end=Tue Jun 28 17:05:26 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.compiler.compiler, mode=normal, start=Tue Jun 28 17:05:26 BST 2016, end=Tue Jun 28 17:05:57 BST 2016, operations=1.0, operationsPerMinute=1.9424390559746187
benchmark-name=startup.compiler.sunflow, mode=normal, start=Tue Jun 28 17:05:57 BST 2016, end=Tue Jun 28 17:06:02 BST 2016, operations=1.0, operationsPerMinute=11.148272017837236
benchmark-name=startup.compress, mode=normal, start=Tue Jun 28 17:06:02 BST 2016, end=Tue Jun 28 17:06:04 BST 2016, operations=1.0, operationsPerMinute=36.99136868064118
benchmark-name=startup.crypto.aes, mode=normal, start=Tue Jun 28 17:06:04 BST 2016, end=Tue Jun 28 17:06:14 BST 2016, operations=1.0, operationsPerMinute=5.757052389176741
benchmark-name=startup.crypto.rsa, mode=normal, start=Tue Jun 28 17:06:14 BST 2016, end=Tue Jun 28 17:06:23 BST 2016, operations=1.0, operationsPerMinute=7.018364721020002
benchmark-name=startup.crypto.signverify, mode=normal, start=Tue Jun 28 17:06:23 BST 2016, end=Tue Jun 28 17:06:30 BST 2016, operations=1.0, operationsPerMinute=8.253094910591471
benchmark-name=startup.mpegaudio, mode=normal, start=Tue Jun 28 17:06:30 BST 2016, end=Tue Jun 28 17:06:33 BST 2016, operations=1.0, operationsPerMinute=19.23076923076923
benchmark-name=startup.scimark.fft, mode=normal, start=Tue Jun 28 17:06:33 BST 2016, end=Tue Jun 28 17:06:34 BST 2016, operations=1.0, operationsPerMinute=64.1025641025641
benchmark-name=startup.scimark.lu, mode=normal, start=Tue Jun 28 17:06:34 BST 2016, end=Tue Jun 28 17:06:35 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Tue Jun 28 17:06:35 BST 2016, end=Tue Jun 28 17:06:42 BST 2016, operations=1.0, operationsPerMinute=8.964589870013446
benchmark-name=startup.scimark.sor, mode=normal, start=Tue Jun 28 17:06:42 BST 2016, end=Tue Jun 28 17:06:44 BST 2016, operations=1.0, operationsPerMinute=34.03289846851957
benchmark-name=startup.scimark.sparse, mode=normal, start=Tue Jun 28 17:06:44 BST 2016, end=Tue Jun 28 17:06:45 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.serial, mode=normal, start=Tue Jun 28 17:06:45 BST 2016, end=Tue Jun 28 17:06:48 BST 2016, operations=1.0, operationsPerMinute=18.856065367693276
benchmark-name=startup.sunflow, mode=normal, start=Tue Jun 28 17:06:48 BST 2016, end=Tue Jun 28 17:06:56 BST 2016, operations=1.0, operationsPerMinute=8.342602892102336
benchmark-name=startup.xml.transform, mode=normal, start=Tue Jun 28 17:06:56 BST 2016, end=Tue Jun 28 17:07:24 BST 2016, operations=1.0, operationsPerMinute=2.092487968194183
benchmark-name=startup.xml.validation, mode=normal, start=Tue Jun 28 17:07:24 BST 2016, end=Tue Jun 28 17:07:25 BST 2016, operations=1.0, operationsPerMinute=47.50593824228029
benchmark-name=compiler.compiler, mod=warmup, start=Tue Jun 28 17:07:44 BST 2016, end=Tue Jun 28 17:09:44 BST 2016, operations=347.96519693782375, operationsPerMinute=173.98259846891187, mode=normal, start=Tue Jun 28 17:09:45 BST 2016, end=Tue Jun 28 17:13:45 BST 2016, operations=720.8104107971435, operationsPerMinute=180.20260269928588
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jun 28 17:13:52 BST 2016, end=Tue Jun 28 17:15:52 BST 2016, operations=144.45082270238765, operationsPerMinute=72.22541135119383, mode=normal, start=Tue Jun 28 17:15:57 BST 2016, end=Tue Jun 28 17:19:57 BST 2016, operations=283.874417925462, operationsPerMinute=70.9686044813655
benchmark-name=compress, mod=warmup, start=Tue Jun 28 17:20:00 BST 2016, end=Tue Jun 28 17:22:00 BST 2016, operations=272.95702371756914, operationsPerMinute=136.47851185878457, mode=normal, start=Tue Jun 28 17:22:03 BST 2016, end=Tue Jun 28 17:26:03 BST 2016, operations=545.7002569726695, operationsPerMinute=136.42506424316738
benchmark-name=crypto.aes, mod=warmup, start=Tue Jun 28 17:26:06 BST 2016, end=Tue Jun 28 17:28:06 BST 2016, operations=85.8587468857938, operationsPerMinute=42.9293734428969, mode=normal, start=Tue Jun 28 17:28:15 BST 2016, end=Tue Jun 28 17:32:15 BST 2016, operations=181.38901645618066, operationsPerMinute=45.347254114045164
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jun 28 17:32:23 BST 2016, end=Tue Jun 28 17:34:23 BST 2016, operations=147.08442387367364, operationsPerMinute=73.54221193683682, mode=normal, start=Tue Jun 28 17:34:27 BST 2016, end=Tue Jun 28 17:38:27 BST 2016, operations=292.8013482058823, operationsPerMinute=73.20033705147057
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jun 28 17:38:33 BST 2016, end=Tue Jun 28 17:40:33 BST 2016, operations=254.66231620310012, operationsPerMinute=127.33115810155006, mode=normal, start=Tue Jun 28 17:40:35 BST 2016, end=Tue Jun 28 17:44:35 BST 2016, operations=508.4579772031791, operationsPerMinute=127.11449430079477
benchmark-name=derby, mod=warmup, start=Tue Jun 28 17:46:04 BST 2016, end=Tue Jun 28 17:48:04 BST 2016, operations=204.35452508003985, operationsPerMinute=102.17726254001992, mode=normal, start=Tue Jun 28 17:48:08 BST 2016, end=Tue Jun 28 17:52:08 BST 2016, operations=412.15727429049673, operationsPerMinute=103.03931857262418
benchmark-name=mpegaudio, mod=warmup, start=Tue Jun 28 17:52:13 BST 2016, end=Tue Jun 28 17:54:13 BST 2016, operations=135.3805909790711, operationsPerMinute=67.69029548953554, mode=normal, start=Tue Jun 28 17:54:16 BST 2016, end=Tue Jun 28 17:58:16 BST 2016, operations=270.5857574380374, operationsPerMinute=67.64643935950934
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jun 28 17:58:21 BST 2016, end=Tue Jun 28 18:00:21 BST 2016, operations=58.5720498574293, operationsPerMinute=29.28602492871465, mode=normal, start=Tue Jun 28 18:00:30 BST 2016, end=Tue Jun 28 18:04:30 BST 2016, operations=115.11815416255803, operationsPerMinute=28.779538540639507
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jun 28 18:04:39 BST 2016, end=Tue Jun 28 18:06:39 BST 2016, operations=11.636938648015725, operationsPerMinute=5.818469324007863, mode=normal, start=Tue Jun 28 18:07:13 BST 2016, end=Tue Jun 28 18:11:13 BST 2016, operations=23.179426697610552, operationsPerMinute=5.794856674402638
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jun 28 18:11:52 BST 2016, end=Tue Jun 28 18:13:52 BST 2016, operations=55.67612786417892, operationsPerMinute=27.83806393208946, mode=normal, start=Tue Jun 28 18:14:01 BST 2016, end=Tue Jun 28 18:18:01 BST 2016, operations=111.47598484828694, operationsPerMinute=27.868996212071735
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jun 28 18:18:11 BST 2016, end=Tue Jun 28 18:20:11 BST 2016, operations=37.53731295803337, operationsPerMinute=18.768656479016684, mode=normal, start=Tue Jun 28 18:20:29 BST 2016, end=Tue Jun 28 18:24:29 BST 2016, operations=75.03434389035645, operationsPerMinute=18.758585972589113
