spec.jvm2008.report.run.location=ROBLIB077
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8067
benchmark-name=check, mode=normal, start=Sat Jun 04 16:07:38 BST 2016, end=Sat Jun 04 16:07:38 BST 2016, operations=1.0, operationsPerMinute=810.8108108108108
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 16:07:38 BST 2016, end=Sat Jun 04 16:07:39 BST 2016, operations=1.0, operationsPerMinute=108.10810810810811
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 16:07:39 BST 2016, end=Sat Jun 04 16:08:01 BST 2016, operations=1.0, operationsPerMinute=2.733734281027884
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 16:08:01 BST 2016, end=Sat Jun 04 16:08:06 BST 2016, operations=1.0, operationsPerMinute=11.850681414181315
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 16:08:06 BST 2016, end=Sat Jun 04 16:08:07 BST 2016, operations=1.0, operationsPerMinute=39.29273084479372
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 16:08:07 BST 2016, end=Sat Jun 04 16:08:17 BST 2016, operations=1.0, operationsPerMinute=6.368074718743366
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 16:08:17 BST 2016, end=Sat Jun 04 16:08:25 BST 2016, operations=1.0, operationsPerMinute=7.1301247771836005
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 16:08:25 BST 2016, end=Sat Jun 04 16:08:32 BST 2016, operations=1.0, operationsPerMinute=8.823529411764707
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 16:08:32 BST 2016, end=Sat Jun 04 16:08:35 BST 2016, operations=1.0, operationsPerMinute=19.55671447196871
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 16:08:35 BST 2016, end=Sat Jun 04 16:08:36 BST 2016, operations=1.0, operationsPerMinute=65.14657980456026
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 16:08:36 BST 2016, end=Sat Jun 04 16:08:37 BST 2016, operations=1.0, operationsPerMinute=52.816901408450704
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 16:08:37 BST 2016, end=Sat Jun 04 16:08:44 BST 2016, operations=1.0, operationsPerMinute=9.428032683846638
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 16:08:44 BST 2016, end=Sat Jun 04 16:08:45 BST 2016, operations=1.0, operationsPerMinute=36.96857670979667
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 16:08:45 BST 2016, end=Sat Jun 04 16:08:46 BST 2016, operations=1.0, operationsPerMinute=46.875
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 16:08:46 BST 2016, end=Sat Jun 04 16:08:49 BST 2016, operations=1.0, operationsPerMinute=20.387359836901123
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 16:08:49 BST 2016, end=Sat Jun 04 16:08:56 BST 2016, operations=1.0, operationsPerMinute=8.505812305075136
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 16:08:56 BST 2016, end=Sat Jun 04 16:09:24 BST 2016, operations=1.0, operationsPerMinute=2.2103518143304477
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 16:09:24 BST 2016, end=Sat Jun 04 16:09:25 BST 2016, operations=1.0, operationsPerMinute=42.67425320056899
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 16:09:39 BST 2016, end=Sat Jun 04 16:11:39 BST 2016, operations=402.9798520768781, operationsPerMinute=201.48992603843905, mode=normal, start=Sat Jun 04 16:11:40 BST 2016, end=Sat Jun 04 16:15:40 BST 2016, operations=799.4212864094188, operationsPerMinute=199.8553216023547
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 16:15:46 BST 2016, end=Sat Jun 04 16:17:46 BST 2016, operations=162.38628748217505, operationsPerMinute=81.19314374108752, mode=normal, start=Sat Jun 04 16:17:49 BST 2016, end=Sat Jun 04 16:21:49 BST 2016, operations=311.38753763766346, operationsPerMinute=77.84688440941586
benchmark-name=compress, mod=warmup, start=Sat Jun 04 16:21:53 BST 2016, end=Sat Jun 04 16:23:53 BST 2016, operations=323.2256839639268, operationsPerMinute=161.6128419819634, mode=normal, start=Sat Jun 04 16:23:55 BST 2016, end=Sat Jun 04 16:27:55 BST 2016, operations=638.8218871362428, operationsPerMinute=159.7054717840607
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 16:27:58 BST 2016, end=Sat Jun 04 16:29:58 BST 2016, operations=115.28000233602167, operationsPerMinute=57.64000116801083, mode=normal, start=Sat Jun 04 16:30:03 BST 2016, end=Sat Jun 04 16:34:03 BST 2016, operations=242.3582671977909, operationsPerMinute=60.589566799447724
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 16:34:10 BST 2016, end=Sat Jun 04 16:36:10 BST 2016, operations=202.1458926358074, operationsPerMinute=101.0729463179037, mode=normal, start=Sat Jun 04 16:36:14 BST 2016, end=Sat Jun 04 16:40:14 BST 2016, operations=401.2608646843857, operationsPerMinute=100.31521617109642
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 16:40:18 BST 2016, end=Sat Jun 04 16:42:18 BST 2016, operations=342.61191282495724, operationsPerMinute=171.30595641247862, mode=normal, start=Sat Jun 04 16:42:20 BST 2016, end=Sat Jun 04 16:46:20 BST 2016, operations=673.8342122976148, operationsPerMinute=168.4585530744037
benchmark-name=derby, mod=warmup, start=Sat Jun 04 16:47:18 BST 2016, end=Sat Jun 04 16:49:18 BST 2016, operations=255.00975951122734, operationsPerMinute=127.50487975561367, mode=normal, start=Sat Jun 04 16:49:22 BST 2016, end=Sat Jun 04 16:53:22 BST 2016, operations=517.6036449815349, operationsPerMinute=129.40091124538372
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 16:53:25 BST 2016, end=Sat Jun 04 16:55:25 BST 2016, operations=171.48065877775088, operationsPerMinute=85.74032938887544, mode=normal, start=Sat Jun 04 16:55:30 BST 2016, end=Sat Jun 04 16:59:30 BST 2016, operations=319.3900244561001, operationsPerMinute=79.84750611402502
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 16:59:34 BST 2016, end=Sat Jun 04 17:01:34 BST 2016, operations=114.65520537189421, operationsPerMinute=57.327602685947106, mode=normal, start=Sat Jun 04 17:01:38 BST 2016, end=Sat Jun 04 17:05:38 BST 2016, operations=240.1002263242277, operationsPerMinute=60.02505658105692
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 17:05:43 BST 2016, end=Sat Jun 04 17:07:43 BST 2016, operations=24.88235885170711, operationsPerMinute=12.441179425853555, mode=normal, start=Sat Jun 04 17:08:13 BST 2016, end=Sat Jun 04 17:12:13 BST 2016, operations=49.14753866958809, operationsPerMinute=12.286884667397022
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 17:12:41 BST 2016, end=Sat Jun 04 17:14:41 BST 2016, operations=67.09280217088167, operationsPerMinute=33.546401085440834, mode=normal, start=Sat Jun 04 17:14:52 BST 2016, end=Sat Jun 04 17:18:52 BST 2016, operations=134.63062141146187, operationsPerMinute=33.65765535286547
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 17:19:07 BST 2016, end=Sat Jun 04 17:21:07 BST 2016, operations=76.1253431614492, operationsPerMinute=38.0626715807246, mode=normal, start=Sat Jun 04 17:21:15 BST 2016, end=Sat Jun 04 17:25:15 BST 2016, operations=153.50927817652, operationsPerMinute=38.37731954413
