spec.jvm2008.report.run.location=BEDSONTC127
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 04 16:05:44 BST 2016, end=Sat Jun 04 16:05:44 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 16:05:44 BST 2016, end=Sat Jun 04 16:05:44 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 16:05:44 BST 2016, end=Sat Jun 04 16:05:58 BST 2016, operations=1.0, operationsPerMinute=4.109307581672488
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 16:05:58 BST 2016, end=Sat Jun 04 16:06:02 BST 2016, operations=1.0, operationsPerMinute=17.326017903551833
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 16:06:02 BST 2016, end=Sat Jun 04 16:06:03 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 16:06:03 BST 2016, end=Sat Jun 04 16:06:12 BST 2016, operations=1.0, operationsPerMinute=7.082989021367017
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 16:06:12 BST 2016, end=Sat Jun 04 16:06:19 BST 2016, operations=1.0, operationsPerMinute=8.046131151937777
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 16:06:19 BST 2016, end=Sat Jun 04 16:06:26 BST 2016, operations=1.0, operationsPerMinute=9.114385538508278
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 16:06:26 BST 2016, end=Sat Jun 04 16:06:28 BST 2016, operations=1.0, operationsPerMinute=26.7022696929239
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 16:06:28 BST 2016, end=Sat Jun 04 16:06:29 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 16:06:29 BST 2016, end=Sat Jun 04 16:06:29 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 16:06:29 BST 2016, end=Sat Jun 04 16:06:35 BST 2016, operations=1.0, operationsPerMinute=10.897203051216854
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 16:06:35 BST 2016, end=Sat Jun 04 16:06:36 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 16:06:36 BST 2016, end=Sat Jun 04 16:06:37 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 16:06:37 BST 2016, end=Sat Jun 04 16:06:39 BST 2016, operations=1.0, operationsPerMinute=28.28854314002829
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 16:06:39 BST 2016, end=Sat Jun 04 16:06:46 BST 2016, operations=1.0, operationsPerMinute=9.380863039399625
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 16:06:46 BST 2016, end=Sat Jun 04 16:07:06 BST 2016, operations=1.0, operationsPerMinute=2.963109289347622
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 16:07:06 BST 2016, end=Sat Jun 04 16:07:07 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 16:07:18 BST 2016, end=Sat Jun 04 16:09:18 BST 2016, operations=483.9086133438368, operationsPerMinute=241.9543066719184, mode=normal, start=Sat Jun 04 16:09:19 BST 2016, end=Sat Jun 04 16:13:19 BST 2016, operations=1021.1277886587404, operationsPerMinute=255.2819471646851
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 16:13:24 BST 2016, end=Sat Jun 04 16:15:24 BST 2016, operations=198.40172710131543, operationsPerMinute=99.20086355065771, mode=normal, start=Sat Jun 04 16:15:27 BST 2016, end=Sat Jun 04 16:19:27 BST 2016, operations=390.5354312454207, operationsPerMinute=97.63385781135517
benchmark-name=compress, mod=warmup, start=Sat Jun 04 16:19:31 BST 2016, end=Sat Jun 04 16:21:31 BST 2016, operations=398.4853670450489, operationsPerMinute=199.24268352252446, mode=normal, start=Sat Jun 04 16:21:33 BST 2016, end=Sat Jun 04 16:25:33 BST 2016, operations=795.5763321960238, operationsPerMinute=198.89408304900596
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 16:25:35 BST 2016, end=Sat Jun 04 16:27:35 BST 2016, operations=140.01779808398305, operationsPerMinute=70.00889904199153, mode=normal, start=Sat Jun 04 16:27:40 BST 2016, end=Sat Jun 04 16:31:40 BST 2016, operations=294.28361822276696, operationsPerMinute=73.57090455569174
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 16:31:46 BST 2016, end=Sat Jun 04 16:33:46 BST 2016, operations=235.69340466804363, operationsPerMinute=117.84670233402181, mode=normal, start=Sat Jun 04 16:33:48 BST 2016, end=Sat Jun 04 16:37:48 BST 2016, operations=472.24228136520316, operationsPerMinute=118.06057034130079
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 16:37:52 BST 2016, end=Sat Jun 04 16:39:52 BST 2016, operations=407.647046021245, operationsPerMinute=203.8235230106225, mode=normal, start=Sat Jun 04 16:39:54 BST 2016, end=Sat Jun 04 16:43:54 BST 2016, operations=815.2042086450181, operationsPerMinute=203.80105216125452
benchmark-name=derby, mod=warmup, start=Sat Jun 04 16:44:35 BST 2016, end=Sat Jun 04 16:46:35 BST 2016, operations=359.03610966029055, operationsPerMinute=179.51805483014527, mode=normal, start=Sat Jun 04 16:46:37 BST 2016, end=Sat Jun 04 16:50:37 BST 2016, operations=722.4239079349659, operationsPerMinute=180.60597698374147
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 16:50:40 BST 2016, end=Sat Jun 04 16:52:40 BST 2016, operations=208.57085633726717, operationsPerMinute=104.28542816863359, mode=normal, start=Sat Jun 04 16:52:44 BST 2016, end=Sat Jun 04 16:56:44 BST 2016, operations=415.5692471953668, operationsPerMinute=103.8923117988417
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 16:56:48 BST 2016, end=Sat Jun 04 16:58:48 BST 2016, operations=75.06638424938397, operationsPerMinute=37.533192124691986, mode=normal, start=Sat Jun 04 16:58:54 BST 2016, end=Sat Jun 04 17:02:54 BST 2016, operations=143.18653645958543, operationsPerMinute=35.79663411489636
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 17:03:03 BST 2016, end=Sat Jun 04 17:05:03 BST 2016, operations=13.771394911795248, operationsPerMinute=6.885697455897624, mode=normal, start=Sat Jun 04 17:05:48 BST 2016, end=Sat Jun 04 17:09:48 BST 2016, operations=27.623081538546025, operationsPerMinute=6.905770384636506
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 17:10:17 BST 2016, end=Sat Jun 04 17:12:17 BST 2016, operations=74.55753131912769, operationsPerMinute=37.278765659563845, mode=normal, start=Sat Jun 04 17:12:26 BST 2016, end=Sat Jun 04 17:16:26 BST 2016, operations=148.8709182817609, operationsPerMinute=37.21772957044023
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 17:16:38 BST 2016, end=Sat Jun 04 17:18:38 BST 2016, operations=43.17717374010402, operationsPerMinute=21.58858687005201, mode=normal, start=Sat Jun 04 17:18:48 BST 2016, end=Sat Jun 04 17:22:48 BST 2016, operations=86.37388889359283, operationsPerMinute=21.59347222339821
