spec.jvm2008.report.run.location=KINGS01
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470 CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Fri Jun 24 12:20:45 BST 2016, end=Fri Jun 24 12:20:45 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 12:20:45 BST 2016, end=Fri Jun 24 12:20:45 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 12:20:45 BST 2016, end=Fri Jun 24 12:21:01 BST 2016, operations=1.0, operationsPerMinute=3.698224852071006
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 12:21:01 BST 2016, end=Fri Jun 24 12:21:05 BST 2016, operations=1.0, operationsPerMinute=15.082956259426847
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 12:21:05 BST 2016, end=Fri Jun 24 12:21:07 BST 2016, operations=1.0, operationsPerMinute=43.69992716678806
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 12:21:07 BST 2016, end=Fri Jun 24 12:21:16 BST 2016, operations=1.0, operationsPerMinute=6.73551863493489
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 12:21:16 BST 2016, end=Fri Jun 24 12:21:23 BST 2016, operations=1.0, operationsPerMinute=7.801326225458328
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 12:21:23 BST 2016, end=Fri Jun 24 12:21:30 BST 2016, operations=1.0, operationsPerMinute=9.007656508031827
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 12:21:30 BST 2016, end=Fri Jun 24 12:21:33 BST 2016, operations=1.0, operationsPerMinute=22.624434389140273
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 12:21:33 BST 2016, end=Fri Jun 24 12:21:34 BST 2016, operations=1.0, operationsPerMinute=68.72852233676976
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 12:21:34 BST 2016, end=Fri Jun 24 12:21:35 BST 2016, operations=1.0, operationsPerMinute=55.762081784386616
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 12:21:35 BST 2016, end=Fri Jun 24 12:21:41 BST 2016, operations=1.0, operationsPerMinute=9.937065253395163
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 12:21:41 BST 2016, end=Fri Jun 24 12:21:42 BST 2016, operations=1.0, operationsPerMinute=39.24133420536298
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 12:21:42 BST 2016, end=Fri Jun 24 12:21:43 BST 2016, operations=1.0, operationsPerMinute=53.42831700801425
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 12:21:43 BST 2016, end=Fri Jun 24 12:21:46 BST 2016, operations=1.0, operationsPerMinute=23.446658851113718
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 12:21:46 BST 2016, end=Fri Jun 24 12:21:52 BST 2016, operations=1.0, operationsPerMinute=9.092286710107592
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 12:21:52 BST 2016, end=Fri Jun 24 12:22:16 BST 2016, operations=1.0, operationsPerMinute=2.547121752419766
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 12:22:16 BST 2016, end=Fri Jun 24 12:22:17 BST 2016, operations=1.0, operationsPerMinute=55.762081784386616
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 12:22:29 BST 2016, end=Fri Jun 24 12:24:29 BST 2016, operations=439.5555999739619, operationsPerMinute=219.77779998698094, mode=normal, start=Fri Jun 24 12:24:31 BST 2016, end=Fri Jun 24 12:28:31 BST 2016, operations=883.452062069022, operationsPerMinute=220.8630155172555
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 12:28:36 BST 2016, end=Fri Jun 24 12:30:36 BST 2016, operations=176.81848123363503, operationsPerMinute=88.40924061681751, mode=normal, start=Fri Jun 24 12:30:40 BST 2016, end=Fri Jun 24 12:34:40 BST 2016, operations=348.1671115531455, operationsPerMinute=87.04177788828638
benchmark-name=compress, mod=warmup, start=Fri Jun 24 12:34:44 BST 2016, end=Fri Jun 24 12:36:44 BST 2016, operations=372.98719280563733, operationsPerMinute=186.49359640281867, mode=normal, start=Fri Jun 24 12:36:46 BST 2016, end=Fri Jun 24 12:40:46 BST 2016, operations=746.753344647945, operationsPerMinute=186.68833616198626
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 12:40:49 BST 2016, end=Fri Jun 24 12:42:49 BST 2016, operations=123.7024195501188, operationsPerMinute=61.8512097750594, mode=normal, start=Fri Jun 24 12:42:55 BST 2016, end=Fri Jun 24 12:46:55 BST 2016, operations=260.092692342221, operationsPerMinute=65.02317308555526
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 12:47:01 BST 2016, end=Fri Jun 24 12:49:01 BST 2016, operations=220.30725679541368, operationsPerMinute=110.15362839770684, mode=normal, start=Fri Jun 24 12:49:05 BST 2016, end=Fri Jun 24 12:53:05 BST 2016, operations=437.93354207837797, operationsPerMinute=109.48338551959449
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 12:53:08 BST 2016, end=Fri Jun 24 12:55:08 BST 2016, operations=356.70382893618995, operationsPerMinute=178.35191446809498, mode=normal, start=Fri Jun 24 12:55:10 BST 2016, end=Fri Jun 24 12:59:10 BST 2016, operations=738.3784564666416, operationsPerMinute=184.5946141166604
benchmark-name=derby, mod=warmup, start=Fri Jun 24 13:00:23 BST 2016, end=Fri Jun 24 13:02:23 BST 2016, operations=267.7790564846615, operationsPerMinute=133.88952824233075, mode=normal, start=Fri Jun 24 13:02:26 BST 2016, end=Fri Jun 24 13:06:26 BST 2016, operations=531.7491848033906, operationsPerMinute=132.93729620084764
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 13:06:30 BST 2016, end=Fri Jun 24 13:08:30 BST 2016, operations=178.6948998931921, operationsPerMinute=89.34744994659604, mode=normal, start=Fri Jun 24 13:08:34 BST 2016, end=Fri Jun 24 13:12:34 BST 2016, operations=358.09708982880534, operationsPerMinute=89.52427245720133
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 13:12:39 BST 2016, end=Fri Jun 24 13:14:39 BST 2016, operations=97.97640279278758, operationsPerMinute=48.98820139639379, mode=normal, start=Fri Jun 24 13:14:47 BST 2016, end=Fri Jun 24 13:18:47 BST 2016, operations=214.22965291940758, operationsPerMinute=53.557413229851896
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 13:18:53 BST 2016, end=Fri Jun 24 13:20:53 BST 2016, operations=21.622594399075922, operationsPerMinute=10.811297199537961, mode=normal, start=Fri Jun 24 13:21:23 BST 2016, end=Fri Jun 24 13:25:23 BST 2016, operations=43.14713852343482, operationsPerMinute=10.786784630858705
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 13:25:49 BST 2016, end=Fri Jun 24 13:27:49 BST 2016, operations=72.59313173637206, operationsPerMinute=36.29656586818603, mode=normal, start=Fri Jun 24 13:28:00 BST 2016, end=Fri Jun 24 13:32:00 BST 2016, operations=147.28590414525627, operationsPerMinute=36.82147603631407
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 13:32:13 BST 2016, end=Fri Jun 24 13:34:13 BST 2016, operations=72.33959877605969, operationsPerMinute=36.169799388029844, mode=normal, start=Fri Jun 24 13:34:23 BST 2016, end=Fri Jun 24 13:38:23 BST 2016, operations=144.6493789913236, operationsPerMinute=36.1623447478309
