spec.jvm2008.report.run.location=BARN-04
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jul 01 14:38:52 BST 2016, end=Fri Jul 01 14:38:52 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Fri Jul 01 14:38:52 BST 2016, end=Fri Jul 01 14:38:52 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jul 01 14:38:52 BST 2016, end=Fri Jul 01 14:39:05 BST 2016, operations=1.0, operationsPerMinute=4.441154700222058
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jul 01 14:39:05 BST 2016, end=Fri Jul 01 14:39:09 BST 2016, operations=1.0, operationsPerMinute=18.231540565177756
benchmark-name=startup.compress, mode=normal, start=Fri Jul 01 14:39:09 BST 2016, end=Fri Jul 01 14:39:10 BST 2016, operations=1.0, operationsPerMinute=47.46835443037975
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jul 01 14:39:10 BST 2016, end=Fri Jul 01 14:39:18 BST 2016, operations=1.0, operationsPerMinute=7.122507122507122
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jul 01 14:39:18 BST 2016, end=Fri Jul 01 14:39:26 BST 2016, operations=1.0, operationsPerMinute=7.962840079628401
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jul 01 14:39:26 BST 2016, end=Fri Jul 01 14:39:33 BST 2016, operations=1.0, operationsPerMinute=9.049773755656108
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jul 01 14:39:33 BST 2016, end=Fri Jul 01 14:39:35 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jul 01 14:39:35 BST 2016, end=Fri Jul 01 14:39:36 BST 2016, operations=1.0, operationsPerMinute=81.74386920980926
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jul 01 14:39:36 BST 2016, end=Fri Jul 01 14:39:37 BST 2016, operations=1.0, operationsPerMinute=66.3716814159292
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jul 01 14:39:37 BST 2016, end=Fri Jul 01 14:39:42 BST 2016, operations=1.0, operationsPerMinute=10.95690284879474
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jul 01 14:39:42 BST 2016, end=Fri Jul 01 14:39:43 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jul 01 14:39:43 BST 2016, end=Fri Jul 01 14:39:44 BST 2016, operations=1.0, operationsPerMinute=61.09979633401222
benchmark-name=startup.serial, mode=normal, start=Fri Jul 01 14:39:44 BST 2016, end=Fri Jul 01 14:39:47 BST 2016, operations=1.0, operationsPerMinute=28.275212064090482
benchmark-name=startup.sunflow, mode=normal, start=Fri Jul 01 14:39:47 BST 2016, end=Fri Jul 01 14:39:53 BST 2016, operations=1.0, operationsPerMinute=9.404388714733543
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jul 01 14:39:53 BST 2016, end=Fri Jul 01 14:40:13 BST 2016, operations=1.0, operationsPerMinute=2.9539188656951554
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jul 01 14:40:13 BST 2016, end=Fri Jul 01 14:40:14 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jul 01 14:40:25 BST 2016, end=Fri Jul 01 14:42:25 BST 2016, operations=497.07390802621967, operationsPerMinute=248.53695401310983, mode=normal, start=Fri Jul 01 14:42:26 BST 2016, end=Fri Jul 01 14:46:26 BST 2016, operations=1023.8034086524025, operationsPerMinute=255.95085216310062
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jul 01 14:46:30 BST 2016, end=Fri Jul 01 14:48:30 BST 2016, operations=189.7731289501538, operationsPerMinute=94.8865644750769, mode=normal, start=Fri Jul 01 14:48:33 BST 2016, end=Fri Jul 01 14:52:33 BST 2016, operations=403.2754711673199, operationsPerMinute=100.81886779182997
benchmark-name=compress, mod=warmup, start=Fri Jul 01 14:52:37 BST 2016, end=Fri Jul 01 14:54:37 BST 2016, operations=394.25646573194, operationsPerMinute=197.12823286597, mode=normal, start=Fri Jul 01 14:54:39 BST 2016, end=Fri Jul 01 14:58:39 BST 2016, operations=796.0231115502094, operationsPerMinute=199.00577788755234
benchmark-name=crypto.aes, mod=warmup, start=Fri Jul 01 14:58:41 BST 2016, end=Fri Jul 01 15:00:41 BST 2016, operations=136.54025582385754, operationsPerMinute=68.27012791192877, mode=normal, start=Fri Jul 01 15:00:46 BST 2016, end=Fri Jul 01 15:04:46 BST 2016, operations=291.33102740168016, operationsPerMinute=72.83275685042004
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jul 01 15:04:52 BST 2016, end=Fri Jul 01 15:06:52 BST 2016, operations=234.91670484086583, operationsPerMinute=117.45835242043292, mode=normal, start=Fri Jul 01 15:06:55 BST 2016, end=Fri Jul 01 15:10:55 BST 2016, operations=467.1769018462436, operationsPerMinute=116.7942254615609
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jul 01 15:10:58 BST 2016, end=Fri Jul 01 15:12:58 BST 2016, operations=405.53336135024597, operationsPerMinute=202.76668067512298, mode=normal, start=Fri Jul 01 15:13:00 BST 2016, end=Fri Jul 01 15:17:00 BST 2016, operations=815.534661009056, operationsPerMinute=203.883665252264
benchmark-name=derby, mod=warmup, start=Fri Jul 01 15:17:24 BST 2016, end=Fri Jul 01 15:19:24 BST 2016, operations=344.78097973856956, operationsPerMinute=172.39048986928478, mode=normal, start=Fri Jul 01 15:19:26 BST 2016, end=Fri Jul 01 15:23:26 BST 2016, operations=714.3153282651901, operationsPerMinute=178.57883206629754
benchmark-name=mpegaudio, mod=warmup, start=Fri Jul 01 15:23:28 BST 2016, end=Fri Jul 01 15:25:28 BST 2016, operations=208.04885856440126, operationsPerMinute=104.02442928220063, mode=normal, start=Fri Jul 01 15:25:32 BST 2016, end=Fri Jul 01 15:29:32 BST 2016, operations=416.3102185618274, operationsPerMinute=104.07755464045685
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jul 01 15:29:36 BST 2016, end=Fri Jul 01 15:31:36 BST 2016, operations=69.68430890876945, operationsPerMinute=34.842154454384726, mode=normal, start=Fri Jul 01 15:31:45 BST 2016, end=Fri Jul 01 15:35:45 BST 2016, operations=140.00822102238857, operationsPerMinute=35.00205525559714
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jul 01 15:35:52 BST 2016, end=Fri Jul 01 15:37:52 BST 2016, operations=13.877565479429283, operationsPerMinute=6.938782739714641, mode=normal, start=Fri Jul 01 15:38:36 BST 2016, end=Fri Jul 01 15:42:36 BST 2016, operations=27.733283595061614, operationsPerMinute=6.933320898765404
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jul 01 15:43:22 BST 2016, end=Fri Jul 01 15:45:22 BST 2016, operations=74.49904608142843, operationsPerMinute=37.249523040714216, mode=normal, start=Fri Jul 01 15:45:30 BST 2016, end=Fri Jul 01 15:49:30 BST 2016, operations=149.1725818161777, operationsPerMinute=37.29314545404443
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jul 01 15:49:40 BST 2016, end=Fri Jul 01 15:51:40 BST 2016, operations=43.141726161556726, operationsPerMinute=21.570863080778363, mode=normal, start=Fri Jul 01 15:51:51 BST 2016, end=Fri Jul 01 15:55:51 BST 2016, operations=86.30607967323834, operationsPerMinute=21.576519918309586
benchmark-name=scimark.fft.small, mod=warmup, start=Fri Jul 01 15:56:04 BST 2016, end=Fri Jul 01 15:58:04 BST 2016, operations=764.752243777838, operationsPerMinute=382.376121888919, mode=normal, start=Fri Jul 01 15:58:05 BST 2016, end=Fri Jul 01 16:02:05 BST 2016, operations=1470.2358397022924, operationsPerMinute=367.5589599255731
