spec.jvm2008.report.run.location=UNION43
spec.jvm2008.report.hw.cpu.name=Intel(R) Xeon(R) CPU E31270 @ 3.40GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=16341
benchmark-name=check, mode=normal, start=Sat Jun 04 08:28:43 BST 2016, end=Sat Jun 04 08:28:43 BST 2016, operations=1.0, operationsPerMinute=521.7391304347826
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 08:28:43 BST 2016, end=Sat Jun 04 08:28:44 BST 2016, operations=1.0, operationsPerMinute=49.83388704318937
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 08:28:44 BST 2016, end=Sat Jun 04 08:29:13 BST 2016, operations=1.0, operationsPerMinute=2.0792902689215413
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 08:29:13 BST 2016, end=Sat Jun 04 08:29:19 BST 2016, operations=1.0, operationsPerMinute=10.272213662044171
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 08:29:19 BST 2016, end=Sat Jun 04 08:29:20 BST 2016, operations=1.0, operationsPerMinute=40.65040650406504
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 08:29:20 BST 2016, end=Sat Jun 04 08:29:30 BST 2016, operations=1.0, operationsPerMinute=6.109979633401222
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 08:29:30 BST 2016, end=Sat Jun 04 08:29:38 BST 2016, operations=1.0, operationsPerMinute=7.5509690410269314
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 08:29:38 BST 2016, end=Sat Jun 04 08:29:45 BST 2016, operations=1.0, operationsPerMinute=8.94854586129754
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 08:29:45 BST 2016, end=Sat Jun 04 08:29:47 BST 2016, operations=1.0, operationsPerMinute=21.299254526091588
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 08:29:47 BST 2016, end=Sat Jun 04 08:29:48 BST 2016, operations=1.0, operationsPerMinute=71.94244604316546
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 08:29:48 BST 2016, end=Sat Jun 04 08:29:49 BST 2016, operations=1.0, operationsPerMinute=54.5950864422202
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 08:29:49 BST 2016, end=Sat Jun 04 08:29:56 BST 2016, operations=1.0, operationsPerMinute=9.244992295839754
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 08:29:56 BST 2016, end=Sat Jun 04 08:29:57 BST 2016, operations=1.0, operationsPerMinute=38.8852883992223
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 08:29:57 BST 2016, end=Sat Jun 04 08:29:59 BST 2016, operations=1.0, operationsPerMinute=47.24409448818898
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 08:29:59 BST 2016, end=Sat Jun 04 08:30:02 BST 2016, operations=1.0, operationsPerMinute=20.36659877800407
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 08:30:02 BST 2016, end=Sat Jun 04 08:30:09 BST 2016, operations=1.0, operationsPerMinute=8.570204256534781
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 08:30:09 BST 2016, end=Sat Jun 04 08:30:56 BST 2016, operations=1.0, operationsPerMinute=1.2700294223482844
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 08:30:56 BST 2016, end=Sat Jun 04 08:30:57 BST 2016, operations=1.0, operationsPerMinute=44.0852314474651
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 08:31:16 BST 2016, end=Sat Jun 04 08:33:16 BST 2016, operations=433.66055368602497, operationsPerMinute=216.83027684301248, mode=normal, start=Sat Jun 04 08:33:19 BST 2016, end=Sat Jun 04 08:37:19 BST 2016, operations=872.1072650238337, operationsPerMinute=218.02681625595844
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 08:37:26 BST 2016, end=Sat Jun 04 08:39:26 BST 2016, operations=172.3130832072258, operationsPerMinute=86.1565416036129, mode=normal, start=Sat Jun 04 08:39:33 BST 2016, end=Sat Jun 04 08:43:33 BST 2016, operations=346.59979094505013, operationsPerMinute=86.64994773626253
benchmark-name=compress, mod=warmup, start=Sat Jun 04 08:43:43 BST 2016, end=Sat Jun 04 08:45:43 BST 2016, operations=462.7116361850269, operationsPerMinute=231.35581809251346, mode=normal, start=Sat Jun 04 08:45:47 BST 2016, end=Sat Jun 04 08:49:47 BST 2016, operations=929.0788973335414, operationsPerMinute=232.26972433338534
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 08:49:50 BST 2016, end=Sat Jun 04 08:51:50 BST 2016, operations=122.4679298006025, operationsPerMinute=61.23396490030125, mode=normal, start=Sat Jun 04 08:52:00 BST 2016, end=Sat Jun 04 08:56:00 BST 2016, operations=258.10830027709676, operationsPerMinute=64.52707506927419
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 08:56:12 BST 2016, end=Sat Jun 04 08:58:12 BST 2016, operations=219.29949242005657, operationsPerMinute=109.64974621002828, mode=normal, start=Sat Jun 04 08:58:18 BST 2016, end=Sat Jun 04 09:02:18 BST 2016, operations=437.5319306807786, operationsPerMinute=109.38298267019465
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 09:02:25 BST 2016, end=Sat Jun 04 09:04:25 BST 2016, operations=379.05596084125057, operationsPerMinute=189.52798042062528, mode=normal, start=Sat Jun 04 09:04:29 BST 2016, end=Sat Jun 04 09:08:29 BST 2016, operations=753.370249976731, operationsPerMinute=188.34256249418274
benchmark-name=derby, mod=warmup, start=Sat Jun 04 09:10:26 BST 2016, end=Sat Jun 04 09:12:26 BST 2016, operations=289.0564803077007, operationsPerMinute=144.52824015385036, mode=normal, start=Sat Jun 04 09:12:32 BST 2016, end=Sat Jun 04 09:16:32 BST 2016, operations=610.0654126889881, operationsPerMinute=152.51635317224702
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 09:16:37 BST 2016, end=Sat Jun 04 09:18:37 BST 2016, operations=212.6658541363179, operationsPerMinute=106.33292706815895, mode=normal, start=Sat Jun 04 09:18:43 BST 2016, end=Sat Jun 04 09:22:43 BST 2016, operations=414.9755577705721, operationsPerMinute=103.74388944264302
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 09:22:50 BST 2016, end=Sat Jun 04 09:24:50 BST 2016, operations=93.7594370657554, operationsPerMinute=46.8797185328777, mode=normal, start=Sat Jun 04 09:25:05 BST 2016, end=Sat Jun 04 09:29:05 BST 2016, operations=178.7054887290351, operationsPerMinute=44.676372182258774
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 09:29:19 BST 2016, end=Sat Jun 04 09:31:19 BST 2016, operations=20.42022015543616, operationsPerMinute=10.21011007771808, mode=normal, start=Sat Jun 04 09:32:21 BST 2016, end=Sat Jun 04 09:36:21 BST 2016, operations=40.941759672140876, operationsPerMinute=10.235439918035219
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 09:37:37 BST 2016, end=Sat Jun 04 09:39:37 BST 2016, operations=119.35011359114958, operationsPerMinute=59.67505679557479, mode=normal, start=Sat Jun 04 09:39:50 BST 2016, end=Sat Jun 04 09:43:50 BST 2016, operations=240.26255771217552, operationsPerMinute=60.06563942804388
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 09:44:04 BST 2016, end=Sat Jun 04 09:46:04 BST 2016, operations=62.142067811806704, operationsPerMinute=31.071033905903352, mode=normal, start=Sat Jun 04 09:46:21 BST 2016, end=Sat Jun 04 09:50:21 BST 2016, operations=124.370485562965, operationsPerMinute=31.09262139074125
