spec.jvm2008.report.run.location=GLAZIER07
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Fri Jun 24 02:37:32 BST 2016, end=Fri Jun 24 02:37:32 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 02:37:32 BST 2016, end=Fri Jun 24 02:37:32 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 02:37:32 BST 2016, end=Fri Jun 24 02:37:50 BST 2016, operations=1.0, operationsPerMinute=3.3444816053511706
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 02:37:50 BST 2016, end=Fri Jun 24 02:37:55 BST 2016, operations=1.0, operationsPerMinute=13.636363636363637
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 02:37:55 BST 2016, end=Fri Jun 24 02:37:56 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 02:37:56 BST 2016, end=Fri Jun 24 02:38:05 BST 2016, operations=1.0, operationsPerMinute=6.563833278634723
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 02:38:05 BST 2016, end=Fri Jun 24 02:38:13 BST 2016, operations=1.0, operationsPerMinute=7.7539415869733785
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 02:38:13 BST 2016, end=Fri Jun 24 02:38:20 BST 2016, operations=1.0, operationsPerMinute=8.862629246676514
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 02:38:20 BST 2016, end=Fri Jun 24 02:38:22 BST 2016, operations=1.0, operationsPerMinute=22.23045572434235
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 02:38:22 BST 2016, end=Fri Jun 24 02:38:23 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 02:38:23 BST 2016, end=Fri Jun 24 02:38:24 BST 2016, operations=1.0, operationsPerMinute=54.151624548736464
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 02:38:24 BST 2016, end=Fri Jun 24 02:38:31 BST 2016, operations=1.0, operationsPerMinute=9.837678307919331
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 02:38:31 BST 2016, end=Fri Jun 24 02:38:32 BST 2016, operations=1.0, operationsPerMinute=38.46153846153846
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 02:38:32 BST 2016, end=Fri Jun 24 02:38:33 BST 2016, operations=1.0, operationsPerMinute=51.99306759098787
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 02:38:33 BST 2016, end=Fri Jun 24 02:38:36 BST 2016, operations=1.0, operationsPerMinute=23.023791250959324
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 02:38:36 BST 2016, end=Fri Jun 24 02:38:43 BST 2016, operations=1.0, operationsPerMinute=8.841732979664014
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 02:38:43 BST 2016, end=Fri Jun 24 02:39:08 BST 2016, operations=1.0, operationsPerMinute=2.388915432393693
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 02:39:08 BST 2016, end=Fri Jun 24 02:39:09 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 02:39:23 BST 2016, end=Fri Jun 24 02:41:23 BST 2016, operations=398.32123736583634, operationsPerMinute=199.16061868291817, mode=normal, start=Fri Jun 24 02:41:25 BST 2016, end=Fri Jun 24 02:45:25 BST 2016, operations=820.7240611147662, operationsPerMinute=205.18101527869155
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 02:45:30 BST 2016, end=Fri Jun 24 02:47:30 BST 2016, operations=163.15011590981263, operationsPerMinute=81.57505795490631, mode=normal, start=Fri Jun 24 02:47:34 BST 2016, end=Fri Jun 24 02:51:34 BST 2016, operations=322.9377072078516, operationsPerMinute=80.7344268019629
benchmark-name=compress, mod=warmup, start=Fri Jun 24 02:51:38 BST 2016, end=Fri Jun 24 02:53:38 BST 2016, operations=327.2903000442059, operationsPerMinute=163.64515002210294, mode=normal, start=Fri Jun 24 02:53:41 BST 2016, end=Fri Jun 24 02:57:41 BST 2016, operations=655.70499202503, operationsPerMinute=163.9262480062575
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 02:57:43 BST 2016, end=Fri Jun 24 02:59:43 BST 2016, operations=108.5520036402947, operationsPerMinute=54.27600182014735, mode=normal, start=Fri Jun 24 02:59:49 BST 2016, end=Fri Jun 24 03:03:49 BST 2016, operations=228.85822969584274, operationsPerMinute=57.214557423960684
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 03:03:55 BST 2016, end=Fri Jun 24 03:05:55 BST 2016, operations=194.08514679500806, operationsPerMinute=97.04257339750403, mode=normal, start=Fri Jun 24 03:05:58 BST 2016, end=Fri Jun 24 03:09:58 BST 2016, operations=389.3509135396704, operationsPerMinute=97.3377283849176
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 03:10:03 BST 2016, end=Fri Jun 24 03:12:03 BST 2016, operations=329.0506792752932, operationsPerMinute=164.5253396376466, mode=normal, start=Fri Jun 24 03:12:06 BST 2016, end=Fri Jun 24 03:16:06 BST 2016, operations=657.1811178677283, operationsPerMinute=164.29527946693207
benchmark-name=derby, mod=warmup, start=Fri Jun 24 03:17:25 BST 2016, end=Fri Jun 24 03:19:25 BST 2016, operations=231.01919020469745, operationsPerMinute=115.50959510234873, mode=normal, start=Fri Jun 24 03:19:29 BST 2016, end=Fri Jun 24 03:23:29 BST 2016, operations=486.83001596220646, operationsPerMinute=121.70750399055161
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 03:23:32 BST 2016, end=Fri Jun 24 03:25:32 BST 2016, operations=161.36546237961556, operationsPerMinute=80.68273118980778, mode=normal, start=Fri Jun 24 03:25:37 BST 2016, end=Fri Jun 24 03:29:37 BST 2016, operations=324.1265638910563, operationsPerMinute=81.03164097276408
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 03:29:40 BST 2016, end=Fri Jun 24 03:31:40 BST 2016, operations=101.44283212514844, operationsPerMinute=50.72141606257422, mode=normal, start=Fri Jun 24 03:31:47 BST 2016, end=Fri Jun 24 03:35:47 BST 2016, operations=200.5265012960665, operationsPerMinute=50.131625324016625
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 03:35:53 BST 2016, end=Fri Jun 24 03:37:53 BST 2016, operations=21.204793275351083, operationsPerMinute=10.602396637675541, mode=normal, start=Fri Jun 24 03:38:13 BST 2016, end=Fri Jun 24 03:42:13 BST 2016, operations=42.6305109208333, operationsPerMinute=10.657627730208326
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 03:42:43 BST 2016, end=Fri Jun 24 03:44:43 BST 2016, operations=65.405893636922, operationsPerMinute=32.702946818461, mode=normal, start=Fri Jun 24 03:44:56 BST 2016, end=Fri Jun 24 03:48:56 BST 2016, operations=125.4628104882081, operationsPerMinute=31.365702622052027
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 03:49:06 BST 2016, end=Fri Jun 24 03:51:06 BST 2016, operations=69.36020543361747, operationsPerMinute=34.68010271680873, mode=normal, start=Fri Jun 24 03:51:16 BST 2016, end=Fri Jun 24 03:55:16 BST 2016, operations=137.23373317574092, operationsPerMinute=34.30843329393523
