spec.jvm2008.report.run.location=BEDSONTC031
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jun 03 15:02:38 BST 2016, end=Fri Jun 03 15:02:38 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 03 15:02:38 BST 2016, end=Fri Jun 03 15:02:38 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 03 15:02:38 BST 2016, end=Fri Jun 03 15:02:50 BST 2016, operations=1.0, operationsPerMinute=4.754358161648177
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 03 15:02:50 BST 2016, end=Fri Jun 03 15:02:54 BST 2016, operations=1.0, operationsPerMinute=18.668326073428748
benchmark-name=startup.compress, mode=normal, start=Fri Jun 03 15:02:54 BST 2016, end=Fri Jun 03 15:02:55 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 03 15:02:55 BST 2016, end=Fri Jun 03 15:03:03 BST 2016, operations=1.0, operationsPerMinute=7.1098471382865265
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 03 15:03:03 BST 2016, end=Fri Jun 03 15:03:11 BST 2016, operations=1.0, operationsPerMinute=8.063432334363661
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 03 15:03:11 BST 2016, end=Fri Jun 03 15:03:17 BST 2016, operations=1.0, operationsPerMinute=9.179926560587516
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 03 15:03:17 BST 2016, end=Fri Jun 03 15:03:19 BST 2016, operations=1.0, operationsPerMinute=26.89376961004034
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 03 15:03:19 BST 2016, end=Fri Jun 03 15:03:20 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 03 15:03:20 BST 2016, end=Fri Jun 03 15:03:21 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 03 15:03:21 BST 2016, end=Fri Jun 03 15:03:27 BST 2016, operations=1.0, operationsPerMinute=10.95690284879474
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 03 15:03:27 BST 2016, end=Fri Jun 03 15:03:28 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 03 15:03:28 BST 2016, end=Fri Jun 03 15:03:29 BST 2016, operations=1.0, operationsPerMinute=61.98347107438016
benchmark-name=startup.serial, mode=normal, start=Fri Jun 03 15:03:29 BST 2016, end=Fri Jun 03 15:03:31 BST 2016, operations=1.0, operationsPerMinute=28.708133971291865
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 03 15:03:31 BST 2016, end=Fri Jun 03 15:03:37 BST 2016, operations=1.0, operationsPerMinute=9.404388714733543
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 03 15:03:37 BST 2016, end=Fri Jun 03 15:03:57 BST 2016, operations=1.0, operationsPerMinute=3.009479861563926
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 03 15:03:57 BST 2016, end=Fri Jun 03 15:03:58 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 03 15:04:08 BST 2016, end=Fri Jun 03 15:06:08 BST 2016, operations=489.02261448650773, operationsPerMinute=244.51130724325387, mode=normal, start=Fri Jun 03 15:06:10 BST 2016, end=Fri Jun 03 15:10:10 BST 2016, operations=1015.3255287089673, operationsPerMinute=253.83138217724184
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 03 15:10:13 BST 2016, end=Fri Jun 03 15:12:13 BST 2016, operations=198.1027854608509, operationsPerMinute=99.05139273042545, mode=normal, start=Fri Jun 03 15:12:17 BST 2016, end=Fri Jun 03 15:16:17 BST 2016, operations=392.825668715024, operationsPerMinute=98.206417178756
benchmark-name=compress, mod=warmup, start=Fri Jun 03 15:16:20 BST 2016, end=Fri Jun 03 15:18:20 BST 2016, operations=379.2108255283888, operationsPerMinute=189.6054127641944, mode=normal, start=Fri Jun 03 15:18:22 BST 2016, end=Fri Jun 03 15:22:22 BST 2016, operations=756.5064791719058, operationsPerMinute=189.12661979297644
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 03 15:22:24 BST 2016, end=Fri Jun 03 15:24:24 BST 2016, operations=139.82933211304183, operationsPerMinute=69.91466605652091, mode=normal, start=Fri Jun 03 15:24:30 BST 2016, end=Fri Jun 03 15:28:30 BST 2016, operations=294.7805374474866, operationsPerMinute=73.69513436187165
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 03 15:28:34 BST 2016, end=Fri Jun 03 15:30:34 BST 2016, operations=239.1105184831355, operationsPerMinute=119.55525924156775, mode=normal, start=Fri Jun 03 15:30:37 BST 2016, end=Fri Jun 03 15:34:37 BST 2016, operations=477.80360127666654, operationsPerMinute=119.45090031916664
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 03 15:34:40 BST 2016, end=Fri Jun 03 15:36:40 BST 2016, operations=405.6549882237924, operationsPerMinute=202.8274941118962, mode=normal, start=Fri Jun 03 15:36:41 BST 2016, end=Fri Jun 03 15:40:41 BST 2016, operations=818.3519567665148, operationsPerMinute=204.5879891916287
benchmark-name=derby, mod=warmup, start=Fri Jun 03 15:41:03 BST 2016, end=Fri Jun 03 15:43:03 BST 2016, operations=363.3906946219474, operationsPerMinute=181.6953473109737, mode=normal, start=Fri Jun 03 15:43:06 BST 2016, end=Fri Jun 03 15:47:06 BST 2016, operations=732.7756727283445, operationsPerMinute=183.19391818208612
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 03 15:47:08 BST 2016, end=Fri Jun 03 15:49:08 BST 2016, operations=209.73829666544088, operationsPerMinute=104.86914833272044, mode=normal, start=Fri Jun 03 15:49:11 BST 2016, end=Fri Jun 03 15:53:11 BST 2016, operations=418.49889756719057, operationsPerMinute=104.62472439179764
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 03 15:53:15 BST 2016, end=Fri Jun 03 15:55:15 BST 2016, operations=72.40983797360595, operationsPerMinute=36.20491898680297, mode=normal, start=Fri Jun 03 15:55:25 BST 2016, end=Fri Jun 03 15:59:25 BST 2016, operations=144.6121059487749, operationsPerMinute=36.15302648719373
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 03 15:59:32 BST 2016, end=Fri Jun 03 16:01:32 BST 2016, operations=13.786091460328471, operationsPerMinute=6.893045730164236, mode=normal, start=Fri Jun 03 16:02:18 BST 2016, end=Fri Jun 03 16:06:18 BST 2016, operations=27.416565573062833, operationsPerMinute=6.854141393265708
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 03 16:06:49 BST 2016, end=Fri Jun 03 16:08:49 BST 2016, operations=74.47143878184318, operationsPerMinute=37.23571939092159, mode=normal, start=Fri Jun 03 16:08:58 BST 2016, end=Fri Jun 03 16:12:58 BST 2016, operations=149.88625882610324, operationsPerMinute=37.47156470652581
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 03 16:13:08 BST 2016, end=Fri Jun 03 16:15:08 BST 2016, operations=43.143330319677446, operationsPerMinute=21.571665159838723, mode=normal, start=Fri Jun 03 16:15:19 BST 2016, end=Fri Jun 03 16:19:19 BST 2016, operations=86.04631655333114, operationsPerMinute=21.511579138332785
