spec.jvm2008.report.run.location=RIDLEY2B012
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 25 06:58:30 BST 2016, end=Sat Jun 25 06:58:30 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 25 06:58:30 BST 2016, end=Sat Jun 25 06:58:30 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 25 06:58:30 BST 2016, end=Sat Jun 25 06:58:43 BST 2016, operations=1.0, operationsPerMinute=4.673261157411013
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 25 06:58:43 BST 2016, end=Sat Jun 25 06:58:46 BST 2016, operations=1.0, operationsPerMinute=18.315018315018314
benchmark-name=startup.compress, mode=normal, start=Sat Jun 25 06:58:46 BST 2016, end=Sat Jun 25 06:58:47 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 25 06:58:47 BST 2016, end=Sat Jun 25 06:58:56 BST 2016, operations=1.0, operationsPerMinute=7.082989021367017
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 25 06:58:56 BST 2016, end=Sat Jun 25 06:59:04 BST 2016, operations=1.0, operationsPerMinute=7.849293563579278
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 25 06:59:04 BST 2016, end=Sat Jun 25 06:59:10 BST 2016, operations=1.0, operationsPerMinute=9.092286710107592
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 25 06:59:10 BST 2016, end=Sat Jun 25 06:59:12 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 25 06:59:12 BST 2016, end=Sat Jun 25 06:59:13 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 25 06:59:13 BST 2016, end=Sat Jun 25 06:59:14 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 25 06:59:14 BST 2016, end=Sat Jun 25 06:59:20 BST 2016, operations=1.0, operationsPerMinute=10.895224260032686
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 25 06:59:20 BST 2016, end=Sat Jun 25 06:59:21 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 25 06:59:21 BST 2016, end=Sat Jun 25 06:59:22 BST 2016, operations=1.0, operationsPerMinute=61.09979633401222
benchmark-name=startup.serial, mode=normal, start=Sat Jun 25 06:59:22 BST 2016, end=Sat Jun 25 06:59:24 BST 2016, operations=1.0, operationsPerMinute=28.275212064090482
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 25 06:59:24 BST 2016, end=Sat Jun 25 06:59:31 BST 2016, operations=1.0, operationsPerMinute=9.244992295839754
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 25 06:59:31 BST 2016, end=Sat Jun 25 06:59:51 BST 2016, operations=1.0, operationsPerMinute=2.96545247862403
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 25 06:59:51 BST 2016, end=Sat Jun 25 06:59:52 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 25 07:00:02 BST 2016, end=Sat Jun 25 07:02:02 BST 2016, operations=485.169835252701, operationsPerMinute=242.5849176263505, mode=normal, start=Sat Jun 25 07:02:04 BST 2016, end=Sat Jun 25 07:06:04 BST 2016, operations=1002.06986077836, operationsPerMinute=250.51746519459
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 25 07:06:08 BST 2016, end=Sat Jun 25 07:08:08 BST 2016, operations=197.77076503558592, operationsPerMinute=98.88538251779296, mode=normal, start=Sat Jun 25 07:08:11 BST 2016, end=Sat Jun 25 07:12:11 BST 2016, operations=394.13397310561174, operationsPerMinute=98.53349327640294
benchmark-name=compress, mod=warmup, start=Sat Jun 25 07:12:15 BST 2016, end=Sat Jun 25 07:14:15 BST 2016, operations=395.4523207690473, operationsPerMinute=197.72616038452364, mode=normal, start=Sat Jun 25 07:14:17 BST 2016, end=Sat Jun 25 07:18:17 BST 2016, operations=793.6602699568098, operationsPerMinute=198.41506748920244
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 25 07:18:19 BST 2016, end=Sat Jun 25 07:20:19 BST 2016, operations=138.62224390231813, operationsPerMinute=69.31112195115907, mode=normal, start=Sat Jun 25 07:20:24 BST 2016, end=Sat Jun 25 07:24:24 BST 2016, operations=289.82670396536724, operationsPerMinute=72.45667599134181
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 25 07:24:30 BST 2016, end=Sat Jun 25 07:26:30 BST 2016, operations=230.71516300046363, operationsPerMinute=115.35758150023182, mode=normal, start=Sat Jun 25 07:26:34 BST 2016, end=Sat Jun 25 07:30:34 BST 2016, operations=464.3962378117692, operationsPerMinute=116.0990594529423
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 25 07:30:37 BST 2016, end=Sat Jun 25 07:32:37 BST 2016, operations=403.44716749440437, operationsPerMinute=201.72358374720218, mode=normal, start=Sat Jun 25 07:32:39 BST 2016, end=Sat Jun 25 07:36:39 BST 2016, operations=803.6051854818423, operationsPerMinute=200.90129637046059
benchmark-name=derby, mod=warmup, start=Sat Jun 25 07:37:02 BST 2016, end=Sat Jun 25 07:39:02 BST 2016, operations=359.64627359785766, operationsPerMinute=179.82313679892883, mode=normal, start=Sat Jun 25 07:39:03 BST 2016, end=Sat Jun 25 07:43:03 BST 2016, operations=721.2046900967804, operationsPerMinute=180.3011725241951
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 25 07:43:06 BST 2016, end=Sat Jun 25 07:45:06 BST 2016, operations=204.75482289436147, operationsPerMinute=102.37741144718073, mode=normal, start=Sat Jun 25 07:45:10 BST 2016, end=Sat Jun 25 07:49:10 BST 2016, operations=411.6038508237509, operationsPerMinute=102.90096270593773
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 25 07:49:13 BST 2016, end=Sat Jun 25 07:51:13 BST 2016, operations=73.02065440417158, operationsPerMinute=36.51032720208579, mode=normal, start=Sat Jun 25 07:51:23 BST 2016, end=Sat Jun 25 07:55:23 BST 2016, operations=152.35042232972387, operationsPerMinute=38.08760558243097
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 25 07:55:32 BST 2016, end=Sat Jun 25 07:57:32 BST 2016, operations=13.760566860901793, operationsPerMinute=6.880283430450897, mode=normal, start=Sat Jun 25 07:58:17 BST 2016, end=Sat Jun 25 08:02:17 BST 2016, operations=27.73058215854458, operationsPerMinute=6.932645539636145
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 25 08:02:53 BST 2016, end=Sat Jun 25 08:04:53 BST 2016, operations=73.20250025640559, operationsPerMinute=36.60125012820279, mode=normal, start=Sat Jun 25 08:05:03 BST 2016, end=Sat Jun 25 08:09:03 BST 2016, operations=147.12533080680407, operationsPerMinute=36.78133270170102
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 25 08:09:13 BST 2016, end=Sat Jun 25 08:11:13 BST 2016, operations=42.78028724088929, operationsPerMinute=21.390143620444643, mode=normal, start=Sat Jun 25 08:11:25 BST 2016, end=Sat Jun 25 08:15:25 BST 2016, operations=85.78651685635862, operationsPerMinute=21.446629214089654
benchmark-name=scimark.fft.small, mod=warmup, start=Sat Jun 25 08:15:37 BST 2016, end=Sat Jun 25 08:17:37 BST 2016, operations=725.6263027699758, operationsPerMinute=362.8131513849879, mode=normal, start=Sat Jun 25 08:17:38 BST 2016, end=Sat Jun 25 08:21:38 BST 2016, operations=1455.8752957573822, operationsPerMinute=363.96882393934555
benchmark-name=scimark.lu.small, mod=warmup, start=Sat Jun 25 08:21:39 BST 2016, end=Sat Jun 25 08:23:39 BST 2016, operations=563.3468963193405, operationsPerMinute=281.6734481596703, mode=normal, start=Sat Jun 25 08:23:40 BST 2016, end=Sat Jun 25 08:27:40 BST 2016, operations=1126.71030916241, operationsPerMinute=281.6775772906025
benchmark-name=scimark.sor.small, mod=warmup, start=Sat Jun 25 08:27:41 BST 2016, end=Sat Jun 25 08:29:41 BST 2016, operations=326.5299719614939, operationsPerMinute=163.26498598074696, mode=normal, start=Sat Jun 25 08:29:44 BST 2016, end=Sat Jun 25 08:33:44 BST 2016, operations=653.8621662435265, operationsPerMinute=163.46554156088163
benchmark-name=scimark.sparse.small, mod=warmup, start=Sat Jun 25 08:33:46 BST 2016, end=Sat Jun 25 08:35:46 BST 2016, operations=495.75145100682073, operationsPerMinute=247.87572550341037, mode=normal, start=Sat Jun 25 08:35:48 BST 2016, end=Sat Jun 25 08:39:48 BST 2016, operations=1010.068933481977, operationsPerMinute=252.51723337049424
benchmark-name=scimark.monte_carlo, mod=warmup, start=Sat Jun 25 08:39:49 BST 2016, end=Sat Jun 25 08:41:49 BST 2016, operations=118.23040893756942, operationsPerMinute=59.11520446878471, mode=normal, start=Sat Jun 25 08:41:56 BST 2016, end=Sat Jun 25 08:45:56 BST 2016, operations=229.9232482964028, operationsPerMinute=57.4808120741007
benchmark-name=serial, mod=warmup, start=Sat Jun 25 08:46:02 BST 2016, end=Sat Jun 25 08:48:02 BST 2016, operations=222.76480810133486, operationsPerMinute=111.38240405066743, mode=normal, start=Sat Jun 25 08:48:05 BST 2016, end=Sat Jun 25 08:52:05 BST 2016, operations=468.22221797340706, operationsPerMinute=117.05555449335176
benchmark-name=sunflow, mod=warmup, start=Sat Jun 25 08:52:08 BST 2016, end=Sat Jun 25 08:54:08 BST 2016, operations=176.57116066076654, operationsPerMinute=88.28558033038327, mode=normal, start=Sat Jun 25 08:54:10 BST 2016, end=Sat Jun 25 08:58:10 BST 2016, operations=345.43360396739024, operationsPerMinute=86.35840099184756
benchmark-name=xml.transform, mod=warmup, start=Sat Jun 25 08:58:31 BST 2016, end=Sat Jun 25 09:00:31 BST 2016, operations=491.233474030901, operationsPerMinute=245.6167370154505, mode=normal, start=Sat Jun 25 09:00:33 BST 2016, end=Sat Jun 25 09:04:33 BST 2016, operations=1000.436246264111, operationsPerMinute=250.10906156602775
benchmark-name=xml.validation, mod=warmup, start=Sat Jun 25 09:04:34 BST 2016, end=Sat Jun 25 09:06:34 BST 2016, operations=1009.9364900928593, operationsPerMinute=504.9682450464297, mode=normal, start=Sat Jun 25 09:06:35 BST 2016, end=Sat Jun 25 09:10:35 BST 2016, operations=1979.072555256304, operationsPerMinute=494.768138814076
##-nursultan-##,RIDLEY2B012,Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz,4,8098,check,Sat Jun 25 06:58:30 BST 2016,Sat Jun 25 06:58:30 BST 2016,1.0,1276.595744680851,startup.helloworld,Sat Jun 25 06:58:30 BST 2016,Sat Jun 25 06:58:30 BST 2016,1.0,645.1612903225806,startup.compiler.compiler,Sat Jun 25 06:58:30 BST 2016,Sat Jun 25 06:58:43 BST 2016,1.0,4.673261157411013,startup.compiler.sunflow,Sat Jun 25 06:58:43 BST 2016,Sat Jun 25 06:58:46 BST 2016,1.0,18.315018315018314,startup.compress,Sat Jun 25 06:58:46 BST 2016,Sat Jun 25 06:58:47 BST 2016,1.0,48.07692307692308,startup.crypto.aes,Sat Jun 25 06:58:47 BST 2016,Sat Jun 25 06:58:56 BST 2016,1.0,7.082989021367017,startup.crypto.rsa,Sat Jun 25 06:58:56 BST 2016,Sat Jun 25 06:59:04 BST 2016,1.0,7.849293563579278,startup.crypto.signverify,Sat Jun 25 06:59:04 BST 2016,Sat Jun 25 06:59:10 BST 2016,1.0,9.092286710107592,startup.mpegaudio,Sat Jun 25 06:59:10 BST 2016,Sat Jun 25 06:59:12 BST 2016,1.0,26.52519893899204,startup.scimark.fft,Sat Jun 25 06:59:12 BST 2016,Sat Jun 25 06:59:13 BST 2016,1.0,83.68200836820084,startup.scimark.lu,Sat Jun 25 06:59:13 BST 2016,Sat Jun 25 06:59:14 BST 2016,1.0,66.29834254143647,startup.scimark.monte_carlo,Sat Jun 25 06:59:14 BST 2016,Sat Jun 25 06:59:20 BST 2016,1.0,10.895224260032686,startup.scimark.sor,Sat Jun 25 06:59:20 BST 2016,Sat Jun 25 06:59:21 BST 2016,1.0,42.25352112676056,startup.scimark.sparse,Sat Jun 25 06:59:21 BST 2016,Sat Jun 25 06:59:22 BST 2016,1.0,61.09979633401222,startup.serial,Sat Jun 25 06:59:22 BST 2016,Sat Jun 25 06:59:24 BST 2016,1.0,28.275212064090482,startup.sunflow,Sat Jun 25 06:59:24 BST 2016,Sat Jun 25 06:59:31 BST 2016,1.0,9.244992295839754,startup.xml.transform,Sat Jun 25 06:59:31 BST 2016,Sat Jun 25 06:59:51 BST 2016,1.0,2.96545247862403,startup.xml.validation,Sat Jun 25 06:59:51 BST 2016,Sat Jun 25 06:59:52 BST 2016,1.0,73.98273736128236,compiler.compiler,Sat Jun 25 07:00:02 BST 2016,Sat Jun 25 07:02:02 BST 2016,485.169835252701,242.5849176263505,Sat Jun 25 07:02:04 BST 2016,Sat Jun 25 07:06:04 BST 2016,1002.06986077836,250.51746519459,compiler.sunflow,Sat Jun 25 07:06:08 BST 2016,Sat Jun 25 07:08:08 BST 2016,197.77076503558592,98.88538251779296,Sat Jun 25 07:08:11 BST 2016,Sat Jun 25 07:12:11 BST 2016,394.13397310561174,98.53349327640294,compress,Sat Jun 25 07:12:15 BST 2016,Sat Jun 25 07:14:15 BST 2016,395.4523207690473,197.72616038452364,Sat Jun 25 07:14:17 BST 2016,Sat Jun 25 07:18:17 BST 2016,793.6602699568098,198.41506748920244,crypto.aes,Sat Jun 25 07:18:19 BST 2016,Sat Jun 25 07:20:19 BST 2016,138.62224390231813,69.31112195115907,Sat Jun 25 07:20:24 BST 2016,Sat Jun 25 07:24:24 BST 2016,289.82670396536724,72.45667599134181,crypto.rsa,Sat Jun 25 07:24:30 BST 2016,Sat Jun 25 07:26:30 BST 2016,230.71516300046363,115.35758150023182,Sat Jun 25 07:26:34 BST 2016,Sat Jun 25 07:30:34 BST 2016,464.3962378117692,116.0990594529423,crypto.signverify,Sat Jun 25 07:30:37 BST 2016,Sat Jun 25 07:32:37 BST 2016,403.44716749440437,201.72358374720218,Sat Jun 25 07:32:39 BST 2016,Sat Jun 25 07:36:39 BST 2016,803.6051854818423,200.90129637046059,derby,Sat Jun 25 07:37:02 BST 2016,Sat Jun 25 07:39:02 BST 2016,359.64627359785766,179.82313679892883,Sat Jun 25 07:39:03 BST 2016,Sat Jun 25 07:43:03 BST 2016,721.2046900967804,180.3011725241951,mpegaudio,Sat Jun 25 07:43:06 BST 2016,Sat Jun 25 07:45:06 BST 2016,204.75482289436147,102.37741144718073,Sat Jun 25 07:45:10 BST 2016,Sat Jun 25 07:49:10 BST 2016,411.6038508237509,102.90096270593773,scimark.fft.large,Sat Jun 25 07:49:13 BST 2016,Sat Jun 25 07:51:13 BST 2016,73.02065440417158,36.51032720208579,Sat Jun 25 07:51:23 BST 2016,Sat Jun 25 07:55:23 BST 2016,152.35042232972387,38.08760558243097,scimark.lu.large,Sat Jun 25 07:55:32 BST 2016,Sat Jun 25 07:57:32 BST 2016,13.760566860901793,6.880283430450897,Sat Jun 25 07:58:17 BST 2016,Sat Jun 25 08:02:17 BST 2016,27.73058215854458,6.932645539636145,scimark.sor.large,Sat Jun 25 08:02:53 BST 2016,Sat Jun 25 08:04:53 BST 2016,73.20250025640559,36.60125012820279,Sat Jun 25 08:05:03 BST 2016,Sat Jun 25 08:09:03 BST 2016,147.12533080680407,36.78133270170102,scimark.sparse.large,Sat Jun 25 08:09:13 BST 2016,Sat Jun 25 08:11:13 BST 2016,42.78028724088929,21.390143620444643,Sat Jun 25 08:11:25 BST 2016,Sat Jun 25 08:15:25 BST 2016,85.78651685635862,21.446629214089654,scimark.fft.small,Sat Jun 25 08:15:37 BST 2016,Sat Jun 25 08:17:37 BST 2016,725.6263027699758,362.8131513849879,Sat Jun 25 08:17:38 BST 2016,Sat Jun 25 08:21:38 BST 2016,1455.8752957573822,363.96882393934555,scimark.lu.small,Sat Jun 25 08:21:39 BST 2016,Sat Jun 25 08:23:39 BST 2016,563.3468963193405,281.6734481596703,Sat Jun 25 08:23:40 BST 2016,Sat Jun 25 08:27:40 BST 2016,1126.71030916241,281.6775772906025,scimark.sor.small,Sat Jun 25 08:27:41 BST 2016,Sat Jun 25 08:29:41 BST 2016,326.5299719614939,163.26498598074696,Sat Jun 25 08:29:44 BST 2016,Sat Jun 25 08:33:44 BST 2016,653.8621662435265,163.46554156088163,scimark.sparse.small,Sat Jun 25 08:33:46 BST 2016,Sat Jun 25 08:35:46 BST 2016,495.75145100682073,247.87572550341037,Sat Jun 25 08:35:48 BST 2016,Sat Jun 25 08:39:48 BST 2016,1010.068933481977,252.51723337049424,scimark.monte_carlo,Sat Jun 25 08:39:49 BST 2016,Sat Jun 25 08:41:49 BST 2016,118.23040893756942,59.11520446878471,Sat Jun 25 08:41:56 BST 2016,Sat Jun 25 08:45:56 BST 2016,229.9232482964028,57.4808120741007,serial,Sat Jun 25 08:46:02 BST 2016,Sat Jun 25 08:48:02 BST 2016,222.76480810133486,111.38240405066743,Sat Jun 25 08:48:05 BST 2016,Sat Jun 25 08:52:05 BST 2016,468.22221797340706,117.05555449335176,sunflow,Sat Jun 25 08:52:08 BST 2016,Sat Jun 25 08:54:08 BST 2016,176.57116066076654,88.28558033038327,Sat Jun 25 08:54:10 BST 2016,Sat Jun 25 08:58:10 BST 2016,345.43360396739024,86.35840099184756,xml.transform,Sat Jun 25 08:58:31 BST 2016,Sat Jun 25 09:00:31 BST 2016,491.233474030901,245.6167370154505,Sat Jun 25 09:00:33 BST 2016,Sat Jun 25 09:04:33 BST 2016,1000.436246264111,250.10906156602775,xml.validation,Sat Jun 25 09:04:34 BST 2016,Sat Jun 25 09:06:34 BST 2016,1009.9364900928593,504.9682450464297,Sat Jun 25 09:06:35 BST 2016,Sat Jun 25 09:10:35 BST 2016,1979.072555256304,494.768138814076
