spec.jvm2008.report.run.location=BEDSONTC113
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Thu Jun 23 02:34:00 BST 2016, end=Thu Jun 23 02:34:01 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.helloworld, mode=normal, start=Thu Jun 23 02:34:01 BST 2016, end=Thu Jun 23 02:34:02 BST 2016, operations=1.0, operationsPerMinute=44.742729306487696
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu Jun 23 02:34:02 BST 2016, end=Thu Jun 23 02:34:29 BST 2016, operations=1.0, operationsPerMinute=2.24660201445314
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu Jun 23 02:34:29 BST 2016, end=Thu Jun 23 02:34:34 BST 2016, operations=1.0, operationsPerMinute=11.244377811094452
benchmark-name=startup.compress, mode=normal, start=Thu Jun 23 02:34:34 BST 2016, end=Thu Jun 23 02:34:36 BST 2016, operations=1.0, operationsPerMinute=36.29764065335753
benchmark-name=startup.crypto.aes, mode=normal, start=Thu Jun 23 02:34:36 BST 2016, end=Thu Jun 23 02:34:46 BST 2016, operations=1.0, operationsPerMinute=5.731753916698509
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu Jun 23 02:34:46 BST 2016, end=Thu Jun 23 02:34:55 BST 2016, operations=1.0, operationsPerMinute=7.006071929005138
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu Jun 23 02:34:55 BST 2016, end=Thu Jun 23 02:35:02 BST 2016, operations=1.0, operationsPerMinute=8.183306055646481
benchmark-name=startup.mpegaudio, mode=normal, start=Thu Jun 23 02:35:02 BST 2016, end=Thu Jun 23 02:35:05 BST 2016, operations=1.0, operationsPerMinute=18.85014137606032
benchmark-name=startup.scimark.fft, mode=normal, start=Thu Jun 23 02:35:05 BST 2016, end=Thu Jun 23 02:35:06 BST 2016, operations=1.0, operationsPerMinute=63.09148264984227
benchmark-name=startup.scimark.lu, mode=normal, start=Thu Jun 23 02:35:06 BST 2016, end=Thu Jun 23 02:35:07 BST 2016, operations=1.0, operationsPerMinute=48.661800486618006
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu Jun 23 02:35:07 BST 2016, end=Thu Jun 23 02:35:14 BST 2016, operations=1.0, operationsPerMinute=8.862629246676514
benchmark-name=startup.scimark.sor, mode=normal, start=Thu Jun 23 02:35:14 BST 2016, end=Thu Jun 23 02:35:16 BST 2016, operations=1.0, operationsPerMinute=34.96503496503497
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu Jun 23 02:35:16 BST 2016, end=Thu Jun 23 02:35:17 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.serial, mode=normal, start=Thu Jun 23 02:35:17 BST 2016, end=Thu Jun 23 02:35:20 BST 2016, operations=1.0, operationsPerMinute=18.94537417113988
benchmark-name=startup.sunflow, mode=normal, start=Thu Jun 23 02:35:20 BST 2016, end=Thu Jun 23 02:35:28 BST 2016, operations=1.0, operationsPerMinute=7.962840079628401
benchmark-name=startup.xml.transform, mode=normal, start=Thu Jun 23 02:35:28 BST 2016, end=Thu Jun 23 02:35:57 BST 2016, operations=1.0, operationsPerMinute=2.097168822090178
benchmark-name=startup.xml.validation, mode=normal, start=Thu Jun 23 02:35:57 BST 2016, end=Thu Jun 23 02:35:58 BST 2016, operations=1.0, operationsPerMinute=40.48582995951417
benchmark-name=compiler.compiler, mod=warmup, start=Thu Jun 23 02:36:13 BST 2016, end=Thu Jun 23 02:38:13 BST 2016, operations=348.9975578490889, operationsPerMinute=174.49877892454444, mode=normal, start=Thu Jun 23 02:38:15 BST 2016, end=Thu Jun 23 02:42:15 BST 2016, operations=713.9655747456079, operationsPerMinute=178.49139368640198
benchmark-name=compiler.sunflow, mod=warmup, start=Thu Jun 23 02:42:21 BST 2016, end=Thu Jun 23 02:44:21 BST 2016, operations=140.6369855726868, operationsPerMinute=70.3184927863434, mode=normal, start=Thu Jun 23 02:44:27 BST 2016, end=Thu Jun 23 02:48:27 BST 2016, operations=279.8230064179344, operationsPerMinute=69.9557516044836
benchmark-name=compress, mod=warmup, start=Thu Jun 23 02:48:33 BST 2016, end=Thu Jun 23 02:50:33 BST 2016, operations=260.86390629213236, operationsPerMinute=130.43195314606618, mode=normal, start=Thu Jun 23 02:50:36 BST 2016, end=Thu Jun 23 02:54:36 BST 2016, operations=521.8393481411472, operationsPerMinute=130.4598370352868
benchmark-name=crypto.aes, mod=warmup, start=Thu Jun 23 02:54:39 BST 2016, end=Thu Jun 23 02:56:39 BST 2016, operations=85.2561810346332, operationsPerMinute=42.6280905173166, mode=normal, start=Thu Jun 23 02:56:48 BST 2016, end=Thu Jun 23 03:00:48 BST 2016, operations=179.95961604735035, operationsPerMinute=44.98990401183759
benchmark-name=crypto.rsa, mod=warmup, start=Thu Jun 23 03:00:58 BST 2016, end=Thu Jun 23 03:02:58 BST 2016, operations=146.35057986593546, operationsPerMinute=73.17528993296773, mode=normal, start=Thu Jun 23 03:03:03 BST 2016, end=Thu Jun 23 03:07:03 BST 2016, operations=286.02511006828405, operationsPerMinute=71.50627751707101
benchmark-name=crypto.signverify, mod=warmup, start=Thu Jun 23 03:07:09 BST 2016, end=Thu Jun 23 03:09:09 BST 2016, operations=250.8731511807596, operationsPerMinute=125.4365755903798, mode=normal, start=Thu Jun 23 03:09:12 BST 2016, end=Thu Jun 23 03:13:12 BST 2016, operations=497.42142549796245, operationsPerMinute=124.35535637449061
benchmark-name=derby, mod=warmup, start=Thu Jun 23 03:14:50 BST 2016, end=Thu Jun 23 03:16:50 BST 2016, operations=198.10593077725542, operationsPerMinute=99.05296538862771, mode=normal, start=Thu Jun 23 03:16:53 BST 2016, end=Thu Jun 23 03:20:53 BST 2016, operations=399.7672334402067, operationsPerMinute=99.94180836005168
benchmark-name=mpegaudio, mod=warmup, start=Thu Jun 23 03:20:56 BST 2016, end=Thu Jun 23 03:22:56 BST 2016, operations=133.1167918725864, operationsPerMinute=66.5583959362932, mode=normal, start=Thu Jun 23 03:23:03 BST 2016, end=Thu Jun 23 03:27:03 BST 2016, operations=267.12855136360554, operationsPerMinute=66.78213784090138
benchmark-name=scimark.fft.large, mod=warmup, start=Thu Jun 23 03:27:07 BST 2016, end=Thu Jun 23 03:29:07 BST 2016, operations=77.51424984031416, operationsPerMinute=38.75712492015708, mode=normal, start=Thu Jun 23 03:29:15 BST 2016, end=Thu Jun 23 03:33:15 BST 2016, operations=160.601918259412, operationsPerMinute=40.150479564853
benchmark-name=scimark.lu.large, mod=warmup, start=Thu Jun 23 03:33:24 BST 2016, end=Thu Jun 23 03:35:24 BST 2016, operations=20.0323221986388, operationsPerMinute=10.0161610993194, mode=normal, start=Thu Jun 23 03:35:56 BST 2016, end=Thu Jun 23 03:39:56 BST 2016, operations=40.13447924546623, operationsPerMinute=10.033619811366558
benchmark-name=scimark.sor.large, mod=warmup, start=Thu Jun 23 03:40:32 BST 2016, end=Thu Jun 23 03:42:32 BST 2016, operations=55.21841862277904, operationsPerMinute=27.60920931138952, mode=normal, start=Thu Jun 23 03:42:42 BST 2016, end=Thu Jun 23 03:46:42 BST 2016, operations=110.65782413583057, operationsPerMinute=27.66445603395764
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu Jun 23 03:46:53 BST 2016, end=Thu Jun 23 03:48:53 BST 2016, operations=60.597733885303164, operationsPerMinute=30.298866942651582, mode=normal, start=Thu Jun 23 03:49:05 BST 2016, end=Thu Jun 23 03:53:05 BST 2016, operations=121.2502891441035, operationsPerMinute=30.312572286025876
