spec.jvm2008.report.run.location=TOLL03
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz
spec.jvm2008.report.hw.number.of.cores=2
spec.jvm2008.report.hw.memory.size=3991
benchmark-name=check, mode=normal, start=Wed Jun 29 14:33:24 BST 2016, end=Wed Jun 29 14:33:24 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=startup.helloworld, mode=normal, start=Wed Jun 29 14:33:24 BST 2016, end=Wed Jun 29 14:33:25 BST 2016, operations=1.0, operationsPerMinute=116.50485436893204
benchmark-name=startup.compiler.compiler, mode=normal, start=Wed Jun 29 14:33:25 BST 2016, end=Wed Jun 29 14:33:52 BST 2016, operations=1.0, operationsPerMinute=2.204099625303064
benchmark-name=startup.compiler.sunflow, mode=normal, start=Wed Jun 29 14:33:52 BST 2016, end=Wed Jun 29 14:33:58 BST 2016, operations=1.0, operationsPerMinute=9.223674096848578
benchmark-name=startup.compress, mode=normal, start=Wed Jun 29 14:33:58 BST 2016, end=Wed Jun 29 14:34:00 BST 2016, operations=1.0, operationsPerMinute=29.806259314456035
benchmark-name=startup.crypto.aes, mode=normal, start=Wed Jun 29 14:34:00 BST 2016, end=Wed Jun 29 14:34:13 BST 2016, operations=1.0, operationsPerMinute=4.937052579609973
benchmark-name=startup.crypto.rsa, mode=normal, start=Wed Jun 29 14:34:13 BST 2016, end=Wed Jun 29 14:34:21 BST 2016, operations=1.0, operationsPerMinute=6.831378799954457
benchmark-name=startup.crypto.signverify, mode=normal, start=Wed Jun 29 14:34:21 BST 2016, end=Wed Jun 29 14:34:29 BST 2016, operations=1.0, operationsPerMinute=7.802340702210663
benchmark-name=startup.mpegaudio, mode=normal, start=Wed Jun 29 14:34:29 BST 2016, end=Wed Jun 29 14:34:33 BST 2016, operations=1.0, operationsPerMinute=15.321756894790603
benchmark-name=startup.scimark.fft, mode=normal, start=Wed Jun 29 14:34:33 BST 2016, end=Wed Jun 29 14:34:34 BST 2016, operations=1.0, operationsPerMinute=48.899755501222494
benchmark-name=startup.scimark.lu, mode=normal, start=Wed Jun 29 14:34:34 BST 2016, end=Wed Jun 29 14:34:36 BST 2016, operations=1.0, operationsPerMinute=31.79650238473768
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Wed Jun 29 14:34:36 BST 2016, end=Wed Jun 29 14:34:44 BST 2016, operations=1.0, operationsPerMinute=7.497188554292141
benchmark-name=startup.scimark.sor, mode=normal, start=Wed Jun 29 14:34:44 BST 2016, end=Wed Jun 29 14:34:46 BST 2016, operations=1.0, operationsPerMinute=32.87671232876713
benchmark-name=startup.scimark.sparse, mode=normal, start=Wed Jun 29 14:34:46 BST 2016, end=Wed Jun 29 14:34:48 BST 2016, operations=1.0, operationsPerMinute=28.708133971291865
benchmark-name=startup.serial, mode=normal, start=Wed Jun 29 14:34:48 BST 2016, end=Wed Jun 29 14:34:53 BST 2016, operations=1.0, operationsPerMinute=13.12623058411726
benchmark-name=startup.sunflow, mode=normal, start=Wed Jun 29 14:34:53 BST 2016, end=Wed Jun 29 14:35:03 BST 2016, operations=1.0, operationsPerMinute=5.819028222286878
benchmark-name=startup.xml.transform, mode=normal, start=Wed Jun 29 14:35:03 BST 2016, end=Wed Jun 29 14:35:44 BST 2016, operations=1.0, operationsPerMinute=1.463628823730302
benchmark-name=startup.xml.validation, mode=normal, start=Wed Jun 29 14:35:44 BST 2016, end=Wed Jun 29 14:35:46 BST 2016, operations=1.0, operationsPerMinute=38.86010362694301
benchmark-name=compiler.compiler, mod=warmup, start=Wed Jun 29 14:36:04 BST 2016, end=Wed Jun 29 14:38:04 BST 2016, operations=231.35387089982154, operationsPerMinute=115.67693544991077, mode=normal, start=Wed Jun 29 14:38:05 BST 2016, end=Wed Jun 29 14:42:05 BST 2016, operations=450.17276488765515, operationsPerMinute=112.54319122191379
benchmark-name=compiler.sunflow, mod=warmup, start=Wed Jun 29 14:42:12 BST 2016, end=Wed Jun 29 14:44:12 BST 2016, operations=90.91767947652907, operationsPerMinute=45.45883973826454, mode=normal, start=Wed Jun 29 14:44:15 BST 2016, end=Wed Jun 29 14:48:15 BST 2016, operations=179.2250464217223, operationsPerMinute=44.80626160543058
benchmark-name=compress, mod=warmup, start=Wed Jun 29 14:48:18 BST 2016, end=Wed Jun 29 14:50:18 BST 2016, operations=138.86735146559027, operationsPerMinute=69.43367573279514, mode=normal, start=Wed Jun 29 14:50:21 BST 2016, end=Wed Jun 29 14:54:21 BST 2016, operations=288.40115342779825, operationsPerMinute=72.10028835694956
benchmark-name=crypto.aes, mod=warmup, start=Wed Jun 29 14:54:22 BST 2016, end=Wed Jun 29 14:56:22 BST 2016, operations=40.99096885287945, operationsPerMinute=20.495484426439724, mode=normal, start=Wed Jun 29 14:56:30 BST 2016, end=Wed Jun 29 15:00:30 BST 2016, operations=86.47273383893102, operationsPerMinute=21.618183459732755
benchmark-name=crypto.rsa, mod=warmup, start=Wed Jun 29 15:00:35 BST 2016, end=Wed Jun 29 15:02:35 BST 2016, operations=87.32749831371544, operationsPerMinute=43.66374915685772, mode=normal, start=Wed Jun 29 15:02:38 BST 2016, end=Wed Jun 29 15:06:38 BST 2016, operations=174.53870595091254, operationsPerMinute=43.634676487728136
benchmark-name=crypto.signverify, mod=warmup, start=Wed Jun 29 15:06:42 BST 2016, end=Wed Jun 29 15:08:42 BST 2016, operations=139.81208757963913, operationsPerMinute=69.90604378981956, mode=normal, start=Wed Jun 29 15:08:45 BST 2016, end=Wed Jun 29 15:12:45 BST 2016, operations=279.06242936094566, operationsPerMinute=69.76560734023641
benchmark-name=derby, mod=warmup, start=Wed Jun 29 15:14:43 BST 2016, end=Wed Jun 29 15:16:43 BST 2016, operations=101.83253715320876, operationsPerMinute=50.91626857660438, mode=normal, start=Wed Jun 29 15:16:46 BST 2016, end=Wed Jun 29 15:20:46 BST 2016, operations=210.9526011630408, operationsPerMinute=52.7381502907602
benchmark-name=mpegaudio, mod=warmup, start=Wed Jun 29 15:20:49 BST 2016, end=Wed Jun 29 15:22:49 BST 2016, operations=65.68536070787297, operationsPerMinute=32.84268035393649, mode=normal, start=Wed Jun 29 15:22:54 BST 2016, end=Wed Jun 29 15:26:54 BST 2016, operations=132.71055027126647, operationsPerMinute=33.17763756781662
benchmark-name=scimark.fft.large, mod=warmup, start=Wed Jun 29 15:26:58 BST 2016, end=Wed Jun 29 15:28:58 BST 2016, operations=34.79158952220261, operationsPerMinute=17.395794761101303, mode=normal, start=Wed Jun 29 15:29:07 BST 2016, end=Wed Jun 29 15:33:07 BST 2016, operations=55.935291549279924, operationsPerMinute=13.983822887319981
benchmark-name=scimark.lu.large, mod=warmup, start=Wed Jun 29 15:33:43 BST 2016, end=Wed Jun 29 15:35:43 BST 2016, operations=1.9810941678372205, operationsPerMinute=0.9905470839186102, mode=normal, start=Wed Jun 29 15:37:54 BST 2016, end=Wed Jun 29 15:41:54 BST 2016, operations=13.378640949847277, operationsPerMinute=3.3446602374618193
benchmark-name=scimark.sor.large, mod=warmup, start=Wed Jun 29 15:42:41 BST 2016, end=Wed Jun 29 15:44:41 BST 2016, operations=29.58755600515032, operationsPerMinute=14.79377800257516, mode=normal, start=Wed Jun 29 15:44:53 BST 2016, end=Wed Jun 29 15:48:53 BST 2016, operations=58.10085151292762, operationsPerMinute=14.525212878231905
benchmark-name=scimark.sparse.large, mod=warmup, start=Wed Jun 29 15:49:02 BST 2016, end=Wed Jun 29 15:51:02 BST 2016, operations=23.352160253581868, operationsPerMinute=11.676080126790934, mode=normal, start=Wed Jun 29 15:51:12 BST 2016, end=Wed Jun 29 15:55:12 BST 2016, operations=46.46947149892886, operationsPerMinute=11.617367874732215
