spec.jvm2008.report.run.location=RIDLEY2B015
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 19 00:38:54 BST 2016, end=Sun Jun 19 00:38:54 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 00:38:54 BST 2016, end=Sun Jun 19 00:38:54 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 00:38:54 BST 2016, end=Sun Jun 19 00:39:07 BST 2016, operations=1.0, operationsPerMinute=4.707728520988623
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 00:39:07 BST 2016, end=Sun Jun 19 00:39:10 BST 2016, operations=1.0, operationsPerMinute=18.48998459167951
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 00:39:10 BST 2016, end=Sun Jun 19 00:39:11 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 00:39:11 BST 2016, end=Sun Jun 19 00:39:20 BST 2016, operations=1.0, operationsPerMinute=7.082989021367017
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 00:39:20 BST 2016, end=Sun Jun 19 00:39:27 BST 2016, operations=1.0, operationsPerMinute=8.080808080808081
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 00:39:27 BST 2016, end=Sun Jun 19 00:39:34 BST 2016, operations=1.0, operationsPerMinute=9.114385538508278
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 00:39:34 BST 2016, end=Sun Jun 19 00:39:36 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 00:39:36 BST 2016, end=Sun Jun 19 00:39:37 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 00:39:37 BST 2016, end=Sun Jun 19 00:39:37 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 00:39:37 BST 2016, end=Sun Jun 19 00:39:43 BST 2016, operations=1.0, operationsPerMinute=10.926971407758149
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 00:39:43 BST 2016, end=Sun Jun 19 00:39:44 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 00:39:44 BST 2016, end=Sun Jun 19 00:39:45 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 00:39:45 BST 2016, end=Sun Jun 19 00:39:47 BST 2016, operations=1.0, operationsPerMinute=28.708133971291865
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 00:39:47 BST 2016, end=Sun Jun 19 00:39:54 BST 2016, operations=1.0, operationsPerMinute=9.404388714733543
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 00:39:54 BST 2016, end=Sun Jun 19 00:40:14 BST 2016, operations=1.0, operationsPerMinute=2.942618930848455
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 00:40:14 BST 2016, end=Sun Jun 19 00:40:15 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 00:40:25 BST 2016, end=Sun Jun 19 00:42:25 BST 2016, operations=494.0850993998216, operationsPerMinute=247.0425496999108, mode=normal, start=Sun Jun 19 00:42:27 BST 2016, end=Sun Jun 19 00:46:27 BST 2016, operations=982.7736440662433, operationsPerMinute=245.69341101656082
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 00:46:31 BST 2016, end=Sun Jun 19 00:48:31 BST 2016, operations=196.67551154463231, operationsPerMinute=98.33775577231616, mode=normal, start=Sun Jun 19 00:48:33 BST 2016, end=Sun Jun 19 00:52:33 BST 2016, operations=392.5555805691752, operationsPerMinute=98.1388951422938
benchmark-name=compress, mod=warmup, start=Sun Jun 19 00:52:37 BST 2016, end=Sun Jun 19 00:54:37 BST 2016, operations=395.6613971378736, operationsPerMinute=197.8306985689368, mode=normal, start=Sun Jun 19 00:54:39 BST 2016, end=Sun Jun 19 00:58:39 BST 2016, operations=794.7344835703018, operationsPerMinute=198.68362089257545
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 00:58:41 BST 2016, end=Sun Jun 19 01:00:41 BST 2016, operations=137.87653671191876, operationsPerMinute=68.93826835595938, mode=normal, start=Sun Jun 19 01:00:46 BST 2016, end=Sun Jun 19 01:04:46 BST 2016, operations=289.5994688725701, operationsPerMinute=72.39986721814253
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:04:51 BST 2016, end=Sun Jun 19 01:06:51 BST 2016, operations=233.8151093439364, operationsPerMinute=116.9075546719682, mode=normal, start=Sun Jun 19 01:06:54 BST 2016, end=Sun Jun 19 01:10:54 BST 2016, operations=466.1713136010486, operationsPerMinute=116.54282840026215
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:10:58 BST 2016, end=Sun Jun 19 01:12:58 BST 2016, operations=403.45528915528917, operationsPerMinute=201.72764457764458, mode=normal, start=Sun Jun 19 01:13:00 BST 2016, end=Sun Jun 19 01:17:00 BST 2016, operations=801.5443182609426, operationsPerMinute=200.38607956523566
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:17:23 BST 2016, end=Sun Jun 19 01:19:23 BST 2016, operations=359.901892186625, operationsPerMinute=179.9509460933125, mode=normal, start=Sun Jun 19 01:19:24 BST 2016, end=Sun Jun 19 01:23:24 BST 2016, operations=722.2231727878643, operationsPerMinute=180.55579319696608
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:23:27 BST 2016, end=Sun Jun 19 01:25:27 BST 2016, operations=205.4368658637891, operationsPerMinute=102.71843293189455, mode=normal, start=Sun Jun 19 01:25:31 BST 2016, end=Sun Jun 19 01:29:31 BST 2016, operations=411.2821012008388, operationsPerMinute=102.8205253002097
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 01:29:34 BST 2016, end=Sun Jun 19 01:31:34 BST 2016, operations=70.13492779897612, operationsPerMinute=35.06746389948806, mode=normal, start=Sun Jun 19 01:31:43 BST 2016, end=Sun Jun 19 01:35:43 BST 2016, operations=144.04807574838523, operationsPerMinute=36.01201893709631
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 01:35:51 BST 2016, end=Sun Jun 19 01:37:51 BST 2016, operations=13.795250288386319, operationsPerMinute=6.897625144193159, mode=normal, start=Sun Jun 19 01:38:36 BST 2016, end=Sun Jun 19 01:42:36 BST 2016, operations=27.851889635800415, operationsPerMinute=6.962972408950104
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 01:43:20 BST 2016, end=Sun Jun 19 01:45:20 BST 2016, operations=73.60646790548469, operationsPerMinute=36.803233952742346, mode=normal, start=Sun Jun 19 01:45:31 BST 2016, end=Sun Jun 19 01:49:31 BST 2016, operations=147.16277818580355, operationsPerMinute=36.79069454645089
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 01:49:39 BST 2016, end=Sun Jun 19 01:51:39 BST 2016, operations=42.809182822106244, operationsPerMinute=21.404591411053122, mode=normal, start=Sun Jun 19 01:51:50 BST 2016, end=Sun Jun 19 01:55:50 BST 2016, operations=85.73185684026225, operationsPerMinute=21.432964210065563
benchmark-name=scimark.fft.small, mod=warmup, start=Sun Jun 19 01:56:05 BST 2016, end=Sun Jun 19 01:58:05 BST 2016, operations=716.7771479388257, operationsPerMinute=358.38857396941285, mode=normal, start=Sun Jun 19 01:58:06 BST 2016, end=Sun Jun 19 02:02:06 BST 2016, operations=1432.9615997318867, operationsPerMinute=358.2403999329717
benchmark-name=scimark.lu.small, mod=warmup, start=Sun Jun 19 02:02:07 BST 2016, end=Sun Jun 19 02:04:07 BST 2016, operations=570.2087112362215, operationsPerMinute=285.10435561811073, mode=normal, start=Sun Jun 19 02:04:09 BST 2016, end=Sun Jun 19 02:08:09 BST 2016, operations=1135.5418822002086, operationsPerMinute=283.88547055005216
benchmark-name=scimark.sor.small, mod=warmup, start=Sun Jun 19 02:08:10 BST 2016, end=Sun Jun 19 02:10:10 BST 2016, operations=326.42458516338064, operationsPerMinute=163.21229258169032, mode=normal, start=Sun Jun 19 02:10:12 BST 2016, end=Sun Jun 19 02:14:12 BST 2016, operations=654.1257318853446, operationsPerMinute=163.53143297133616
benchmark-name=scimark.sparse.small, mod=warmup, start=Sun Jun 19 02:14:15 BST 2016, end=Sun Jun 19 02:16:15 BST 2016, operations=504.73566518023046, operationsPerMinute=252.36783259011523, mode=normal, start=Sun Jun 19 02:16:16 BST 2016, end=Sun Jun 19 02:20:16 BST 2016, operations=1006.4766947537496, operationsPerMinute=251.6191736884374
benchmark-name=scimark.monte_carlo, mod=warmup, start=Sun Jun 19 02:20:18 BST 2016, end=Sun Jun 19 02:22:18 BST 2016, operations=117.96028355163416, operationsPerMinute=58.98014177581708, mode=normal, start=Sun Jun 19 02:22:24 BST 2016, end=Sun Jun 19 02:26:24 BST 2016, operations=235.50628958596988, operationsPerMinute=58.87657239649247
benchmark-name=serial, mod=warmup, start=Sun Jun 19 02:26:31 BST 2016, end=Sun Jun 19 02:28:31 BST 2016, operations=235.92495288740065, operationsPerMinute=117.96247644370033, mode=normal, start=Sun Jun 19 02:28:34 BST 2016, end=Sun Jun 19 02:32:34 BST 2016, operations=469.86894709332904, operationsPerMinute=117.46723677333226
benchmark-name=sunflow, mod=warmup, start=Sun Jun 19 02:32:38 BST 2016, end=Sun Jun 19 02:34:38 BST 2016, operations=174.29229742416243, operationsPerMinute=87.14614871208121, mode=normal, start=Sun Jun 19 02:34:40 BST 2016, end=Sun Jun 19 02:38:40 BST 2016, operations=348.67444395182144, operationsPerMinute=87.16861098795536
benchmark-name=xml.transform, mod=warmup, start=Sun Jun 19 02:39:00 BST 2016, end=Sun Jun 19 02:41:00 BST 2016, operations=504.26891524942704, operationsPerMinute=252.13445762471352, mode=normal, start=Sun Jun 19 02:41:02 BST 2016, end=Sun Jun 19 02:45:02 BST 2016, operations=1038.3555435982457, operationsPerMinute=259.58888589956143
benchmark-name=xml.validation, mod=warmup, start=Sun Jun 19 02:45:05 BST 2016, end=Sun Jun 19 02:47:05 BST 2016, operations=964.4210633670698, operationsPerMinute=482.2105316835349, mode=normal, start=Sun Jun 19 02:47:06 BST 2016, end=Sun Jun 19 02:51:06 BST 2016, operations=1929.303738278981, operationsPerMinute=482.32593456974524
