spec.jvm2008.report.run.location=BEDSONTC005
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 04 16:04:19 BST 2016, end=Sat Jun 04 16:04:19 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 16:04:19 BST 2016, end=Sat Jun 04 16:04:19 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 16:04:19 BST 2016, end=Sat Jun 04 16:04:31 BST 2016, operations=1.0, operationsPerMinute=4.837929366231253
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 16:04:31 BST 2016, end=Sat Jun 04 16:04:35 BST 2016, operations=1.0, operationsPerMinute=18.674136321195146
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 16:04:35 BST 2016, end=Sat Jun 04 16:04:36 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 16:04:36 BST 2016, end=Sat Jun 04 16:04:44 BST 2016, operations=1.0, operationsPerMinute=7.095553453169347
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 16:04:44 BST 2016, end=Sat Jun 04 16:04:52 BST 2016, operations=1.0, operationsPerMinute=8.063432334363661
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 16:04:52 BST 2016, end=Sat Jun 04 16:04:58 BST 2016, operations=1.0, operationsPerMinute=9.267840593141798
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 16:04:58 BST 2016, end=Sat Jun 04 16:05:00 BST 2016, operations=1.0, operationsPerMinute=26.166593981683384
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 16:05:00 BST 2016, end=Sat Jun 04 16:05:01 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 16:05:01 BST 2016, end=Sat Jun 04 16:05:02 BST 2016, operations=1.0, operationsPerMinute=66.3716814159292
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 16:05:02 BST 2016, end=Sat Jun 04 16:05:08 BST 2016, operations=1.0, operationsPerMinute=10.989010989010989
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 16:05:08 BST 2016, end=Sat Jun 04 16:05:09 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 16:05:09 BST 2016, end=Sat Jun 04 16:05:10 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 16:05:10 BST 2016, end=Sat Jun 04 16:05:12 BST 2016, operations=1.0, operationsPerMinute=28.694404591104735
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 16:05:12 BST 2016, end=Sat Jun 04 16:05:18 BST 2016, operations=1.0, operationsPerMinute=9.474182851729038
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 16:05:18 BST 2016, end=Sat Jun 04 16:05:38 BST 2016, operations=1.0, operationsPerMinute=2.9791459781529297
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 16:05:38 BST 2016, end=Sat Jun 04 16:05:39 BST 2016, operations=1.0, operationsPerMinute=76.92307692307692
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 16:05:49 BST 2016, end=Sat Jun 04 16:07:49 BST 2016, operations=496.147024485574, operationsPerMinute=248.073512242787, mode=normal, start=Sat Jun 04 16:07:51 BST 2016, end=Sat Jun 04 16:11:51 BST 2016, operations=1007.963513008439, operationsPerMinute=251.99087825210975
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 16:11:54 BST 2016, end=Sat Jun 04 16:13:54 BST 2016, operations=186.59991053036666, operationsPerMinute=93.29995526518333, mode=normal, start=Sat Jun 04 16:13:58 BST 2016, end=Sat Jun 04 16:17:58 BST 2016, operations=391.79129198008036, operationsPerMinute=97.94782299502009
benchmark-name=compress, mod=warmup, start=Sat Jun 04 16:18:01 BST 2016, end=Sat Jun 04 16:20:01 BST 2016, operations=400.9271199519968, operationsPerMinute=200.4635599759984, mode=normal, start=Sat Jun 04 16:20:02 BST 2016, end=Sat Jun 04 16:24:02 BST 2016, operations=803.4078006571501, operationsPerMinute=200.85195016428753
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 16:24:05 BST 2016, end=Sat Jun 04 16:26:05 BST 2016, operations=139.3329542324728, operationsPerMinute=69.6664771162364, mode=normal, start=Sat Jun 04 16:26:09 BST 2016, end=Sat Jun 04 16:30:09 BST 2016, operations=294.14473525640716, operationsPerMinute=73.53618381410179
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 16:30:15 BST 2016, end=Sat Jun 04 16:32:15 BST 2016, operations=237.91015619027306, operationsPerMinute=118.95507809513653, mode=normal, start=Sat Jun 04 16:32:17 BST 2016, end=Sat Jun 04 16:36:17 BST 2016, operations=476.0840227152925, operationsPerMinute=119.02100567882313
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 16:36:21 BST 2016, end=Sat Jun 04 16:38:21 BST 2016, operations=409.7393965364503, operationsPerMinute=204.86969826822514, mode=normal, start=Sat Jun 04 16:38:23 BST 2016, end=Sat Jun 04 16:42:23 BST 2016, operations=821.8691196729325, operationsPerMinute=205.46727991823312
benchmark-name=derby, mod=warmup, start=Sat Jun 04 16:42:45 BST 2016, end=Sat Jun 04 16:44:45 BST 2016, operations=364.6016807662767, operationsPerMinute=182.30084038313834, mode=normal, start=Sat Jun 04 16:44:46 BST 2016, end=Sat Jun 04 16:48:46 BST 2016, operations=736.4541217033716, operationsPerMinute=184.1135304258429
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 16:48:49 BST 2016, end=Sat Jun 04 16:50:49 BST 2016, operations=209.41595142768972, operationsPerMinute=104.70797571384486, mode=normal, start=Sat Jun 04 16:50:52 BST 2016, end=Sat Jun 04 16:54:52 BST 2016, operations=418.12561137356664, operationsPerMinute=104.53140284339166
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 16:54:56 BST 2016, end=Sat Jun 04 16:56:56 BST 2016, operations=70.52762646448123, operationsPerMinute=35.263813232240615, mode=normal, start=Sat Jun 04 16:57:04 BST 2016, end=Sat Jun 04 17:01:04 BST 2016, operations=145.43649673433245, operationsPerMinute=36.35912418358311
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 17:01:12 BST 2016, end=Sat Jun 04 17:03:12 BST 2016, operations=13.872947080149448, operationsPerMinute=6.936473540074724, mode=normal, start=Sat Jun 04 17:03:56 BST 2016, end=Sat Jun 04 17:07:56 BST 2016, operations=27.945419822199447, operationsPerMinute=6.986354955549862
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 17:08:31 BST 2016, end=Sat Jun 04 17:10:31 BST 2016, operations=75.10198862235991, operationsPerMinute=37.550994311179956, mode=normal, start=Sat Jun 04 17:10:39 BST 2016, end=Sat Jun 04 17:14:39 BST 2016, operations=150.12296725300956, operationsPerMinute=37.53074181325239
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 17:14:49 BST 2016, end=Sat Jun 04 17:16:49 BST 2016, operations=43.24976338541379, operationsPerMinute=21.624881692706897, mode=normal, start=Sat Jun 04 17:17:00 BST 2016, end=Sat Jun 04 17:21:00 BST 2016, operations=86.44810278897337, operationsPerMinute=21.612025697243343
