spec.jvm2008.report.run.location=LEAZESTCE009
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jun 27 03:09:41 BST 2016, end=Mon Jun 27 03:09:41 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Mon Jun 27 03:09:41 BST 2016, end=Mon Jun 27 03:09:41 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jun 27 03:09:41 BST 2016, end=Mon Jun 27 03:09:54 BST 2016, operations=1.0, operationsPerMinute=4.7713717693836974
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jun 27 03:09:54 BST 2016, end=Mon Jun 27 03:09:57 BST 2016, operations=1.0, operationsPerMinute=18.48998459167951
benchmark-name=startup.compress, mode=normal, start=Mon Jun 27 03:09:57 BST 2016, end=Mon Jun 27 03:09:58 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jun 27 03:09:58 BST 2016, end=Mon Jun 27 03:10:07 BST 2016, operations=1.0, operationsPerMinute=7.095553453169347
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jun 27 03:10:07 BST 2016, end=Mon Jun 27 03:10:14 BST 2016, operations=1.0, operationsPerMinute=8.045052292839904
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jun 27 03:10:14 BST 2016, end=Mon Jun 27 03:10:21 BST 2016, operations=1.0, operationsPerMinute=9.222256378727328
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jun 27 03:10:21 BST 2016, end=Mon Jun 27 03:10:23 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jun 27 03:10:23 BST 2016, end=Mon Jun 27 03:10:24 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jun 27 03:10:24 BST 2016, end=Mon Jun 27 03:10:25 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jun 27 03:10:25 BST 2016, end=Mon Jun 27 03:10:30 BST 2016, operations=1.0, operationsPerMinute=10.95690284879474
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jun 27 03:10:30 BST 2016, end=Mon Jun 27 03:10:32 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jun 27 03:10:32 BST 2016, end=Mon Jun 27 03:10:33 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.serial, mode=normal, start=Mon Jun 27 03:10:33 BST 2016, end=Mon Jun 27 03:10:35 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Mon Jun 27 03:10:35 BST 2016, end=Mon Jun 27 03:10:41 BST 2016, operations=1.0, operationsPerMinute=9.42507068803016
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jun 27 03:10:41 BST 2016, end=Mon Jun 27 03:11:01 BST 2016, operations=1.0, operationsPerMinute=2.9952076677316293
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jun 27 03:11:01 BST 2016, end=Mon Jun 27 03:11:02 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jun 27 03:11:12 BST 2016, end=Mon Jun 27 03:13:12 BST 2016, operations=500.284015692129, operationsPerMinute=250.1420078460645, mode=normal, start=Mon Jun 27 03:13:13 BST 2016, end=Mon Jun 27 03:17:13 BST 2016, operations=1011.5593818422353, operationsPerMinute=252.88984546055883
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jun 27 03:17:17 BST 2016, end=Mon Jun 27 03:19:17 BST 2016, operations=193.95664194020023, operationsPerMinute=96.97832097010011, mode=normal, start=Mon Jun 27 03:19:20 BST 2016, end=Mon Jun 27 03:23:20 BST 2016, operations=383.58086145851837, operationsPerMinute=95.89521536462959
benchmark-name=compress, mod=warmup, start=Mon Jun 27 03:23:24 BST 2016, end=Mon Jun 27 03:25:24 BST 2016, operations=400.6239048331735, operationsPerMinute=200.31195241658676, mode=normal, start=Mon Jun 27 03:25:26 BST 2016, end=Mon Jun 27 03:29:26 BST 2016, operations=802.1357202331391, operationsPerMinute=200.53393005828477
benchmark-name=crypto.aes, mod=warmup, start=Mon Jun 27 03:29:28 BST 2016, end=Mon Jun 27 03:31:28 BST 2016, operations=132.00351226527692, operationsPerMinute=66.00175613263846, mode=normal, start=Mon Jun 27 03:31:34 BST 2016, end=Mon Jun 27 03:35:34 BST 2016, operations=288.42524933404104, operationsPerMinute=72.10631233351026
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jun 27 03:35:38 BST 2016, end=Mon Jun 27 03:37:38 BST 2016, operations=237.21800218457653, operationsPerMinute=118.60900109228827, mode=normal, start=Mon Jun 27 03:37:41 BST 2016, end=Mon Jun 27 03:41:41 BST 2016, operations=472.91243137161894, operationsPerMinute=118.22810784290473
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jun 27 03:41:45 BST 2016, end=Mon Jun 27 03:43:45 BST 2016, operations=408.0826841161285, operationsPerMinute=204.04134205806426, mode=normal, start=Mon Jun 27 03:43:47 BST 2016, end=Mon Jun 27 03:47:47 BST 2016, operations=815.7402142161635, operationsPerMinute=203.93505355404088
benchmark-name=derby, mod=warmup, start=Mon Jun 27 03:48:09 BST 2016, end=Mon Jun 27 03:50:09 BST 2016, operations=366.2074019923097, operationsPerMinute=183.10370099615486, mode=normal, start=Mon Jun 27 03:50:11 BST 2016, end=Mon Jun 27 03:54:11 BST 2016, operations=691.8398625573805, operationsPerMinute=172.9599656393451
benchmark-name=mpegaudio, mod=warmup, start=Mon Jun 27 03:54:13 BST 2016, end=Mon Jun 27 03:56:13 BST 2016, operations=205.56469426584195, operationsPerMinute=102.78234713292098, mode=normal, start=Mon Jun 27 03:56:17 BST 2016, end=Mon Jun 27 04:00:17 BST 2016, operations=412.4502579789684, operationsPerMinute=103.1125644947421
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jun 27 04:00:21 BST 2016, end=Mon Jun 27 04:02:21 BST 2016, operations=70.87369684061201, operationsPerMinute=35.436848420306006, mode=normal, start=Mon Jun 27 04:02:28 BST 2016, end=Mon Jun 27 04:06:28 BST 2016, operations=157.23697192573655, operationsPerMinute=39.30924298143414
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jun 27 04:06:36 BST 2016, end=Mon Jun 27 04:08:36 BST 2016, operations=13.87513341675864, operationsPerMinute=6.93756670837932, mode=normal, start=Mon Jun 27 04:09:20 BST 2016, end=Mon Jun 27 04:13:20 BST 2016, operations=28.075089358069658, operationsPerMinute=7.018772339517414
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jun 27 04:14:02 BST 2016, end=Mon Jun 27 04:16:02 BST 2016, operations=74.69797005536647, operationsPerMinute=37.348985027683234, mode=normal, start=Mon Jun 27 04:16:11 BST 2016, end=Mon Jun 27 04:20:11 BST 2016, operations=145.13375610851935, operationsPerMinute=36.28343902712984
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jun 27 04:20:23 BST 2016, end=Mon Jun 27 04:22:23 BST 2016, operations=42.437829825519, operationsPerMinute=21.2189149127595, mode=normal, start=Mon Jun 27 04:22:35 BST 2016, end=Mon Jun 27 04:26:35 BST 2016, operations=85.34066296269732, operationsPerMinute=21.33516574067433
benchmark-name=scimark.fft.small, mod=warmup, start=Mon Jun 27 04:26:52 BST 2016, end=Mon Jun 27 04:28:52 BST 2016, operations=695.4686348779551, operationsPerMinute=347.73431743897754, mode=normal, start=Mon Jun 27 04:28:53 BST 2016, end=Mon Jun 27 04:32:53 BST 2016, operations=1406.726532272111, operationsPerMinute=351.68163306802774
benchmark-name=scimark.lu.small, mod=warmup, start=Mon Jun 27 04:32:54 BST 2016, end=Mon Jun 27 04:34:54 BST 2016, operations=577.6202825931596, operationsPerMinute=288.8101412965798, mode=normal, start=Mon Jun 27 04:34:55 BST 2016, end=Mon Jun 27 04:38:55 BST 2016, operations=1127.299160239999, operationsPerMinute=281.82479005999977
benchmark-name=scimark.sor.small, mod=warmup, start=Mon Jun 27 04:38:57 BST 2016, end=Mon Jun 27 04:40:57 BST 2016, operations=323.6256698879599, operationsPerMinute=161.81283494397994, mode=normal, start=Mon Jun 27 04:40:59 BST 2016, end=Mon Jun 27 04:44:59 BST 2016, operations=661.8206780240063, operationsPerMinute=165.45516950600157
benchmark-name=scimark.sparse.small, mod=warmup, start=Mon Jun 27 04:45:01 BST 2016, end=Mon Jun 27 04:47:01 BST 2016, operations=505.8426473174627, operationsPerMinute=252.92132365873135, mode=normal, start=Mon Jun 27 04:47:03 BST 2016, end=Mon Jun 27 04:51:03 BST 2016, operations=1023.4664353491007, operationsPerMinute=255.86660883727518
