spec.jvm2008.report.run.location=BARN-02
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 04 08:27:04 BST 2016, end=Sat Jun 04 08:27:04 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 08:27:04 BST 2016, end=Sat Jun 04 08:27:04 BST 2016, operations=1.0, operationsPerMinute=480.0
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 08:27:04 BST 2016, end=Sat Jun 04 08:27:17 BST 2016, operations=1.0, operationsPerMinute=4.611837048424289
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 08:27:17 BST 2016, end=Sat Jun 04 08:27:20 BST 2016, operations=1.0, operationsPerMinute=17.88908765652952
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 08:27:20 BST 2016, end=Sat Jun 04 08:27:21 BST 2016, operations=1.0, operationsPerMinute=47.46835443037975
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 08:27:21 BST 2016, end=Sat Jun 04 08:27:30 BST 2016, operations=1.0, operationsPerMinute=7.070469007777516
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 08:27:30 BST 2016, end=Sat Jun 04 08:27:37 BST 2016, operations=1.0, operationsPerMinute=8.079719903043362
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 08:27:37 BST 2016, end=Sat Jun 04 08:27:44 BST 2016, operations=1.0, operationsPerMinute=9.20104278484895
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 08:27:44 BST 2016, end=Sat Jun 04 08:27:46 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 08:27:46 BST 2016, end=Sat Jun 04 08:27:47 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 08:27:47 BST 2016, end=Sat Jun 04 08:27:48 BST 2016, operations=1.0, operationsPerMinute=66.3716814159292
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 08:27:48 BST 2016, end=Sat Jun 04 08:27:53 BST 2016, operations=1.0, operationsPerMinute=10.863661053775122
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 08:27:53 BST 2016, end=Sat Jun 04 08:27:55 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 08:27:55 BST 2016, end=Sat Jun 04 08:27:56 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 08:27:56 BST 2016, end=Sat Jun 04 08:27:58 BST 2016, operations=1.0, operationsPerMinute=28.076743097800655
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 08:27:58 BST 2016, end=Sat Jun 04 08:28:04 BST 2016, operations=1.0, operationsPerMinute=9.312432096849294
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 08:28:04 BST 2016, end=Sat Jun 04 08:28:25 BST 2016, operations=1.0, operationsPerMinute=2.951739066266542
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 08:28:25 BST 2016, end=Sat Jun 04 08:28:25 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 08:28:36 BST 2016, end=Sat Jun 04 08:30:36 BST 2016, operations=491.30512013114856, operationsPerMinute=245.65256006557428, mode=normal, start=Sat Jun 04 08:30:37 BST 2016, end=Sat Jun 04 08:34:37 BST 2016, operations=998.9151792348026, operationsPerMinute=249.72879480870066
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 08:34:41 BST 2016, end=Sat Jun 04 08:36:41 BST 2016, operations=201.00261123517726, operationsPerMinute=100.50130561758863, mode=normal, start=Sat Jun 04 08:36:44 BST 2016, end=Sat Jun 04 08:40:44 BST 2016, operations=399.55466499117006, operationsPerMinute=99.88866624779251
benchmark-name=compress, mod=warmup, start=Sat Jun 04 08:40:48 BST 2016, end=Sat Jun 04 08:42:48 BST 2016, operations=397.09571713745333, operationsPerMinute=198.54785856872667, mode=normal, start=Sat Jun 04 08:42:50 BST 2016, end=Sat Jun 04 08:46:50 BST 2016, operations=795.807294701637, operationsPerMinute=198.95182367540926
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 08:46:52 BST 2016, end=Sat Jun 04 08:48:52 BST 2016, operations=138.6536877313156, operationsPerMinute=69.3268438656578, mode=normal, start=Sat Jun 04 08:48:56 BST 2016, end=Sat Jun 04 08:52:56 BST 2016, operations=292.52779851705543, operationsPerMinute=73.13194962926386
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 08:53:01 BST 2016, end=Sat Jun 04 08:55:01 BST 2016, operations=235.63147217584452, operationsPerMinute=117.81573608792226, mode=normal, start=Sat Jun 04 08:55:04 BST 2016, end=Sat Jun 04 08:59:04 BST 2016, operations=470.80355393801824, operationsPerMinute=117.70088848450456
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 08:59:06 BST 2016, end=Sat Jun 04 09:01:06 BST 2016, operations=407.5759818240831, operationsPerMinute=203.78799091204155, mode=normal, start=Sat Jun 04 09:01:09 BST 2016, end=Sat Jun 04 09:05:09 BST 2016, operations=814.8267710180021, operationsPerMinute=203.70669275450052
benchmark-name=derby, mod=warmup, start=Sat Jun 04 09:05:31 BST 2016, end=Sat Jun 04 09:07:31 BST 2016, operations=363.0071026119, operationsPerMinute=181.50355130595, mode=normal, start=Sat Jun 04 09:07:33 BST 2016, end=Sat Jun 04 09:11:33 BST 2016, operations=728.6681715081804, operationsPerMinute=182.1670428770451
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 09:11:35 BST 2016, end=Sat Jun 04 09:13:35 BST 2016, operations=207.0729769913126, operationsPerMinute=103.5364884956563, mode=normal, start=Sat Jun 04 09:13:39 BST 2016, end=Sat Jun 04 09:17:39 BST 2016, operations=415.1413599738221, operationsPerMinute=103.78533999345552
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 09:17:43 BST 2016, end=Sat Jun 04 09:19:43 BST 2016, operations=74.84863571088205, operationsPerMinute=37.424317855441025, mode=normal, start=Sat Jun 04 09:19:52 BST 2016, end=Sat Jun 04 09:23:52 BST 2016, operations=147.51908907500393, operationsPerMinute=36.87977226875098
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 09:24:01 BST 2016, end=Sat Jun 04 09:26:01 BST 2016, operations=13.97435654458656, operationsPerMinute=6.98717827229328, mode=normal, start=Sat Jun 04 09:26:44 BST 2016, end=Sat Jun 04 09:30:44 BST 2016, operations=27.818214010775105, operationsPerMinute=6.954553502693776
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 09:31:20 BST 2016, end=Sat Jun 04 09:33:20 BST 2016, operations=74.18853650260701, operationsPerMinute=37.094268251303504, mode=normal, start=Sat Jun 04 09:33:29 BST 2016, end=Sat Jun 04 09:37:29 BST 2016, operations=149.10115054601425, operationsPerMinute=37.27528763650356
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 09:37:41 BST 2016, end=Sat Jun 04 09:39:41 BST 2016, operations=42.89782641807044, operationsPerMinute=21.44891320903522, mode=normal, start=Sat Jun 04 09:39:52 BST 2016, end=Sat Jun 04 09:43:52 BST 2016, operations=85.40922264400626, operationsPerMinute=21.352305661001566
