spec.jvm2008.report.run.location=CASTLEAZES008
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 25 05:33:09 BST 2016, end=Sat Jun 25 05:33:09 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 25 05:33:09 BST 2016, end=Sat Jun 25 05:33:09 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 25 05:33:09 BST 2016, end=Sat Jun 25 05:33:22 BST 2016, operations=1.0, operationsPerMinute=4.7247814788566025
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 25 05:33:22 BST 2016, end=Sat Jun 25 05:33:25 BST 2016, operations=1.0, operationsPerMinute=18.404907975460123
benchmark-name=startup.compress, mode=normal, start=Sat Jun 25 05:33:25 BST 2016, end=Sat Jun 25 05:33:26 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 25 05:33:26 BST 2016, end=Sat Jun 25 05:33:35 BST 2016, operations=1.0, operationsPerMinute=7.044734061289186
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 25 05:33:35 BST 2016, end=Sat Jun 25 05:33:42 BST 2016, operations=1.0, operationsPerMinute=8.079719903043362
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 25 05:33:42 BST 2016, end=Sat Jun 25 05:33:49 BST 2016, operations=1.0, operationsPerMinute=8.741258741258742
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 25 05:33:49 BST 2016, end=Sat Jun 25 05:33:51 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 25 05:33:51 BST 2016, end=Sat Jun 25 05:33:52 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 25 05:33:52 BST 2016, end=Sat Jun 25 05:33:53 BST 2016, operations=1.0, operationsPerMinute=65.14657980456026
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 25 05:33:53 BST 2016, end=Sat Jun 25 05:33:59 BST 2016, operations=1.0, operationsPerMinute=10.773927096426647
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 25 05:33:59 BST 2016, end=Sat Jun 25 05:34:00 BST 2016, operations=1.0, operationsPerMinute=40.053404539385845
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 25 05:34:00 BST 2016, end=Sat Jun 25 05:34:01 BST 2016, operations=1.0, operationsPerMinute=61.09979633401222
benchmark-name=startup.serial, mode=normal, start=Sat Jun 25 05:34:01 BST 2016, end=Sat Jun 25 05:34:03 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 25 05:34:03 BST 2016, end=Sat Jun 25 05:34:10 BST 2016, operations=1.0, operationsPerMinute=9.222256378727328
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 25 05:34:10 BST 2016, end=Sat Jun 25 05:34:30 BST 2016, operations=1.0, operationsPerMinute=2.963109289347622
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 25 05:34:30 BST 2016, end=Sat Jun 25 05:34:31 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 25 05:34:41 BST 2016, end=Sat Jun 25 05:36:41 BST 2016, operations=475.7161947819179, operationsPerMinute=237.85809739095896, mode=normal, start=Sat Jun 25 05:36:42 BST 2016, end=Sat Jun 25 05:40:42 BST 2016, operations=964.332242860552, operationsPerMinute=241.083060715138
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 25 05:40:46 BST 2016, end=Sat Jun 25 05:42:46 BST 2016, operations=191.10570533281273, operationsPerMinute=95.55285266640637, mode=normal, start=Sat Jun 25 05:42:49 BST 2016, end=Sat Jun 25 05:46:49 BST 2016, operations=382.53005601154325, operationsPerMinute=95.63251400288581
benchmark-name=compress, mod=warmup, start=Sat Jun 25 05:46:52 BST 2016, end=Sat Jun 25 05:48:52 BST 2016, operations=369.6778276056754, operationsPerMinute=184.8389138028377, mode=normal, start=Sat Jun 25 05:48:54 BST 2016, end=Sat Jun 25 05:52:54 BST 2016, operations=742.2931491142749, operationsPerMinute=185.57328727856873
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 25 05:52:56 BST 2016, end=Sat Jun 25 05:54:56 BST 2016, operations=130.33029805749993, operationsPerMinute=65.16514902874997, mode=normal, start=Sat Jun 25 05:55:01 BST 2016, end=Sat Jun 25 05:59:01 BST 2016, operations=272.92570709415935, operationsPerMinute=68.23142677353984
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 25 05:59:07 BST 2016, end=Sat Jun 25 06:01:07 BST 2016, operations=217.73294985632845, operationsPerMinute=108.86647492816422, mode=normal, start=Sat Jun 25 06:01:11 BST 2016, end=Sat Jun 25 06:05:11 BST 2016, operations=437.0858602125302, operationsPerMinute=109.27146505313254
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 25 06:05:13 BST 2016, end=Sat Jun 25 06:07:13 BST 2016, operations=369.2836856363947, operationsPerMinute=184.64184281819735, mode=normal, start=Sat Jun 25 06:07:15 BST 2016, end=Sat Jun 25 06:11:15 BST 2016, operations=754.7022043389474, operationsPerMinute=188.67555108473684
benchmark-name=derby, mod=warmup, start=Sat Jun 25 06:11:38 BST 2016, end=Sat Jun 25 06:13:38 BST 2016, operations=360.0134726954215, operationsPerMinute=180.00673634771076, mode=normal, start=Sat Jun 25 06:13:40 BST 2016, end=Sat Jun 25 06:17:40 BST 2016, operations=720.7349309812744, operationsPerMinute=180.1837327453186
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 25 06:17:42 BST 2016, end=Sat Jun 25 06:19:42 BST 2016, operations=207.27085338722458, operationsPerMinute=103.63542669361229, mode=normal, start=Sat Jun 25 06:19:45 BST 2016, end=Sat Jun 25 06:23:45 BST 2016, operations=415.68475102158675, operationsPerMinute=103.92118775539669
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 25 06:23:49 BST 2016, end=Sat Jun 25 06:25:49 BST 2016, operations=78.62568529928714, operationsPerMinute=39.31284264964357, mode=normal, start=Sat Jun 25 06:25:55 BST 2016, end=Sat Jun 25 06:29:55 BST 2016, operations=154.03518645387018, operationsPerMinute=38.508796613467545
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 25 06:30:04 BST 2016, end=Sat Jun 25 06:32:04 BST 2016, operations=13.913732809699741, operationsPerMinute=6.956866404849871, mode=normal, start=Sat Jun 25 06:32:47 BST 2016, end=Sat Jun 25 06:36:47 BST 2016, operations=27.916550420913403, operationsPerMinute=6.979137605228351
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 25 06:37:30 BST 2016, end=Sat Jun 25 06:39:30 BST 2016, operations=74.37765098502291, operationsPerMinute=37.188825492511455, mode=normal, start=Sat Jun 25 06:39:39 BST 2016, end=Sat Jun 25 06:43:39 BST 2016, operations=149.27239562013492, operationsPerMinute=37.31809890503373
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 25 06:43:50 BST 2016, end=Sat Jun 25 06:45:50 BST 2016, operations=42.96386285372823, operationsPerMinute=21.481931426864115, mode=normal, start=Sat Jun 25 06:46:02 BST 2016, end=Sat Jun 25 06:50:02 BST 2016, operations=86.32598296283717, operationsPerMinute=21.581495740709293
