spec.jvm2008.report.run.location=HOPE13
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Fri Jun 24 02:12:30 BST 2016, end=Fri Jun 24 02:12:30 BST 2016, operations=1.0, operationsPerMinute=295.5665024630542
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 02:12:30 BST 2016, end=Fri Jun 24 02:12:32 BST 2016, operations=1.0, operationsPerMinute=40.48582995951417
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 02:12:32 BST 2016, end=Fri Jun 24 02:13:08 BST 2016, operations=1.0, operationsPerMinute=1.639433848844199
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 02:13:08 BST 2016, end=Fri Jun 24 02:13:15 BST 2016, operations=1.0, operationsPerMinute=9.70716712506067
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 02:13:15 BST 2016, end=Fri Jun 24 02:13:17 BST 2016, operations=1.0, operationsPerMinute=26.32733655111891
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 02:13:17 BST 2016, end=Fri Jun 24 02:13:27 BST 2016, operations=1.0, operationsPerMinute=5.703964255157334
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 02:13:27 BST 2016, end=Fri Jun 24 02:13:36 BST 2016, operations=1.0, operationsPerMinute=6.864988558352403
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 02:13:36 BST 2016, end=Fri Jun 24 02:13:43 BST 2016, operations=1.0, operationsPerMinute=8.357709987463435
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 02:13:43 BST 2016, end=Fri Jun 24 02:13:47 BST 2016, operations=1.0, operationsPerMinute=17.63668430335097
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 02:13:47 BST 2016, end=Fri Jun 24 02:13:48 BST 2016, operations=1.0, operationsPerMinute=64.034151547492
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 02:13:48 BST 2016, end=Fri Jun 24 02:13:49 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 02:13:49 BST 2016, end=Fri Jun 24 02:13:56 BST 2016, operations=1.0, operationsPerMinute=8.857395925597874
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 02:13:56 BST 2016, end=Fri Jun 24 02:13:57 BST 2016, operations=1.0, operationsPerMinute=34.944670937682005
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 02:13:57 BST 2016, end=Fri Jun 24 02:13:59 BST 2016, operations=1.0, operationsPerMinute=41.78272980501393
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 02:13:59 BST 2016, end=Fri Jun 24 02:14:02 BST 2016, operations=1.0, operationsPerMinute=17.47742499271774
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 02:14:02 BST 2016, end=Fri Jun 24 02:14:10 BST 2016, operations=1.0, operationsPerMinute=7.813517385076182
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 02:14:10 BST 2016, end=Fri Jun 24 02:14:40 BST 2016, operations=1.0, operationsPerMinute=1.9614253023864008
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 02:14:40 BST 2016, end=Fri Jun 24 02:14:42 BST 2016, operations=1.0, operationsPerMinute=34.01360544217687
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 02:14:59 BST 2016, end=Fri Jun 24 02:16:59 BST 2016, operations=344.0366769916009, operationsPerMinute=172.01833849580046, mode=normal, start=Fri Jun 24 02:17:01 BST 2016, end=Fri Jun 24 02:21:01 BST 2016, operations=676.328042436252, operationsPerMinute=169.082010609063
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 02:21:10 BST 2016, end=Fri Jun 24 02:23:10 BST 2016, operations=129.81446930917292, operationsPerMinute=64.90723465458646, mode=normal, start=Fri Jun 24 02:23:16 BST 2016, end=Fri Jun 24 02:27:16 BST 2016, operations=264.32188220449507, operationsPerMinute=66.08047055112377
benchmark-name=compress, mod=warmup, start=Fri Jun 24 02:27:23 BST 2016, end=Fri Jun 24 02:29:23 BST 2016, operations=267.3404134098564, operationsPerMinute=133.6702067049282, mode=normal, start=Fri Jun 24 02:29:26 BST 2016, end=Fri Jun 24 02:33:26 BST 2016, operations=522.8179375066854, operationsPerMinute=130.70448437667136
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 02:33:29 BST 2016, end=Fri Jun 24 02:35:29 BST 2016, operations=85.46999595825945, operationsPerMinute=42.73499797912972, mode=normal, start=Fri Jun 24 02:35:38 BST 2016, end=Fri Jun 24 02:39:38 BST 2016, operations=179.800060857887, operationsPerMinute=44.95001521447175
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 02:39:47 BST 2016, end=Fri Jun 24 02:41:47 BST 2016, operations=144.79954472464357, operationsPerMinute=72.39977236232178, mode=normal, start=Fri Jun 24 02:41:53 BST 2016, end=Fri Jun 24 02:45:53 BST 2016, operations=287.5298944175788, operationsPerMinute=71.8824736043947
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 02:45:58 BST 2016, end=Fri Jun 24 02:47:58 BST 2016, operations=251.7499760069529, operationsPerMinute=125.87498800347645, mode=normal, start=Fri Jun 24 02:48:01 BST 2016, end=Fri Jun 24 02:52:01 BST 2016, operations=501.1624520757298, operationsPerMinute=125.29061301893245
benchmark-name=derby, mod=warmup, start=Fri Jun 24 02:53:41 BST 2016, end=Fri Jun 24 02:55:41 BST 2016, operations=197.5947462301836, operationsPerMinute=98.7973731150918, mode=normal, start=Fri Jun 24 02:55:45 BST 2016, end=Fri Jun 24 02:59:45 BST 2016, operations=398.48149857662173, operationsPerMinute=99.62037464415543
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 02:59:49 BST 2016, end=Fri Jun 24 03:01:49 BST 2016, operations=126.77041801765344, operationsPerMinute=63.38520900882672, mode=normal, start=Fri Jun 24 03:01:54 BST 2016, end=Fri Jun 24 03:05:54 BST 2016, operations=261.51960015028124, operationsPerMinute=65.37990003757031
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 03:06:01 BST 2016, end=Fri Jun 24 03:08:01 BST 2016, operations=62.22972183686373, operationsPerMinute=31.114860918431866, mode=normal, start=Fri Jun 24 03:08:10 BST 2016, end=Fri Jun 24 03:12:10 BST 2016, operations=120.68236523668341, operationsPerMinute=30.170591309170852
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 03:12:19 BST 2016, end=Fri Jun 24 03:14:19 BST 2016, operations=11.478150842015046, operationsPerMinute=5.739075421007523, mode=normal, start=Fri Jun 24 03:14:56 BST 2016, end=Fri Jun 24 03:18:56 BST 2016, operations=22.88063271694923, operationsPerMinute=5.720158179237307
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 03:19:40 BST 2016, end=Fri Jun 24 03:21:40 BST 2016, operations=52.4996257319479, operationsPerMinute=26.24981286597395, mode=normal, start=Fri Jun 24 03:21:53 BST 2016, end=Fri Jun 24 03:25:53 BST 2016, operations=108.61248687007996, operationsPerMinute=27.15312171751999
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 03:26:09 BST 2016, end=Fri Jun 24 03:28:09 BST 2016, operations=36.736444289452976, operationsPerMinute=18.368222144726488, mode=normal, start=Fri Jun 24 03:28:23 BST 2016, end=Fri Jun 24 03:32:23 BST 2016, operations=73.59941059291864, operationsPerMinute=18.39985264822966
