spec.jvm2008.report.run.location=HOPE21
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Sun Jun 19 00:41:32 BST 2016, end=Sun Jun 19 00:41:32 BST 2016, operations=1.0, operationsPerMinute=967.741935483871
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 00:41:32 BST 2016, end=Sun Jun 19 00:41:32 BST 2016, operations=1.0, operationsPerMinute=384.61538461538464
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 00:41:32 BST 2016, end=Sun Jun 19 00:41:51 BST 2016, operations=1.0, operationsPerMinute=3.1266284523189163
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 00:41:51 BST 2016, end=Sun Jun 19 00:41:56 BST 2016, operations=1.0, operationsPerMinute=13.080444735120993
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 00:41:56 BST 2016, end=Sun Jun 19 00:41:57 BST 2016, operations=1.0, operationsPerMinute=36.99136868064118
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 00:41:57 BST 2016, end=Sun Jun 19 00:42:07 BST 2016, operations=1.0, operationsPerMinute=5.9904153354632586
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 00:42:07 BST 2016, end=Sun Jun 19 00:42:16 BST 2016, operations=1.0, operationsPerMinute=6.992192052208368
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 00:42:16 BST 2016, end=Sun Jun 19 00:42:23 BST 2016, operations=1.0, operationsPerMinute=8.470986869970352
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 00:42:23 BST 2016, end=Sun Jun 19 00:42:26 BST 2016, operations=1.0, operationsPerMinute=19.5248942401562
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 00:42:26 BST 2016, end=Sun Jun 19 00:42:27 BST 2016, operations=1.0, operationsPerMinute=64.1025641025641
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 00:42:27 BST 2016, end=Sun Jun 19 00:42:28 BST 2016, operations=1.0, operationsPerMinute=49.30156121610518
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 00:42:28 BST 2016, end=Sun Jun 19 00:42:35 BST 2016, operations=1.0, operationsPerMinute=8.943210612609928
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 00:42:35 BST 2016, end=Sun Jun 19 00:42:37 BST 2016, operations=1.0, operationsPerMinute=35.294117647058826
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 00:42:37 BST 2016, end=Sun Jun 19 00:42:38 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 00:42:38 BST 2016, end=Sun Jun 19 00:42:41 BST 2016, operations=1.0, operationsPerMinute=19.723865877712033
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 00:42:41 BST 2016, end=Sun Jun 19 00:42:48 BST 2016, operations=1.0, operationsPerMinute=8.508224617129892
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 00:42:48 BST 2016, end=Sun Jun 19 00:43:19 BST 2016, operations=1.0, operationsPerMinute=1.9621950421871934
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 00:43:19 BST 2016, end=Sun Jun 19 00:43:20 BST 2016, operations=1.0, operationsPerMinute=48.661800486618006
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 00:43:35 BST 2016, end=Sun Jun 19 00:45:35 BST 2016, operations=357.241750240902, operationsPerMinute=178.620875120451, mode=normal, start=Sun Jun 19 00:45:37 BST 2016, end=Sun Jun 19 00:49:37 BST 2016, operations=716.8497634632912, operationsPerMinute=179.2124408658228
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 00:49:43 BST 2016, end=Sun Jun 19 00:51:43 BST 2016, operations=142.44835121281812, operationsPerMinute=71.22417560640906, mode=normal, start=Sun Jun 19 00:51:47 BST 2016, end=Sun Jun 19 00:55:47 BST 2016, operations=281.6487617350241, operationsPerMinute=70.41219043375602
benchmark-name=compress, mod=warmup, start=Sun Jun 19 00:55:51 BST 2016, end=Sun Jun 19 00:57:51 BST 2016, operations=270.28250434017576, operationsPerMinute=135.14125217008788, mode=normal, start=Sun Jun 19 00:57:54 BST 2016, end=Sun Jun 19 01:01:54 BST 2016, operations=540.9231876288351, operationsPerMinute=135.23079690720877
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 01:01:56 BST 2016, end=Sun Jun 19 01:03:56 BST 2016, operations=85.73672332366854, operationsPerMinute=42.86836166183427, mode=normal, start=Sun Jun 19 01:04:05 BST 2016, end=Sun Jun 19 01:08:05 BST 2016, operations=169.27730880890152, operationsPerMinute=42.31932720222538
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:08:13 BST 2016, end=Sun Jun 19 01:10:13 BST 2016, operations=144.40665165810034, operationsPerMinute=72.20332582905017, mode=normal, start=Sun Jun 19 01:10:20 BST 2016, end=Sun Jun 19 01:14:20 BST 2016, operations=284.8088193954231, operationsPerMinute=71.20220484885577
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:14:26 BST 2016, end=Sun Jun 19 01:16:26 BST 2016, operations=248.35685484851984, operationsPerMinute=124.17842742425992, mode=normal, start=Sun Jun 19 01:16:29 BST 2016, end=Sun Jun 19 01:20:29 BST 2016, operations=500.9266870150694, operationsPerMinute=125.23167175376734
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:22:00 BST 2016, end=Sun Jun 19 01:24:00 BST 2016, operations=193.09985063406594, operationsPerMinute=96.54992531703297, mode=normal, start=Sun Jun 19 01:24:04 BST 2016, end=Sun Jun 19 01:28:04 BST 2016, operations=398.3417849847875, operationsPerMinute=99.58544624619688
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:28:08 BST 2016, end=Sun Jun 19 01:30:08 BST 2016, operations=133.85093105566455, operationsPerMinute=66.92546552783227, mode=normal, start=Sun Jun 19 01:30:13 BST 2016, end=Sun Jun 19 01:34:13 BST 2016, operations=267.45168344655264, operationsPerMinute=66.86292086163816
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 01:34:19 BST 2016, end=Sun Jun 19 01:36:19 BST 2016, operations=55.617348911823946, operationsPerMinute=27.808674455911973, mode=normal, start=Sun Jun 19 01:36:29 BST 2016, end=Sun Jun 19 01:40:29 BST 2016, operations=115.07557886141339, operationsPerMinute=28.768894715353348
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 01:40:39 BST 2016, end=Sun Jun 19 01:42:39 BST 2016, operations=11.5019707567868, operationsPerMinute=5.7509853783934, mode=normal, start=Sun Jun 19 01:43:15 BST 2016, end=Sun Jun 19 01:47:15 BST 2016, operations=23.07575115841896, operationsPerMinute=5.76893778960474
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 01:47:55 BST 2016, end=Sun Jun 19 01:49:55 BST 2016, operations=54.95685013834583, operationsPerMinute=27.478425069172914, mode=normal, start=Sun Jun 19 01:50:05 BST 2016, end=Sun Jun 19 01:54:05 BST 2016, operations=110.21073675886714, operationsPerMinute=27.552684189716786
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 01:54:16 BST 2016, end=Sun Jun 19 01:56:16 BST 2016, operations=37.289504603933906, operationsPerMinute=18.644752301966953, mode=normal, start=Sun Jun 19 01:56:34 BST 2016, end=Sun Jun 19 02:00:34 BST 2016, operations=74.57453836024342, operationsPerMinute=18.643634590060856
