spec.jvm2008.report.run.location=GNML06
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:19:43 BST 2016, end=Thu May 26 14:19:44 BST 2016, operations=1.0, operationsPerMinute=425.531914893617
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:19:44 BST 2016, end=Thu May 26 14:19:44 BST 2016, operations=1.0, operationsPerMinute=225.5639097744361
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:19:44 BST 2016, end=Thu May 26 14:20:00 BST 2016, operations=1.0, operationsPerMinute=3.655638822884299
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:20:00 BST 2016, end=Thu May 26 14:20:04 BST 2016, operations=1.0, operationsPerMinute=15.321756894790603
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:20:04 BST 2016, end=Thu May 26 14:20:06 BST 2016, operations=1.0, operationsPerMinute=44.742729306487696
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:20:06 BST 2016, end=Thu May 26 14:20:15 BST 2016, operations=1.0, operationsPerMinute=6.63129973474801
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:20:15 BST 2016, end=Thu May 26 14:20:22 BST 2016, operations=1.0, operationsPerMinute=7.630675314765357
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:20:22 BST 2016, end=Thu May 26 14:20:29 BST 2016, operations=1.0, operationsPerMinute=8.941877794336811
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:20:29 BST 2016, end=Thu May 26 14:20:32 BST 2016, operations=1.0, operationsPerMinute=24.03846153846154
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:20:32 BST 2016, end=Thu May 26 14:20:32 BST 2016, operations=1.0, operationsPerMinute=76.92307692307692
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:20:32 BST 2016, end=Thu May 26 14:20:33 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:20:33 BST 2016, end=Thu May 26 14:20:39 BST 2016, operations=1.0, operationsPerMinute=10.509721492380452
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:20:39 BST 2016, end=Thu May 26 14:20:41 BST 2016, operations=1.0, operationsPerMinute=39.24133420536298
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:20:41 BST 2016, end=Thu May 26 14:20:42 BST 2016, operations=1.0, operationsPerMinute=57.41626794258373
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:20:42 BST 2016, end=Thu May 26 14:20:44 BST 2016, operations=1.0, operationsPerMinute=25.466893039049236
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:20:44 BST 2016, end=Thu May 26 14:20:51 BST 2016, operations=1.0, operationsPerMinute=8.741258741258742
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:20:51 BST 2016, end=Thu May 26 14:21:14 BST 2016, operations=1.0, operationsPerMinute=2.646786360227624
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:21:14 BST 2016, end=Thu May 26 14:21:15 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:21:26 BST 2016, end=Thu May 26 14:23:26 BST 2016, operations=444.2204664468786, operationsPerMinute=222.1102332234393, mode=normal, start=Thu May 26 14:23:28 BST 2016, end=Thu May 26 14:27:28 BST 2016, operations=912.8604267735435, operationsPerMinute=228.21510669338588
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:27:32 BST 2016, end=Thu May 26 14:29:32 BST 2016, operations=176.64986485442964, operationsPerMinute=88.32493242721482, mode=normal, start=Thu May 26 14:29:36 BST 2016, end=Thu May 26 14:33:36 BST 2016, operations=316.57481981742444, operationsPerMinute=79.14370495435611
benchmark-name=compress, mod=warmup, start=Thu May 26 14:33:40 BST 2016, end=Thu May 26 14:35:40 BST 2016, operations=340.90745451793856, operationsPerMinute=170.45372725896928, mode=normal, start=Thu May 26 14:35:43 BST 2016, end=Thu May 26 14:39:43 BST 2016, operations=703.1500033805709, operationsPerMinute=175.78750084514272
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:39:46 BST 2016, end=Thu May 26 14:41:46 BST 2016, operations=118.09314408030518, operationsPerMinute=59.04657204015259, mode=normal, start=Thu May 26 14:41:53 BST 2016, end=Thu May 26 14:45:53 BST 2016, operations=241.44824212184022, operationsPerMinute=60.362060530460056
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:45:59 BST 2016, end=Thu May 26 14:47:59 BST 2016, operations=206.310697226652, operationsPerMinute=103.155348613326, mode=normal, start=Thu May 26 14:48:03 BST 2016, end=Thu May 26 14:52:03 BST 2016, operations=409.9506548163561, operationsPerMinute=102.48766370408903
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:52:07 BST 2016, end=Thu May 26 14:54:07 BST 2016, operations=362.4595999049123, operationsPerMinute=181.22979995245615, mode=normal, start=Thu May 26 14:54:09 BST 2016, end=Thu May 26 14:58:09 BST 2016, operations=720.4220106360464, operationsPerMinute=180.1055026590116
benchmark-name=derby, mod=warmup, start=Thu May 26 14:59:18 BST 2016, end=Thu May 26 15:01:18 BST 2016, operations=278.5586399503072, operationsPerMinute=139.2793199751536, mode=normal, start=Thu May 26 15:01:20 BST 2016, end=Thu May 26 15:05:20 BST 2016, operations=570.2951990363359, operationsPerMinute=142.57379975908398
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:05:22 BST 2016, end=Thu May 26 15:07:22 BST 2016, operations=180.29804778852346, operationsPerMinute=90.14902389426173, mode=normal, start=Thu May 26 15:07:26 BST 2016, end=Thu May 26 15:11:26 BST 2016, operations=351.55002738509313, operationsPerMinute=87.88750684627328
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:11:30 BST 2016, end=Thu May 26 15:13:30 BST 2016, operations=72.00701808724986, operationsPerMinute=36.00350904362493, mode=normal, start=Thu May 26 15:13:39 BST 2016, end=Thu May 26 15:17:39 BST 2016, operations=136.61346066887347, operationsPerMinute=34.15336516721837
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:17:48 BST 2016, end=Thu May 26 15:19:48 BST 2016, operations=13.29712885602616, operationsPerMinute=6.64856442801308, mode=normal, start=Thu May 26 15:20:40 BST 2016, end=Thu May 26 15:24:40 BST 2016, operations=26.38542210423289, operationsPerMinute=6.596355526058223
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:25:21 BST 2016, end=Thu May 26 15:27:21 BST 2016, operations=66.81007157882533, operationsPerMinute=33.405035789412665, mode=normal, start=Thu May 26 15:27:32 BST 2016, end=Thu May 26 15:31:32 BST 2016, operations=126.71659196463858, operationsPerMinute=31.679147991159645
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:31:45 BST 2016, end=Thu May 26 15:33:45 BST 2016, operations=41.16992425884686, operationsPerMinute=20.58496212942343, mode=normal, start=Thu May 26 15:34:02 BST 2016, end=Thu May 26 15:38:02 BST 2016, operations=83.40965602217707, operationsPerMinute=20.85241400554427
