spec.jvm2008.report.run.location=OLDLIB029
spec.jvm2008.report.hw.cpu.name=
spec.jvm2008.report.hw.number.of.cores=
spec.jvm2008.report.hw.memory.size=,=
benchmark-name=check, mode=normal, start=Sat Jun 04 08:28:24 BST 2016, end=Sat Jun 04 08:28:24 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 08:28:24 BST 2016, end=Sat Jun 04 08:28:25 BST 2016, operations=1.0, operationsPerMinute=58.309037900874635
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 08:28:25 BST 2016, end=Sat Jun 04 08:28:49 BST 2016, operations=1.0, operationsPerMinute=2.4845749306389497
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 08:28:49 BST 2016, end=Sat Jun 04 08:28:54 BST 2016, operations=1.0, operationsPerMinute=12.287528158918697
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 08:28:54 BST 2016, end=Sat Jun 04 08:28:56 BST 2016, operations=1.0, operationsPerMinute=43.22766570605187
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 08:28:56 BST 2016, end=Sat Jun 04 08:29:05 BST 2016, operations=1.0, operationsPerMinute=6.183654539833041
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 08:29:05 BST 2016, end=Sat Jun 04 08:29:13 BST 2016, operations=1.0, operationsPerMinute=7.600709399543957
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 08:29:13 BST 2016, end=Sat Jun 04 08:29:20 BST 2016, operations=1.0, operationsPerMinute=8.701957940536621
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 08:29:20 BST 2016, end=Sat Jun 04 08:29:23 BST 2016, operations=1.0, operationsPerMinute=22.363026462914647
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 08:29:23 BST 2016, end=Sat Jun 04 08:29:24 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 08:29:24 BST 2016, end=Sat Jun 04 08:29:25 BST 2016, operations=1.0, operationsPerMinute=57.361376673040155
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 08:29:25 BST 2016, end=Sat Jun 04 08:29:31 BST 2016, operations=1.0, operationsPerMinute=9.861932938856016
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 08:29:31 BST 2016, end=Sat Jun 04 08:29:32 BST 2016, operations=1.0, operationsPerMinute=40.48582995951417
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 08:29:32 BST 2016, end=Sat Jun 04 08:29:34 BST 2016, operations=1.0, operationsPerMinute=49.958368026644465
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 08:29:34 BST 2016, end=Sat Jun 04 08:29:36 BST 2016, operations=1.0, operationsPerMinute=22.89202594429607
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 08:29:36 BST 2016, end=Sat Jun 04 08:29:43 BST 2016, operations=1.0, operationsPerMinute=8.32523935063133
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 08:29:43 BST 2016, end=Sat Jun 04 08:30:10 BST 2016, operations=1.0, operationsPerMinute=2.2852789944772423
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 08:30:10 BST 2016, end=Sat Jun 04 08:30:11 BST 2016, operations=1.0, operationsPerMinute=46.36785162287481
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 08:30:25 BST 2016, end=Sat Jun 04 08:32:25 BST 2016, operations=448.5480316173898, operationsPerMinute=224.2740158086949, mode=normal, start=Sat Jun 04 08:32:27 BST 2016, end=Sat Jun 04 08:36:27 BST 2016, operations=906.083897894603, operationsPerMinute=226.52097447365074
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 08:36:34 BST 2016, end=Sat Jun 04 08:38:34 BST 2016, operations=178.5956837876477, operationsPerMinute=89.29784189382384, mode=normal, start=Sat Jun 04 08:38:41 BST 2016, end=Sat Jun 04 08:42:41 BST 2016, operations=357.971966016606, operationsPerMinute=89.4929915041515
benchmark-name=compress, mod=warmup, start=Sat Jun 04 08:42:49 BST 2016, end=Sat Jun 04 08:44:49 BST 2016, operations=481.9192426155386, operationsPerMinute=240.9596213077693, mode=normal, start=Sat Jun 04 08:44:52 BST 2016, end=Sat Jun 04 08:48:52 BST 2016, operations=968.258831501012, operationsPerMinute=242.064707875253
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 08:48:55 BST 2016, end=Sat Jun 04 08:50:55 BST 2016, operations=127.27706295874677, operationsPerMinute=63.638531479373384, mode=normal, start=Sat Jun 04 08:51:07 BST 2016, end=Sat Jun 04 08:55:07 BST 2016, operations=266.866175958669, operationsPerMinute=66.71654398966724
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 08:55:18 BST 2016, end=Sat Jun 04 08:57:18 BST 2016, operations=226.5826429419093, operationsPerMinute=113.29132147095466, mode=normal, start=Sat Jun 04 08:57:24 BST 2016, end=Sat Jun 04 09:01:24 BST 2016, operations=453.5045600781245, operationsPerMinute=113.37614001953112
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 09:01:30 BST 2016, end=Sat Jun 04 09:03:30 BST 2016, operations=390.98529801406863, operationsPerMinute=195.49264900703432, mode=normal, start=Sat Jun 04 09:03:34 BST 2016, end=Sat Jun 04 09:07:34 BST 2016, operations=784.9384542964599, operationsPerMinute=196.23461357411497
benchmark-name=derby, mod=warmup, start=Sat Jun 04 09:09:10 BST 2016, end=Sat Jun 04 09:11:10 BST 2016, operations=321.4210506211334, operationsPerMinute=160.7105253105667, mode=normal, start=Sat Jun 04 09:11:15 BST 2016, end=Sat Jun 04 09:15:15 BST 2016, operations=637.4107925875586, operationsPerMinute=159.35269814688965
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 09:15:20 BST 2016, end=Sat Jun 04 09:17:20 BST 2016, operations=217.81192247977472, operationsPerMinute=108.90596123988736, mode=normal, start=Sat Jun 04 09:17:26 BST 2016, end=Sat Jun 04 09:21:26 BST 2016, operations=435.8194249224012, operationsPerMinute=108.9548562306003
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 09:21:33 BST 2016, end=Sat Jun 04 09:23:33 BST 2016, operations=91.55775166973498, operationsPerMinute=45.77887583486749, mode=normal, start=Sat Jun 04 09:23:49 BST 2016, end=Sat Jun 04 09:27:49 BST 2016, operations=181.56189615804738, operationsPerMinute=45.390474039511844
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 09:28:01 BST 2016, end=Sat Jun 04 09:30:01 BST 2016, operations=20.7629351296765, operationsPerMinute=10.38146756483825, mode=normal, start=Sat Jun 04 09:30:59 BST 2016, end=Sat Jun 04 09:34:59 BST 2016, operations=41.52004458651961, operationsPerMinute=10.380011146629903
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 09:36:16 BST 2016, end=Sat Jun 04 09:38:16 BST 2016, operations=121.58867904943963, operationsPerMinute=60.79433952471982, mode=normal, start=Sat Jun 04 09:38:29 BST 2016, end=Sat Jun 04 09:42:29 BST 2016, operations=245.45044582649254, operationsPerMinute=61.362611456623135
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 09:42:42 BST 2016, end=Sat Jun 04 09:44:42 BST 2016, operations=63.01727705491257, operationsPerMinute=31.508638527456284, mode=normal, start=Sat Jun 04 09:45:00 BST 2016, end=Sat Jun 04 09:49:00 BST 2016, operations=126.16092926099654, operationsPerMinute=31.540232315249135
benchmark-name=scimark.fft.small, mod=warmup, start=Sat Jun 04 09:49:19 BST 2016, end=Sat Jun 04 09:51:19 BST 2016, operations=823.3269497922905, operationsPerMinute=411.66347489614526, mode=normal, start=Sat Jun 04 09:51:20 BST 2016, end=Sat Jun 04 09:55:20 BST 2016, operations=1643.0580472311576, operationsPerMinute=410.7645118077894
benchmark-name=scimark.lu.small, mod=warmup, start=Sat Jun 04 09:55:22 BST 2016, end=Sat Jun 04 09:57:22 BST 2016, operations=512.5957448694857, operationsPerMinute=256.2978724347428, mode=normal, start=Sat Jun 04 09:57:25 BST 2016, end=Sat Jun 04 10:01:25 BST 2016, operations=1030.4973020520342, operationsPerMinute=257.62432551300856
benchmark-name=scimark.sor.small, mod=warmup, start=Sat Jun 04 10:01:28 BST 2016, end=Sat Jun 04 10:03:28 BST 2016, operations=612.9620607793572, operationsPerMinute=306.4810303896786, mode=normal, start=Sat Jun 04 10:03:31 BST 2016, end=Sat Jun 04 10:07:31 BST 2016, operations=1224.6217609149433, operationsPerMinute=306.1554402287358
benchmark-name=scimark.sparse.small, mod=warmup, start=Sat Jun 04 10:07:34 BST 2016, end=Sat Jun 04 10:09:34 BST 2016, operations=440.32317735739764, operationsPerMinute=220.16158867869882, mode=normal, start=Sat Jun 04 10:09:37 BST 2016, end=Sat Jun 04 10:13:37 BST 2016, operations=867.3388499828593, operationsPerMinute=216.83471249571483
benchmark-name=scimark.monte_carlo, mod=warmup, start=Sat Jun 04 10:13:40 BST 2016, end=Sat Jun 04 10:15:40 BST 2016, operations=151.61955919812473, operationsPerMinute=75.80977959906237, mode=normal, start=Sat Jun 04 10:15:51 BST 2016, end=Sat Jun 04 10:19:51 BST 2016, operations=303.59065548371353, operationsPerMinute=75.89766387092838
benchmark-name=serial, mod=warmup, start=Sat Jun 04 10:20:02 BST 2016, end=Sat Jun 04 10:22:02 BST 2016, operations=223.59745540851418, operationsPerMinute=111.79872770425709, mode=normal, start=Sat Jun 04 10:22:09 BST 2016, end=Sat Jun 04 10:26:09 BST 2016, operations=445.5269453932469, operationsPerMinute=111.38173634831172
benchmark-name=sunflow, mod=warmup, start=Sat Jun 04 10:26:15 BST 2016, end=Sat Jun 04 10:28:15 BST 2016, operations=178.77280517256793, operationsPerMinute=89.38640258628396, mode=normal, start=Sat Jun 04 10:28:18 BST 2016, end=Sat Jun 04 10:32:18 BST 2016, operations=358.12517364009744, operationsPerMinute=89.53129341002436
benchmark-name=xml.transform, mod=warmup, start=Sat Jun 04 10:32:45 BST 2016, end=Sat Jun 04 10:34:45 BST 2016, operations=507.538646186626, operationsPerMinute=253.769323093313, mode=normal, start=Sat Jun 04 10:34:48 BST 2016, end=Sat Jun 04 10:38:48 BST 2016, operations=1012.1520536900834, operationsPerMinute=253.03801342252086
benchmark-name=xml.validation, mod=warmup, start=Sat Jun 04 10:38:51 BST 2016, end=Sat Jun 04 10:40:51 BST 2016, operations=627.6877280538512, operationsPerMinute=313.8438640269256, mode=normal, start=Sat Jun 04 10:40:53 BST 2016, end=Sat Jun 04 10:44:53 BST 2016, operations=1257.9215235135048, operationsPerMinute=314.4803808783762
