spec.jvm2008.report.run.location=BARN-11
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 19 00:38:47 BST 2016, end=Sun Jun 19 00:38:47 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 19 00:38:47 BST 2016, end=Sun Jun 19 00:38:47 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 19 00:38:47 BST 2016, end=Sun Jun 19 00:38:59 BST 2016, operations=1.0, operationsPerMinute=4.783544606553456
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 19 00:38:59 BST 2016, end=Sun Jun 19 00:39:03 BST 2016, operations=1.0, operationsPerMinute=17.725258493353028
benchmark-name=startup.compress, mode=normal, start=Sun Jun 19 00:39:03 BST 2016, end=Sun Jun 19 00:39:04 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 19 00:39:04 BST 2016, end=Sun Jun 19 00:39:12 BST 2016, operations=1.0, operationsPerMinute=7.069635913750441
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 19 00:39:12 BST 2016, end=Sun Jun 19 00:39:20 BST 2016, operations=1.0, operationsPerMinute=7.914523149980214
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 19 00:39:20 BST 2016, end=Sun Jun 19 00:39:27 BST 2016, operations=1.0, operationsPerMinute=8.964589870013446
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 19 00:39:27 BST 2016, end=Sun Jun 19 00:39:29 BST 2016, operations=1.0, operationsPerMinute=26.714158504007123
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 19 00:39:29 BST 2016, end=Sun Jun 19 00:39:30 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 19 00:39:30 BST 2016, end=Sun Jun 19 00:39:31 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 19 00:39:31 BST 2016, end=Sun Jun 19 00:39:36 BST 2016, operations=1.0, operationsPerMinute=10.926971407758149
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 19 00:39:36 BST 2016, end=Sun Jun 19 00:39:38 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 19 00:39:38 BST 2016, end=Sun Jun 19 00:39:39 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Sun Jun 19 00:39:39 BST 2016, end=Sun Jun 19 00:39:41 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 19 00:39:41 BST 2016, end=Sun Jun 19 00:39:47 BST 2016, operations=1.0, operationsPerMinute=9.358914365933552
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 19 00:39:47 BST 2016, end=Sun Jun 19 00:40:07 BST 2016, operations=1.0, operationsPerMinute=2.988345452734336
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 19 00:40:07 BST 2016, end=Sun Jun 19 00:40:08 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 19 00:40:18 BST 2016, end=Sun Jun 19 00:42:18 BST 2016, operations=489.96542517082236, operationsPerMinute=244.98271258541118, mode=normal, start=Sun Jun 19 00:42:20 BST 2016, end=Sun Jun 19 00:46:20 BST 2016, operations=1009.3712947787861, operationsPerMinute=252.34282369469653
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 19 00:46:23 BST 2016, end=Sun Jun 19 00:48:23 BST 2016, operations=198.3334170468795, operationsPerMinute=99.16670852343975, mode=normal, start=Sun Jun 19 00:48:26 BST 2016, end=Sun Jun 19 00:52:26 BST 2016, operations=396.160038072312, operationsPerMinute=99.040009518078
benchmark-name=compress, mod=warmup, start=Sun Jun 19 00:52:30 BST 2016, end=Sun Jun 19 00:54:30 BST 2016, operations=398.3872494121915, operationsPerMinute=199.19362470609576, mode=normal, start=Sun Jun 19 00:54:32 BST 2016, end=Sun Jun 19 00:58:32 BST 2016, operations=798.4708660089594, operationsPerMinute=199.61771650223986
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 19 00:58:34 BST 2016, end=Sun Jun 19 01:00:34 BST 2016, operations=139.71052585154126, operationsPerMinute=69.85526292577063, mode=normal, start=Sun Jun 19 01:00:38 BST 2016, end=Sun Jun 19 01:04:38 BST 2016, operations=292.9185425189637, operationsPerMinute=73.22963562974093
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 19 01:04:45 BST 2016, end=Sun Jun 19 01:06:45 BST 2016, operations=236.72818234085872, operationsPerMinute=118.36409117042936, mode=normal, start=Sun Jun 19 01:06:48 BST 2016, end=Sun Jun 19 01:10:48 BST 2016, operations=470.85267389744376, operationsPerMinute=117.71316847436094
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 19 01:10:51 BST 2016, end=Sun Jun 19 01:12:51 BST 2016, operations=407.0577012034131, operationsPerMinute=203.52885060170655, mode=normal, start=Sun Jun 19 01:12:53 BST 2016, end=Sun Jun 19 01:16:53 BST 2016, operations=814.6039659107975, operationsPerMinute=203.65099147769936
benchmark-name=derby, mod=warmup, start=Sun Jun 19 01:17:15 BST 2016, end=Sun Jun 19 01:19:15 BST 2016, operations=367.83875684030244, operationsPerMinute=183.91937842015122, mode=normal, start=Sun Jun 19 01:19:17 BST 2016, end=Sun Jun 19 01:23:17 BST 2016, operations=732.7936494230257, operationsPerMinute=183.19841235575643
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 19 01:23:19 BST 2016, end=Sun Jun 19 01:25:19 BST 2016, operations=207.73947313132663, operationsPerMinute=103.86973656566332, mode=normal, start=Sun Jun 19 01:25:22 BST 2016, end=Sun Jun 19 01:29:22 BST 2016, operations=416.42552435477216, operationsPerMinute=104.10638108869304
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 19 01:29:26 BST 2016, end=Sun Jun 19 01:31:26 BST 2016, operations=70.92968627114391, operationsPerMinute=35.464843135571954, mode=normal, start=Sun Jun 19 01:31:33 BST 2016, end=Sun Jun 19 01:35:33 BST 2016, operations=140.17294316234276, operationsPerMinute=35.04323579058569
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 19 01:35:39 BST 2016, end=Sun Jun 19 01:37:39 BST 2016, operations=13.894072744407357, operationsPerMinute=6.947036372203678, mode=normal, start=Sun Jun 19 01:38:24 BST 2016, end=Sun Jun 19 01:42:24 BST 2016, operations=27.81596322040714, operationsPerMinute=6.953990805101785
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 19 01:43:01 BST 2016, end=Sun Jun 19 01:45:01 BST 2016, operations=74.37852809738344, operationsPerMinute=37.18926404869172, mode=normal, start=Sun Jun 19 01:45:10 BST 2016, end=Sun Jun 19 01:49:10 BST 2016, operations=149.01288849607434, operationsPerMinute=37.253222124018585
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 19 01:49:23 BST 2016, end=Sun Jun 19 01:51:23 BST 2016, operations=43.052364536010316, operationsPerMinute=21.526182268005158, mode=normal, start=Sun Jun 19 01:51:35 BST 2016, end=Sun Jun 19 01:55:35 BST 2016, operations=85.8112455876063, operationsPerMinute=21.452811396901573
