spec.jvm2008.report.run.location=BARN-14
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jul 01 19:06:27 BST 2016, end=Fri Jul 01 19:06:27 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jul 01 19:06:27 BST 2016, end=Fri Jul 01 19:06:27 BST 2016, operations=1.0, operationsPerMinute=645.1612903225806
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jul 01 19:06:27 BST 2016, end=Fri Jul 01 19:06:41 BST 2016, operations=1.0, operationsPerMinute=4.40560980982451
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jul 01 19:06:41 BST 2016, end=Fri Jul 01 19:06:44 BST 2016, operations=1.0, operationsPerMinute=17.97483523067705
benchmark-name=startup.compress, mode=normal, start=Fri Jul 01 19:06:44 BST 2016, end=Fri Jul 01 19:06:46 BST 2016, operations=1.0, operationsPerMinute=48.701298701298704
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jul 01 19:06:46 BST 2016, end=Fri Jul 01 19:06:54 BST 2016, operations=1.0, operationsPerMinute=7.069635913750441
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jul 01 19:06:54 BST 2016, end=Fri Jul 01 19:07:02 BST 2016, operations=1.0, operationsPerMinute=8.029978586723768
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jul 01 19:07:02 BST 2016, end=Fri Jul 01 19:07:08 BST 2016, operations=1.0, operationsPerMinute=9.20104278484895
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jul 01 19:07:08 BST 2016, end=Fri Jul 01 19:07:10 BST 2016, operations=1.0, operationsPerMinute=26.52519893899204
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jul 01 19:07:10 BST 2016, end=Fri Jul 01 19:07:11 BST 2016, operations=1.0, operationsPerMinute=83.56545961002786
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jul 01 19:07:11 BST 2016, end=Fri Jul 01 19:07:12 BST 2016, operations=1.0, operationsPerMinute=66.3716814159292
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jul 01 19:07:12 BST 2016, end=Fri Jul 01 19:07:18 BST 2016, operations=1.0, operationsPerMinute=10.803024846957149
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jul 01 19:07:18 BST 2016, end=Fri Jul 01 19:07:19 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jul 01 19:07:19 BST 2016, end=Fri Jul 01 19:07:20 BST 2016, operations=1.0, operationsPerMinute=61.09979633401222
benchmark-name=startup.serial, mode=normal, start=Fri Jul 01 19:07:20 BST 2016, end=Fri Jul 01 19:07:22 BST 2016, operations=1.0, operationsPerMinute=28.275212064090482
benchmark-name=startup.sunflow, mode=normal, start=Fri Jul 01 19:07:22 BST 2016, end=Fri Jul 01 19:07:29 BST 2016, operations=1.0, operationsPerMinute=9.357454772301933
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jul 01 19:07:29 BST 2016, end=Fri Jul 01 19:07:49 BST 2016, operations=1.0, operationsPerMinute=2.9769288017861575
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jul 01 19:07:49 BST 2016, end=Fri Jul 01 19:07:49 BST 2016, operations=1.0, operationsPerMinute=75.47169811320755
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jul 01 19:08:00 BST 2016, end=Fri Jul 01 19:10:00 BST 2016, operations=494.83506041714054, operationsPerMinute=247.41753020857027, mode=normal, start=Fri Jul 01 19:10:02 BST 2016, end=Fri Jul 01 19:14:02 BST 2016, operations=980.3949223203116, operationsPerMinute=245.0987305800779
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jul 01 19:14:06 BST 2016, end=Fri Jul 01 19:16:06 BST 2016, operations=197.3092334162306, operationsPerMinute=98.6546167081153, mode=normal, start=Fri Jul 01 19:16:09 BST 2016, end=Fri Jul 01 19:20:09 BST 2016, operations=395.22002018758013, operationsPerMinute=98.80500504689503
benchmark-name=compress, mod=warmup, start=Fri Jul 01 19:20:12 BST 2016, end=Fri Jul 01 19:22:12 BST 2016, operations=399.6963635182161, operationsPerMinute=199.84818175910806, mode=normal, start=Fri Jul 01 19:22:14 BST 2016, end=Fri Jul 01 19:26:14 BST 2016, operations=798.5500254378611, operationsPerMinute=199.63750635946528
benchmark-name=crypto.aes, mod=warmup, start=Fri Jul 01 19:26:15 BST 2016, end=Fri Jul 01 19:28:15 BST 2016, operations=138.67387831591577, operationsPerMinute=69.33693915795789, mode=normal, start=Fri Jul 01 19:28:20 BST 2016, end=Fri Jul 01 19:32:20 BST 2016, operations=294.39915120731024, operationsPerMinute=73.59978780182756
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jul 01 19:32:24 BST 2016, end=Fri Jul 01 19:34:24 BST 2016, operations=234.7457748577568, operationsPerMinute=117.3728874288784, mode=normal, start=Fri Jul 01 19:34:27 BST 2016, end=Fri Jul 01 19:38:27 BST 2016, operations=469.50084252300917, operationsPerMinute=117.37521063075229
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jul 01 19:38:31 BST 2016, end=Fri Jul 01 19:40:31 BST 2016, operations=406.99370326132555, operationsPerMinute=203.49685163066277, mode=normal, start=Fri Jul 01 19:40:33 BST 2016, end=Fri Jul 01 19:44:33 BST 2016, operations=812.0117842060506, operationsPerMinute=203.00294605151265
benchmark-name=derby, mod=warmup, start=Fri Jul 01 19:44:56 BST 2016, end=Fri Jul 01 19:46:56 BST 2016, operations=364.43735366677663, operationsPerMinute=182.21867683338832, mode=normal, start=Fri Jul 01 19:46:58 BST 2016, end=Fri Jul 01 19:50:58 BST 2016, operations=724.6425295630237, operationsPerMinute=181.16063239075592
benchmark-name=mpegaudio, mod=warmup, start=Fri Jul 01 19:51:00 BST 2016, end=Fri Jul 01 19:53:00 BST 2016, operations=207.59437871694348, operationsPerMinute=103.79718935847174, mode=normal, start=Fri Jul 01 19:53:03 BST 2016, end=Fri Jul 01 19:57:03 BST 2016, operations=415.3934440198256, operationsPerMinute=103.8483610049564
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jul 01 19:57:06 BST 2016, end=Fri Jul 01 19:59:06 BST 2016, operations=74.37634154166925, operationsPerMinute=37.188170770834624, mode=normal, start=Fri Jul 01 19:59:14 BST 2016, end=Fri Jul 01 20:03:14 BST 2016, operations=144.90647841497895, operationsPerMinute=36.22661960374474
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jul 01 20:03:21 BST 2016, end=Fri Jul 01 20:05:21 BST 2016, operations=13.92116870847308, operationsPerMinute=6.96058435423654, mode=normal, start=Fri Jul 01 20:06:05 BST 2016, end=Fri Jul 01 20:10:05 BST 2016, operations=27.562164373062423, operationsPerMinute=6.890541093265606
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jul 01 20:10:34 BST 2016, end=Fri Jul 01 20:12:34 BST 2016, operations=74.3281395555338, operationsPerMinute=37.1640697777669, mode=normal, start=Fri Jul 01 20:12:43 BST 2016, end=Fri Jul 01 20:16:43 BST 2016, operations=148.97823844790625, operationsPerMinute=37.24455961197656
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jul 01 20:16:55 BST 2016, end=Fri Jul 01 20:18:55 BST 2016, operations=42.79474774985808, operationsPerMinute=21.39737387492904, mode=normal, start=Fri Jul 01 20:19:07 BST 2016, end=Fri Jul 01 20:23:07 BST 2016, operations=85.52909658126707, operationsPerMinute=21.382274145316767
