spec.jvm2008.report.run.location=GLAZIER09
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-3470S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8066
benchmark-name=check, mode=normal, start=Fri Jun 24 00:22:12 BST 2016, end=Fri Jun 24 00:22:12 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Fri Jun 24 00:22:12 BST 2016, end=Fri Jun 24 00:22:12 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jun 24 00:22:12 BST 2016, end=Fri Jun 24 00:22:29 BST 2016, operations=1.0, operationsPerMinute=3.525264394829612
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jun 24 00:22:29 BST 2016, end=Fri Jun 24 00:22:33 BST 2016, operations=1.0, operationsPerMinute=14.792899408284024
benchmark-name=startup.compress, mode=normal, start=Fri Jun 24 00:22:33 BST 2016, end=Fri Jun 24 00:22:35 BST 2016, operations=1.0, operationsPerMinute=43.731778425655975
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jun 24 00:22:35 BST 2016, end=Fri Jun 24 00:22:44 BST 2016, operations=1.0, operationsPerMinute=6.643046944198406
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jun 24 00:22:44 BST 2016, end=Fri Jun 24 00:22:52 BST 2016, operations=1.0, operationsPerMinute=7.785130400934215
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jun 24 00:22:52 BST 2016, end=Fri Jun 24 00:22:58 BST 2016, operations=1.0, operationsPerMinute=8.862629246676514
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jun 24 00:22:58 BST 2016, end=Fri Jun 24 00:23:01 BST 2016, operations=1.0, operationsPerMinute=21.84996358339403
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jun 24 00:23:01 BST 2016, end=Fri Jun 24 00:23:02 BST 2016, operations=1.0, operationsPerMinute=67.49156355455568
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jun 24 00:23:02 BST 2016, end=Fri Jun 24 00:23:03 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jun 24 00:23:03 BST 2016, end=Fri Jun 24 00:23:09 BST 2016, operations=1.0, operationsPerMinute=9.912440112340988
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jun 24 00:23:09 BST 2016, end=Fri Jun 24 00:23:11 BST 2016, operations=1.0, operationsPerMinute=38.86010362694301
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jun 24 00:23:11 BST 2016, end=Fri Jun 24 00:23:12 BST 2016, operations=1.0, operationsPerMinute=52.67778753292362
benchmark-name=startup.serial, mode=normal, start=Fri Jun 24 00:23:12 BST 2016, end=Fri Jun 24 00:23:14 BST 2016, operations=1.0, operationsPerMinute=23.31002331002331
benchmark-name=startup.sunflow, mode=normal, start=Fri Jun 24 00:23:14 BST 2016, end=Fri Jun 24 00:23:21 BST 2016, operations=1.0, operationsPerMinute=8.987417615338526
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jun 24 00:23:21 BST 2016, end=Fri Jun 24 00:23:45 BST 2016, operations=1.0, operationsPerMinute=2.5056376847907793
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jun 24 00:23:45 BST 2016, end=Fri Jun 24 00:23:46 BST 2016, operations=1.0, operationsPerMinute=54.94505494505494
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jun 24 00:23:59 BST 2016, end=Fri Jun 24 00:25:59 BST 2016, operations=410.1388776426052, operationsPerMinute=205.0694388213026, mode=normal, start=Fri Jun 24 00:26:01 BST 2016, end=Fri Jun 24 00:30:01 BST 2016, operations=825.2820061971988, operationsPerMinute=206.3205015492997
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jun 24 00:30:06 BST 2016, end=Fri Jun 24 00:32:06 BST 2016, operations=165.14507562906263, operationsPerMinute=82.57253781453132, mode=normal, start=Fri Jun 24 00:32:11 BST 2016, end=Fri Jun 24 00:36:11 BST 2016, operations=325.3894064478392, operationsPerMinute=81.3473516119598
benchmark-name=compress, mod=warmup, start=Fri Jun 24 00:36:15 BST 2016, end=Fri Jun 24 00:38:15 BST 2016, operations=351.6524497922341, operationsPerMinute=175.82622489611705, mode=normal, start=Fri Jun 24 00:38:18 BST 2016, end=Fri Jun 24 00:42:18 BST 2016, operations=704.2069905534248, operationsPerMinute=176.0517476383562
benchmark-name=crypto.aes, mod=warmup, start=Fri Jun 24 00:42:20 BST 2016, end=Fri Jun 24 00:44:20 BST 2016, operations=116.45342405992795, operationsPerMinute=58.22671202996398, mode=normal, start=Fri Jun 24 00:44:26 BST 2016, end=Fri Jun 24 00:48:26 BST 2016, operations=245.93710091587118, operationsPerMinute=61.484275228967796
benchmark-name=crypto.rsa, mod=warmup, start=Fri Jun 24 00:48:33 BST 2016, end=Fri Jun 24 00:50:33 BST 2016, operations=208.24147144781978, operationsPerMinute=104.12073572390989, mode=normal, start=Fri Jun 24 00:50:37 BST 2016, end=Fri Jun 24 00:54:37 BST 2016, operations=417.07815562529515, operationsPerMinute=104.26953890632379
benchmark-name=crypto.signverify, mod=warmup, start=Fri Jun 24 00:54:41 BST 2016, end=Fri Jun 24 00:56:41 BST 2016, operations=353.70670757106586, operationsPerMinute=176.85335378553293, mode=normal, start=Fri Jun 24 00:56:43 BST 2016, end=Fri Jun 24 01:00:43 BST 2016, operations=705.4028372205913, operationsPerMinute=176.35070930514783
benchmark-name=derby, mod=warmup, start=Fri Jun 24 01:01:53 BST 2016, end=Fri Jun 24 01:03:53 BST 2016, operations=260.1219078943316, operationsPerMinute=130.0609539471658, mode=normal, start=Fri Jun 24 01:03:56 BST 2016, end=Fri Jun 24 01:07:56 BST 2016, operations=521.3944491816403, operationsPerMinute=130.34861229541008
benchmark-name=mpegaudio, mod=warmup, start=Fri Jun 24 01:07:59 BST 2016, end=Fri Jun 24 01:09:59 BST 2016, operations=172.90376808582485, operationsPerMinute=86.45188404291243, mode=normal, start=Fri Jun 24 01:10:04 BST 2016, end=Fri Jun 24 01:14:04 BST 2016, operations=347.6443379993181, operationsPerMinute=86.91108449982953
benchmark-name=scimark.fft.large, mod=warmup, start=Fri Jun 24 01:14:08 BST 2016, end=Fri Jun 24 01:16:08 BST 2016, operations=96.97869185346673, operationsPerMinute=48.489345926733364, mode=normal, start=Fri Jun 24 01:16:14 BST 2016, end=Fri Jun 24 01:20:14 BST 2016, operations=193.27624849027654, operationsPerMinute=48.319062122569136
benchmark-name=scimark.lu.large, mod=warmup, start=Fri Jun 24 01:20:19 BST 2016, end=Fri Jun 24 01:22:19 BST 2016, operations=21.625498898685986, operationsPerMinute=10.812749449342993, mode=normal, start=Fri Jun 24 01:22:48 BST 2016, end=Fri Jun 24 01:26:48 BST 2016, operations=43.16763964614031, operationsPerMinute=10.791909911535077
benchmark-name=scimark.sor.large, mod=warmup, start=Fri Jun 24 01:27:15 BST 2016, end=Fri Jun 24 01:29:15 BST 2016, operations=69.417204446378, operationsPerMinute=34.708602223189, mode=normal, start=Fri Jun 24 01:29:27 BST 2016, end=Fri Jun 24 01:33:27 BST 2016, operations=139.3975292546048, operationsPerMinute=34.8493823136512
benchmark-name=scimark.sparse.large, mod=warmup, start=Fri Jun 24 01:33:36 BST 2016, end=Fri Jun 24 01:35:36 BST 2016, operations=72.41545506177668, operationsPerMinute=36.20772753088834, mode=normal, start=Fri Jun 24 01:35:46 BST 2016, end=Fri Jun 24 01:39:46 BST 2016, operations=144.83448421214925, operationsPerMinute=36.20862105303731
