spec.jvm2008.report.run.location=LEAZESTCE012
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jun 27 05:43:02 BST 2016, end=Mon Jun 27 05:43:02 BST 2016, operations=1.0, operationsPerMinute=1935.483870967742
benchmark-name=startup.helloworld, mode=normal, start=Mon Jun 27 05:43:02 BST 2016, end=Mon Jun 27 05:43:02 BST 2016, operations=1.0, operationsPerMinute=550.4587155963303
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jun 27 05:43:02 BST 2016, end=Mon Jun 27 05:43:15 BST 2016, operations=1.0, operationsPerMinute=4.667444574095683
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jun 27 05:43:15 BST 2016, end=Mon Jun 27 05:43:18 BST 2016, operations=1.0, operationsPerMinute=18.231540565177756
benchmark-name=startup.compress, mode=normal, start=Mon Jun 27 05:43:18 BST 2016, end=Mon Jun 27 05:43:20 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jun 27 05:43:20 BST 2016, end=Mon Jun 27 05:43:28 BST 2016, operations=1.0, operationsPerMinute=7.082989021367017
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jun 27 05:43:28 BST 2016, end=Mon Jun 27 05:43:36 BST 2016, operations=1.0, operationsPerMinute=7.962840079628401
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jun 27 05:43:36 BST 2016, end=Mon Jun 27 05:43:42 BST 2016, operations=1.0, operationsPerMinute=9.223674096848578
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jun 27 05:43:42 BST 2016, end=Mon Jun 27 05:43:44 BST 2016, operations=1.0, operationsPerMinute=26.7022696929239
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jun 27 05:43:44 BST 2016, end=Mon Jun 27 05:43:45 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jun 27 05:43:45 BST 2016, end=Mon Jun 27 05:43:46 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jun 27 05:43:46 BST 2016, end=Mon Jun 27 05:43:51 BST 2016, operations=1.0, operationsPerMinute=10.989010989010989
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jun 27 05:43:51 BST 2016, end=Mon Jun 27 05:43:53 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jun 27 05:43:53 BST 2016, end=Mon Jun 27 05:43:54 BST 2016, operations=1.0, operationsPerMinute=62.047569803516026
benchmark-name=startup.serial, mode=normal, start=Mon Jun 27 05:43:54 BST 2016, end=Mon Jun 27 05:43:56 BST 2016, operations=1.0, operationsPerMinute=28.91566265060241
benchmark-name=startup.sunflow, mode=normal, start=Mon Jun 27 05:43:56 BST 2016, end=Mon Jun 27 05:44:02 BST 2016, operations=1.0, operationsPerMinute=9.358914365933552
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jun 27 05:44:02 BST 2016, end=Mon Jun 27 05:44:23 BST 2016, operations=1.0, operationsPerMinute=2.904865649963689
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jun 27 05:44:23 BST 2016, end=Mon Jun 27 05:44:24 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jun 27 05:44:34 BST 2016, end=Mon Jun 27 05:46:34 BST 2016, operations=495.14317900190275, operationsPerMinute=247.57158950095138, mode=normal, start=Mon Jun 27 05:46:35 BST 2016, end=Mon Jun 27 05:50:35 BST 2016, operations=999.1111563464932, operationsPerMinute=249.7777890866233
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jun 27 05:50:39 BST 2016, end=Mon Jun 27 05:52:39 BST 2016, operations=189.3782543663858, operationsPerMinute=94.6891271831929, mode=normal, start=Mon Jun 27 05:52:43 BST 2016, end=Mon Jun 27 05:56:43 BST 2016, operations=373.2206792191365, operationsPerMinute=93.30516980478413
benchmark-name=compress, mod=warmup, start=Mon Jun 27 05:56:46 BST 2016, end=Mon Jun 27 05:58:46 BST 2016, operations=398.35857192809436, operationsPerMinute=199.17928596404718, mode=normal, start=Mon Jun 27 05:58:48 BST 2016, end=Mon Jun 27 06:02:48 BST 2016, operations=795.5066779651022, operationsPerMinute=198.87666949127555
benchmark-name=crypto.aes, mod=warmup, start=Mon Jun 27 06:02:50 BST 2016, end=Mon Jun 27 06:04:50 BST 2016, operations=136.79867581197294, operationsPerMinute=68.39933790598647, mode=normal, start=Mon Jun 27 06:04:56 BST 2016, end=Mon Jun 27 06:08:56 BST 2016, operations=291.08429671813315, operationsPerMinute=72.77107417953329
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jun 27 06:08:59 BST 2016, end=Mon Jun 27 06:10:59 BST 2016, operations=235.42637756375885, operationsPerMinute=117.71318878187942, mode=normal, start=Mon Jun 27 06:11:02 BST 2016, end=Mon Jun 27 06:15:02 BST 2016, operations=470.9352016967928, operationsPerMinute=117.7338004241982
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jun 27 06:15:06 BST 2016, end=Mon Jun 27 06:17:06 BST 2016, operations=407.6176215390381, operationsPerMinute=203.80881076951906, mode=normal, start=Mon Jun 27 06:17:08 BST 2016, end=Mon Jun 27 06:21:08 BST 2016, operations=815.4273504273505, operationsPerMinute=203.85683760683762
benchmark-name=derby, mod=warmup, start=Mon Jun 27 06:21:30 BST 2016, end=Mon Jun 27 06:23:30 BST 2016, operations=350.3943518057644, operationsPerMinute=175.1971759028822, mode=normal, start=Mon Jun 27 06:23:33 BST 2016, end=Mon Jun 27 06:27:33 BST 2016, operations=697.0282601695062, operationsPerMinute=174.25706504237655
benchmark-name=mpegaudio, mod=warmup, start=Mon Jun 27 06:27:35 BST 2016, end=Mon Jun 27 06:29:35 BST 2016, operations=207.75274700159872, operationsPerMinute=103.87637350079936, mode=normal, start=Mon Jun 27 06:29:39 BST 2016, end=Mon Jun 27 06:33:39 BST 2016, operations=416.0022219847656, operationsPerMinute=104.0005554961914
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jun 27 06:33:42 BST 2016, end=Mon Jun 27 06:35:42 BST 2016, operations=71.78317681625494, operationsPerMinute=35.89158840812747, mode=normal, start=Mon Jun 27 06:35:49 BST 2016, end=Mon Jun 27 06:39:49 BST 2016, operations=151.9982805189148, operationsPerMinute=37.9995701297287
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jun 27 06:39:57 BST 2016, end=Mon Jun 27 06:41:57 BST 2016, operations=13.914385485569998, operationsPerMinute=6.957192742784999, mode=normal, start=Mon Jun 27 06:42:41 BST 2016, end=Mon Jun 27 06:46:41 BST 2016, operations=27.59338085956295, operationsPerMinute=6.898345214890737
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jun 27 06:47:19 BST 2016, end=Mon Jun 27 06:49:19 BST 2016, operations=74.63975545570568, operationsPerMinute=37.31987772785284, mode=normal, start=Mon Jun 27 06:49:28 BST 2016, end=Mon Jun 27 06:53:28 BST 2016, operations=149.1262739338808, operationsPerMinute=37.2815684834702
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jun 27 06:53:37 BST 2016, end=Mon Jun 27 06:55:37 BST 2016, operations=43.02665110005662, operationsPerMinute=21.51332555002831, mode=normal, start=Mon Jun 27 06:55:48 BST 2016, end=Mon Jun 27 06:59:48 BST 2016, operations=85.83590747822433, operationsPerMinute=21.458976869556082
