spec.jvm2008.report.run.location=PERCY002
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sun Jun 26 10:42:43 BST 2016, end=Sun Jun 26 10:42:43 BST 2016, operations=1.0, operationsPerMinute=1276.595744680851
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 26 10:42:43 BST 2016, end=Sun Jun 26 10:42:43 BST 2016, operations=1.0, operationsPerMinute=483.8709677419355
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 26 10:42:43 BST 2016, end=Sun Jun 26 10:42:56 BST 2016, operations=1.0, operationsPerMinute=4.614674665436087
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 26 10:42:56 BST 2016, end=Sun Jun 26 10:43:00 BST 2016, operations=1.0, operationsPerMinute=17.905102954341988
benchmark-name=startup.compress, mode=normal, start=Sun Jun 26 10:43:00 BST 2016, end=Sun Jun 26 10:43:01 BST 2016, operations=1.0, operationsPerMinute=46.36785162287481
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 26 10:43:01 BST 2016, end=Sun Jun 26 10:43:10 BST 2016, operations=1.0, operationsPerMinute=6.972690296339338
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 26 10:43:10 BST 2016, end=Sun Jun 26 10:43:17 BST 2016, operations=1.0, operationsPerMinute=7.968127490039841
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 26 10:43:17 BST 2016, end=Sun Jun 26 10:43:24 BST 2016, operations=1.0, operationsPerMinute=9.014423076923077
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 26 10:43:24 BST 2016, end=Sun Jun 26 10:43:26 BST 2016, operations=1.0, operationsPerMinute=26.7260579064588
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 26 10:43:26 BST 2016, end=Sun Jun 26 10:43:27 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 26 10:43:27 BST 2016, end=Sun Jun 26 10:43:28 BST 2016, operations=1.0, operationsPerMinute=66.3716814159292
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 26 10:43:28 BST 2016, end=Sun Jun 26 10:43:33 BST 2016, operations=1.0, operationsPerMinute=10.964912280701755
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 26 10:43:33 BST 2016, end=Sun Jun 26 10:43:35 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 26 10:43:35 BST 2016, end=Sun Jun 26 10:43:36 BST 2016, operations=1.0, operationsPerMinute=62.11180124223603
benchmark-name=startup.serial, mode=normal, start=Sun Jun 26 10:43:36 BST 2016, end=Sun Jun 26 10:43:38 BST 2016, operations=1.0, operationsPerMinute=28.517110266159698
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 26 10:43:38 BST 2016, end=Sun Jun 26 10:43:44 BST 2016, operations=1.0, operationsPerMinute=9.229349330872173
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 26 10:43:44 BST 2016, end=Sun Jun 26 10:44:04 BST 2016, operations=1.0, operationsPerMinute=2.9835902536051715
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 26 10:44:04 BST 2016, end=Sun Jun 26 10:44:05 BST 2016, operations=1.0, operationsPerMinute=74.07407407407408
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 26 10:44:15 BST 2016, end=Sun Jun 26 10:46:15 BST 2016, operations=475.99091148027424, operationsPerMinute=237.99545574013712, mode=normal, start=Sun Jun 26 10:46:16 BST 2016, end=Sun Jun 26 10:50:16 BST 2016, operations=993.8635561204562, operationsPerMinute=248.46588903011406
benchmark-name=compiler.sunflow, mod=warmup, start=Sun Jun 26 10:50:20 BST 2016, end=Sun Jun 26 10:52:20 BST 2016, operations=200.02293537468717, operationsPerMinute=100.01146768734358, mode=normal, start=Sun Jun 26 10:52:23 BST 2016, end=Sun Jun 26 10:56:23 BST 2016, operations=395.73662100941056, operationsPerMinute=98.93415525235264
benchmark-name=compress, mod=warmup, start=Sun Jun 26 10:56:27 BST 2016, end=Sun Jun 26 10:58:27 BST 2016, operations=399.41493142731184, operationsPerMinute=199.70746571365592, mode=normal, start=Sun Jun 26 10:58:29 BST 2016, end=Sun Jun 26 11:02:29 BST 2016, operations=798.7377817529799, operationsPerMinute=199.68444543824498
benchmark-name=crypto.aes, mod=warmup, start=Sun Jun 26 11:02:31 BST 2016, end=Sun Jun 26 11:04:31 BST 2016, operations=138.90028238214688, operationsPerMinute=69.45014119107344, mode=normal, start=Sun Jun 26 11:04:36 BST 2016, end=Sun Jun 26 11:08:36 BST 2016, operations=293.34263063956666, operationsPerMinute=73.33565765989167
benchmark-name=crypto.rsa, mod=warmup, start=Sun Jun 26 11:08:41 BST 2016, end=Sun Jun 26 11:10:41 BST 2016, operations=237.63806129667276, operationsPerMinute=118.81903064833638, mode=normal, start=Sun Jun 26 11:10:44 BST 2016, end=Sun Jun 26 11:14:44 BST 2016, operations=473.79636845416616, operationsPerMinute=118.44909211354154
benchmark-name=crypto.signverify, mod=warmup, start=Sun Jun 26 11:14:46 BST 2016, end=Sun Jun 26 11:16:46 BST 2016, operations=406.5164028053498, operationsPerMinute=203.2582014026749, mode=normal, start=Sun Jun 26 11:16:48 BST 2016, end=Sun Jun 26 11:20:48 BST 2016, operations=810.6391919415906, operationsPerMinute=202.65979798539766
benchmark-name=derby, mod=warmup, start=Sun Jun 26 11:21:11 BST 2016, end=Sun Jun 26 11:23:11 BST 2016, operations=364.46588157608795, operationsPerMinute=182.23294078804398, mode=normal, start=Sun Jun 26 11:23:13 BST 2016, end=Sun Jun 26 11:27:13 BST 2016, operations=726.148142732171, operationsPerMinute=181.53703568304275
benchmark-name=mpegaudio, mod=warmup, start=Sun Jun 26 11:27:15 BST 2016, end=Sun Jun 26 11:29:15 BST 2016, operations=207.60535705217197, operationsPerMinute=103.80267852608598, mode=normal, start=Sun Jun 26 11:29:19 BST 2016, end=Sun Jun 26 11:33:19 BST 2016, operations=415.58313071914796, operationsPerMinute=103.89578267978699
benchmark-name=scimark.fft.large, mod=warmup, start=Sun Jun 26 11:33:23 BST 2016, end=Sun Jun 26 11:35:23 BST 2016, operations=77.4923254015008, operationsPerMinute=38.7461627007504, mode=normal, start=Sun Jun 26 11:35:31 BST 2016, end=Sun Jun 26 11:39:31 BST 2016, operations=152.73664535579584, operationsPerMinute=38.18416133894896
benchmark-name=scimark.lu.large, mod=warmup, start=Sun Jun 26 11:39:41 BST 2016, end=Sun Jun 26 11:41:41 BST 2016, operations=13.925335078020192, operationsPerMinute=6.962667539010096, mode=normal, start=Sun Jun 26 11:42:24 BST 2016, end=Sun Jun 26 11:46:24 BST 2016, operations=27.66424463854933, operationsPerMinute=6.916061159637333
benchmark-name=scimark.sor.large, mod=warmup, start=Sun Jun 26 11:47:02 BST 2016, end=Sun Jun 26 11:49:02 BST 2016, operations=74.69577497869238, operationsPerMinute=37.34788748934619, mode=normal, start=Sun Jun 26 11:49:10 BST 2016, end=Sun Jun 26 11:53:10 BST 2016, operations=149.3826322785153, operationsPerMinute=37.345658069628826
benchmark-name=scimark.sparse.large, mod=warmup, start=Sun Jun 26 11:53:20 BST 2016, end=Sun Jun 26 11:55:20 BST 2016, operations=43.09714228690862, operationsPerMinute=21.54857114345431, mode=normal, start=Sun Jun 26 11:55:30 BST 2016, end=Sun Jun 26 11:59:30 BST 2016, operations=86.25620971486637, operationsPerMinute=21.564052428716593
