spec.jvm2008.report.run.location=LEAZESTCE011
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Mon Jun 27 05:42:35 BST 2016, end=Mon Jun 27 05:42:35 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Mon Jun 27 05:42:35 BST 2016, end=Mon Jun 27 05:42:35 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Mon Jun 27 05:42:35 BST 2016, end=Mon Jun 27 05:42:48 BST 2016, operations=1.0, operationsPerMinute=4.707728520988623
benchmark-name=startup.compiler.sunflow, mode=normal, start=Mon Jun 27 05:42:48 BST 2016, end=Mon Jun 27 05:42:51 BST 2016, operations=1.0, operationsPerMinute=18.404907975460123
benchmark-name=startup.compress, mode=normal, start=Mon Jun 27 05:42:51 BST 2016, end=Mon Jun 27 05:42:53 BST 2016, operations=1.0, operationsPerMinute=48.07692307692308
benchmark-name=startup.crypto.aes, mode=normal, start=Mon Jun 27 05:42:53 BST 2016, end=Mon Jun 27 05:43:01 BST 2016, operations=1.0, operationsPerMinute=7.09639266706091
benchmark-name=startup.crypto.rsa, mode=normal, start=Mon Jun 27 05:43:01 BST 2016, end=Mon Jun 27 05:43:09 BST 2016, operations=1.0, operationsPerMinute=8.012820512820513
benchmark-name=startup.crypto.signverify, mode=normal, start=Mon Jun 27 05:43:09 BST 2016, end=Mon Jun 27 05:43:15 BST 2016, operations=1.0, operationsPerMinute=9.007656508031827
benchmark-name=startup.mpegaudio, mode=normal, start=Mon Jun 27 05:43:15 BST 2016, end=Mon Jun 27 05:43:17 BST 2016, operations=1.0, operationsPerMinute=26.7022696929239
benchmark-name=startup.scimark.fft, mode=normal, start=Mon Jun 27 05:43:17 BST 2016, end=Mon Jun 27 05:43:18 BST 2016, operations=1.0, operationsPerMinute=83.68200836820084
benchmark-name=startup.scimark.lu, mode=normal, start=Mon Jun 27 05:43:18 BST 2016, end=Mon Jun 27 05:43:19 BST 2016, operations=1.0, operationsPerMinute=66.29834254143647
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Mon Jun 27 05:43:19 BST 2016, end=Mon Jun 27 05:43:25 BST 2016, operations=1.0, operationsPerMinute=10.926971407758149
benchmark-name=startup.scimark.sor, mode=normal, start=Mon Jun 27 05:43:25 BST 2016, end=Mon Jun 27 05:43:26 BST 2016, operations=1.0, operationsPerMinute=42.73504273504273
benchmark-name=startup.scimark.sparse, mode=normal, start=Mon Jun 27 05:43:26 BST 2016, end=Mon Jun 27 05:43:27 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Mon Jun 27 05:43:27 BST 2016, end=Mon Jun 27 05:43:29 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Mon Jun 27 05:43:29 BST 2016, end=Mon Jun 27 05:43:35 BST 2016, operations=1.0, operationsPerMinute=9.428032683846638
benchmark-name=startup.xml.transform, mode=normal, start=Mon Jun 27 05:43:35 BST 2016, end=Mon Jun 27 05:43:57 BST 2016, operations=1.0, operationsPerMinute=2.720101550457884
benchmark-name=startup.xml.validation, mode=normal, start=Mon Jun 27 05:43:57 BST 2016, end=Mon Jun 27 05:43:58 BST 2016, operations=1.0, operationsPerMinute=73.98273736128236
benchmark-name=compiler.compiler, mod=warmup, start=Mon Jun 27 05:44:09 BST 2016, end=Mon Jun 27 05:46:09 BST 2016, operations=487.4889897786186, operationsPerMinute=243.7444948893093, mode=normal, start=Mon Jun 27 05:46:10 BST 2016, end=Mon Jun 27 05:50:10 BST 2016, operations=1003.30898291268, operationsPerMinute=250.82724572817
benchmark-name=compiler.sunflow, mod=warmup, start=Mon Jun 27 05:50:14 BST 2016, end=Mon Jun 27 05:52:14 BST 2016, operations=196.62182946420387, operationsPerMinute=98.31091473210193, mode=normal, start=Mon Jun 27 05:52:17 BST 2016, end=Mon Jun 27 05:56:17 BST 2016, operations=389.7637503053561, operationsPerMinute=97.44093757633902
benchmark-name=compress, mod=warmup, start=Mon Jun 27 05:56:21 BST 2016, end=Mon Jun 27 05:58:21 BST 2016, operations=400.0229627321636, operationsPerMinute=200.0114813660818, mode=normal, start=Mon Jun 27 05:58:23 BST 2016, end=Mon Jun 27 06:02:23 BST 2016, operations=801.6570021934899, operationsPerMinute=200.41425054837248
benchmark-name=crypto.aes, mod=warmup, start=Mon Jun 27 06:02:25 BST 2016, end=Mon Jun 27 06:04:25 BST 2016, operations=132.7393651300515, operationsPerMinute=66.36968256502576, mode=normal, start=Mon Jun 27 06:04:30 BST 2016, end=Mon Jun 27 06:08:30 BST 2016, operations=292.0497371796782, operationsPerMinute=73.01243429491954
benchmark-name=crypto.rsa, mod=warmup, start=Mon Jun 27 06:08:35 BST 2016, end=Mon Jun 27 06:10:35 BST 2016, operations=232.4392840549552, operationsPerMinute=116.2196420274776, mode=normal, start=Mon Jun 27 06:10:39 BST 2016, end=Mon Jun 27 06:14:39 BST 2016, operations=469.1908572878986, operationsPerMinute=117.29771432197465
benchmark-name=crypto.signverify, mod=warmup, start=Mon Jun 27 06:14:42 BST 2016, end=Mon Jun 27 06:16:42 BST 2016, operations=404.6318105171538, operationsPerMinute=202.3159052585769, mode=normal, start=Mon Jun 27 06:16:44 BST 2016, end=Mon Jun 27 06:20:44 BST 2016, operations=812.8371198315615, operationsPerMinute=203.20927995789037
benchmark-name=derby, mod=warmup, start=Mon Jun 27 06:21:07 BST 2016, end=Mon Jun 27 06:23:07 BST 2016, operations=346.7104705994592, operationsPerMinute=173.3552352997296, mode=normal, start=Mon Jun 27 06:23:09 BST 2016, end=Mon Jun 27 06:27:09 BST 2016, operations=721.6443371036969, operationsPerMinute=180.41108427592422
benchmark-name=mpegaudio, mod=warmup, start=Mon Jun 27 06:27:11 BST 2016, end=Mon Jun 27 06:29:11 BST 2016, operations=207.79882778963838, operationsPerMinute=103.89941389481919, mode=normal, start=Mon Jun 27 06:29:15 BST 2016, end=Mon Jun 27 06:33:15 BST 2016, operations=416.92987656197977, operationsPerMinute=104.23246914049494
benchmark-name=scimark.fft.large, mod=warmup, start=Mon Jun 27 06:33:19 BST 2016, end=Mon Jun 27 06:35:19 BST 2016, operations=79.5349615106634, operationsPerMinute=39.7674807553317, mode=normal, start=Mon Jun 27 06:35:24 BST 2016, end=Mon Jun 27 06:39:24 BST 2016, operations=150.53550390708259, operationsPerMinute=37.633875976770646
benchmark-name=scimark.lu.large, mod=warmup, start=Mon Jun 27 06:39:33 BST 2016, end=Mon Jun 27 06:41:33 BST 2016, operations=13.920460500631815, operationsPerMinute=6.960230250315908, mode=normal, start=Mon Jun 27 06:42:16 BST 2016, end=Mon Jun 27 06:46:16 BST 2016, operations=27.82448842941206, operationsPerMinute=6.956122107353015
benchmark-name=scimark.sor.large, mod=warmup, start=Mon Jun 27 06:46:52 BST 2016, end=Mon Jun 27 06:48:52 BST 2016, operations=74.3866586680891, operationsPerMinute=37.19332933404455, mode=normal, start=Mon Jun 27 06:49:01 BST 2016, end=Mon Jun 27 06:53:01 BST 2016, operations=149.4634459004758, operationsPerMinute=37.36586147511895
benchmark-name=scimark.sparse.large, mod=warmup, start=Mon Jun 27 06:53:12 BST 2016, end=Mon Jun 27 06:55:12 BST 2016, operations=42.96074721927417, operationsPerMinute=21.480373609637084, mode=normal, start=Mon Jun 27 06:55:23 BST 2016, end=Mon Jun 27 06:59:23 BST 2016, operations=85.84507404867153, operationsPerMinute=21.461268512167884
