spec.jvm2008.report.run.location=KRC028
spec.jvm2008.report.hw.cpu.name=n/a
spec.jvm2008.report.hw.number.of.cores=n/a
spec.jvm2008.report.hw.memory.size=n/a
benchmark-name=check, mode=normal, start=Thu May 26 14:19:10 BST 2016, end=Thu May 26 14:19:10 BST 2016, operations=1.0, operationsPerMinute=545.4545454545455
benchmark-name=startup.helloworld, mode=normal, start=Thu May 26 14:19:10 BST 2016, end=Thu May 26 14:19:11 BST 2016, operations=1.0, operationsPerMinute=106.95187165775401
benchmark-name=startup.compiler.compiler, mode=normal, start=Thu May 26 14:19:11 BST 2016, end=Thu May 26 14:19:31 BST 2016, operations=1.0, operationsPerMinute=2.935995302407516
benchmark-name=startup.compiler.sunflow, mode=normal, start=Thu May 26 14:19:31 BST 2016, end=Thu May 26 14:19:35 BST 2016, operations=1.0, operationsPerMinute=14.513788098693759
benchmark-name=startup.compress, mode=normal, start=Thu May 26 14:19:35 BST 2016, end=Thu May 26 14:19:37 BST 2016, operations=1.0, operationsPerMinute=43.196544276457885
benchmark-name=startup.crypto.aes, mode=normal, start=Thu May 26 14:19:37 BST 2016, end=Thu May 26 14:19:46 BST 2016, operations=1.0, operationsPerMinute=6.643046944198406
benchmark-name=startup.crypto.rsa, mode=normal, start=Thu May 26 14:19:46 BST 2016, end=Thu May 26 14:19:54 BST 2016, operations=1.0, operationsPerMinute=7.7539415869733785
benchmark-name=startup.crypto.signverify, mode=normal, start=Thu May 26 14:19:54 BST 2016, end=Thu May 26 14:20:00 BST 2016, operations=1.0, operationsPerMinute=8.782201405152225
benchmark-name=startup.mpegaudio, mode=normal, start=Thu May 26 14:20:00 BST 2016, end=Thu May 26 14:20:03 BST 2016, operations=1.0, operationsPerMinute=24.03846153846154
benchmark-name=startup.scimark.fft, mode=normal, start=Thu May 26 14:20:03 BST 2016, end=Thu May 26 14:20:04 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=startup.scimark.lu, mode=normal, start=Thu May 26 14:20:04 BST 2016, end=Thu May 26 14:20:05 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Thu May 26 14:20:05 BST 2016, end=Thu May 26 14:20:10 BST 2016, operations=1.0, operationsPerMinute=10.509721492380452
benchmark-name=startup.scimark.sor, mode=normal, start=Thu May 26 14:20:10 BST 2016, end=Thu May 26 14:20:12 BST 2016, operations=1.0, operationsPerMinute=38.83495145631068
benchmark-name=startup.scimark.sparse, mode=normal, start=Thu May 26 14:20:12 BST 2016, end=Thu May 26 14:20:13 BST 2016, operations=1.0, operationsPerMinute=55.762081784386616
benchmark-name=startup.serial, mode=normal, start=Thu May 26 14:20:13 BST 2016, end=Thu May 26 14:20:15 BST 2016, operations=1.0, operationsPerMinute=25.305778152678194
benchmark-name=startup.sunflow, mode=normal, start=Thu May 26 14:20:15 BST 2016, end=Thu May 26 14:20:22 BST 2016, operations=1.0, operationsPerMinute=8.741258741258742
benchmark-name=startup.xml.transform, mode=normal, start=Thu May 26 14:20:22 BST 2016, end=Thu May 26 14:20:45 BST 2016, operations=1.0, operationsPerMinute=2.6616981634282673
benchmark-name=startup.xml.validation, mode=normal, start=Thu May 26 14:20:45 BST 2016, end=Thu May 26 14:20:46 BST 2016, operations=1.0, operationsPerMinute=58.25242718446602
benchmark-name=compiler.compiler, mod=warmup, start=Thu May 26 14:20:59 BST 2016, end=Thu May 26 14:22:59 BST 2016, operations=454.5251212596913, operationsPerMinute=227.26256062984564, mode=normal, start=Thu May 26 14:23:00 BST 2016, end=Thu May 26 14:27:00 BST 2016, operations=947.006759760289, operationsPerMinute=236.75168994007225
benchmark-name=compiler.sunflow, mod=warmup, start=Thu May 26 14:27:05 BST 2016, end=Thu May 26 14:29:05 BST 2016, operations=120.56344418905489, operationsPerMinute=60.281722094527446, mode=normal, start=Thu May 26 14:29:11 BST 2016, end=Thu May 26 14:33:11 BST 2016, operations=339.6534629964742, operationsPerMinute=84.91336574911855
benchmark-name=compress, mod=warmup, start=Thu May 26 14:33:16 BST 2016, end=Thu May 26 14:35:16 BST 2016, operations=338.8736113355635, operationsPerMinute=169.43680566778175, mode=normal, start=Thu May 26 14:35:18 BST 2016, end=Thu May 26 14:39:18 BST 2016, operations=722.9518059249538, operationsPerMinute=180.73795148123844
benchmark-name=crypto.aes, mod=warmup, start=Thu May 26 14:39:20 BST 2016, end=Thu May 26 14:41:20 BST 2016, operations=126.91378446385752, operationsPerMinute=63.45689223192876, mode=normal, start=Thu May 26 14:41:25 BST 2016, end=Thu May 26 14:45:25 BST 2016, operations=264.32222591245744, operationsPerMinute=66.08055647811436
benchmark-name=crypto.rsa, mod=warmup, start=Thu May 26 14:45:30 BST 2016, end=Thu May 26 14:47:30 BST 2016, operations=213.35587805283998, operationsPerMinute=106.67793902641999, mode=normal, start=Thu May 26 14:47:34 BST 2016, end=Thu May 26 14:51:34 BST 2016, operations=424.8630335545107, operationsPerMinute=106.21575838862768
benchmark-name=crypto.signverify, mod=warmup, start=Thu May 26 14:51:38 BST 2016, end=Thu May 26 14:53:38 BST 2016, operations=366.9844140557103, operationsPerMinute=183.49220702785516, mode=normal, start=Thu May 26 14:53:40 BST 2016, end=Thu May 26 14:57:40 BST 2016, operations=737.6654278178687, operationsPerMinute=184.41635695446718
benchmark-name=derby, mod=warmup, start=Thu May 26 14:58:54 BST 2016, end=Thu May 26 15:00:54 BST 2016, operations=322.05200964845545, operationsPerMinute=161.02600482422773, mode=normal, start=Thu May 26 15:00:57 BST 2016, end=Thu May 26 15:04:57 BST 2016, operations=642.75141667364, operationsPerMinute=160.68785416841
benchmark-name=mpegaudio, mod=warmup, start=Thu May 26 15:04:59 BST 2016, end=Thu May 26 15:06:59 BST 2016, operations=187.5218665711352, operationsPerMinute=93.7609332855676, mode=normal, start=Thu May 26 15:07:04 BST 2016, end=Thu May 26 15:11:04 BST 2016, operations=375.5160942014548, operationsPerMinute=93.8790235503637
benchmark-name=scimark.fft.large, mod=warmup, start=Thu May 26 15:11:06 BST 2016, end=Thu May 26 15:13:06 BST 2016, operations=69.46503363496645, operationsPerMinute=34.73251681748322, mode=normal, start=Thu May 26 15:13:14 BST 2016, end=Thu May 26 15:17:14 BST 2016, operations=136.79040494429543, operationsPerMinute=34.19760123607386
benchmark-name=scimark.lu.large, mod=warmup, start=Thu May 26 15:17:22 BST 2016, end=Thu May 26 15:19:22 BST 2016, operations=13.684142932944033, operationsPerMinute=6.842071466472016, mode=normal, start=Thu May 26 15:20:08 BST 2016, end=Thu May 26 15:24:08 BST 2016, operations=27.388921046925674, operationsPerMinute=6.8472302617314185
benchmark-name=scimark.sor.large, mod=warmup, start=Thu May 26 15:24:38 BST 2016, end=Thu May 26 15:26:38 BST 2016, operations=68.30569965787268, operationsPerMinute=34.15284982893634, mode=normal, start=Thu May 26 15:26:51 BST 2016, end=Thu May 26 15:30:51 BST 2016, operations=130.63154429682703, operationsPerMinute=32.65788607420676
benchmark-name=scimark.sparse.large, mod=warmup, start=Thu May 26 15:31:00 BST 2016, end=Thu May 26 15:33:00 BST 2016, operations=39.30367595350205, operationsPerMinute=19.651837976751025, mode=normal, start=Thu May 26 15:33:24 BST 2016, end=Thu May 26 15:37:24 BST 2016, operations=83.37069548618449, operationsPerMinute=20.842673871546122
