spec.jvm2008.report.run.location=SUNSPACE12
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM)2 Quad CPU    Q9400  @ 2.66GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=4027
benchmark-name=check, mode=normal, start=Tue Jun 28 22:42:50 BST 2016, end=Tue Jun 28 22:42:50 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=startup.helloworld, mode=normal, start=Tue Jun 28 22:42:50 BST 2016, end=Tue Jun 28 22:42:50 BST 2016, operations=1.0, operationsPerMinute=320.85561497326205
benchmark-name=startup.compiler.compiler, mode=normal, start=Tue Jun 28 22:42:50 BST 2016, end=Tue Jun 28 22:43:17 BST 2016, operations=1.0, operationsPerMinute=2.197802197802198
benchmark-name=startup.compiler.sunflow, mode=normal, start=Tue Jun 28 22:43:17 BST 2016, end=Tue Jun 28 22:43:24 BST 2016, operations=1.0, operationsPerMinute=9.092286710107592
benchmark-name=startup.compress, mode=normal, start=Tue Jun 28 22:43:24 BST 2016, end=Tue Jun 28 22:43:26 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.crypto.aes, mode=normal, start=Tue Jun 28 22:43:26 BST 2016, end=Tue Jun 28 22:43:38 BST 2016, operations=1.0, operationsPerMinute=5.07399577167019
benchmark-name=startup.crypto.rsa, mode=normal, start=Tue Jun 28 22:43:38 BST 2016, end=Tue Jun 28 22:43:47 BST 2016, operations=1.0, operationsPerMinute=6.712160196890032
benchmark-name=startup.crypto.signverify, mode=normal, start=Tue Jun 28 22:43:47 BST 2016, end=Tue Jun 28 22:43:54 BST 2016, operations=1.0, operationsPerMinute=7.723001673317029
benchmark-name=startup.mpegaudio, mode=normal, start=Tue Jun 28 22:43:54 BST 2016, end=Tue Jun 28 22:43:59 BST 2016, operations=1.0, operationsPerMinute=13.449899125756557
benchmark-name=startup.scimark.fft, mode=normal, start=Tue Jun 28 22:43:59 BST 2016, end=Tue Jun 28 22:44:00 BST 2016, operations=1.0, operationsPerMinute=42.25352112676056
benchmark-name=startup.scimark.lu, mode=normal, start=Tue Jun 28 22:44:00 BST 2016, end=Tue Jun 28 22:44:02 BST 2016, operations=1.0, operationsPerMinute=27.86809103576405
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Tue Jun 28 22:44:02 BST 2016, end=Tue Jun 28 22:44:12 BST 2016, operations=1.0, operationsPerMinute=6.475285991797971
benchmark-name=startup.scimark.sor, mode=normal, start=Tue Jun 28 22:44:12 BST 2016, end=Tue Jun 28 22:44:14 BST 2016, operations=1.0, operationsPerMinute=27.86809103576405
benchmark-name=startup.scimark.sparse, mode=normal, start=Tue Jun 28 22:44:14 BST 2016, end=Tue Jun 28 22:44:16 BST 2016, operations=1.0, operationsPerMinute=23.31002331002331
benchmark-name=startup.serial, mode=normal, start=Tue Jun 28 22:44:16 BST 2016, end=Tue Jun 28 22:44:21 BST 2016, operations=1.0, operationsPerMinute=12.57071024512885
benchmark-name=startup.sunflow, mode=normal, start=Tue Jun 28 22:44:21 BST 2016, end=Tue Jun 28 22:44:29 BST 2016, operations=1.0, operationsPerMinute=7.9787234042553195
benchmark-name=startup.xml.transform, mode=normal, start=Tue Jun 28 22:44:29 BST 2016, end=Tue Jun 28 22:45:15 BST 2016, operations=1.0, operationsPerMinute=1.3002773925104023
benchmark-name=startup.xml.validation, mode=normal, start=Tue Jun 28 22:45:15 BST 2016, end=Tue Jun 28 22:45:17 BST 2016, operations=1.0, operationsPerMinute=34.32494279176201
benchmark-name=compiler.compiler, mod=warmup, start=Tue Jun 28 22:45:38 BST 2016, end=Tue Jun 28 22:47:38 BST 2016, operations=291.0778019975516, operationsPerMinute=145.5389009987758, mode=normal, start=Tue Jun 28 22:47:41 BST 2016, end=Tue Jun 28 22:51:41 BST 2016, operations=592.7040403953433, operationsPerMinute=148.17601009883583
benchmark-name=compiler.sunflow, mod=warmup, start=Tue Jun 28 22:51:49 BST 2016, end=Tue Jun 28 22:53:49 BST 2016, operations=118.04736763320592, operationsPerMinute=59.02368381660296, mode=normal, start=Tue Jun 28 22:53:54 BST 2016, end=Tue Jun 28 22:57:54 BST 2016, operations=233.23469656577805, operationsPerMinute=58.30867414144451
benchmark-name=compress, mod=warmup, start=Tue Jun 28 22:58:01 BST 2016, end=Tue Jun 28 23:00:01 BST 2016, operations=249.93992958711186, operationsPerMinute=124.96996479355593, mode=normal, start=Tue Jun 28 23:00:04 BST 2016, end=Tue Jun 28 23:04:04 BST 2016, operations=499.74746295479747, operationsPerMinute=124.93686573869937
benchmark-name=crypto.aes, mod=warmup, start=Tue Jun 28 23:04:07 BST 2016, end=Tue Jun 28 23:06:07 BST 2016, operations=71.58633419705475, operationsPerMinute=35.79316709852738, mode=normal, start=Tue Jun 28 23:06:15 BST 2016, end=Tue Jun 28 23:10:15 BST 2016, operations=150.1281865027255, operationsPerMinute=37.532046625681375
benchmark-name=crypto.rsa, mod=warmup, start=Tue Jun 28 23:10:24 BST 2016, end=Tue Jun 28 23:12:24 BST 2016, operations=150.7991790337859, operationsPerMinute=75.39958951689295, mode=normal, start=Tue Jun 28 23:12:28 BST 2016, end=Tue Jun 28 23:16:28 BST 2016, operations=301.40887768094944, operationsPerMinute=75.35221942023736
benchmark-name=crypto.signverify, mod=warmup, start=Tue Jun 28 23:16:34 BST 2016, end=Tue Jun 28 23:18:34 BST 2016, operations=242.00294034211888, operationsPerMinute=121.00147017105944, mode=normal, start=Tue Jun 28 23:18:37 BST 2016, end=Tue Jun 28 23:22:37 BST 2016, operations=483.46495693973117, operationsPerMinute=120.86623923493279
benchmark-name=derby, mod=warmup, start=Tue Jun 28 23:23:31 BST 2016, end=Tue Jun 28 23:25:31 BST 2016, operations=167.58058307331257, operationsPerMinute=83.79029153665628, mode=normal, start=Tue Jun 28 23:25:34 BST 2016, end=Tue Jun 28 23:29:34 BST 2016, operations=338.05827178092727, operationsPerMinute=84.51456794523182
benchmark-name=mpegaudio, mod=warmup, start=Tue Jun 28 23:29:38 BST 2016, end=Tue Jun 28 23:31:38 BST 2016, operations=114.24814247679625, operationsPerMinute=57.12407123839812, mode=normal, start=Tue Jun 28 23:31:45 BST 2016, end=Tue Jun 28 23:35:45 BST 2016, operations=228.86091736209184, operationsPerMinute=57.21522934052296
benchmark-name=scimark.fft.large, mod=warmup, start=Tue Jun 28 23:35:52 BST 2016, end=Tue Jun 28 23:37:52 BST 2016, operations=37.62189388954971, operationsPerMinute=18.810946944774855, mode=normal, start=Tue Jun 28 23:38:12 BST 2016, end=Tue Jun 28 23:42:12 BST 2016, operations=68.64377261115727, operationsPerMinute=17.16094315278932
benchmark-name=scimark.lu.large, mod=warmup, start=Tue Jun 28 23:42:27 BST 2016, end=Tue Jun 28 23:44:27 BST 2016, operations=8.839918228382633, operationsPerMinute=4.419959114191316, mode=normal, start=Tue Jun 28 23:45:50 BST 2016, end=Tue Jun 28 23:49:50 BST 2016, operations=17.644577536117005, operationsPerMinute=4.411144384029251
benchmark-name=scimark.sor.large, mod=warmup, start=Tue Jun 28 23:51:04 BST 2016, end=Tue Jun 28 23:53:04 BST 2016, operations=48.52466402941823, operationsPerMinute=24.262332014709116, mode=normal, start=Tue Jun 28 23:53:21 BST 2016, end=Tue Jun 28 23:57:21 BST 2016, operations=98.80398835130546, operationsPerMinute=24.700997087826366
benchmark-name=scimark.sparse.large, mod=warmup, start=Tue Jun 28 23:57:33 BST 2016, end=Tue Jun 28 23:59:33 BST 2016, operations=28.332641573082547, operationsPerMinute=14.166320786541274, mode=normal, start=Wed Jun 29 00:00:01 BST 2016, end=Wed Jun 29 00:04:01 BST 2016, operations=56.628486565878376, operationsPerMinute=14.157121641469594
