spec.jvm2008.report.run.location=NIDD92
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-2400S CPU @ 2.50GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=3984
benchmark-name=check, mode=normal, start=Sun Jun 26 17:02:24 BST 2016, end=Sun Jun 26 17:02:24 BST 2016, operations=1.0, operationsPerMinute=1304.3478260869565
benchmark-name=startup.helloworld, mode=normal, start=Sun Jun 26 17:02:24 BST 2016, end=Sun Jun 26 17:02:24 BST 2016, operations=1.0, operationsPerMinute=428.57142857142856
benchmark-name=startup.compiler.compiler, mode=normal, start=Sun Jun 26 17:02:24 BST 2016, end=Sun Jun 26 17:02:45 BST 2016, operations=1.0, operationsPerMinute=2.938151902453357
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sun Jun 26 17:02:45 BST 2016, end=Sun Jun 26 17:02:50 BST 2016, operations=1.0, operationsPerMinute=12.170385395537526
benchmark-name=startup.compress, mode=normal, start=Sun Jun 26 17:02:50 BST 2016, end=Sun Jun 26 17:02:51 BST 2016, operations=1.0, operationsPerMinute=35.62945368171022
benchmark-name=startup.crypto.aes, mode=normal, start=Sun Jun 26 17:02:51 BST 2016, end=Sun Jun 26 17:03:02 BST 2016, operations=1.0, operationsPerMinute=5.647590361445783
benchmark-name=startup.crypto.rsa, mode=normal, start=Sun Jun 26 17:03:02 BST 2016, end=Sun Jun 26 17:03:11 BST 2016, operations=1.0, operationsPerMinute=6.574621959237344
benchmark-name=startup.crypto.signverify, mode=normal, start=Sun Jun 26 17:03:11 BST 2016, end=Sun Jun 26 17:03:19 BST 2016, operations=1.0, operationsPerMinute=8.165487207403375
benchmark-name=startup.mpegaudio, mode=normal, start=Sun Jun 26 17:03:19 BST 2016, end=Sun Jun 26 17:03:22 BST 2016, operations=1.0, operationsPerMinute=18.674136321195146
benchmark-name=startup.scimark.fft, mode=normal, start=Sun Jun 26 17:03:22 BST 2016, end=Sun Jun 26 17:03:23 BST 2016, operations=1.0, operationsPerMinute=59.171597633136095
benchmark-name=startup.scimark.lu, mode=normal, start=Sun Jun 26 17:03:23 BST 2016, end=Sun Jun 26 17:03:24 BST 2016, operations=1.0, operationsPerMinute=46.33204633204633
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sun Jun 26 17:03:24 BST 2016, end=Sun Jun 26 17:03:31 BST 2016, operations=1.0, operationsPerMinute=8.565310492505354
benchmark-name=startup.scimark.sor, mode=normal, start=Sun Jun 26 17:03:31 BST 2016, end=Sun Jun 26 17:03:33 BST 2016, operations=1.0, operationsPerMinute=33.16749585406302
benchmark-name=startup.scimark.sparse, mode=normal, start=Sun Jun 26 17:03:33 BST 2016, end=Sun Jun 26 17:03:34 BST 2016, operations=1.0, operationsPerMinute=40.48582995951417
benchmark-name=startup.serial, mode=normal, start=Sun Jun 26 17:03:34 BST 2016, end=Sun Jun 26 17:03:38 BST 2016, operations=1.0, operationsPerMinute=18.94537417113988
benchmark-name=startup.sunflow, mode=normal, start=Sun Jun 26 17:03:38 BST 2016, end=Sun Jun 26 17:03:45 BST 2016, operations=1.0, operationsPerMinute=7.962840079628401
benchmark-name=startup.xml.transform, mode=normal, start=Sun Jun 26 17:03:45 BST 2016, end=Sun Jun 26 17:03:45 BST 2016, operations=1.0, operationsPerMinute=160.42780748663102
benchmark-name=startup.xml.validation, mode=normal, start=Sun Jun 26 17:03:45 BST 2016, end=Sun Jun 26 17:03:47 BST 2016, operations=1.0, operationsPerMinute=44.70938897168406
benchmark-name=compiler.compiler, mod=warmup, start=Sun Jun 26 17:04:03 BST 2016, end=Sun Jun 26 17:06:03 BST 2016, operations=299.11292671062006, operationsPerMinute=149.55646335531003, mode=normal, start=Sun Jun 26 17:06:05 BST 2016, end=Sun Jun 26 17:10:05 BST 2016, operations=614.8133418964437, operationsPerMinute=153.70333547411093
