spec.jvm2008.report.run.location=KRC044
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4570S CPU @ 2.90GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Sat Jun 04 08:27:43 BST 2016, end=Sat Jun 04 08:27:44 BST 2016, operations=1.0, operationsPerMinute=769.2307692307693
benchmark-name=startup.helloworld, mode=normal, start=Sat Jun 04 08:27:44 BST 2016, end=Sat Jun 04 08:27:44 BST 2016, operations=1.0, operationsPerMinute=128.2051282051282
benchmark-name=startup.compiler.compiler, mode=normal, start=Sat Jun 04 08:27:44 BST 2016, end=Sat Jun 04 08:28:04 BST 2016, operations=1.0, operationsPerMinute=2.96545247862403
benchmark-name=startup.compiler.sunflow, mode=normal, start=Sat Jun 04 08:28:04 BST 2016, end=Sat Jun 04 08:28:09 BST 2016, operations=1.0, operationsPerMinute=13.080444735120993
benchmark-name=startup.compress, mode=normal, start=Sat Jun 04 08:28:09 BST 2016, end=Sat Jun 04 08:28:10 BST 2016, operations=1.0, operationsPerMinute=44.21518054532056
benchmark-name=startup.crypto.aes, mode=normal, start=Sat Jun 04 08:28:10 BST 2016, end=Sat Jun 04 08:28:19 BST 2016, operations=1.0, operationsPerMinute=6.51890482398957
benchmark-name=startup.crypto.rsa, mode=normal, start=Sat Jun 04 08:28:19 BST 2016, end=Sat Jun 04 08:28:27 BST 2016, operations=1.0, operationsPerMinute=7.751937984496124
benchmark-name=startup.crypto.signverify, mode=normal, start=Sat Jun 04 08:28:27 BST 2016, end=Sat Jun 04 08:28:34 BST 2016, operations=1.0, operationsPerMinute=8.898116565327006
benchmark-name=startup.mpegaudio, mode=normal, start=Sat Jun 04 08:28:34 BST 2016, end=Sat Jun 04 08:28:36 BST 2016, operations=1.0, operationsPerMinute=24.03846153846154
benchmark-name=startup.scimark.fft, mode=normal, start=Sat Jun 04 08:28:36 BST 2016, end=Sat Jun 04 08:28:37 BST 2016, operations=1.0, operationsPerMinute=75.28230865746549
benchmark-name=startup.scimark.lu, mode=normal, start=Sat Jun 04 08:28:37 BST 2016, end=Sat Jun 04 08:28:38 BST 2016, operations=1.0, operationsPerMinute=60.120240480961925
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Sat Jun 04 08:28:38 BST 2016, end=Sat Jun 04 08:28:44 BST 2016, operations=1.0, operationsPerMinute=9.861932938856016
benchmark-name=startup.scimark.sor, mode=normal, start=Sat Jun 04 08:28:44 BST 2016, end=Sat Jun 04 08:28:46 BST 2016, operations=1.0, operationsPerMinute=36.27569528415961
benchmark-name=startup.scimark.sparse, mode=normal, start=Sat Jun 04 08:28:46 BST 2016, end=Sat Jun 04 08:28:47 BST 2016, operations=1.0, operationsPerMinute=52.67778753292362
benchmark-name=startup.serial, mode=normal, start=Sat Jun 04 08:28:47 BST 2016, end=Sat Jun 04 08:28:50 BST 2016, operations=1.0, operationsPerMinute=23.446658851113718
benchmark-name=startup.sunflow, mode=normal, start=Sat Jun 04 08:28:50 BST 2016, end=Sat Jun 04 08:28:57 BST 2016, operations=1.0, operationsPerMinute=8.161044613710555
benchmark-name=startup.xml.transform, mode=normal, start=Sat Jun 04 08:28:57 BST 2016, end=Sat Jun 04 08:29:21 BST 2016, operations=1.0, operationsPerMinute=2.461841457410143
benchmark-name=startup.xml.validation, mode=normal, start=Sat Jun 04 08:29:21 BST 2016, end=Sat Jun 04 08:29:22 BST 2016, operations=1.0, operationsPerMinute=56.550424128180964
benchmark-name=compiler.compiler, mod=warmup, start=Sat Jun 04 08:29:34 BST 2016, end=Sat Jun 04 08:31:34 BST 2016, operations=430.62099622463523, operationsPerMinute=215.31049811231762, mode=normal, start=Sat Jun 04 08:31:36 BST 2016, end=Sat Jun 04 08:35:36 BST 2016, operations=895.2715938032196, operationsPerMinute=223.8178984508049
benchmark-name=compiler.sunflow, mod=warmup, start=Sat Jun 04 08:35:40 BST 2016, end=Sat Jun 04 08:37:40 BST 2016, operations=173.6446052109472, operationsPerMinute=86.8223026054736, mode=normal, start=Sat Jun 04 08:37:44 BST 2016, end=Sat Jun 04 08:41:44 BST 2016, operations=369.68411460559906, operationsPerMinute=92.42102865139977
benchmark-name=compress, mod=warmup, start=Sat Jun 04 08:41:48 BST 2016, end=Sat Jun 04 08:43:48 BST 2016, operations=340.9289552839947, operationsPerMinute=170.46447764199735, mode=normal, start=Sat Jun 04 08:43:50 BST 2016, end=Sat Jun 04 08:47:50 BST 2016, operations=673.4250835198152, operationsPerMinute=168.3562708799538
benchmark-name=crypto.aes, mod=warmup, start=Sat Jun 04 08:47:53 BST 2016, end=Sat Jun 04 08:49:53 BST 2016, operations=123.44985754985754, operationsPerMinute=61.72492877492877, mode=normal, start=Sat Jun 04 08:49:58 BST 2016, end=Sat Jun 04 08:53:58 BST 2016, operations=269.48877303087176, operationsPerMinute=67.37219325771794
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jun 04 08:54:04 BST 2016, end=Sat Jun 04 08:56:04 BST 2016, operations=215.7584088531101, operationsPerMinute=107.87920442655505, mode=normal, start=Sat Jun 04 08:56:08 BST 2016, end=Sat Jun 04 09:00:08 BST 2016, operations=431.9410092745219, operationsPerMinute=107.98525231863047
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jun 04 09:00:12 BST 2016, end=Sat Jun 04 09:02:12 BST 2016, operations=373.10620064658156, operationsPerMinute=186.55310032329078, mode=normal, start=Sat Jun 04 09:02:14 BST 2016, end=Sat Jun 04 09:06:14 BST 2016, operations=745.4919335508858, operationsPerMinute=186.37298338772146
benchmark-name=derby, mod=warmup, start=Sat Jun 04 09:07:25 BST 2016, end=Sat Jun 04 09:09:25 BST 2016, operations=333.0829471792887, operationsPerMinute=166.54147358964434, mode=normal, start=Sat Jun 04 09:09:27 BST 2016, end=Sat Jun 04 09:13:27 BST 2016, operations=667.3009322576695, operationsPerMinute=166.82523306441738
benchmark-name=mpegaudio, mod=warmup, start=Sat Jun 04 09:13:30 BST 2016, end=Sat Jun 04 09:15:30 BST 2016, operations=189.905081665941, operationsPerMinute=94.9525408329705, mode=normal, start=Sat Jun 04 09:15:34 BST 2016, end=Sat Jun 04 09:19:34 BST 2016, operations=380.4032066189774, operationsPerMinute=95.10080165474434
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jun 04 09:19:38 BST 2016, end=Sat Jun 04 09:21:38 BST 2016, operations=77.89343754598345, operationsPerMinute=38.94671877299172, mode=normal, start=Sat Jun 04 09:21:46 BST 2016, end=Sat Jun 04 09:25:46 BST 2016, operations=152.48901174366523, operationsPerMinute=38.12225293591631
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jun 04 09:25:55 BST 2016, end=Sat Jun 04 09:27:55 BST 2016, operations=13.736567606001838, operationsPerMinute=6.868283803000919, mode=normal, start=Sat Jun 04 09:28:40 BST 2016, end=Sat Jun 04 09:32:40 BST 2016, operations=27.643017399446588, operationsPerMinute=6.910754349861647
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jun 04 09:33:17 BST 2016, end=Sat Jun 04 09:35:17 BST 2016, operations=69.36006908336438, operationsPerMinute=34.68003454168219, mode=normal, start=Sat Jun 04 09:35:28 BST 2016, end=Sat Jun 04 09:39:28 BST 2016, operations=137.9554763805388, operationsPerMinute=34.4888690951347
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jun 04 09:39:38 BST 2016, end=Sat Jun 04 09:41:38 BST 2016, operations=43.05650997358947, operationsPerMinute=21.528254986794735, mode=normal, start=Sat Jun 04 09:41:48 BST 2016, end=Sat Jun 04 09:45:48 BST 2016, operations=86.4925079798826, operationsPerMinute=21.62312699497065
benchmark-name=scimark.fft.small, mod=warmup, start=Sat Jun 04 09:46:01 BST 2016, end=Sat Jun 04 09:48:01 BST 2016, operations=639.558100893458, operationsPerMinute=319.779050446729, mode=normal, start=Sat Jun 04 09:48:02 BST 2016, end=Sat Jun 04 09:52:02 BST 2016, operations=1283.676993029911, operationsPerMinute=320.91924825747776
benchmark-name=scimark.lu.small, mod=warmup, start=Sat Jun 04 09:52:03 BST 2016, end=Sat Jun 04 09:54:03 BST 2016, operations=523.8925934529923, operationsPerMinute=261.94629672649614, mode=normal, start=Sat Jun 04 09:54:05 BST 2016, end=Sat Jun 04 09:58:05 BST 2016, operations=1049.7638481864042, operationsPerMinute=262.44096204660104
benchmark-name=scimark.sor.small, mod=warmup, start=Sat Jun 04 09:58:06 BST 2016, end=Sat Jun 04 10:00:06 BST 2016, operations=302.09044772254254, operationsPerMinute=151.04522386127127, mode=normal, start=Sat Jun 04 10:00:08 BST 2016, end=Sat Jun 04 10:04:08 BST 2016, operations=604.1591958791839, operationsPerMinute=151.03979896979598
benchmark-name=scimark.sparse.small, mod=warmup, start=Sat Jun 04 10:04:10 BST 2016, end=Sat Jun 04 10:06:10 BST 2016, operations=465.40820359625445, operationsPerMinute=232.70410179812723, mode=normal, start=Sat Jun 04 10:06:12 BST 2016, end=Sat Jun 04 10:10:12 BST 2016, operations=932.6844351818698, operationsPerMinute=233.17110879546746
benchmark-name=scimark.monte_carlo, mod=warmup, start=Sat Jun 04 10:10:14 BST 2016, end=Sat Jun 04 10:12:14 BST 2016, operations=109.29898955121493, operationsPerMinute=54.649494775607465, mode=normal, start=Sat Jun 04 10:12:22 BST 2016, end=Sat Jun 04 10:16:22 BST 2016, operations=219.03233614580986, operationsPerMinute=54.758084036452466
benchmark-name=serial, mod=warmup, start=Sat Jun 04 10:16:29 BST 2016, end=Sat Jun 04 10:18:29 BST 2016, operations=221.39442586436212, operationsPerMinute=110.69721293218106, mode=normal, start=Sat Jun 04 10:18:32 BST 2016, end=Sat Jun 04 10:22:32 BST 2016, operations=438.0840539477615, operationsPerMinute=109.52101348694038
