spec.jvm2008.report.run.location=BARN-03
spec.jvm2008.report.hw.cpu.name=Intel(R) Core(TM) i5-4690S CPU @ 3.20GHz
spec.jvm2008.report.hw.number.of.cores=4
spec.jvm2008.report.hw.memory.size=8098
benchmark-name=check, mode=normal, start=Fri Jul 01 23:34:11 BST 2016, end=Fri Jul 01 23:34:11 BST 2016, operations=1.0, operationsPerMinute=1875.0
benchmark-name=startup.helloworld, mode=normal, start=Fri Jul 01 23:34:11 BST 2016, end=Fri Jul 01 23:34:11 BST 2016, operations=1.0, operationsPerMinute=638.2978723404256
benchmark-name=startup.compiler.compiler, mode=normal, start=Fri Jul 01 23:34:11 BST 2016, end=Fri Jul 01 23:34:25 BST 2016, operations=1.0, operationsPerMinute=4.43098737168599
benchmark-name=startup.compiler.sunflow, mode=normal, start=Fri Jul 01 23:34:25 BST 2016, end=Fri Jul 01 23:34:28 BST 2016, operations=1.0, operationsPerMinute=18.315018315018314
benchmark-name=startup.compress, mode=normal, start=Fri Jul 01 23:34:28 BST 2016, end=Fri Jul 01 23:34:29 BST 2016, operations=1.0, operationsPerMinute=47.50593824228029
benchmark-name=startup.crypto.aes, mode=normal, start=Fri Jul 01 23:34:29 BST 2016, end=Fri Jul 01 23:34:38 BST 2016, operations=1.0, operationsPerMinute=7.109004739336493
benchmark-name=startup.crypto.rsa, mode=normal, start=Fri Jul 01 23:34:38 BST 2016, end=Fri Jul 01 23:34:45 BST 2016, operations=1.0, operationsPerMinute=8.046131151937777
benchmark-name=startup.crypto.signverify, mode=normal, start=Fri Jul 01 23:34:45 BST 2016, end=Fri Jul 01 23:34:52 BST 2016, operations=1.0, operationsPerMinute=9.136592051164916
benchmark-name=startup.mpegaudio, mode=normal, start=Fri Jul 01 23:34:52 BST 2016, end=Fri Jul 01 23:34:54 BST 2016, operations=1.0, operationsPerMinute=26.89376961004034
benchmark-name=startup.scimark.fft, mode=normal, start=Fri Jul 01 23:34:54 BST 2016, end=Fri Jul 01 23:34:55 BST 2016, operations=1.0, operationsPerMinute=81.85538881309687
benchmark-name=startup.scimark.lu, mode=normal, start=Fri Jul 01 23:34:55 BST 2016, end=Fri Jul 01 23:34:55 BST 2016, operations=1.0, operationsPerMinute=67.41573033707866
benchmark-name=startup.scimark.monte_carlo, mode=normal, start=Fri Jul 01 23:34:55 BST 2016, end=Fri Jul 01 23:35:01 BST 2016, operations=1.0, operationsPerMinute=10.773927096426647
benchmark-name=startup.scimark.sor, mode=normal, start=Fri Jul 01 23:35:01 BST 2016, end=Fri Jul 01 23:35:02 BST 2016, operations=1.0, operationsPerMinute=42.28329809725159
benchmark-name=startup.scimark.sparse, mode=normal, start=Fri Jul 01 23:35:02 BST 2016, end=Fri Jul 01 23:35:03 BST 2016, operations=1.0, operationsPerMinute=61.03763987792472
benchmark-name=startup.serial, mode=normal, start=Fri Jul 01 23:35:03 BST 2016, end=Fri Jul 01 23:35:05 BST 2016, operations=1.0, operationsPerMinute=28.49002849002849
benchmark-name=startup.sunflow, mode=normal, start=Fri Jul 01 23:35:05 BST 2016, end=Fri Jul 01 23:35:12 BST 2016, operations=1.0, operationsPerMinute=9.357454772301933
benchmark-name=startup.xml.transform, mode=normal, start=Fri Jul 01 23:35:12 BST 2016, end=Fri Jul 01 23:35:32 BST 2016, operations=1.0, operationsPerMinute=2.9769288017861575
benchmark-name=startup.xml.validation, mode=normal, start=Fri Jul 01 23:35:32 BST 2016, end=Fri Jul 01 23:35:33 BST 2016, operations=1.0, operationsPerMinute=75.37688442211055
benchmark-name=compiler.compiler, mod=warmup, start=Fri Jul 01 23:35:43 BST 2016, end=Fri Jul 01 23:37:43 BST 2016, operations=495.8782117555302, operationsPerMinute=247.9391058777651, mode=normal, start=Fri Jul 01 23:37:45 BST 2016, end=Fri Jul 01 23:41:45 BST 2016, operations=1020.0475336166176, operationsPerMinute=255.0118834041544
benchmark-name=compiler.sunflow, mod=warmup, start=Fri Jul 01 23:41:48 BST 2016, end=Fri Jul 01 23:43:48 BST 2016, operations=201.0522616785845, operationsPerMinute=100.52613083929225, mode=normal, start=Fri Jul 01 23:43:52 BST 2016, end=Fri Jul 01 23:47:52 BST 2016, operations=396.96765173296603, operationsPerMinute=99.24191293324151
benchmark-name=compress, mod=warmup, start=Fri Jul 01 23:47:54 BST 2016, end=Fri Jul 01 23:49:54 BST 2016, operations=396.7583814732548, operationsPerMinute=198.3791907366274, mode=normal, start=Fri Jul 01 23:49:56 BST 2016, end=Fri Jul 01 23:53:56 BST 2016, operations=798.5712931710884, operationsPerMinute=199.6428232927721
benchmark-name=crypto.aes, mod=warmup, start=Fri Jul 01 23:53:58 BST 2016, end=Fri Jul 01 23:55:58 BST 2016, operations=139.4237884392752, operationsPerMinute=69.7118942196376, mode=normal, start=Fri Jul 01 23:56:03 BST 2016, end=Sat Jul 02 00:00:03 BST 2016, operations=293.3215931950098, operationsPerMinute=73.33039829875246
benchmark-name=crypto.rsa, mod=warmup, start=Sat Jul 02 00:00:09 BST 2016, end=Sat Jul 02 00:02:09 BST 2016, operations=236.25501457275763, operationsPerMinute=118.12750728637882, mode=normal, start=Sat Jul 02 00:02:12 BST 2016, end=Sat Jul 02 00:06:12 BST 2016, operations=469.2543378242717, operationsPerMinute=117.31358445606793
benchmark-name=crypto.signverify, mod=warmup, start=Sat Jul 02 00:06:15 BST 2016, end=Sat Jul 02 00:08:15 BST 2016, operations=407.6948717948718, operationsPerMinute=203.8474358974359, mode=normal, start=Sat Jul 02 00:08:18 BST 2016, end=Sat Jul 02 00:12:18 BST 2016, operations=815.133470258428, operationsPerMinute=203.783367564607
benchmark-name=derby, mod=warmup, start=Sat Jul 02 00:12:40 BST 2016, end=Sat Jul 02 00:14:40 BST 2016, operations=360.1286319237815, operationsPerMinute=180.06431596189074, mode=normal, start=Sat Jul 02 00:14:42 BST 2016, end=Sat Jul 02 00:18:42 BST 2016, operations=716.9333071021051, operationsPerMinute=179.23332677552628
benchmark-name=mpegaudio, mod=warmup, start=Sat Jul 02 00:18:44 BST 2016, end=Sat Jul 02 00:20:44 BST 2016, operations=207.73426868901132, operationsPerMinute=103.86713434450566, mode=normal, start=Sat Jul 02 00:20:49 BST 2016, end=Sat Jul 02 00:24:49 BST 2016, operations=415.08680838862267, operationsPerMinute=103.77170209715567
benchmark-name=scimark.fft.large, mod=warmup, start=Sat Jul 02 00:24:53 BST 2016, end=Sat Jul 02 00:26:53 BST 2016, operations=78.07765693804711, operationsPerMinute=39.03882846902356, mode=normal, start=Sat Jul 02 00:27:01 BST 2016, end=Sat Jul 02 00:31:01 BST 2016, operations=151.64883352591846, operationsPerMinute=37.912208381479616
benchmark-name=scimark.lu.large, mod=warmup, start=Sat Jul 02 00:31:10 BST 2016, end=Sat Jul 02 00:33:10 BST 2016, operations=13.857681795970077, operationsPerMinute=6.928840897985038, mode=normal, start=Sat Jul 02 00:33:53 BST 2016, end=Sat Jul 02 00:37:53 BST 2016, operations=27.820667925183393, operationsPerMinute=6.955166981295848
benchmark-name=scimark.sor.large, mod=warmup, start=Sat Jul 02 00:38:28 BST 2016, end=Sat Jul 02 00:40:28 BST 2016, operations=74.50074130309733, operationsPerMinute=37.250370651548664, mode=normal, start=Sat Jul 02 00:40:37 BST 2016, end=Sat Jul 02 00:44:37 BST 2016, operations=148.81245680541022, operationsPerMinute=37.203114201352555
benchmark-name=scimark.sparse.large, mod=warmup, start=Sat Jul 02 00:44:48 BST 2016, end=Sat Jul 02 00:46:48 BST 2016, operations=43.245299103345936, operationsPerMinute=21.622649551672968, mode=normal, start=Sat Jul 02 00:46:59 BST 2016, end=Sat Jul 02 00:50:59 BST 2016, operations=86.12963861232373, operationsPerMinute=21.532409653080933
benchmark-name=scimark.fft.small, mod=warmup, start=Sat Jul 02 00:51:12 BST 2016, end=Sat Jul 02 00:53:12 BST 2016, operations=714.0872868928385, operationsPerMinute=357.04364344641925, mode=normal, start=Sat Jul 02 00:53:13 BST 2016, end=Sat Jul 02 00:57:13 BST 2016, operations=1408.8401874486058, operationsPerMinute=352.21004686215144
benchmark-name=scimark.lu.small, mod=warmup, start=Sat Jul 02 00:57:14 BST 2016, end=Sat Jul 02 00:59:14 BST 2016, operations=576.3912131247362, operationsPerMinute=288.1956065623681, mode=normal, start=Sat Jul 02 00:59:16 BST 2016, end=Sat Jul 02 01:03:16 BST 2016, operations=1150.5294932039649, operationsPerMinute=287.6323733009912
benchmark-name=scimark.sor.small, mod=warmup, start=Sat Jul 02 01:03:17 BST 2016, end=Sat Jul 02 01:05:17 BST 2016, operations=329.50564494957655, operationsPerMinute=164.75282247478827, mode=normal, start=Sat Jul 02 01:05:20 BST 2016, end=Sat Jul 02 01:09:20 BST 2016, operations=661.526232957396, operationsPerMinute=165.381558239349
benchmark-name=scimark.sparse.small, mod=warmup, start=Sat Jul 02 01:09:22 BST 2016, end=Sat Jul 02 01:11:22 BST 2016, operations=512.2639207942427, operationsPerMinute=256.13196039712136, mode=normal, start=Sat Jul 02 01:11:24 BST 2016, end=Sat Jul 02 01:15:24 BST 2016, operations=1022.3027442530615, operationsPerMinute=255.57568606326538
benchmark-name=scimark.monte_carlo, mod=warmup, start=Sat Jul 02 01:15:26 BST 2016, end=Sat Jul 02 01:17:26 BST 2016, operations=119.40494835617406, operationsPerMinute=59.70247417808703, mode=normal, start=Sat Jul 02 01:17:33 BST 2016, end=Sat Jul 02 01:21:33 BST 2016, operations=238.87281604823204, operationsPerMinute=59.71820401205801
benchmark-name=serial, mod=warmup, start=Sat Jul 02 01:21:40 BST 2016, end=Sat Jul 02 01:23:40 BST 2016, operations=233.24554788472682, operationsPerMinute=116.62277394236341, mode=normal, start=Sat Jul 02 01:23:43 BST 2016, end=Sat Jul 02 01:27:43 BST 2016, operations=475.68408088593657, operationsPerMinute=118.92102022148414
